task_id,filename,category,difficulty,generator_provider,generator_model,reference_length,dart_source_chars,function_chars,tests_count,tests_chars,assembly_chars,assembly_lines,cfg_blocks,region_count_ceil_blocks_div_16,blocks_over_first_region,edge_records,cfg_edge_count,dataflow_edge_count,parsed_instruction_count,isolated_nodes,unreachable_nodes,compile_successes_of_10,pass_successes_of_10,any_compile,any_pass,compile_at_1,compile_at_5,pass_at_1,pass_at_5,pass_at_10,mean_codebleu_all_candidates,mean_codebleu_compiled_candidates,long_reference_ge_1000,semantic_failure_all_10
syn_0003,syn_0003.dart,sorting and ordering with custom comparators,medium,or_sonnet,anthropic/claude-sonnet-4.6,1078,1078,32,1,1609,7559,164,34,3,18,78,40,38,153,0,0,6,0,1,0,0.6,1.0,0.0,0.0,0.0,0.6243909999999999,0.615575,1,1
syn_0004,syn_0004.dart,"state machine simulation (parsers for tiny grammars, token scanners)",easy,or_sonnet,anthropic/claude-sonnet-4.6,546,546,20,1,892,1882,46,11,1,0,34,13,21,39,0,0,8,0,1,0,0.8,1.0,0.0,0.0,0.0,0.645969,0.65820625,0,1
syn_0006,syn_0006.dart,"recursion (trees, divide and conquer, backtracking on small inputs)",easy,or_sonnet,anthropic/claude-sonnet-4.6,835,835,19,1,1133,6152,149,28,2,12,91,35,56,140,0,0,4,0,1,0,0.4,0.9761904761904762,0.0,0.0,0.0,0.46235,0.4749425,0,1
syn_0010,syn_0010.dart,"recursion (trees, divide and conquer, backtracking on small inputs)",easy,or_deepseek,deepseek/deepseek-v4-pro,738,738,17,1,1030,7074,168,40,3,24,139,52,87,159,0,0,5,0,1,0,0.5,0.996031746031746,0.0,0.0,0.0,0.53844,0.553736,0,1
syn_0011,syn_0011.dart,sorting and ordering with custom comparators,hard,or_deepseek,deepseek/deepseek-v4-pro,1339,1339,33,1,1127,12710,290,57,4,41,251,74,177,277,0,0,3,0,1,0,0.3,0.9166666666666666,0.0,0.0,0.0,0.583385,0.6175366666666667,1,1
syn_0015,syn_0015.dart,"string encoding/decoding (run-length, caesar, simple checksums)",easy,or_deepseek,deepseek/deepseek-v4-pro,514,514,19,1,945,3977,95,14,1,0,30,16,14,84,0,0,7,0,1,0,0.7,1.0,0.0,0.0,0.0,0.479694,0.4887714285714286,0,1
syn_0018,syn_0018.dart,sorting and ordering with custom comparators,medium,or_kimi,moonshotai/kimi-k2.6,1117,1117,14,1,1243,11555,257,53,4,37,200,69,131,248,0,0,3,0,1,0,0.3,0.9166666666666666,0.0,0.0,0.0,0.373189,0.40099666666666667,1,1
syn_0019,syn_0019.dart,"bit manipulation (masks, popcount, rotations, flags)",easy,or_kimi,moonshotai/kimi-k2.6,581,581,21,1,913,1339,34,6,1,0,20,7,13,27,0,0,6,4,1,1,0.6,1.0,0.4,0.9761904761904762,1.0,0.627111,0.5949183333333333,0,0
syn_0021,syn_0021.dart,sorting and ordering with custom comparators,easy,or_kimi,moonshotai/kimi-k2.6,686,686,26,1,1104,4908,118,16,1,0,40,18,22,107,0,0,5,0,1,0,0.5,0.996031746031746,0.0,0.0,0.0,0.570099,0.53071,0,1
syn_0026,syn_0026.dart,sorting and ordering with custom comparators,hard,or_qwen_max,qwen/qwen3.7-max,1113,1113,18,1,1255,13214,303,60,4,44,236,81,155,292,0,0,3,0,1,0,0.3,0.9166666666666666,0.0,0.0,0.0,0.508633,0.5746833333333333,1,1
syn_0030,syn_0030.dart,sorting and ordering with custom comparators,medium,or_qwen_max,qwen/qwen3.7-max,1094,1094,24,1,1189,8112,191,40,3,24,210,52,158,182,0,0,2,0,1,0,0.2,0.7777777777777778,0.0,0.0,0.0,0.581344,0.622395,1,1
syn_0034,syn_0034.dart,sorting and ordering with custom comparators,hard,or_qwen_plus,qwen/qwen3.7-plus,1359,1359,22,1,1119,11976,276,63,4,47,211,84,127,267,0,0,2,0,1,0,0.2,0.7777777777777778,0.0,0.0,0.0,0.637621,0.594885,1,1
syn_0043,syn_0043.dart,"list/collection transformations (map, fold, dedupe, partition)",easy,or_qwen_plus,qwen/qwen3.7-plus,585,585,20,1,878,5521,135,20,2,4,42,22,20,124,0,0,6,0,1,0,0.6,1.0,0.0,0.0,0.0,0.47071300000000005,0.48594166666666666,0,1
syn_0060,syn_0060.dart,string parsing and tokenization,easy,or_glm_turbo,z-ai/glm-5-turbo,625,625,19,1,1001,2887,69,17,2,1,38,20,18,62,0,0,4,0,1,0,0.4,0.9761904761904762,0.0,0.0,0.0,0.600525,0.6480925,0,1
syn_0061,syn_0061.dart,"integer date and duration arithmetic (day indices, intervals, no DateTime)",easy,or_glm_turbo,z-ai/glm-5-turbo,504,504,22,1,1313,2228,51,15,1,0,60,19,41,44,0,0,5,0,1,0,0.5,0.996031746031746,0.0,0.0,0.0,0.45247099999999996,0.512482,0,1
syn_0063,syn_0063.dart,"bit manipulation (masks, popcount, rotations, flags)",medium,or_glm_turbo,z-ai/glm-5-turbo,1006,1006,23,1,946,2628,67,15,1,0,33,17,16,60,0,0,8,0,1,0,0.8,1.0,0.0,0.0,0.0,0.589729,0.592345,1,1
syn_0067,syn_0067.dart,"list/collection transformations (map, fold, dedupe, partition)",easy,or_minimax,minimax/minimax-m3,532,532,18,1,972,1777,42,11,1,0,36,13,23,35,0,0,9,0,1,0,0.9,1.0,0.0,0.0,0.0,0.559501,0.5730244444444444,0,1
