task_id,filename,category,difficulty,generator_provider,generator_model,reference_length,dart_source_chars,function_chars,tests_count,tests_chars,assembly_chars,assembly_lines,cfg_blocks,region_count_ceil_blocks_div_16,blocks_over_first_region,edge_records,cfg_edge_count,dataflow_edge_count,parsed_instruction_count,isolated_nodes,unreachable_nodes,compile_successes_of_10,pass_successes_of_10,any_compile,any_pass,compile_at_1,compile_at_5,pass_at_1,pass_at_5,pass_at_10,mean_codebleu_all_candidates,mean_codebleu_compiled_candidates,long_reference_ge_1000,semantic_failure_all_10
syn_0019,syn_0019.dart,"bit manipulation (masks, popcount, rotations, flags)",easy,or_kimi,moonshotai/kimi-k2.6,581,581,21,1,913,1339,34,6,1,0,20,7,13,27,0,0,6,4,1,1,0.6,1.0,0.4,0.9761904761904762,1.0,0.627111,0.5949183333333333,0,0
syn_0151,syn_0151.dart,"recursion (trees, divide and conquer, backtracking on small inputs)",easy,or_nemotron,nvidia/nemotron-3-ultra-550b-a55b,595,595,17,1,1166,2710,65,11,1,0,38,13,25,58,0,0,8,2,1,1,0.8,1.0,0.2,0.7777777777777778,1.0,0.561843,0.5638125,0,0
syn_0269,syn_0269.dart,"recursion (trees, divide and conquer, backtracking on small inputs)",hard,or_deepseek,deepseek/deepseek-v4-pro,903,903,29,1,1478,1398,35,3,1,0,5,3,2,28,0,0,10,1,1,1,1.0,1.0,0.1,0.5,1.0,0.6541129999999999,0.6541129999999999,0,0
syn_0296,syn_0296.dart,Map/Set based frequency counting and grouping,easy,or_deepseek,deepseek/deepseek-v4-pro,542,542,27,1,1124,6488,151,28,2,12,86,36,50,142,0,0,4,3,1,1,0.4,0.9761904761904762,0.3,0.9166666666666666,1.0,0.662251,0.659385,0,0
syn_0352,syn_0352.dart,"string encoding/decoding (run-length, caesar, simple checksums)",easy,or_deepseek,deepseek/deepseek-v4-pro,613,613,20,1,1143,8525,202,31,2,15,133,42,91,195,0,0,8,1,1,1,0.8,1.0,0.1,0.5,1.0,0.709195,0.71244625,0,0
syn_0353,syn_0353.dart,"search problems (binary search variants, kth element)",medium,or_deepseek,deepseek/deepseek-v4-pro,957,957,20,1,1190,5741,127,42,3,26,180,59,121,120,0,0,8,6,1,1,0.8,1.0,0.6,1.0,1.0,0.6720240000000001,0.6803025,0,0
syn_0390,syn_0390.dart,"search problems (binary search variants, kth element)",easy,or_kimi,moonshotai/kimi-k2.6,650,650,23,1,1140,2111,51,12,1,0,45,15,30,44,0,0,9,2,1,1,0.9,1.0,0.2,0.7777777777777778,1.0,0.6290229999999999,0.63598,0,0
syn_0443,syn_0443.dart,string parsing and tokenization,easy,or_kimi,moonshotai/kimi-k2.6,787,787,20,1,1222,6324,140,29,2,13,108,41,67,133,0,0,7,2,1,1,0.7,1.0,0.2,0.7777777777777778,1.0,0.669208,0.6677057142857142,0,0
syn_0715,syn_0715.dart,"integer date and duration arithmetic (day indices, intervals, no DateTime)",easy,or_qwen_max,qwen/qwen3.7-max,739,739,26,1,1240,6444,150,30,2,14,137,42,95,143,0,0,10,4,1,1,1.0,1.0,0.4,0.9761904761904762,1.0,0.7634299999999999,0.7634299999999999,0,0
syn_0827,syn_0827.dart,two-pointer and sliding-window techniques,easy,or_qwen_plus,qwen/qwen3.7-plus,675,675,23,1,1059,5165,120,25,2,9,108,34,74,113,0,0,10,9,1,1,1.0,1.0,0.9,1.0,1.0,0.71671,0.71671,0,0
syn_0875,syn_0875.dart,sorting and ordering with custom comparators,easy,or_qwen_plus,qwen/qwen3.7-plus,578,578,25,1,1294,4357,103,20,2,4,56,25,31,94,0,0,7,3,1,1,0.7,1.0,0.3,0.9166666666666666,1.0,0.703745,0.7023314285714285,0,0
syn_0929,syn_0929.dart,"search problems (binary search variants, kth element)",medium,or_glm,z-ai/glm-5.1,856,856,27,1,1245,6760,158,35,3,19,203,47,156,151,0,0,10,9,1,1,1.0,1.0,0.9,1.0,1.0,0.6970240000000001,0.6970240000000001,0,0
syn_0971,syn_0971.dart,"integer date and duration arithmetic (day indices, intervals, no DateTime)",easy,or_glm,z-ai/glm-5.1,729,729,18,1,1260,4930,116,21,2,5,112,29,83,109,0,0,9,1,1,1,0.9,1.0,0.1,0.5,1.0,0.680746,0.69171,0,0
syn_1025,syn_1025.dart,two-pointer and sliding-window techniques,easy,or_glm_turbo,z-ai/glm-5-turbo,801,801,23,1,1211,5005,118,26,2,10,119,34,85,111,0,0,10,7,1,1,1.0,1.0,0.7,1.0,1.0,0.666478,0.666478,0,0
syn_1106,syn_1106.dart,sorting and ordering with custom comparators,easy,or_glm_turbo,z-ai/glm-5-turbo,602,602,17,1,1537,6980,171,24,2,8,91,31,60,162,0,0,5,5,1,1,0.5,0.996031746031746,0.5,0.996031746031746,1.0,0.6345189999999999,0.67176,0,0
syn_1150,syn_1150.dart,Map/Set based frequency counting and grouping,easy,or_minimax,minimax/minimax-m3,671,671,20,1,1285,5136,121,20,2,4,82,24,58,114,0,0,10,3,1,1,1.0,1.0,0.3,0.9166666666666666,1.0,0.685774,0.685774,0,0
syn_1337,syn_1337.dart,"search problems (binary search variants, kth element)",easy,or_grok,x-ai/grok-4.3,777,777,25,1,1160,6176,138,37,3,21,200,53,147,131,0,0,10,9,1,1,1.0,1.0,0.9,1.0,1.0,0.472122,0.472122,0,0
syn_1395,syn_1395.dart,two-pointer and sliding-window techniques,easy,or_grok,x-ai/grok-4.3,685,685,19,1,1103,4361,102,22,2,6,93,29,64,95,0,0,7,1,1,1,0.7,1.0,0.1,0.5,1.0,0.6480520000000001,0.6457771428571428,0,0
syn_1666,syn_1666.dart,"integer date and duration arithmetic (day indices, intervals, no DateTime)",easy,az_gpt,gpt-chat-latest,547,547,17,1,1245,3243,76,14,1,0,55,19,36,69,0,0,9,1,1,1,0.9,1.0,0.1,0.5,1.0,0.678446,0.6935477777777778,0,0
