dimension,bin,rows,reference_length_min,reference_length_mean,reference_length_max,compile_at_1,compile_at_5,pass_at_1,pass_at_5,pass_at_10,tasks_with_any_compile,tasks_with_any_pass,any_compile_rate,any_pass_rate,mean_codebleu_all_candidates
reference_length,lt700,94,368,595.149,696,0.64893617,0.977119216,0.036170213,0.093380615,0.117021277,94,11,1.0,0.117021277,0.576737543
reference_length,700_999,83,701,818.024,996,0.577108434,0.962516734,0.046987952,0.081373111,0.096385542,83,8,1.0,0.096385542,0.584668289
reference_length,1000_1299,78,1000,1131.808,1296,0.48974359,0.918599919,0.0,0.0,0.0,76,0,0.974358974,0.0,0.592660808
reference_length,ge1300,88,1300,1625.591,2745,0.392045455,0.862012987,0.0,0.0,0.0,86,0,0.977272727,0.0,0.614411307
cfg_blocks,le16,33,368,624.727,1244,0.687878788,0.993506494,0.03030303,0.107022607,0.151515152,33,5,1.0,0.151515152,0.569833364
cfg_blocks,17_32,92,435,698.304,1672,0.62826087,0.976406142,0.042391304,0.097826087,0.119565217,92,11,1.0,0.119565217,0.589471043
cfg_blocks,33_64,119,548,1022.143,1855,0.51092437,0.941276511,0.020168067,0.025210084,0.025210084,118,3,0.991596639,0.025210084,0.589073496
cfg_blocks,ge65,99,843,1501.798,2745,0.407070707,0.854737855,0.0,0.0,0.0,96,0,0.96969697,0.0,0.605060121
parsed_instruction_count,le64,30,368,637.267,1244,0.656666667,0.988624339,0.03,0.101058201,0.133333333,30,4,1.0,0.133333333,0.578603933
parsed_instruction_count,65_128,71,460,724.62,1672,0.643661972,0.982114912,0.043661972,0.089201878,0.112676056,71,8,1.0,0.112676056,0.581632789
parsed_instruction_count,129_256,110,485,907.764,1699,0.560909091,0.947474747,0.03,0.056060606,0.063636364,109,7,0.990909091,0.063636364,0.589530264
parsed_instruction_count,ge257,132,724,1399.644,2745,0.412878788,0.876022126,0.0,0.0,0.0,129,0,0.977272727,0.0,0.602531515
difficulty,easy,135,368,666.659,1092,0.611851852,0.96734274,0.042222222,0.096531452,0.118518519,135,16,1.0,0.118518519,0.573015163
difficulty,hard,85,755,1453.6,2745,0.42,0.853594771,0.001176471,0.005882353,0.011764706,81,1,0.952941176,0.011764706,0.602752365
difficulty,medium,119,606,1140.378,2195,0.518487395,0.944277711,0.012605042,0.016806723,0.016806723,119,2,1.0,0.016806723,0.60591184
difficulty,rescued,4,514,1478.25,2293,0.4,0.932539683,0.0,0.0,0.0,4,0,1.0,0.0,0.585507
region_count_ceil_blocks_div_16,1,33,368,624.727,1244,0.687878788,0.993506494,0.03030303,0.107022607,0.151515152,33,5,1.0,0.151515152,0.569833364
region_count_ceil_blocks_div_16,2,92,435,698.304,1672,0.62826087,0.976406142,0.042391304,0.097826087,0.119565217,92,11,1.0,0.119565217,0.589471043
region_count_ceil_blocks_div_16,3,68,548,909.515,1617,0.576470588,0.955298786,0.035294118,0.044117647,0.044117647,68,3,1.0,0.044117647,0.590811176
region_count_ceil_blocks_div_16,4,51,784,1172.314,1855,0.423529412,0.922580143,0.0,0.0,0.0,50,0,0.980392157,0.0,0.586756588
region_count_ceil_blocks_div_16,5,36,843,1267.889,1870,0.491666667,0.930335097,0.0,0.0,0.0,36,0,1.0,0.0,0.604939
region_count_ceil_blocks_div_16,6,17,876,1447.882,2195,0.364705882,0.819327731,0.0,0.0,0.0,16,0,0.941176471,0.0,0.590634529
region_count_ceil_blocks_div_16,7,17,1155,1593.529,2147,0.264705882,0.738095238,0.0,0.0,0.0,16,0,0.941176471,0.0,0.598935824
region_count_ceil_blocks_div_16,8,11,1150,1425.545,1609,0.436363636,0.865800866,0.0,0.0,0.0,11,0,1.0,0.0,0.603641364
region_count_ceil_blocks_div_16,9,4,1498,1741.25,2017,0.425,0.923611111,0.0,0.0,0.0,4,0,1.0,0.0,0.59912925
region_count_ceil_blocks_div_16,10,6,1705,2003.0,2469,0.4,0.917328042,0.0,0.0,0.0,6,0,1.0,0.0,0.643705
region_count_ceil_blocks_div_16,11,2,1532,1540.0,1548,0.6,0.988095238,0.0,0.0,0.0,2,0,1.0,0.0,0.676299
region_count_ceil_blocks_div_16,12,4,2037,2381.75,2745,0.35,0.744047619,0.0,0.0,0.0,4,0,1.0,0.0,0.6405245
region_count_ceil_blocks_div_16,13,2,1785,2029.5,2274,0.2,0.488095238,0.0,0.0,0.0,1,0,0.5,0.0,0.543477
