label,compile_at_1,compile_at_5,compile_at_10,total_problems,cache_entries,skipped_existing,source
frontier_gpt_chat_latest,0.8662337662337668,0.9495464852607712,0.9545454545454546,154,784,False,results\compile154_jitpassharness\frontier_gpt_chat_latest_compile_at_k.json
frontier_sonnet5,0.47337662337662334,0.6365440115440116,0.6818181818181818,154,1240,False,results\compile154_jitpassharness\frontier_sonnet5_compile_at_k.json
frontier_deepseek_v4_pro,0.17727272727272733,0.5163626056483195,0.6753246753246753,154,1520,False,results\compile154_jitpassharness\frontier_deepseek_v4_pro_compile_at_k.json
frontier_glm_5_2,0.19545454545454552,0.36603277674706236,0.42857142857142855,154,1651,False,results\compile154_jitpassharness\frontier_glm_5_2_compile_at_k.json
binary_grpo,0.11688311688311691,0.40334467120181405,0.5909090909090909,154,3169,False,results\compile154_jitpassharness\binary_grpo_compile_at_k.json
rs_sft_allarms,0.1142857142857142,0.3755668934240363,0.551948051948052,154,4686,False,results\compile154_jitpassharness\rs_sft_allarms_compile_at_k.json
binary_rs_sft_ref,0.09025974025974014,0.3317357245928675,0.5064935064935064,154,6197,False,results\compile154_jitpassharness\binary_rs_sft_ref_compile_at_k.json
clean_g3,0.11493506493506493,0.42151102865388584,0.6298701298701299,154,7727,False,results\compile154_jitpassharness\clean_g3_compile_at_k.json
style_repair_ultralite,0.09025974025974016,0.34428468357039793,0.525974025974026,154,9253,False,results\compile154_jitpassharness\style_repair_ultralite_compile_at_k.json
g3_p128r,0.2240259740259742,0.6678262213976497,0.8571428571428571,154,10773,False,results\compile154_jitpassharness\g3_p128r_compile_at_k.json
style1036_sft,0.09415584415584405,0.33678622964337257,0.5064935064935064,154,12289,False,results\compile154_jitpassharness\style1036_sft_compile_at_k.json
cfg_only,0.11233766233766225,0.4072356215213358,0.6038961038961039,154,13822,False,results\compile154_jitpassharness\cfg_only_compile_at_k.json
simko_style_grpo,0.1662337662337663,0.5546279117707685,0.7792207792207793,154,15342,False,results\compile154_jitpassharness\simko_style_grpo_compile_at_k.json
graph_text,0.09999999999999991,0.36221913007627293,0.5584415584415584,154,16875,False,results\compile154_jitpassharness\graph_text_compile_at_k.json
base_reference,0.053896103896103865,0.2206503813646671,0.37012987012987014,154,18390,False,results\compile154_jitpassharness\base_reference_compile_at_k.json
null_graph,0.051948051948051896,0.22005772005772012,0.38311688311688313,154,19902,False,results\compile154_jitpassharness\null_graph_compile_at_k.json
text_only,0.04545454545454543,0.20183982683982687,0.34415584415584416,154,21430,False,results\compile154_jitpassharness\text_only_compile_at_k.json
p128_without_rms,0.01038961038961039,0.050505050505050504,0.09740259740259741,154,22967,False,results\compile154_jitpassharness\p128_without_rms_compile_at_k.json
