label,pass_at_1,pass_at_5,pass_at_10,total_problems,source,output
frontier_gpt_chat_latest,0.5525974025974024,0.6708668315811173,0.7012987012987013,154,Frontier_results\preds_azure_gpt_chat_latest_asm_results.txt,results\pass154_same_pools\frontier_gpt_chat_latest_pass_at_k.json
frontier_sonnet5,0.3058441558441559,0.4358122036693465,0.487012987012987,154,Frontier_results\preds_frontier_asm_sonnet5_results.txt,results\pass154_same_pools\frontier_sonnet5_pass_at_k.json
frontier_deepseek_v4_pro,0.08506493506493501,0.25610698824984546,0.35064935064935066,154,Frontier_results\preds_frontier_asm_deepseekvpro_results.txt,results\pass154_same_pools\frontier_deepseek_v4_pro_pass_at_k.json
frontier_glm_5_2,0.14610389610389612,0.2526025561739847,0.2857142857142857,154,Frontier_results\preds_frontier_asm_glm52_results.txt,results\pass154_same_pools\frontier_glm_5_2_pass_at_k.json
binary_grpo,0.040909090909090895,0.12804061018346735,0.18181818181818182,154,results-20260707\results\sweeps_antigravity\qwen3-8b-base_lora_enc_dec_r64_5e6_gcb_a128_x86_g3_binary_pk10_g32_grpo_grpo.json,results\pass154_same_pools\binary_grpo_pass_at_k.json
rs_sft_allarms,0.047402597402597405,0.12956091527520097,0.16883116883116883,154,results-20260707\results\sweeps_antigravity\qwen3-8b-base_lora_enc_dec_r64_5e6_gcb_a128_x86_g3_rs_sft_allarms.json,results\pass154_same_pools\rs_sft_allarms_pass_at_k.json
binary_rs_sft_ref,0.03571428571428571,0.11209029066171924,0.15584415584415584,154,results-20260707\results\sweeps_antigravity\qwen3-8b-base_lora_enc_dec_r64_5e6_gcb_a128_x86_g3_binary_rs_sft_ref.json,results\pass154_same_pools\binary_rs_sft_ref_pass_at_k.json
clean_g3,0.026623376623376615,0.09959286745001032,0.15584415584415584,154,results-20260707\results\sweeps_antigravity\qwen3-8b-base_lora_enc_dec_r64_5e6_gcb_a128_x86_g3_graphonly.json,results\pass154_same_pools\clean_g3_pass_at_k.json
style_repair_ultralite,0.024025974025974037,0.09178519892805609,0.14285714285714285,154,results-20260707\results\sweeps_antigravity\qwen3-8b-base_lora_enc_dec_r64_5e6_gcb_a128_x86_g3_style_repair_ultralite_pass_at_k.json,results\pass154_same_pools\style_repair_ultralite_pass_at_k.json
g3_p128r,0.02922077922077921,0.0878169449598021,0.13636363636363635,154,results-20260707\results\sweeps_antigravity\qwen3-8b-base_lora_enc_dec_r64_5e6_gcb_a128_x86_g3_p128r.json,results\pass154_same_pools\g3_p128r_pass_at_k.json
style1036_sft,0.032467532467532464,0.09722222222222222,0.13636363636363635,154,results-20260707\results\sweeps_antigravity\qwen3-8b-base_lora_enc_dec_r64_5e6_gcb_a128_x86_g3_style1036_sft.json,results\pass154_same_pools\style1036_sft_pass_at_k.json
cfg_only,0.02012987012987013,0.06707379921665636,0.11038961038961038,154,results-20260707\results\sweeps_antigravity\qwen3-8b-base_lora_enc_dec_r64_5e6_gcb_a128_x86_g2c_cfgonly.json,results\pass154_same_pools\cfg_only_pass_at_k.json
simko_style_grpo,0.022077922077922075,0.07160894660894661,0.11038961038961038,154,results-20260707\results\sweeps_antigravity\qwen3-8b-base_lora_enc_dec_r64_5e6_gcb_a128_x86_g3_simko_eval_grpo.json,results\pass154_same_pools\simko_style_grpo_pass_at_k.json
graph_text,0.022727272727272728,0.0690836940836941,0.09740259740259741,154,results-20260707\results\sweeps_antigravity\qwen3-8b-base_lora_enc_dec_r64_5e6_gcb_a128_x86_g2_graphtext.json,results\pass154_same_pools\graph_text_pass_at_k.json
base_reference,0.015584415584415584,0.05627705627705629,0.09090909090909091,154,results-20260707\results\sweeps_antigravity\qwen3-8b-base_lora_enc_dec_r64_5e6_gcb_a128_x86_ref_base.json,results\pass154_same_pools\base_reference_pass_at_k.json
null_graph,0.013636363636363637,0.04942279942279942,0.07792207792207792,154,results-20260707\results\sweeps_antigravity\qwen3-8b-base_lora_enc_dec_r64_5e6_gcb_a128_x86_g0_null.json,results\pass154_same_pools\null_graph_pass_at_k.json
text_only,0.005194805194805194,0.025974025974025976,0.05194805194805195,154,results-20260707\results\sweeps_antigravity\qwen3-8b-base_lora_enc_dec_r64_5e6_gcb_a128_x86_g1_textonly.json,results\pass154_same_pools\text_only_pass_at_k.json
p128_without_rms,0.0,0.0,0.0,154,results-20260707\results\sweeps_antigravity\qwen3-8b-base_lora_enc_dec_r64_5e6_gcb_a128_x86_g3_p128.json,results\pass154_same_pools\p128_without_rms_pass_at_k.json
