problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.37412,0,0,0.32072,0,0,0.39636,0,0,0.38147,0,0,0.504,0,0
1,dart,327,0.35483,0,0,0.37837,0,0,0.49911,0,0,0.57569,0,0,0.1277,0,0
2,dart,90,0.15674,0,0,0.30838,0,0,0.02146,0,0,0.2922,0,0,0.51911,0,0
3,dart,262,0.47809,1,1,0.45636,0,0,0.37978,0,0,0.34373,0,0,0.21643,0,0
4,dart,147,0.31333,0,0,0.44906,0,0,0.49334,0,0,0.53203,0,0,0.54882,1,1
5,dart,117,0.37492,0,0,0.3898,0,0,0.38569,0,0,0.49628,0,0,0.45034,1,1
6,dart,69,0.50894,0,0,0.39913,0,0,0.31801,0,0,0.46666,1,1,0.39918,0,0
7,dart,152,0.33426,0,0,0.31539,1,0,0.39963,1,1,0.38344,0,0,0.375,0,0
8,dart,197,0.38217,0,0,0.34995,0,0,0.29506,0,0,0.32319,0,0,0.57228,1,1
9,dart,963,0.64569,0,0,0.46183,0,0,0.55961,0,0,0.43155,0,0,0.48671,0,0
10,dart,91,0.02855,0,0,0.31097,0,0,0.31737,0,0,0.30408,0,0,0.58107,0,0
11,dart,271,0.61388,0,0,0.59162,0,0,0.5494,0,0,0.50987,1,1,0.43196,0,0
12,dart,275,0.35476,0,0,0.34815,0,0,0.54196,0,0,0.46717,1,1,0.51174,0,0
13,dart,229,0.30959,0,0,0.45235,0,0,0.521,1,0,0.33509,0,0,0.29599,0,0
14,dart,250,0.61384,0,0,0.32411,0,0,0.43819,0,0,0.58148,0,0,0.5992,0,0
15,dart,252,0.31952,0,0,0.2849,0,0,0.75,1,1,0.30731,0,0,0.49369,0,0
16,dart,1164,0.59493,0,0,0.49369,0,0,0.51273,0,0,0.5,1,0,0.38435,0,0
17,dart,88,0.03943,0,0,0.35021,0,0,0.0427,0,0,0.44661,0,0,0.66239,0,0
18,dart,123,0.3937,0,0,0.37776,0,0,0.29187,0,0,0.3035,0,0,0.29967,0,0
19,dart,71,0.9013,1,1,0.61675,0,0,0.31005,0,0,0.44842,0,0,0.33744,0,0
20,dart,88,0.38507,0,0,0.01914,0,0,0.4588,1,1,0.2784,0,0,0.28485,0,0
21,dart,88,0.52968,1,1,0.3397,0,0,0.40419,0,0,0.27777,0,0,0.46493,0,0
22,dart,78,0.43918,0,0,0.756,1,1,0.42098,0,0,0.30053,0,0,0.39563,0,0
23,dart,220,0.31756,0,0,0.69953,1,1,0.25,0,0,0.45063,0,0,0.36587,0,0
24,dart,132,0.44715,0,0,0.3775,0,0,0.64801,0,0,0.09441,0,0,0.34119,0,0
25,dart,559,0.68214,1,1,0.46356,0,0,0.4718,0,0,0.53699,0,0,0.67578,1,0
26,dart,67,0.469,0,0,0.39443,0,0,0.3428,0,0,0.42798,0,0,0.50198,1,1
27,dart,988,0.54683,0,0,0.425,0,0,0.60718,0,0,0.58688,0,0,0.45,0,0
28,dart,78,0.39153,0,0,0.34764,0,0,0.37887,0,0,0.30274,0,0,0.75709,1,1
29,dart,402,0.39235,0,0,0.44229,0,0,0.53636,0,0,0.49049,0,0,0.40189,0,0
30,dart,88,0.33168,0,0,0.43388,0,0,0.29651,0,0,0.10189,0,0,0.3802,0,0
31,dart,85,0.47604,0,0,0.36596,0,0,0.42852,0,0,0.50726,0,0,0.33038,0,0
32,dart,255,0.73307,1,1,0.74098,1,1,0.25,0,0,0.63853,0,0,0.58118,0,0
33,dart,246,0.40476,0,0,0.41647,0,0,0.70833,1,1,0.59524,1,1,0.18166,0,0
34,dart,381,0.73337,0,0,0.52507,0,0,0.35189,0,0,0.59291,0,0,0.40304,0,0
35,dart,166,0.32892,0,0,0.30801,0,0,0.33202,0,0,0.37023,0,0,0.33801,0,0
36,dart,324,0.33268,0,0,0.53861,0,0,0.14165,0,0,0.16201,0,0,0.34201,0,0
37,dart,82,0.27369,0,0,0.46084,1,1,0.35002,0,0,0.41546,0,0,0.29435,0,0
38,dart,76,0.58184,0,0,0.7483,0,0,0.71633,0,0,0.35722,0,0,0.4223,0,0
39,dart,76,0.37397,0,0,0.58381,0,0,0.5634,0,0,0.71633,0,0,0.29896,0,0
40,dart,69,0.41078,0,0,0.4055,0,0,0.28023,0,0,0.28909,0,0,0.32887,0,0
41,dart,708,0.39797,0,0,0.45574,0,0,0.55044,0,0,0.48261,0,0,0.52794,0,0
42,dart,200,0.34805,0,0,0.476,0,0,0.53496,1,1,0.49062,1,1,0.42131,0,0
43,dart,942,0.4899,0,0,0.37525,0,0,0.37917,0,0,0.46129,0,0,0.35328,0,0
44,dart,287,0.49601,0,0,0.4933,0,0,0.48765,1,1,0.42579,0,0,0.42255,0,0
45,dart,965,0.5152,0,0,0.58766,1,1,0.5848,0,0,0.41428,0,0,0.50104,0,0
