problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.28054,0,0,0.51117,0,0,0.31144,0,0,0.29644,0,0,0.25,0,0
1,dart,327,0.65941,0,0,0.50631,0,0,0.66396,1,1,0.34074,0,0,0.56184,0,0
2,dart,90,0.25,0,0,0.291,0,0,0.29288,0,0,0.40414,0,0,0.29908,0,0
3,dart,262,0.33401,0,0,0.37455,0,0,0.68642,0,0,0.37677,0,0,0.44118,0,0
4,dart,147,0.56436,1,1,0.36781,0,0,0.43056,0,0,0.67686,1,1,0.07246,0,0
5,dart,117,0.40047,0,0,0.25,0,0,0.36769,0,0,0.3561,0,0,0.34741,0,0
6,dart,69,0.25,0,0,0.88278,1,1,0.31204,0,0,0.40306,0,0,0.30917,0,0
7,dart,152,0.49946,0,0,0.2863,0,0,0.34315,0,0,0.5137,0,0,0.29627,0,0
8,dart,197,0.30836,0,0,0.34588,0,0,0.26276,0,0,0.39932,0,0,0.34735,0,0
9,dart,963,0.18018,0,0,0.69048,0,0,0.31859,0,0,0.56052,0,0,0.28913,0,0
10,dart,91,0.54926,0,0,0.28796,0,0,0.4822,0,0,0.32342,0,0,0.70284,1,1
11,dart,271,0.51583,0,0,0.56987,0,0,0.43861,0,0,0.48593,0,0,0.31997,0,0
12,dart,275,0.3022,0,0,0.57028,0,0,0.35399,0,0,0.36305,0,0,0.47153,0,0
13,dart,229,0.34308,0,0,0.58891,1,1,0.51231,0,0,0.35615,0,0,0.28363,0,0
14,dart,250,0.05749,0,0,0.56279,0,0,0.3316,0,0,0.27621,0,0,0.15464,0,0
15,dart,252,0.4723,0,0,0.75,1,1,0.38947,0,0,0.52795,0,0,0.31039,0,0
16,dart,1164,0.52354,0,0,0.54698,1,1,0.35882,0,0,0.571,0,0,0.36252,0,0
17,dart,88,0.30915,0,0,0.29547,0,0,0.33473,0,0,0.37112,0,0,0.27056,0,0
18,dart,123,0.31511,0,0,0.44732,0,0,0.30414,0,0,0.29081,0,0,0.38236,0,0
19,dart,71,0.87134,1,1,0.34368,0,0,0.28429,0,0,0.27056,0,0,0.30561,0,0
20,dart,88,0.32837,0,0,0.03067,0,0,0.31003,0,0,0.32791,0,0,0.2805,0,0
21,dart,88,0.38031,0,0,0.49946,0,0,0.29263,0,0,0.32419,0,0,0.51866,0,0
22,dart,78,0.26441,0,0,0.3266,0,0,0.43375,0,0,0.51694,0,0,0.32765,0,0
23,dart,220,0.4375,0,0,0.25,0,0,0.27385,0,0,0.48808,0,0,0.44927,0,0
24,dart,132,0.55628,0,0,0.67955,1,1,0.28411,0,0,0.25,0,0,0.48192,0,0
25,dart,559,0.70538,1,1,0.32276,0,0,0.5164,0,0,0.72666,1,1,0.67628,1,1
26,dart,67,0.31913,0,0,0.32923,0,0,0.4317,1,1,0.27125,0,0,0.33106,0,0
27,dart,988,0.66872,1,1,0.32042,0,0,0.50453,0,0,0.62473,0,0,0.64343,0,0
