problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.48389,0,0,0.75001,1,1,0.45939,0,0,0.50949,0,0,0.42916,0,0
1,dart,327,0.54194,0,0,0.5939,0,0,0.65189,0,0,0.64498,0,0,0.45101,0,0
2,dart,90,0.11518,0,0,0.39883,0,0,0.38179,0,0,0.29301,0,0,0.33597,0,0
3,dart,262,0.48505,0,0,0.75,1,1,0.52999,1,1,0.53751,1,1,0.42152,0,0
4,dart,147,0.53384,1,1,0.32365,0,0,0.37126,0,0,0.50728,0,0,0.337,0,0
5,dart,117,0.48814,0,0,0.68983,1,1,0.69928,0,0,0.6478,1,1,0.5035,0,0
6,dart,69,0.68653,1,1,0.78436,0,0,0.40416,1,1,0.43394,1,1,0.686,0,0
7,dart,152,0.35728,0,0,0.58696,0,0,0.51891,1,1,0.1591,0,0,0.50048,1,1
8,dart,197,0.44769,0,0,0.52565,0,0,0.36201,0,0,0.69046,1,1,0.35602,0,0
9,dart,963,0.36949,0,0,0.60045,0,0,0.57771,0,0,0.63138,1,1,0.67872,1,1
10,dart,91,0.64156,1,1,0.58311,1,1,0.54999,0,0,0.51105,1,0,0.31134,0,0
11,dart,271,0.6,0,0,0.73437,0,0,0.55489,0,0,0.74706,1,0,0.50866,0,0
12,dart,275,0.57948,0,0,0.4023,0,0,0.47846,0,0,0.64279,1,1,0.65574,1,1
13,dart,229,0.56508,0,0,0.40944,0,0,0.58667,0,0,0.67586,1,1,0.35824,0,0
14,dart,250,0.7741,1,1,0.57298,0,0,0.75237,1,0,0.69695,0,0,0.48866,0,0
15,dart,252,0.65025,1,1,0.63663,0,0,0.41483,0,0,0.35242,0,0,0.56277,0,0
16,dart,1164,0.56993,0,0,0.53325,1,0,0.63297,1,1,0.48823,0,0,0.63331,0,0
17,dart,88,0.71437,1,1,0.43457,0,0,0.71437,1,1,0.75838,1,1,0.37457,0,0
18,dart,123,0.34527,0,0,0.51929,0,0,0.47505,0,0,0.29462,0,0,0.34934,0,0
19,dart,71,0.42175,1,1,0.5622,1,1,0.53961,0,0,0.77395,1,0,0.40466,0,0
20,dart,88,0.35231,0,0,0.4354,0,0,0.59979,1,1,0.33864,0,0,0.70172,1,1
21,dart,88,0.32306,0,0,0.36123,0,0,0.35046,0,0,0.32724,0,0,0.33492,0,0
22,dart,78,0.6643,1,1,0.44828,0,0,0.78389,1,1,0.5066,0,0,0.42227,1,1
23,dart,220,0.70772,0,0,0.72893,0,0,0.66306,0,0,0.54748,0,0,0.6671,1,1
24,dart,132,0.48542,0,0,0.45928,0,0,0.45287,0,0,0.54217,0,0,0.55085,1,1
25,dart,559,0.53511,0,0,0.09964,0,0,0.50011,0,0,0.44948,0,0,0.56217,0,0
26,dart,67,0.27505,0,0,0.3529,0,0,0.27157,0,0,0.27203,0,0,0.5847,0,0
27,dart,988,0.60896,0,0,0.38242,0,0,0.69505,1,1,0.4547,0,0,0.65878,0,0
28,dart,78,0.5984,0,0,0.52521,1,1,0.48432,0,0,0.60756,1,1,0.30353,0,0
29,dart,402,0.46376,0,0,0.47084,0,0,0.62296,0,0,0.63712,0,0,0.5431,0,0
30,dart,88,0.54107,1,1,0.54014,1,1,0.41692,0,0,0.59299,1,1,0.59299,1,1
31,dart,85,0.27489,0,0,0.46011,1,1,0.28357,0,0,0.40506,1,1,0.32751,0,0
32,dart,255,0.64923,1,1,0.64923,1,1,0.60765,0,0,0.6307,1,1,0.34315,0,0
33,dart,246,0.54356,1,1,0.51593,0,0,0.65533,1,1,0.50818,0,0,0.56128,0,0
34,dart,381,0.46076,0,0,0.59611,0,0,0.51821,0,0,0.7267,1,1,0.4552,0,0
35,dart,166,0.34638,0,0,0.35639,0,0,0.28568,0,0,0.32355,0,0,0.29061,0,0
36,dart,324,0.40889,0,0,0.54906,0,0,0.2884,0,0,0.60121,0,0,0.61551,0,0
37,dart,82,0.49968,0,0,0.53753,1,1,0.33333,1,0,0.54411,0,0,0.49232,0,0
38,dart,76,0.62242,0,0,0.56392,0,0,0.375,1,0,0.58681,0,0,0.71314,0,0
39,dart,76,0.75579,0,0,0.73339,1,1,0.38345,0,0,0.7066,0,0,0.39277,0,0
40,dart,69,0.64816,1,1,0.67678,0,0,0.50059,0,0,0.50747,0,0,0.36938,0,0
41,dart,708,0.592,0,0,0.56141,0,0,0.52856,0,0,0.59307,0,0,0.48587,0,0
42,dart,200,0.38031,0,0,0.58609,1,1,0.71515,1,1,0.71515,1,1,0.37245,0,0
43,dart,942,0.53907,1,1,0.52099,0,0,0.419,0,0,0.47276,0,0,0.42519,0,0
44,dart,287,0.38903,0,0,0.39286,0,0,0.61949,0,0,0.49674,0,0,0.08544,0,0
45,dart,965,0.60132,1,1,0.6625,0,0,0.5154,0,0,0.60529,1,1,0.63294,1,1
