problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.37249,0,0,0.4624,0,0,0.52371,0,0,0.33475,0,0,0.69177,1,1
1,dart,327,0.43038,0,0,0.43646,0,0,0.48609,0,0,0.47367,0,0,0.64368,0,0
2,dart,90,0.3192,0,0,0.37581,0,0,0.31917,0,0,0.54682,1,1,0.3533,0,0
3,dart,262,0.45845,1,1,0.38428,0,0,0.47599,0,0,0.53749,0,0,0.6726,0,0
4,dart,147,0.37077,0,0,0.36031,0,0,0.55969,1,1,0.39377,0,0,0.32722,0,0
5,dart,117,0.32262,0,0,0.34375,0,0,0.46026,1,1,0.3071,0,0,0.40987,0,0
6,dart,69,0.3638,0,0,0.30019,0,0,0.30008,0,0,0.33033,0,0,0.3412,0,0
7,dart,152,0.35988,0,0,0.28856,0,0,0.44666,1,1,0.03619,0,0,0.32476,0,0
8,dart,197,0.07734,0,0,0.52642,1,1,0.32991,0,0,0.06159,0,0,0.5292,0,0
9,dart,963,0.58611,1,1,0.60632,0,0,0.59339,0,0,0.31667,0,0,0.44683,0,0
10,dart,91,0.33737,0,0,0.72031,1,1,0.68744,0,0,0.56223,0,0,0.54741,0,0
11,dart,271,0.53451,0,0,0.36302,0,0,0.37046,0,0,0.644,1,1,0.35,1,0
12,dart,275,0.52956,0,0,0.5098,1,1,0.49797,1,1,0.37505,0,0,0.41082,0,0
13,dart,229,0.39593,0,0,0.40477,0,0,0.30514,0,0,0.54355,0,0,0.57266,1,1
14,dart,250,0.42381,0,0,0.39879,0,0,0.40058,0,0,0.38753,0,0,0.5,0,0
15,dart,252,0.4868,0,0,0.44609,0,0,0.13762,0,0,0.26294,0,0,0.45386,0,0
16,dart,1164,0.16028,0,0,0.54877,0,0,0.46944,0,0,0.3881,0,0,0.3881,0,0
17,dart,88,0.37714,0,0,0.44256,0,0,0.68261,0,0,0.33333,0,0,0.40021,1,1
18,dart,123,0.44733,1,1,0.02475,0,0,0.42991,0,0,0.39082,0,0,0.68656,1,1
19,dart,71,0.39821,0,0,0.61251,1,0,0.30239,0,0,0.36954,0,0,0.2754,0,0
20,dart,88,0.3,0,0,0.06134,0,0,0.3818,0,0,0.42972,0,0,0.25928,0,0
21,dart,88,0.34712,0,0,0.37274,0,0,0.45759,0,0,0.38854,0,0,0.32543,0,0
22,dart,78,0.48276,1,1,0.36495,0,0,0.32138,0,0,0.37095,0,0,0.33936,0,0
23,dart,220,0.38836,0,0,0.42519,1,0,0.18514,0,0,0.35359,0,0,0.47078,0,0
24,dart,132,0.34832,0,0,0.49481,0,0,0.51244,1,0,0.20536,0,0,0.52107,0,0
25,dart,559,0.39872,0,0,0.46395,0,0,0.32424,0,0,0.30312,0,0,0.2911,0,0
26,dart,67,0.30343,0,0,0.44378,0,0,0.39499,0,0,0.32056,0,0,0.39151,0,0
27,dart,988,0.34375,0,0,0.51364,0,0,0.59371,0,0,0.53731,0,0,0.6114,0,0
28,dart,78,0.29702,0,0,0.54592,0,0,0.38162,0,0,0.2949,0,0,0.34123,0,0
29,dart,402,0.43278,0,0,0.42399,0,0,0.12937,0,0,0.43363,0,0,0.49267,1,0
30,dart,88,0.42484,0,0,0.36355,0,0,0.34147,0,0,0.25,0,0,0.3227,0,0
31,dart,85,0.05362,0,0,0.27272,0,0,0.36951,0,0,0.28466,0,0,0.32746,0,0
32,dart,255,0.48792,0,0,0.63646,1,1,0.54336,0,0,0.35112,0,0,0.56454,0,0
33,dart,246,0.46399,0,0,0.49304,0,0,0.29758,0,0,0.40223,0,0,0.21538,0,0
34,dart,381,0.41756,0,0,0.44453,0,0,0.49132,0,0,0.40285,0,0,0.31504,0,0
35,dart,166,0.35202,1,1,0.03763,0,0,0.29319,0,0,0.29443,0,0,0.28716,0,0
36,dart,324,0.34431,0,0,0.33842,0,0,0.41648,0,0,0.40135,0,0,0.30117,0,0
37,dart,82,0.39832,0,0,0.39474,0,0,0.40155,0,0,0.37012,0,0,0.40683,0,0
38,dart,76,0.71633,0,0,0.28846,0,0,0.4383,0,0,0.27947,0,0,0.71633,0,0
39,dart,76,0.34623,0,0,0.37817,1,1,0.35514,0,0,0.27537,0,0,0.56134,1,1
40,dart,69,0.35397,0,0,0.29828,0,0,0.56945,0,0,0.49646,0,0,0.30554,0,0
41,dart,708,0.49794,0,0,0.63023,0,0,0.25,0,0,0.56837,0,0,0.59114,0,0
42,dart,200,0.42968,0,0,0.47175,0,0,0.42112,1,0,0.48511,0,0,0.38412,0,0
43,dart,942,0.34268,0,0,0.54167,1,1,0.345,0,0,0.49399,0,0,0.18674,0,0
44,dart,287,0.09335,0,0,0.40996,0,0,0.49263,0,0,0.69823,1,1,0.29975,0,0
45,dart,965,0.53593,0,0,0.41057,0,0,0.48319,0,0,0.50533,0,0,0.47353,0,0
46,dart,104,0.08384,0,0,0.06965,0,0,0.09685,1,1,0.04641,0,0,0.1022,0,0
47,dart,345,0.55188,0,0,0.5181,0,0,0.56546,0,0,0.48822,1,1,0.57564,1,1
48,dart,2546,0.42005,0,0,0.65285,0,0,0.50797,0,0,0.49528,0,0,0.52976,0,0
49,dart,329,0.42916,0,0,0.47916,0,0,0.28201,0,0,0.4049,0,0,0.5,0,0
50,dart,80,0.34957,0,0,0.37633,0,0,0.33586,0,0,0.30371,0,0,0.42089,1,1
51,dart,439,0.46027,0,0,0.58333,0,0,0.11034,0,0,0.42563,0,0,0.40633,0,0
52,dart,1353,0.52389,0,0,0.52939,0,0,0.56942,0,0,0.13934,0,0,0.24118,0,0
53,dart,219,0.75678,0,0,0.67337,0,0,0.46917,0,0,0.31837,0,0,0.47398,0,0
54,dart,237,0.4259,0,0,0.3507,0,0,0.52707,0,0,0.47846,0,0,0.69166,0,0
55,dart,1486,0.53569,0,0,0.5073,0,0,0.52062,0,0,0.50057,0,0,0.60366,0,0
56,dart,1112,0.36539,0,0,0.52377,0,0,0.51102,0,0,0.56655,0,0,0.51636,0,0
57,dart,493,0.46645,0,0,0.39888,0,0,0.4287,0,0,0.44598,0,0,0.33137,0,0
58,dart,780,0.38068,0,0,0.5081,0,0,0.51344,0,0,0.51617,0,0,0.41756,0,0
59,dart,214,0.33752,0,0,0.40208,0,0,0.37665,0,0,0.32898,0,0,0.39526,0,0
60,dart,730,0.61062,0,0,0.44167,0,0,0.62676,0,0,0.62326,0,0,0.61118,0,0
