problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.64198,0,0,0.52593,0,0,0.64702,0,0,0.60314,0,0,0.57803,0,0,0.69837,0,0,0.54027,0,0,0.70589,0,0,0.70059,0,0,0.61939,0,0
1,dart,1184,0.12315,0,0,0.59157,0,0,0.27813,0,0,0.39586,0,0,0.31496,0,0,0.56042,0,0,0.64145,0,0,0.52163,0,0,0.56684,0,0,0.54173,0,0
2,dart,301,0.43208,0,0,0.6567,1,0,0.61946,0,0,0.70209,1,0,0.49799,0,0,0.6567,1,0,0.44794,0,0,0.65004,0,0,0.6567,1,0,0.64951,0,0
3,dart,471,0.75594,0,0,0.56616,0,0,0.64954,1,0,0.5781,0,0,0.52218,0,0,0.48579,0,0,0.75412,1,1,0.6415,1,0,0.50482,0,0,0.63862,0,0
4,dart,611,0.61141,0,0,0.27479,0,0,0.54029,0,0,0.63651,1,0,0.59509,0,0,0.46188,0,0,0.45421,0,0,0.60998,0,0,0.63335,1,1,0.56376,0,0
5,dart,564,0.39796,0,0,0.74328,0,0,0.67936,0,0,0.79498,1,1,0.76809,0,0,0.38889,0,0,0.75694,0,0,0.33989,0,0,0.79843,1,1,0.54735,0,0
6,dart,852,0.21998,0,0,0.52438,0,0,0.6631,0,0,0.5953,0,0,0.51782,0,0,0.61975,0,0,0.57769,0,0,0.33259,0,0,0.54905,0,0,0.35452,0,0
7,dart,547,0.73046,1,1,0.4,0,0,0.21731,0,0,0.5,0,0,0.54945,0,0,0.48204,0,0,0.64147,0,0,0.73046,1,1,0.61343,0,0,0.33275,0,0
8,dart,598,0.37653,0,0,0.73333,0,0,0.54748,0,0,0.66667,0,0,0.65853,0,0,0.42373,0,0,0.71246,0,0,0.53565,0,0,0.59555,0,0,0.59361,0,0
9,dart,807,0.36447,0,0,0.52602,0,0,0.58555,0,0,0.39513,0,0,0.61578,0,0,0.68241,0,0,0.55752,0,0,0.55369,0,0,0.6318,0,0,0.66032,0,0
10,dart,798,0.28686,0,0,0.55376,0,0,0.6772,0,0,0.67391,0,0,0.58408,0,0,0.53976,0,0,0.65758,0,0,0.52939,0,0,0.62386,0,0,0.66226,0,0
11,dart,629,0.58365,0,0,0.61142,1,1,0.60868,0,0,0.70924,0,0,0.53388,0,0,0.64016,0,0,0.5567,0,0,0.66219,1,1,0.57033,0,0,0.57763,0,0
12,dart,534,0.64148,0,0,0.59441,0,0,0.25,0,0,0.59874,0,0,0.62391,0,0,0.5984,1,0,0.72389,1,1,0.61452,0,0,0.61403,0,0,0.64621,0,0
13,dart,491,0.60962,0,0,0.50708,0,0,0.74573,0,0,0.49253,0,0,0.57124,0,0,0.62762,0,0,0.50913,0,0,0.53588,0,0,0.69953,0,0,0.60433,0,0
14,dart,381,0.62474,0,0,0.22504,0,0,0.61811,0,0,0.49502,0,0,0.49016,0,0,0.18956,0,0,0.45527,0,0,0.65376,0,0,0.57428,0,0,0.71642,1,0
15,dart,542,0.44818,0,0,0.49576,0,0,0.48853,0,0,0.54645,0,0,0.66077,0,0,0.48641,0,0,0.48321,0,0,0.51868,0,0,0.52508,0,0,0.46227,1,0
16,dart,319,0.52318,0,1,0.38563,0,0,0.40117,0,0,0.47499,0,0,0.37533,0,0,0.38007,0,0,0.51227,1,0,0.56847,0,0,0.58607,0,0,0.47608,0,0
17,dart,636,0.62193,0,0,0.48742,0,0,0.52915,0,0,0.50292,0,0,0.36189,0,0,0.65539,0,0,0.2078,0,0,0.49737,0,0,0.26096,0,0,0.44916,0,0
18,dart,486,0.53122,0,0,0.5692,0,0,0.59338,0,0,0.64875,0,0,0.63647,0,0,0.59497,0,0,0.63858,0,0,0.58476,0,0,0.59623,0,0,0.54801,0,0
19,dart,702,0.49214,0,0,0.58574,0,0,0.46797,0,0,0.63985,0,0,0.61607,0,0,0.54149,0,0,0.59816,0,0,0.39674,0,0,0.48445,0,0,0.52553,0,0
20,dart,1013,0.60219,0,0,0.62706,0,0,0.49901,0,0,0.52481,0,0,0.65528,0,0,0.34849,0,0,0.65754,0,0,0.6145,0,0,0.63914,0,0,0.59725,0,0
21,dart,701,0.56986,0,0,0.49972,0,0,0.56296,0,0,0.42275,0,0,0.57895,0,0,0.50464,0,0,0.54715,0,0,0.53918,0,0,0.53801,1,0,0.54498,0,0
22,dart,917,0.55994,0,0,0.68375,0,0,0.48762,0,0,0.40476,0,0,0.46497,0,0,0.73651,1,1,0.58275,0,0,0.75002,1,1,0.65696,0,1,0.56204,0,0
24,dart,420,0.49869,0,0,0.41983,0,0,0.64218,0,0,0.52823,0,0,0.562,0,0,0.5,1,0,0.29695,0,0,0.60278,0,0,0.37194,0,0,0.60982,0,0
26,dart,565,0.60864,0,0,0.62812,0,0,0.57824,0,0,0.67803,1,0,0.53242,0,0,0.54516,0,0,0.56101,0,0,0.65,0,0,0.50184,0,0,0.63944,1,0
27,dart,753,0.59632,0,0,0.59589,0,0,0.55397,0,0,0.34936,0,0,0.5106,0,0,0.31603,0,0,0.6498,0,0,0.59855,0,0,0.56753,0,0,0.51588,0,0
28,dart,373,0.75068,1,1,0.5,0,0,0.75068,1,1,0.46185,1,0,0.75029,1,1,0.40476,0,0,0.57861,1,1,0.51748,0,0,0.04933,0,0,0.65559,0,0
29,dart,671,0.49766,0,0,0.52785,0,0,0.16436,0,0,0.40941,0,0,0.29822,0,0,0.71997,0,0,0.46922,0,0,0.70865,0,0,0.66916,0,1,0.63898,0,0
30,dart,329,0.67275,0,0,0.52741,1,0,0.40948,0,0,0.8194,1,0,0.48419,0,0,0.7495,1,1,0.58333,0,0,0.425,0,0,0.46464,0,0,0.33394,0,0
31,dart,502,0.4719,0,0,0.60824,0,0,0.25823,0,0,0.34858,0,0,0.60085,0,0,0.6948,0,1,0.42836,0,0,0.36448,0,0,0.70473,0,0,0.54233,0,0
33,dart,616,0.37251,0,0,0.30259,0,0,0.59807,0,0,0.71053,1,0,0.4758,0,0,0.51451,0,0,0.6967,0,0,0.22437,0,0,0.61926,0,0,0.65552,0,0
34,dart,643,0.43861,0,0,0.53002,0,0,0.5394,0,0,0.59302,1,0,0.69358,0,0,0.55296,0,0,0.5781,0,0,0.5357,0,0,0.62533,0,0,0.56952,0,0
35,dart,346,0.6105,0,0,0.66931,1,1,0.61228,0,0,0.53379,0,0,0.66665,1,1,0.4681,0,0,0.17011,0,0,0.45062,0,0,0.63678,0,1,0.55365,0,0
36,dart,448,0.6884,0,0,0.51972,0,0,0.67367,1,0,0.59158,0,0,0.40152,0,0,0.63899,0,0,0.33919,0,0,0.09285,0,0,0.48611,0,0,0.61027,0,0
37,dart,579,0.648,0,0,0.65083,0,0,0.58636,0,0,0.64199,0,0,0.70938,1,0,0.55844,0,0,0.29917,0,0,0.68207,0,0,0.59185,0,0,0.64335,1,0
39,dart,664,0.52774,0,0,0.60673,0,0,0.56818,0,0,0.54028,0,0,0.5849,0,0,0.57519,0,0,0.29244,0,0,0.59166,0,0,0.37539,0,0,0.64364,0,0
40,dart,607,0.57481,0,0,0.66001,0,0,0.29196,0,0,0.5923,0,0,0.63994,0,0,0.41362,0,0,0.72727,0,0,0.54342,1,0,0.47105,0,0,0.18118,0,0
41,dart,422,0.6146,0,0,0.51778,0,0,0.44858,0,0,0.37002,0,0,0.60563,0,0,0.5,0,0,0.34911,0,0,0.68399,0,0,0.50125,0,0,0.57631,0,1
42,dart,235,0.47107,0,0,0.64158,1,1,0.67336,0,0,0.58059,0,1,0.37771,0,0,0.64158,1,1,0.59114,0,0,0.58818,0,0,0.55227,0,0,0.50689,0,0
43,dart,528,0.62506,1,1,0.56667,1,0,0.43629,0,0,0.50418,0,0,0.55396,0,0,0.61026,0,0,0.58301,0,0,0.52445,0,0,0.4578,0,0,0.66299,1,0
44,dart,347,0.60322,1,0,0.21537,0,0,0.51025,0,0,0.53299,0,0,0.52815,0,0,0.46734,0,0,0.54427,0,0,0.59484,0,0,0.73887,0,0,0.43656,0,0
45,dart,292,0.71942,1,1,0.59689,0,0,0.73879,1,1,0.55056,0,0,0.42865,0,0,0.68949,1,1,0.25,0,0,0.63727,0,1,0.56725,0,0,0.40597,0,0
46,dart,657,0.41647,0,0,0.60876,0,0,0.26736,0,0,0.59178,0,0,0.62533,0,0,0.51816,0,0,0.60943,0,0,0.61757,1,0,0.37915,0,0,0.158,0,0
47,dart,429,0.3547,0,0,0.39375,0,0,0.37704,0,0,0.56688,0,0,0.53576,0,0,0.57056,0,0,0.60358,0,0,0.50834,0,0,0.64089,0,0,0.52841,0,0
