problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.51062,0,0,0.54474,0,0,0.704,0,0,0.51523,0,0,0.59664,0,0,0.40774,0,0,0.41924,0,0,0.5204,0,0,0.40107,0,0,0.67349,0,1
1,dart,1184,0.59717,0,0,0.69026,0,0,0.52424,0,0,0.61195,0,0,0.59575,0,0,0.58151,0,0,0.71154,1,0,0.51821,0,0,0.53113,0,0,0.29947,0,0
2,dart,301,0.7538,0,0,0.38248,0,0,0.57935,0,0,0.55407,0,0,0.56094,0,0,0.56134,0,0,0.48571,0,0,0.61974,0,0,0.54909,0,0,0.58033,0,0
3,dart,471,0.75456,0,0,0.63501,0,0,0.6642,0,0,0.67415,0,0,0.74934,0,0,0.73911,1,0,0.66601,0,0,0.6057,0,0,0.75267,0,0,0.74313,0,0
4,dart,611,0.52288,0,0,0.54168,0,0,0.5894,0,0,0.13102,0,0,0.53079,0,0,0.5457,0,0,0.52712,0,0,0.5714,0,0,0.28864,0,0,0.53174,0,0
5,dart,564,0.59111,0,0,0.64206,0,0,0.60637,0,0,0.78052,1,1,0.6993,0,0,0.55589,0,0,0.68316,0,0,0.7155,0,0,0.68933,0,0,0.61579,0,0
6,dart,852,0.62928,0,0,0.50583,0,0,0.57787,0,0,0.64511,0,0,0.63293,0,0,0.58431,0,0,0.62674,0,0,0.6022,0,0,0.59952,0,0,0.62806,0,0
7,dart,547,0.50707,0,0,0.64002,0,1,0.65177,0,0,0.57653,0,0,0.6171,0,0,0.59225,0,0,0.50909,0,0,0.66216,0,0,0.54165,0,0,0.6811,0,1
8,dart,598,0.43414,0,0,0.27528,0,0,0.46682,0,0,0.49608,0,0,0.61005,0,0,0.49932,0,0,0.6713,0,0,0.51344,0,0,0.52977,0,0,0.5872,0,0
9,dart,807,0.60803,0,0,0.52486,0,0,0.59382,0,0,0.7446,0,0,0.70362,0,0,0.69952,0,0,0.66872,0,0,0.6626,0,0,0.67865,0,1,0.62744,0,1
10,dart,798,0.52439,0,0,0.47537,0,0,0.59291,0,0,0.55556,0,0,0.75003,0,0,0.48952,0,0,0.57685,0,0,0.51634,0,0,0.6092,0,0,0.48414,0,0
11,dart,629,0.70459,0,0,0.48482,0,0,0.58301,0,0,0.67324,0,0,0.58226,0,0,0.51075,0,0,0.63,1,0,0.6659,0,0,0.7079,0,0,0.56433,0,0
12,dart,534,0.71179,0,0,0.5186,0,0,0.6652,0,0,0.66192,0,0,0.54459,0,0,0.37169,0,0,0.58513,0,0,0.62458,0,0,0.75032,1,0,0.68507,1,0
13,dart,491,0.65371,0,0,0.69455,0,0,0.7354,0,1,0.60857,0,0,0.33137,0,0,0.68483,0,0,0.69754,0,0,0.67779,0,0,0.65363,0,0,0.70133,0,0
14,dart,381,0.7195,0,1,0.48012,0,0,0.53974,0,0,0.60571,0,0,0.68064,0,0,0.37307,0,0,0.66827,0,0,0.43199,0,0,0.46889,0,0,0.64164,0,1
15,dart,542,0.5097,0,0,0.51093,0,0,0.40943,0,0,0.61109,0,0,0.61669,0,0,0.73034,1,1,0.5773,0,0,0.55358,0,0,0.46327,0,0,0.67785,1,0
16,dart,319,0.40569,0,0,0.59141,0,1,0.49633,0,0,0.56642,0,0,0.43771,0,0,0.58994,0,0,0.60174,0,0,0.64806,0,0,0.70895,0,0,0.56137,0,0
17,dart,636,0.53288,0,0,0.51187,0,0,0.49261,0,0,0.51871,0,0,0.48927,0,0,0.46128,0,0,0.58544,0,0,0.45751,0,0,0.50591,0,0,0.38803,0,0
18,dart,486,0.47398,0,0,0.59429,0,0,0.20177,0,0,0.71459,0,0,0.58564,0,0,0.40592,0,0,0.59953,0,0,0.74259,0,0,0.61348,0,0,0.62094,0,0
19,dart,702,0.13738,0,0,0.58818,0,0,0.1492,0,0,0.75006,1,0,0.66486,0,0,0.55354,0,0,0.59204,0,0,0.46281,0,0,0.57377,0,0,0.50962,0,0
20,dart,1013,0.62621,0,0,0.47989,0,0,0.62454,0,0,0.63917,0,0,0.55838,0,0,0.61538,0,0,0.57935,0,0,0.60755,0,0,0.67269,0,0,0.57721,0,0
21,dart,701,0.4872,0,0,0.53611,0,0,0.54995,0,0,0.5839,0,0,0.56643,0,0,0.25966,0,0,0.58154,0,0,0.33471,0,0,0.64496,0,0,0.16223,0,0
22,dart,917,0.68714,0,0,0.59564,1,0,0.53217,0,0,0.49427,0,0,0.75039,1,1,0.66483,0,1,0.56591,0,0,0.56575,1,0,0.54461,0,0,0.56543,0,0
24,dart,420,0.41164,0,0,0.4901,0,0,0.59822,0,0,0.40577,0,0,0.69506,0,0,0.6398,0,0,0.65603,0,0,0.58903,0,0,0.6398,0,0,0.63677,0,0
26,dart,565,0.75042,0,0,0.52339,0,0,0.45888,0,0,0.61163,0,0,0.61833,0,0,0.65187,0,0,0.67881,0,0,0.71095,1,0,0.60768,0,0,0.61419,0,0
27,dart,753,0.65066,0,0,0.66424,0,0,0.6681,0,0,0.60204,0,0,0.65454,0,0,0.56268,0,0,0.60813,0,0,0.71671,0,0,0.12207,0,0,0.5853,0,1
28,dart,373,0.45424,0,0,0.51655,0,0,0.48047,0,0,0.70014,0,0,0.58963,0,0,0.37738,0,0,0.48746,0,0,0.52109,0,1,0.62295,0,0,0.67597,1,0
29,dart,671,0.62481,0,0,0.74492,1,1,0.5985,0,1,0.69727,1,1,0.55327,0,0,0.52457,0,0,0.46578,0,0,0.50643,0,0,0.6203,0,0,0.5754,0,0
30,dart,329,0.66554,0,0,0.35326,0,0,0.75,0,0,0.70452,0,0,0.33546,0,0,0.56045,0,0,0.64033,0,0,0.62575,0,0,0.56623,0,0,0.57731,0,0
31,dart,502,0.625,0,0,0.70812,0,0,0.56707,0,0,0.3109,0,0,0.60115,0,0,0.66324,0,1,0.64429,0,0,0.75,0,0,0.38323,0,0,0.67729,0,0
33,dart,616,0.13406,0,0,0.57397,0,0,0.75,0,0,0.67145,0,0,0.61193,0,0,0.56039,0,0,0.64254,0,0,0.61612,0,0,0.27093,0,0,0.51487,0,0
34,dart,643,0.59458,0,0,0.58117,0,0,0.64747,0,0,0.589,1,0,0.53667,0,0,0.57802,0,0,0.59696,0,0,0.6398,0,0,0.64787,0,0,0.57901,0,0
35,dart,346,0.60917,0,0,0.63156,1,1,0.31615,0,0,0.62175,0,0,0.63571,0,0,0.68753,1,0,0.75026,0,0,0.56338,0,0,0.58728,0,0,0.52237,0,0
36,dart,448,0.56934,0,0,0.58146,0,0,0.37785,0,0,0.61161,0,0,0.54871,0,0,0.50434,0,0,0.5358,0,0,0.44741,0,0,0.47374,0,0,0.66014,0,0
37,dart,579,0.68404,0,0,0.63203,0,0,0.54889,0,0,0.63452,0,0,0.61873,0,0,0.61491,0,0,0.69293,0,0,0.60708,0,0,0.61155,0,0,0.56148,0,0
39,dart,664,0.70281,0,0,0.64568,0,0,0.65099,0,0,0.667,0,0,0.61626,0,0,0.59882,0,0,0.63188,0,0,0.6325,0,0,0.62752,0,0,0.60252,0,0
40,dart,607,0.62331,0,0,0.57008,0,0,0.3995,0,0,0.60862,0,0,0.58265,0,0,0.64721,0,0,0.46978,0,0,0.27299,0,0,0.45693,0,0,0.66067,0,0
41,dart,422,0.60839,0,1,0.51513,0,0,0.42065,0,0,0.38038,0,0,0.43905,0,0,0.66264,0,0,0.4663,0,0,0.46036,0,0,0.43975,0,0,0.43368,0,0
42,dart,235,0.59555,0,0,0.40926,0,0,0.66663,0,0,0.6214,0,0,0.44601,0,0,0.72536,1,1,0.59816,0,0,0.37794,0,0,0.36506,0,0,0.3125,1,0
43,dart,528,0.3881,0,0,0.30472,0,0,0.63923,0,0,0.75109,0,0,0.60177,1,0,0.5625,0,0,0.60315,0,1,0.61212,0,1,0.58627,0,0,0.57861,0,0
44,dart,347,0.58239,0,0,0.53035,0,0,0.56943,0,0,0.24632,0,0,0.42981,0,0,0.46736,0,0,0.58452,0,1,0.47816,0,0,0.53317,0,0,0.5341,0,0
45,dart,292,0.63727,0,1,0.62554,0,1,0.52552,0,0,0.64381,0,0,0.70338,0,1,0.65905,0,1,0.77886,1,1,0.75659,0,0,0.63727,0,1,0.66252,0,0
46,dart,657,0.58646,0,0,0.57345,0,0,0.5465,0,0,0.46888,0,0,0.5457,0,0,0.60474,0,0,0.51391,0,0,0.62743,0,0,0.6422,0,0,0.50245,0,0
47,dart,429,0.62836,0,0,0.55265,0,0,0.65621,0,0,0.63003,0,0,0.34201,0,0,0.47082,0,0,0.41517,0,0,0.69088,0,0,0.62949,0,0,0.51255,0,0
48,dart,444,0.16146,0,0,0.65174,0,0,0.46366,0,0,0.60071,0,0,0.42723,0,0,0.57602,0,0,0.71711,0,1,0.37226,0,0,0.50879,0,0,0.75094,0,0
49,dart,381,0.51315,0,0,0.39271,0,0,0.59193,0,0,0.40625,0,0,0.45999,0,0,0.61239,0,0,0.4985,0,0,0.57001,0,0,0.52973,0,0,0.60488,0,0
51,dart,540,0.72859,0,0,0.65596,0,0,0.73487,0,1,0.64338,0,0,0.70588,0,0,0.66622,0,0,0.67666,0,0,0.71496,0,0,0.71979,0,0,0.72859,0,0
52,dart,479,0.60645,0,0,0.71359,0,0,0.65788,0,0,0.61892,0,0,0.66424,0,0,0.6508,0,0,0.59121,0,0,0.67189,0,1,0.5921,0,1,0.57639,0,0
53,dart,212,0.68698,0,1,0.48765,0,0,0.76892,1,1,0.55881,0,0,0.62445,0,0,0.53019,0,0,0.69078,0,0,0.61836,0,1,0.45508,0,0,0.61836,0,1
54,dart,571,0.40089,0,0,0.45419,0,0,0.70945,0,0,0.48116,0,0,0.52901,0,0,0.49839,0,0,0.24875,0,0,0.50135,0,0,0.52467,0,0,0.48322,0,0
55,dart,474,0.5419,1,1,0.6393,0,0,0.75001,0,0,0.44322,0,0,0.47904,0,0,0.51708,0,0,0.52428,0,0,0.5367,1,1,0.61489,0,0,0.47585,0,0
56,dart,578,0.17468,0,0,0.59035,0,0,0.56607,0,0,0.24504,0,0,0.24681,0,0,0.57578,0,0,0.57002,0,0,0.66005,0,0,0.62971,0,0,0.76587,1,0
57,dart,620,0.62721,0,0,0.56721,0,0,0.56274,0,0,0.56096,0,0,0.56982,0,0,0.59794,0,0,0.57938,0,0,0.39685,0,0,0.66099,0,0,0.45192,0,0
58,dart,425,0.61198,0,0,0.63792,0,0,0.60124,0,0,0.63461,0,0,0.63983,0,0,0.60311,0,0,0.62083,0,0,0.61091,0,0,0.55278,0,0,0.63377,0,0
59,dart,515,0.56685,0,0,0.71945,0,0,0.68429,1,0,0.34821,0,0,0.56076,0,0,0.62882,0,0,0.62286,0,0,0.63752,0,0,0.56536,0,0,0.53844,0,0
60,dart,312,0.53623,0,0,0.63429,0,0,0.68038,0,0,0.33333,0,0,0.47373,0,0,0.51349,0,0,0.61733,0,0,0.52586,0,0,0.43818,0,0,0.58659,0,1
61,dart,578,0.67503,1,0,0.51128,0,0,0.64219,0,0,0.63678,0,0,0.75001,0,0,0.35778,0,0,0.68181,0,0,0.54831,0,0,0.53181,0,0,0.66848,0,0
62,dart,462,0.47381,0,0,0.55346,0,0,0.36333,0,0,0.62886,0,0,0.58611,0,0,0.56725,0,0,0.43691,0,0,0.62504,0,0,0.35978,0,0,0.56232,0,0
63,dart,563,0.20913,0,0,0.49759,0,0,0.75,0,0,0.56092,0,0,0.51586,0,0,0.53896,0,0,0.36578,0,0,0.56178,0,0,0.43381,0,0,0.42617,0,0
64,dart,836,0.62776,0,0,0.71326,0,0,0.63791,0,0,0.57863,0,0,0.58084,0,0,0.66237,0,0,0.56196,0,0,0.59184,0,0,0.6058,0,0,0.69807,0,0
65,dart,614,0.4708,0,0,0.51156,0,0,0.46873,0,0,0.5577,0,0,0.50534,0,0,0.57263,0,0,0.51587,0,0,0.43794,0,0,0.44497,0,0,0.73752,0,0
66,dart,583,0.51934,0,0,0.58757,0,0,0.56805,0,0,0.53974,0,0,0.4602,0,0,0.75,0,0,0.58045,0,0,0.52936,0,0,0.51558,0,0,0.52895,0,0
67,dart,519,0.44422,0,0,0.48811,0,0,0.57997,0,0,0.42438,0,0,0.75,1,0,0.56861,0,0,0.5991,0,0,0.41171,0,0,0.6924,0,0,0.53575,0,0
68,dart,717,0.60385,0,0,0.58289,0,0,0.61295,0,0,0.60802,0,0,0.61201,1,0,0.64049,0,0,0.65506,0,0,0.62199,0,0,0.24623,0,0,0.61623,1,0
69,dart,555,0.13223,0,0,0.75,0,0,0.19628,0,0,0.69638,0,0,0.54927,0,0,0.50534,0,0,0.51659,0,0,0.6789,0,0,0.59358,0,0,0.55495,0,0
70,dart,861,0.61029,0,0,0.6795,0,0,0.64965,0,0,0.56828,0,0,0.25,0,0,0.60739,0,0,0.4993,0,0,0.58046,0,0,0.56417,0,0,0.57357,0,0
71,dart,433,0.39692,0,0,0.41254,0,0,0.74124,0,0,0.81922,0,0,0.39928,0,0,0.46472,0,0,0.74693,0,0,0.17183,0,0,0.73016,0,0,0.7959,0,0
72,dart,511,0.33021,0,0,0.51802,0,0,0.47384,0,0,0.70201,0,0,0.65963,0,0,0.56329,0,0,0.65617,0,0,0.33439,0,0,0.60573,0,0,0.59696,0,0
73,dart,424,0.70242,0,0,0.49271,0,0,0.46549,0,0,0.67779,0,0,0.61497,0,0,0.25833,1,0,0.45956,0,0,0.3864,0,0,0.4177,0,0,0.46807,0,0
74,dart,607,0.57714,0,0,0.57865,0,0,0.37187,0,0,0.69967,0,0,0.5802,0,0,0.5946,0,0,0.64005,0,0,0.48592,0,0,0.48741,0,0,0.57089,0,0
75,dart,777,0.46515,0,0,0.5456,0,0,0.671,0,0,0.67788,0,0,0.55646,0,0,0.54475,0,0,0.62795,0,0,0.73333,0,0,0.70852,0,0,0.6318,0,0
