problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.49239,0,0,0.61902,1,0,0.75001,1,1,0.55419,1,1,0.52679,0,0
1,dart,327,0.47919,0,0,0.31334,0,0,0.34433,0,0,0.51657,1,0,0.42732,0,0
2,dart,90,0.31653,0,0,0.31288,0,0,0.51538,0,0,0.33372,0,0,0.31671,0,0
3,dart,262,0.6726,0,0,0.5125,0,0,0.13834,0,0,0.38497,0,0,0.49047,0,0
4,dart,147,0.47085,0,0,0.45112,0,0,0.40046,0,0,0.4607,1,1,0.34004,0,0
5,dart,117,0.43267,0,0,0.5941,1,1,0.43373,0,0,0.50685,0,0,0.45052,0,0
6,dart,69,0.2707,0,0,0.44908,0,0,0.629,0,0,0.80103,1,1,0.74133,1,1
7,dart,152,0.40488,0,0,0.02754,0,0,0.50098,1,1,0.3182,0,0,0.44646,0,0
8,dart,197,0.06478,0,0,0.65534,0,0,0.34584,0,0,0.48925,1,1,0.46997,1,1
9,dart,963,0.25464,0,0,0.21429,0,0,0.67772,0,0,0.6131,0,0,0.65544,1,1
10,dart,91,0.32256,0,0,0.66792,1,0,0.65456,0,0,0.43205,0,0,0.54994,0,0
11,dart,271,0.51507,0,0,0.56001,1,1,0.50312,0,0,0.47292,0,0,0.456,0,0
12,dart,275,0.29423,0,0,0.374,0,0,0.63135,0,0,0.53047,0,0,0.47064,0,0
13,dart,229,0.40911,0,0,0.47491,1,1,0.56313,1,1,0.50378,0,0,0.58394,0,0
14,dart,250,0.4555,0,0,0.38101,0,0,0.67926,1,0,0.28814,0,0,0.3236,0,0
15,dart,252,0.4982,0,0,0.57054,1,1,0.52206,0,0,0.36137,0,0,0.49697,0,0
16,dart,1164,0.51889,0,0,0.58182,1,1,0.54216,0,0,0.63656,1,1,0.49394,0,0
17,dart,88,0.3741,0,0,0.54417,0,0,0.33906,0,0,0.06461,0,0,0.44512,0,0
18,dart,123,0.55298,0,0,0.02439,0,0,0.45795,0,0,0.5,1,0,0.56236,0,0
19,dart,71,0.26878,0,0,0.3068,0,0,0.74143,1,0,0.37035,0,0,0.31969,0,0
20,dart,88,0.33638,0,0,0.34142,0,0,0.30572,0,0,0.32994,0,0,0.41877,0,0
21,dart,88,0.6947,1,1,0.48906,0,0,0.56979,1,1,0.32286,0,0,0.42296,0,0
22,dart,78,0.43083,0,0,0.35036,0,0,0.58207,1,0,0.33609,0,0,0.32183,0,0
23,dart,220,0.35939,0,0,0.62435,1,1,0.45342,0,0,0.66188,1,1,0.60012,0,0
24,dart,132,0.41467,0,0,0.32028,0,0,0.47228,0,0,0.39375,0,0,0.73688,1,1
25,dart,559,0.51513,0,0,0.4818,0,0,0.40061,0,0,0.4637,0,0,0.40398,0,0
26,dart,67,0.69954,1,1,0.48033,0,0,0.38784,0,0,0.37669,0,0,0.35195,1,1
27,dart,988,0.60636,0,0,0.55752,0,0,0.50003,0,0,0.66075,1,1,0.58844,0,0
28,dart,78,0.30843,0,0,0.40918,0,0,0.53854,0,0,0.60478,0,0,0.28049,0,0
29,dart,402,0.39268,0,0,0.49425,0,0,0.34229,0,0,0.37149,0,0,0.28108,0,0
30,dart,88,0.32623,0,0,0.46153,0,0,0.44438,0,0,0.53282,1,1,0.33243,0,0
31,dart,85,0.62875,1,1,0.70992,1,1,0.69767,0,0,0.30434,0,0,0.44762,0,0
32,dart,255,0.59769,1,1,0.59269,1,1,0.4732,0,0,0.70957,1,1,0.62112,0,0
33,dart,246,0.14078,0,0,0.56916,0,0,0.53969,0,0,0.3788,0,0,0.55404,1,0
34,dart,381,0.50861,1,1,0.44595,1,1,0.41724,0,0,0.3125,0,0,0.59814,1,1
35,dart,166,0.27509,0,0,0.30068,0,0,0.31462,0,0,0.32136,0,0,0.30176,0,0
36,dart,324,0.3938,0,0,0.33196,0,0,0.42099,0,0,0.52425,0,0,0.38815,0,0
37,dart,82,0.32823,0,0,0.35714,0,0,0.3125,0,0,0.51568,1,0,0.49618,0,0
38,dart,76,0.45971,0,0,0.03338,0,0,0.31738,0,0,0.71633,0,0,0.599,0,0
39,dart,76,0.35811,0,0,0.3853,0,0,0.49571,0,0,0.64342,0,0,0.32989,0,0
40,dart,69,0.56408,0,0,0.41274,0,0,0.44199,0,0,0.34504,0,0,0.43907,0,0
41,dart,708,0.17046,0,0,0.55463,0,0,0.31163,0,0,0.4181,0,0,0.489,0,0
42,dart,200,0.57035,1,1,0.39567,0,0,0.43162,0,0,0.4566,1,1,0.55911,1,1
43,dart,942,0.39507,0,0,0.58776,1,1,0.41435,0,0,0.46283,0,0,0.44746,0,0
44,dart,287,0.58855,0,0,0.42949,0,0,0.32034,0,0,0.36957,0,0,0.54377,0,0
45,dart,965,0.52275,0,0,0.63857,0,0,0.54541,0,0,0.5882,0,0,0.34509,0,0
46,dart,104,0.07846,0,0,0.04368,0,0,0.04986,0,0,0.11426,0,0,0.09194,0,0
47,dart,345,0.56338,0,0,0.5771,0,0,0.48581,0,0,0.75,0,0,0.45264,0,0
48,dart,2546,0.45233,0,0,0.63628,0,0,0.38462,0,0,0.61458,0,0,0.41234,0,0
49,dart,329,0.3966,0,0,0.46503,0,0,0.53894,0,0,0.65627,0,0,0.45643,0,0
50,dart,80,0.41623,0,0,0.31281,0,0,0.34543,0,0,0.4228,0,0,0.36708,0,0
51,dart,439,0.32,0,0,0.41542,0,0,0.45958,0,0,0.45047,0,0,0.42548,0,0
52,dart,1353,0.38333,0,0,0.47945,0,0,0.46183,0,0,0.50403,0,0,0.59948,0,0
53,dart,219,0.52275,0,0,0.68368,0,0,0.69494,0,0,0.64593,0,0,0.375,0,0
54,dart,237,0.39118,0,0,0.56491,0,0,0.6731,0,0,0.45085,0,0,0.45773,0,0
55,dart,1486,0.55561,0,0,0.50236,0,0,0.24563,0,0,0.66214,0,0,0.52401,0,0
56,dart,1112,0.60132,0,0,0.6619,1,1,0.50122,0,0,0.53927,0,0,0.54979,0,0
57,dart,493,0.4988,0,0,0.57801,1,1,0.58164,0,0,0.48168,0,0,0.55951,0,0
58,dart,780,0.54578,0,0,0.53862,0,0,0.56529,0,0,0.58032,1,1,0.54523,0,0
59,dart,214,0.44956,0,0,0.31856,0,0,0.07712,0,0,0.55284,1,1,0.3885,0,0
60,dart,730,0.61031,0,0,0.64548,0,0,0.63716,0,0,0.19087,0,0,0.22751,0,0
61,dart,485,0.53507,0,0,0.5203,0,0,0.51324,0,0,0.53547,0,0,0.48894,0,0
62,dart,484,0.56329,0,0,0.58437,0,0,0.55436,0,0,0.39658,0,0,0.56969,0,0
63,dart,43,0.41062,0,0,0.28206,0,0,0.27627,0,0,0.44548,1,0,0.28901,0,0
64,dart,43,0.39139,0,0,0.29001,0,0,0.28884,0,0,0.2709,0,0,0.31594,0,0
