problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.57405,0,0,0.62993,0,0,0.68254,0,0,0.66677,0,0,0.5666,0,0,0.69302,0,0,0.68561,0,0,0.60663,0,0,0.54159,0,0,0.69127,0,0
1,dart,1184,0.57265,0,0,0.61752,0,0,0.59916,0,0,0.60609,0,0,0.60935,0,0,0.543,0,0,0.65018,0,0,0.58674,0,0,0.59073,0,0,0.52436,0,0
2,dart,301,0.64189,0,0,0.57441,0,0,0.47699,0,0,0.60552,0,0,0.4269,0,0,0.64158,0,0,0.59868,1,0,0.60012,0,0,0.48977,0,0,0.6567,1,0
3,dart,471,0.66415,0,0,0.60054,0,0,0.71229,0,0,0.70352,0,0,0.62287,0,0,0.57323,0,0,0.67027,0,0,0.4432,0,0,0.66053,0,0,0.549,0,0
4,dart,611,0.57787,0,0,0.60537,0,0,0.29509,0,0,0.5398,0,0,0.60046,0,0,0.50737,0,0,0.55147,0,0,0.53161,0,0,0.45192,0,0,0.62007,0,0
5,dart,564,0.65682,0,0,0.65457,0,0,0.7494,0,0,0.68088,0,0,0.55582,0,0,0.79307,0,0,0.6437,0,0,0.69474,0,0,0.67814,0,0,0.62749,0,0
6,dart,852,0.58941,0,0,0.60283,0,0,0.62208,0,0,0.53051,0,0,0.69693,0,0,0.32682,0,0,0.63179,0,0,0.58464,0,0,0.39196,0,0,0.4861,0,0
7,dart,547,0.63537,0,0,0.74185,1,1,0.66765,0,0,0.73046,1,1,0.6811,0,1,0.74185,1,1,0.7368,1,1,0.71487,1,0,0.7194,0,0,0.72732,1,1
8,dart,598,0.50387,0,0,0.48512,0,0,0.25,0,0,0.65143,0,0,0.71422,0,0,0.65407,0,0,0.57198,0,0,0.57315,0,0,0.68998,0,0,0.61646,0,0
9,dart,807,0.57321,0,0,0.51407,0,0,0.66705,1,1,0.54722,0,0,0.6611,0,0,0.49147,0,0,0.6487,0,0,0.45279,0,0,0.52758,0,0,0.67603,0,0
10,dart,798,0.5788,0,0,0.57514,1,0,0.48199,0,0,0.51742,0,0,0.6129,0,0,0.51957,0,0,0.29477,0,0,0.59081,0,0,0.29724,0,0,0.53354,0,0
11,dart,629,0.577,0,0,0.67548,0,0,0.60217,0,0,0.63924,0,0,0.65909,0,0,0.57325,0,0,0.63283,0,1,0.25566,0,0,0.59109,0,0,0.36823,0,0
12,dart,534,0.66526,0,0,0.61507,0,0,0.58857,0,0,0.58219,0,0,0.65203,0,0,0.61045,0,0,0.635,0,0,0.62745,0,0,0.53881,0,0,0.64033,0,0
13,dart,491,0.27763,0,0,0.69754,0,0,0.69754,0,0,0.79215,0,0,0.72239,1,1,0.72737,1,0,0.65945,0,0,0.67727,0,0,0.61891,0,0,0.69754,0,0
14,dart,381,0.62726,0,0,0.70828,1,1,0.59604,0,0,0.55503,0,0,0.69283,0,0,0.7051,1,0,0.64317,0,0,0.62272,0,0,0.68417,0,0,0.6863,1,0
15,dart,542,0.48799,0,0,0.6951,0,0,0.54655,0,0,0.65528,0,1,0.5092,0,0,0.26113,0,0,0.45814,0,0,0.15951,0,0,0.42553,0,0,0.75651,1,1
16,dart,319,0.57096,0,0,0.42428,0,0,0.52179,0,0,0.6258,1,1,0.4732,0,0,0.6258,1,1,0.45708,0,0,0.6048,0,0,0.46086,0,0,0.53319,0,0
17,dart,636,0.44669,0,0,0.57071,0,0,0.49777,0,0,0.4685,0,0,0.20933,0,0,0.54048,0,0,0.6617,0,0,0.54947,0,0,0.4826,0,0,0.24801,0,0
18,dart,486,0.6438,0,0,0.55285,0,0,0.64935,0,0,0.66621,0,0,0.71774,1,1,0.63358,0,0,0.57509,0,0,0.58825,0,0,0.23208,0,0,0.60216,0,0
19,dart,702,0.51934,0,0,0.60934,0,0,0.60745,0,0,0.70833,0,0,0.50737,0,0,0.47125,0,0,0.54349,0,0,0.6308,0,0,0.55171,0,0,0.59063,0,0
20,dart,1013,0.59014,0,0,0.64041,0,0,0.59746,0,0,0.64129,0,0,0.62722,0,0,0.58937,0,0,0.57432,0,0,0.55938,0,0,0.56129,0,0,0.64662,0,0
