problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.52634,1,1,0.30529,0,0,0.29116,0,0,0.64501,0,0,0.07588,0,0
1,dart,327,0.71348,1,1,0.39411,0,0,0.75,1,1,0.39739,0,0,0.65268,0,0
2,dart,90,0.42744,0,0,0.32465,0,0,0.47286,0,0,0.40869,0,0,0.34529,0,0
3,dart,262,0.54222,0,0,0.34343,0,0,0.3323,0,0,0.6515,0,0,0.39676,0,0
4,dart,147,0.6012,1,1,0.56841,1,1,0.40823,1,1,0.42226,0,0,0.36483,0,0
5,dart,117,0.42289,0,0,0.0697,0,0,0.75113,1,1,0.38572,0,0,0.57614,1,1
6,dart,69,0.64016,1,0,0.38121,0,0,0.31644,0,0,0.30927,0,0,0.40696,0,0
7,dart,152,0.29203,0,0,0.05446,0,0,0.29762,0,0,0.75008,1,1,0.03549,0,0
8,dart,197,0.35837,0,0,0.51001,0,0,0.30627,0,0,0.33419,0,0,0.34955,0,0
9,dart,963,0.5417,0,0,0.63686,0,0,0.59211,0,0,0.375,1,0,0.4211,0,0
10,dart,91,0.35154,0,0,0.72393,1,1,0.42442,0,0,0.7863,1,1,0.35947,1,0
11,dart,271,0.72729,0,0,0.67687,1,1,0.63044,0,0,0.74706,1,0,0.48497,0,0
12,dart,275,0.57896,0,0,0.50012,0,0,0.40934,0,0,0.18478,0,0,0.41194,0,0
13,dart,229,0.50096,0,0,0.48683,0,0,0.49587,0,0,0.44875,0,0,0.72224,0,0
14,dart,250,0.47966,0,0,0.55371,0,0,0.45567,0,0,0.33429,0,0,0.65993,1,1
15,dart,252,0.45732,0,0,0.46129,0,0,0.47122,1,1,0.50983,0,0,0.45684,0,0
16,dart,1164,0.45281,0,0,0.55654,0,0,0.69345,0,0,0.43006,0,0,0.45898,0,0
17,dart,88,0.47875,1,0,0.35824,0,0,0.3128,0,0,0.36443,0,0,0.71437,1,1
18,dart,123,0.55697,1,1,0.31858,0,0,0.43181,1,1,0.34821,0,0,0.37495,0,0
19,dart,71,0.36996,0,0,0.06246,0,0,0.31516,0,0,0.44741,0,0,0.35465,0,0
20,dart,88,0.37008,0,0,0.33333,0,0,0.28162,0,0,0.62028,0,0,0.41417,0,0
21,dart,88,0.4237,1,1,0.31025,0,0,0.33124,0,0,0.52562,1,1,0.40133,0,0
22,dart,78,0.67568,0,0,0.31488,0,0,0.33626,0,0,0.43534,0,0,0.39037,0,0
23,dart,220,0.17158,0,0,0.75,1,1,0.48316,0,0,0.71229,0,0,0.18062,0,0
24,dart,132,0.71744,1,1,0.36359,0,0,0.40811,0,0,0.73688,1,1,0.67123,1,1
25,dart,559,0.54985,0,0,0.51,0,0,0.58764,0,0,0.53577,0,0,0.54678,0,0
26,dart,67,0.48844,0,0,0.34071,0,0,0.37501,0,0,0.32543,0,0,0.31518,0,0
27,dart,988,0.6875,0,0,0.59581,0,0,0.55751,0,0,0.29213,0,0,0.56263,0,0
28,dart,78,0.45304,0,0,0.39719,0,0,0.10227,0,0,0.50148,1,1,0.51328,0,0
29,dart,402,0.51786,0,0,0.75,1,1,0.50944,0,0,0.59254,0,0,0.56203,1,1
30,dart,88,0.375,1,0,0.51947,0,0,0.47469,1,1,0.47411,0,0,0.56505,0,0
31,dart,85,0.5759,1,1,0.28138,0,0,0.29502,0,0,0.3143,0,0,0.34485,0,0
32,dart,255,0.48785,0,0,0.35048,0,0,0.48488,0,0,0.38894,0,0,0.56923,0,0
33,dart,246,0.48451,0,0,0.50701,0,0,0.39338,0,0,0.55404,1,0,0.48013,1,1
34,dart,381,0.42711,0,0,0.38821,0,0,0.59623,1,1,0.38985,0,0,0.49969,0,0
35,dart,166,0.26557,0,0,0.27178,0,0,0.28562,0,0,0.36,0,0,0.31895,0,0
36,dart,324,0.36203,0,0,0.35895,0,0,0.55127,0,0,0.36647,0,0,0.43065,0,0
37,dart,82,0.12379,1,0,0.30657,0,0,0.01873,0,0,0.37479,0,0,0.27232,0,0
38,dart,76,0.62266,0,0,0.30754,0,0,0.62923,0,0,0.60308,0,0,0.30858,0,0
39,dart,76,0.51519,0,0,0.74232,0,0,0.36506,0,0,0.84286,0,0,0.71633,0,0
40,dart,69,0.30981,0,0,0.4958,0,0,0.49516,0,0,0.47727,0,0,0.37217,0,0
41,dart,708,0.47065,0,0,0.5877,0,0,0.51793,0,0,0.42051,0,0,0.54293,0,0
42,dart,200,0.50612,0,0,0.35634,0,0,0.38303,0,0,0.57622,0,0,0.43746,0,0
43,dart,942,0.42798,0,0,0.4435,0,0,0.48247,0,0,0.40977,0,0,0.17382,0,0
44,dart,287,0.47478,0,0,0.46955,0,0,0.57199,0,0,0.36241,0,0,0.58413,0,0
45,dart,965,0.53059,0,0,0.52645,0,0,0.37482,0,0,0.75,1,1,0.58723,0,0
46,dart,104,0.06189,0,0,0.06258,0,0,0.05273,0,0,0.03866,0,0,0.05347,0,0
47,dart,345,0.55538,1,1,0.39799,0,0,0.12994,0,0,0.56253,0,0,0.375,1,0
48,dart,2546,0.57969,0,0,0.61111,0,0,0.60356,0,0,0.59193,0,0,0.61712,0,0
49,dart,329,0.36065,0,0,0.51372,0,0,0.4034,0,0,0.50322,0,0,0.33745,0,0
50,dart,80,0.35901,0,0,0.41325,0,0,0.4334,0,0,0.34983,0,0,0.41652,0,0
51,dart,439,0.54325,0,0,0.34392,0,0,0.47175,0,0,0.30978,0,0,0.36752,0,0
52,dart,1353,0.56651,0,0,0.56536,0,0,0.6875,1,1,0.47255,0,0,0.54939,0,0
53,dart,219,0.49366,0,0,0.49139,0,0,0.74915,0,0,0.71961,0,0,0.51946,0,0
54,dart,237,0.33392,0,0,0.60467,0,0,0.60943,0,0,0.42875,0,0,0.40634,0,0
55,dart,1486,0.51598,0,0,0.51549,0,0,0.58744,0,0,0.47088,0,0,0.69445,1,0
56,dart,1112,0.48381,0,0,0.61636,0,0,0.75,1,1,0.5248,0,0,0.60161,0,0
57,dart,493,0.51616,0,0,0.38581,0,0,0.37143,0,0,0.61021,0,0,0.49066,0,0
58,dart,780,0.59583,1,1,0.53576,0,0,0.52527,0,0,0.37367,0,0,0.54727,0,0
59,dart,214,0.36832,0,0,0.32552,0,0,0.46712,0,0,0.56183,1,1,0.29962,0,0
60,dart,730,0.63853,0,0,0.5302,0,0,0.62515,0,0,0.53191,0,0,0.66714,0,0
61,dart,485,0.60454,0,0,0.13764,0,0,0.49064,0,0,0.5673,0,0,0.55266,0,0
62,dart,484,0.31249,0,0,0.61675,0,0,0.51781,1,1,0.48465,0,0,0.71258,1,1
63,dart,43,0.43305,0,0,0.43149,0,0,0.29312,0,0,0.28468,0,0,0.31919,0,0
64,dart,43,0.28436,0,0,0.27837,0,0,0.02131,0,0,0.3131,0,0,0.32507,0,0
65,dart,419,0.42944,0,0,0.55674,0,0,0.55075,0,0,0.49419,0,0,0.54986,1,1
66,dart,691,0.44829,0,0,0.49728,0,0,0.53636,0,0,0.52206,0,0,0.51022,0,0
67,dart,1238,0.22114,0,0,0.56856,0,0,0.63549,0,0,0.47898,0,0,0.42212,0,0
68,dart,1173,0.63235,0,0,0.60104,0,0,0.59509,0,0,0.54211,0,0,0.46673,0,0
69,dart,1076,0.60389,1,1,0.56226,1,1,0.48759,0,0,0.60018,0,0,0.21457,0,0
70,dart,3076,0.24259,0,0,0.53494,0,0,0.48953,0,0,0.56345,0,0,0.49749,0,0
71,dart,435,0.30502,0,0,0.45929,0,0,0.56858,0,0,0.19282,0,0,0.41153,0,0
72,dart,874,0.16303,0,0,0.59231,0,0,0.43162,0,0,0.45726,0,0,0.40423,0,0
73,dart,2146,0.53415,1,1,0.47088,0,0,0.40257,0,0,0.49714,0,0,0.41832,0,0
74,dart,515,0.375,0,0,0.53504,1,1,0.46677,0,0,0.45352,0,0,0.45844,0,0
75,dart,933,0.52946,0,0,0.60623,0,0,0.53711,0,0,0.61915,0,0,0.54396,0,0
76,dart,86,0.30255,0,0,0.4207,0,0,0.4798,0,0,0.47027,0,0,0.53883,0,0
77,dart,86,0.41436,0,0,0.28822,0,0,0.5019,0,0,0.31943,0,0,0.41625,0,0
78,dart,265,0.47478,0,0,0.34857,0,0,0.5193,0,0,0.4328,0,0,0.48089,0,0
79,dart,432,0.39571,0,0,0.5877,0,0,0.3848,0,0,0.45201,0,0,0.39716,0,0
80,dart,101,0.44543,0,0,0.43797,0,0,0.43797,0,0,0.37177,1,0,0.26469,0,0
81,dart,147,0.30692,0,0,0.452,0,0,0.31672,0,0,0.40333,1,1,0.38216,0,0
82,dart,4338,0.44472,0,0,0.47003,0,0,0.24041,0,0,0.26869,0,0,0.5493,0,0
83,dart,5416,0.55775,0,0,0.53993,0,0,0.51868,0,0,0.5,1,0,0.57655,0,0
84,dart,366,0.34353,0,0,0.51775,0,0,0.47326,0,0,0.45437,0,0,0.40372,0,0
85,dart,637,0.58891,0,0,0.55725,0,0,0.53763,0,0,0.54335,0,0,0.41205,0,0
86,dart,21,0.27859,0,0,0.27733,0,0,0.27399,0,0,0.26474,0,0,0.26471,0,0
87,dart,121,0.17243,0,0,0.07626,0,0,0.1719,0,0,0.07405,0,0,0.10721,0,0
88,dart,305,0.58069,0,0,0.45223,0,0,0.52369,1,1,0.42927,0,0,0.49147,0,0
89,dart,528,0.46714,0,0,0.55938,0,0,0.45592,0,0,0.48906,0,0,0.55993,0,0
90,dart,479,0.42958,0,0,0.46353,0,0,0.45283,0,0,0.38214,0,0,0.62675,0,0
91,dart,365,0.75084,1,1,0.50286,0,0,0.48779,0,0,0.45643,0,0,0.42636,0,0
