arm,codebleu_mean_ci,compile_at_5_ci,compile_mcnemar_gains,compile_mcnemar_losses,compile_mcnemar_p,compile_mcnemar_holm_p,pass_at_10_ci,pass_mcnemar_gains,pass_mcnemar_losses,pass_mcnemar_p,pass_mcnemar_holm_p,pass_at_5_diff_vs_clean_g3_ci
binary GRPO,"0.5483 [0.5291, 0.5676]","0.2619 [0.1930, 0.3449]",7,58,4.27052e-11,4.27052e-10,"0.1818 [0.1289, 0.2502]",6,3,0.507812,1,"0.0252 [-0.0019, 0.0512]"
RS-SFT all-arms,"0.5894 [0.5690, 0.6088]","0.4286 [0.3455, 0.5158]",11,41,3.58879e-05,0.000215327,"0.1688 [0.1179, 0.2359]",6,5,1,1,"0.0267 [-0.0030, 0.0584]"
binary RS-SFT ref,"0.5461 [0.5263, 0.5654]","0.3492 [0.2715, 0.4358]",11,51,2.77564e-07,,"0.1558 [0.1070, 0.2214]",7,8,1,,"0.0093 [-0.0235, 0.0418]"
clean G3 graph-only,"0.6403 [0.6219, 0.6565]","0.6667 [0.5805, 0.7430]",0,0,1,,"0.1623 [0.1124, 0.2287]",0,0,1,,"0.0000 [0.0000, 0.0000]"
style repair ultralite,,,,,,,"0.1364 [0.0910, 0.1995]",5,9,0.42395,,"-0.0179 [-0.0493, 0.0125]"
G3 p128r,"0.6369 [0.6187, 0.6529]","0.6667 [0.5805, 0.7430]",25,25,1,,"0.1364 [0.0910, 0.1995]",3,7,0.34375,,"-0.0150 [-0.0405, 0.0098]"
style1036 SFT,"0.5851 [0.5653, 0.6052]","0.4365 [0.3531, 0.5237]",11,40,5.70381e-05,,"0.1364 [0.0910, 0.1995]",4,8,0.387695,,"-0.0056 [-0.0334, 0.0207]"
CFG-only,"0.6147 [0.5926, 0.6352]","0.5714 [0.4842, 0.6545]",19,31,0.11892,0.356761,"0.1104 [0.0701, 0.1697]",4,12,0.0768127,0.307251,"-0.0358 [-0.0664, -0.0070]"
SimKO-style GRPO,"0.6363 [0.6163, 0.6550]","0.6667 [0.5805, 0.7430]",23,23,1,,"0.1104 [0.0701, 0.1697]",2,10,0.0385742,,"-0.0312 [-0.0574, -0.0056]"
graph-text,"0.6262 [0.6066, 0.6452]","0.5873 [0.5000, 0.6694]",16,26,0.164149,,"0.0974 [0.0599, 0.1545]",4,14,0.0308838,,"-0.0338 [-0.0680, -0.0025]"
base reference,"0.5580 [0.5393, 0.5762]","0.2063 [0.1449, 0.2852]",6,64,2.44273e-13,,"0.0909 [0.0549, 0.1468]",5,16,0.0266037,,"-0.0466 [-0.0837, -0.0100]"
null graph,"0.5630 [0.5432, 0.5813]","0.4127 [0.3306, 0.5000]",11,43,1.40131e-05,,"0.0779 [0.0451, 0.1313]",1,14,0.000976562,,"-0.0534 [-0.0838, -0.0245]"
text-only,"0.5556 [0.5353, 0.5753]","0.3254 [0.2498, 0.4113]",9,52,1.8028e-08,1.62252e-07,"0.0519 [0.0266, 0.0992]",1,18,7.62939e-05,0.00038147,"-0.0769 [-0.1124, -0.0442]"
p128 without RMS,"0.4731 [0.4567, 0.4885]","0.0397 [0.0171, 0.0895]",4,83,3.01885e-20,3.32073e-19,"0.0000 [0.0000, 0.0243]",0,25,5.96046e-08,4.76837e-07,"-0.1028 [-0.1440, -0.0668]"
