problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.43734,0,0,0.43792,0,0,0.63594,1,1,0.64905,0,0,0.3694,0,0
1,dart,327,0.7196,0,0,0.66524,1,1,0.60153,0,0,0.61406,1,1,0.66524,1,1
2,dart,90,0.43315,0,0,0.42991,0,0,0.37996,0,0,0.43118,0,0,0.29748,0,0
3,dart,262,0.40084,0,0,0.43167,0,0,0.53331,1,1,0.54295,1,1,0.56038,1,1
4,dart,147,0.43284,0,0,0.29976,0,0,0.59518,1,1,0.36334,0,0,0.51798,0,0
5,dart,117,0.55872,0,0,0.48142,0,0,0.45242,0,0,0.35964,0,0,0.54596,1,1
6,dart,69,0.31024,0,0,0.39566,0,0,0.56134,1,1,0.48913,1,1,0.68653,1,1
7,dart,152,0.51631,1,1,0.27148,0,0,0.54228,1,1,0.56551,1,1,0.60346,0,0
8,dart,197,0.476,1,1,0.38824,0,0,0.57869,1,1,0.42982,0,0,0.47924,1,1
9,dart,963,0.65269,1,1,0.58193,0,0,0.56338,1,1,0.62765,1,1,0.64463,1,1
10,dart,91,0.36771,1,1,0.5285,0,0,0.60988,0,0,0.64156,1,1,0.64583,0,0
11,dart,271,0.34181,0,0,0.63866,1,1,0.69055,1,1,0.46845,0,0,0.63148,1,1
12,dart,275,0.42154,0,0,0.47446,0,0,0.41182,0,0,0.37903,0,0,0.61007,0,0
13,dart,229,0.38599,0,0,0.36389,0,0,0.41334,0,0,0.61749,1,1,0.36232,0,0
14,dart,250,0.38412,0,0,0.61604,1,1,0.37848,0,0,0.3525,0,0,0.47679,0,0
15,dart,252,0.4422,0,0,0.36816,0,0,0.64882,1,1,0.49999,0,0,0.50394,0,0
16,dart,1164,0.59247,1,1,0.51682,0,0,0.63779,1,1,0.50381,0,0,0.49234,0,0
17,dart,88,0.71437,1,1,0.36332,0,0,0.71437,1,1,0.67208,1,1,0.40175,0,0
18,dart,123,0.29136,0,0,0.62631,1,1,0.44929,1,1,0.34107,0,0,0.39931,0,0
19,dart,71,0.70006,1,1,0.41639,0,0,0.6643,1,1,0.64885,1,1,0.71671,1,1
20,dart,88,0.04305,0,0,0.49282,0,0,0.58667,1,0,0.50416,0,0,0.332,0,0
21,dart,88,0.34646,0,0,0.54684,1,1,0.48902,1,1,0.39044,1,1,0.41121,0,0
22,dart,78,0.31656,0,0,0.36958,0,0,0.44498,1,1,0.33022,0,0,0.3374,0,0
23,dart,220,0.63806,1,1,0.49582,0,0,0.61248,1,1,0.54465,0,0,0.62751,1,1
24,dart,132,0.46084,0,0,0.65976,1,1,0.35971,0,0,0.61595,1,1,0.65568,1,1
25,dart,559,0.63881,1,1,0.41779,0,0,0.63103,0,0,0.53379,0,0,0.48666,0,0
26,dart,67,0.6137,1,1,0.38018,0,0,0.58116,0,0,0.39517,0,0,0.37615,1,0
27,dart,988,0.51617,0,0,0.24867,0,0,0.694,1,1,0.61439,1,1,0.63088,0,0
28,dart,78,0.32986,0,0,0.60615,1,1,0.3207,0,0,0.43699,0,0,0.36944,0,0
29,dart,402,0.50586,0,0,0.59575,1,1,0.55058,0,0,0.70517,0,0,0.56737,0,0
30,dart,88,0.59972,1,1,0.61426,1,1,0.62273,1,1,0.59343,1,1,0.48673,1,1
31,dart,85,0.56625,1,1,0.38534,0,0,0.53267,0,0,0.34084,0,0,0.46053,1,1
32,dart,255,0.59777,0,0,0.63506,1,1,0.5388,1,1,0.5575,1,1,0.65286,1,1
33,dart,246,0.6232,1,1,0.40994,0,0,0.48005,0,0,0.39867,0,0,0.57343,0,0
34,dart,381,0.73504,1,1,0.73706,1,1,0.63648,1,1,0.64097,1,1,0.50978,0,0
35,dart,166,0.30243,0,0,0.29582,0,0,0.35317,0,0,0.292,0,0,0.29853,0,0
36,dart,324,0.63534,0,0,0.68569,1,1,0.47572,0,0,0.29853,0,0,0.74011,1,1
37,dart,82,0.73118,1,1,0.37007,0,0,0.64528,0,0,0.28221,0,0,0.58429,1,1
38,dart,76,0.35727,0,0,0.55408,0,0,0.53699,0,0,0.29289,0,0,0.56709,0,0
39,dart,76,0.88927,0,0,0.63518,1,1,0.38673,0,0,0.56904,0,0,0.42997,0,0
40,dart,69,0.7286,0,0,0.41994,0,0,0.29502,0,0,0.43773,0,0,0.36136,0,0
41,dart,708,0.48457,0,0,0.48536,0,0,0.42173,0,0,0.47983,0,0,0.48926,0,0
42,dart,200,0.71515,1,1,0.55714,0,0,0.59358,0,0,0.58075,1,1,0.70266,1,1
43,dart,942,0.43294,0,0,0.41518,0,0,0.52216,0,0,0.63183,0,0,0.50051,0,0
