problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.64408,0,0,0.58223,0,0,0.54782,0,0,0.63829,0,0,0.48797,0,0,0.59675,0,0,0.69042,0,0,0.36926,0,0,0.7065,1,0,0.54016,0,0
1,dart,1184,0.69678,0,0,0.66345,0,0,0.60153,0,0,0.66832,0,0,0.5804,0,0,0.51269,0,0,0.68716,0,0,0.36131,0,0,0.57487,0,0,0.62223,0,0
2,dart,301,0.6821,0,0,0.63588,0,0,0.3898,0,0,0.53135,0,0,0.67637,1,0,0.6137,0,0,0.55795,0,0,0.52393,0,0,0.65133,1,0,0.64752,0,0
3,dart,471,0.65146,0,0,0.60842,0,0,0.61395,0,0,0.6388,0,0,0.37764,0,0,0.50086,0,0,0.59953,0,0,0.57203,0,0,0.61216,0,0,0.46352,0,0
4,dart,611,0.58054,0,0,0.58717,0,0,0.5507,0,0,0.59135,0,0,0.5645,0,0,0.5321,0,0,0.6166,0,0,0.63494,0,0,0.57929,0,0,0.61912,0,0
5,dart,564,0.62823,0,0,0.7611,0,0,0.64104,0,0,0.7281,1,0,0.55906,0,0,0.76644,0,0,0.69727,0,0,0.45518,0,0,0.51091,0,0,0.69368,0,0
6,dart,852,0.64091,0,0,0.42673,0,0,0.68732,0,0,0.39633,0,0,0.66284,1,0,0.58405,0,0,0.58891,0,0,0.62615,0,0,0.68267,0,0,0.61083,0,0
7,dart,547,0.4375,0,0,0.7416,1,1,0.60086,0,0,0.51153,0,0,0.57821,0,0,0.64628,0,0,0.67293,0,1,0.52508,0,0,0.56364,0,0,0.6811,0,1
8,dart,598,0.62899,0,0,0.59917,0,0,0.56102,0,0,0.5659,0,0,0.64267,0,0,0.74376,0,0,0.56545,0,0,0.68399,0,0,0.20364,0,0,0.53597,0,0
9,dart,807,0.63347,0,0,0.64946,0,0,0.69454,0,0,0.53688,0,0,0.60615,0,0,0.5796,0,0,0.75623,0,0,0.68594,0,0,0.66012,0,0,0.67771,0,0
10,dart,798,0.49238,0,0,0.71049,0,0,0.55687,0,0,0.72504,0,0,0.47408,0,0,0.56264,0,0,0.58919,0,0,0.48714,0,0,0.61241,0,0,0.63256,0,0
11,dart,629,0.70087,0,0,0.68849,0,0,0.36385,0,0,0.68077,0,0,0.63021,0,0,0.74978,0,0,0.55797,0,0,0.63354,0,0,0.46234,0,0,0.43225,0,0
12,dart,534,0.51703,0,0,0.74161,0,0,0.59516,0,0,0.24016,0,0,0.66458,0,0,0.62706,0,0,0.75147,0,0,0.58812,0,0,0.15889,0,0,0.60348,0,0
13,dart,491,0.46472,0,0,0.639,0,0,0.54215,0,0,0.53134,0,0,0.53255,0,0,0.32018,0,0,0.33087,0,0,0.72729,0,0,0.41986,0,0,0.62014,0,0
