problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.70561,0,0,0.67656,0,0,0.69743,0,0,0.48645,0,0,0.49376,0,0,0.59318,0,0,0.27273,1,0,0.57288,0,0,0.57708,0,0,0.61028,0,0
1,dart,1184,0.30698,0,0,0.59594,0,0,0.59445,0,0,0.58339,0,0,0.61312,0,0,0.62093,0,0,0.59127,0,0,0.41234,0,0,0.50476,0,0,0.65273,0,0
2,dart,301,0.62117,0,0,0.06389,0,0,0.46192,0,0,0.64537,0,0,0.61004,0,0,0.37239,0,0,0.42146,0,0,0.53801,0,0,0.58264,0,0,0.54374,0,0
3,dart,471,0.59504,0,0,0.46875,0,0,0.51656,0,0,0.62534,0,0,0.36231,0,0,0.43793,0,0,0.60176,0,0,0.52394,0,0,0.51022,0,0,0.59925,0,0
4,dart,611,0.67578,0,0,0.61044,0,0,0.09087,0,0,0.59792,0,0,0.54655,0,0,0.53487,0,0,0.48998,0,0,0.63106,0,0,0.62472,0,0,0.56656,0,0
5,dart,564,0.59073,0,0,0.58233,0,0,0.61496,0,0,0.40568,0,0,0.69419,0,0,0.55585,0,0,0.55697,0,0,0.60599,0,0,0.5907,0,0,0.56788,0,0
6,dart,852,0.55737,0,0,0.67846,0,0,0.51105,0,0,0.55496,0,0,0.56022,0,0,0.51696,0,0,0.54285,0,0,0.54848,0,0,0.43289,0,0,0.66349,0,0
7,dart,547,0.64686,0,0,0.53825,0,0,0.48931,0,0,0.56544,0,0,0.43961,0,0,0.35936,0,0,0.67751,0,1,0.42154,0,0,0.61384,0,0,0.59893,1,0
8,dart,598,0.27134,0,0,0.52243,0,0,0.61718,0,0,0.63542,1,0,0.58132,0,0,0.3707,0,0,0.7423,0,0,0.48125,0,0,0.56275,0,0,0.62574,0,0
9,dart,807,0.40162,0,0,0.6425,0,0,0.61713,0,0,0.63174,0,0,0.60626,0,0,0.71959,0,0,0.75,0,0,0.41009,0,0,0.59055,0,0,0.45542,0,0
10,dart,798,0.60048,0,0,0.57579,0,0,0.47185,0,0,0.46082,0,0,0.29254,0,0,0.43473,0,0,0.55969,0,0,0.57426,0,0,0.28181,0,0,0.61048,0,0
11,dart,629,0.58764,0,0,0.66515,0,0,0.5784,0,0,0.58593,0,0,0.64787,0,0,0.39397,0,0,0.67129,0,0,0.66035,0,0,0.60189,0,0,0.21282,0,0
12,dart,534,0.60749,0,0,0.63946,0,0,0.63934,0,0,0.56689,0,0,0.5121,0,0,0.69107,0,1,0.57862,0,0,0.15427,0,0,0.16736,0,0,0.51021,0,0
13,dart,491,0.61346,0,0,0.46447,0,0,0.63526,0,0,0.48687,0,0,0.56315,0,0,0.69888,0,0,0.50967,0,0,0.39448,0,0,0.66159,0,0,0.53873,0,0
14,dart,381,0.49392,0,0,0.67075,0,0,0.76617,1,0,0.7001,0,0,0.60793,0,1,0.54678,0,0,0.48445,0,0,0.54421,0,0,0.49267,0,0,0.50023,0,0
15,dart,542,0.2293,0,0,0.65658,1,0,0.53665,0,0,0.5866,0,0,0.56178,0,0,0.62735,0,0,0.56255,0,0,0.53796,0,0,0.52271,0,0,0.6322,1,0
16,dart,319,0.54188,0,0,0.46168,0,0,0.526,0,0,0.50702,0,0,0.38641,0,0,0.33474,0,0,0.5212,0,0,0.52867,0,0,0.30492,0,0,0.39897,0,0
17,dart,636,0.57433,0,0,0.58493,0,0,0.43909,0,0,0.57707,0,0,0.50449,0,0,0.36173,0,0,0.52982,0,0,0.53891,0,0,0.46129,0,0,0.47394,0,0
18,dart,486,0.45712,0,0,0.49502,0,0,0.69691,0,0,0.66495,0,0,0.36796,0,0,0.62417,0,0,0.53852,0,0,0.51973,0,0,0.69242,0,0,0.59092,0,0
19,dart,702,0.67257,0,0,0.54003,0,0,0.42873,0,0,0.53604,0,0,0.57753,0,0,0.62536,0,0,0.4796,0,0,0.59818,0,0,0.56807,0,0,0.56465,0,0
20,dart,1013,0.62772,0,0,0.59759,0,0,0.56852,0,0,0.62577,0,0,0.58634,0,0,0.5934,0,0,0.58829,0,0,0.60941,0,0,0.12529,0,0,0.53313,0,0
21,dart,701,0.55025,0,0,0.59121,0,0,0.54089,0,0,0.55014,0,0,0.52787,0,0,0.62275,0,0,0.58955,0,0,0.53804,0,0,0.67494,0,0,0.48775,0,0
22,dart,917,0.29058,0,0,0.50353,0,0,0.60104,0,0,0.69866,0,0,0.56759,0,0,0.375,0,0,0.57924,0,0,0.52535,0,0,0.56571,0,0,0.57529,0,0
24,dart,420,0.49657,0,0,0.58742,0,0,0.48121,0,0,0.37808,0,0,0.4614,0,0,0.53288,0,0,0.33337,0,0,0.45594,0,0,0.65369,0,0,0.57807,0,0
26,dart,565,0.38258,0,0,0.60518,0,0,0.56844,0,0,0.56194,0,0,0.49245,0,0,0.57584,0,0,0.548,0,0,0.55685,0,0,0.51907,0,0,0.54235,0,0
27,dart,753,0.5817,0,0,0.65718,0,0,0.714,1,1,0.33333,1,0,0.49994,0,0,0.61394,0,0,0.53789,0,0,0.65825,0,0,0.3,0,0,0.61073,0,0
28,dart,373,0.75,0,0,0.60586,0,0,0.49321,0,0,0.37251,0,0,0.64441,0,0,0.54179,0,0,0.50288,0,0,0.40328,0,0,0.71977,0,0,0.66134,0,1
29,dart,671,0.66694,0,0,0.57637,0,0,0.58988,0,0,0.51765,0,0,0.64915,0,0,0.49992,0,0,0.61559,0,0,0.64251,0,0,0.73577,1,1,0.57126,1,0
30,dart,329,0.57514,0,0,0.50307,0,0,0.65101,0,0,0.67275,0,0,0.78993,0,0,0.66069,0,0,0.51255,0,0,0.54121,0,0,0.44221,0,0,0.65766,0,1
31,dart,502,0.40106,0,0,0.38394,0,0,0.49833,0,0,0.63202,0,0,0.62118,0,0,0.48648,0,0,0.59738,0,0,0.64842,0,0,0.66311,1,0,0.59583,1,0
