problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.60254,0,0,0.71451,0,0,0.46012,0,0,0.56466,1,1,0.52515,1,1
1,dart,327,0.51958,0,0,0.4193,0,0,0.44778,0,0,0.62047,0,0,0.53359,1,1
2,dart,90,0.30376,0,0,0.51991,1,1,0.69455,1,1,0.42812,0,0,0.59458,1,1
3,dart,262,0.61764,1,1,0.44233,0,0,0.44673,1,1,0.47328,0,0,0.69152,1,1
4,dart,147,0.39972,0,0,0.50342,0,0,0.34432,0,0,0.6954,1,1,0.5052,0,0
5,dart,117,0.57672,0,0,0.68643,1,1,0.33711,0,0,0.60882,1,1,0.32508,0,0
6,dart,69,0.34767,0,0,0.34982,0,0,0.3171,0,0,0.66098,1,1,0.39771,1,1
7,dart,152,0.55912,1,1,0.39853,0,0,0.57493,0,0,0.42181,0,0,0.56754,1,1
8,dart,197,0.50142,1,1,0.30729,0,0,0.649,1,1,0.47797,0,0,0.34232,0,0
9,dart,963,0.60426,0,0,0.5544,0,0,0.66958,1,1,0.41173,0,0,0.61982,1,0
10,dart,91,0.38298,0,0,0.30523,0,0,0.34042,0,0,0.40172,0,0,0.56462,1,1
11,dart,271,0.11069,0,0,0.48763,1,1,0.49165,0,0,0.5032,0,0,0.47138,0,0
12,dart,275,0.35901,0,0,0.378,0,0,0.52022,1,1,0.50811,0,0,0.56445,1,1
13,dart,229,0.41794,0,0,0.62742,1,1,0.71389,1,1,0.45952,0,0,0.40214,0,0
14,dart,250,0.34327,0,0,0.43129,0,0,0.65197,1,1,0.41459,0,0,0.53045,0,0
15,dart,252,0.38371,0,0,0.64567,0,0,0.4975,0,0,0.47218,0,0,0.42668,0,0
16,dart,1164,0.52667,0,0,0.51721,0,0,0.63331,0,0,0.45143,0,0,0.56911,1,1
17,dart,88,0.71437,1,1,0.70407,1,1,0.33966,0,0,0.30741,0,0,0.69913,1,1
18,dart,123,0.61372,1,1,0.58536,1,1,0.66583,1,1,0.43393,0,0,0.3405,0,0
