problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.07664,0,0,0.42581,0,0,0.37858,0,0,0.47433,0,0,0.36706,0,0
1,dart,327,0.34369,0,0,0.58549,0,0,0.5564,0,0,0.33991,0,0,0.47681,0,0
2,dart,90,0.36265,0,0,0.33797,0,0,0.3453,0,0,0.31174,0,0,0.30583,0,0
3,dart,262,0.37012,0,0,0.43722,0,0,0.41773,0,0,0.41415,0,0,0.31126,0,0
4,dart,147,0.12177,0,0,0.34175,0,0,0.36348,0,0,0.36169,0,0,0.38221,0,0
5,dart,117,0.34078,0,0,0.08652,0,0,0.31556,0,0,0.34268,0,0,0.41834,0,0
6,dart,69,0.1571,0,0,0.42897,0,0,0.36407,0,0,0.6973,0,0,0.31119,0,0
7,dart,152,0.34235,0,0,0.45097,0,0,0.35527,0,0,0.41011,0,0,0.37388,0,0
8,dart,197,0.6366,0,0,0.40982,0,0,0.34659,0,0,0.3541,0,0,0.32537,0,0
9,dart,963,0.39107,0,0,0.44554,0,0,0.34463,0,0,0.49734,0,0,0.50513,0,0
10,dart,91,0.33539,0,0,0.37668,0,0,0.45368,0,0,0.33226,0,0,0.43921,0,0
11,dart,271,0.38302,0,0,0.33849,0,0,0.30852,0,0,0.30557,0,0,0.48156,0,0
12,dart,275,0.12037,0,0,0.51495,0,0,0.34034,0,0,0.54481,0,0,0.46754,0,0
13,dart,229,0.35119,0,0,0.47558,0,0,0.38333,0,0,0.38812,0,0,0.49233,0,0
14,dart,250,0.42868,0,0,0.45734,0,0,0.28341,0,0,0.25,0,0,0.42671,0,0
15,dart,252,0.27727,0,0,0.4117,0,0,0.32403,0,0,0.29059,0,0,0.04813,0,0
16,dart,1164,0.49084,0,0,0.4164,0,0,0.31238,0,0,0.47476,0,0,0.39249,0,0
17,dart,88,0.31641,0,0,0.51704,0,0,0.33507,0,0,0.3136,0,0,0.39422,0,0
18,dart,123,0.32007,0,0,0.07071,0,0,0.35925,0,0,0.42027,0,0,0.4974,0,0
19,dart,71,0.70165,0,0,0.33892,0,0,0.40579,0,0,0.44258,0,0,0.32768,0,0
20,dart,88,0.3619,0,0,0.32515,0,0,0.28893,0,0,0.38754,0,0,0.38774,0,0
21,dart,88,0.05696,0,0,0.33506,0,0,0.09202,0,0,0.40413,0,0,0.06292,0,0
22,dart,78,0.3125,0,0,0.28117,0,0,0.38572,0,0,0.47095,0,0,0.52965,0,0
23,dart,220,0.65839,0,0,0.11169,0,0,0.33391,0,0,0.25,0,0,0.1242,0,0
24,dart,132,0.04409,0,0,0.08022,0,0,0.41075,0,0,0.3354,0,0,0.36351,0,0
25,dart,559,0.47509,0,0,0.31025,0,0,0.47688,0,0,0.1161,0,0,0.46773,0,0
26,dart,67,0.05082,0,0,0.33709,0,0,0.28679,0,0,0.31753,0,0,0.3473,0,0
27,dart,988,0.46551,0,0,0.48974,0,0,0.40406,0,0,0.50374,0,0,0.41978,0,0
28,dart,78,0.34172,0,0,0.34623,0,0,0.45421,0,0,0.35479,0,0,0.07464,0,0
29,dart,402,0.50015,0,0,0.38956,0,0,0.46234,0,0,0.28577,0,0,0.37969,0,0
30,dart,88,0.4124,0,0,0.44473,0,0,0.11864,0,0,0.35888,0,0,0.07674,0,0
31,dart,85,0.31295,0,0,0.45689,0,0,0.33793,0,0,0.08405,0,0,0.39556,0,0
32,dart,255,0.49497,0,0,0.33499,0,0,0.38629,0,0,0.37832,0,0,0.39697,0,0
33,dart,246,0.53098,0,0,0.40391,0,0,0.38391,0,0,0.47856,0,0,0.15429,0,0
34,dart,381,0.39251,0,0,0.40452,0,0,0.44783,0,0,0.29445,0,0,0.4636,0,0
35,dart,166,0.32085,0,0,0.31907,0,0,0.27456,0,0,0.31802,0,0,0.31229,0,0
36,dart,324,0.29582,0,0,0.38454,0,0,0.42296,0,0,0.54229,0,0,0.39453,0,0
37,dart,82,0.35208,0,0,0.37443,0,0,0.29284,0,0,0.27734,0,0,0.18837,0,0
38,dart,76,0.31672,0,0,0.42658,1,1,0.33426,0,0,0.35674,0,0,0.34661,0,0
39,dart,76,0.45814,0,0,0.44586,0,0,0.33735,0,0,0.38537,0,0,0.38245,0,0
40,dart,69,0.37541,0,0,0.40073,0,0,0.08149,0,0,0.30408,0,0,0.3622,0,0
41,dart,708,0.43544,0,0,0.41722,0,0,0.575,0,0,0.15032,0,0,0.39595,0,0
42,dart,200,0.40226,0,0,0.07138,0,0,0.4049,0,0,0.38898,0,0,0.39193,0,0
43,dart,942,0.425,0,0,0.3579,0,0,0.43143,0,0,0.40275,0,0,0.42622,0,0
44,dart,287,0.47368,0,0,0.41019,0,0,0.12275,0,0,0.40528,0,0,0.43774,0,0
45,dart,965,0.38117,0,0,0.25,0,0,0.11885,0,0,0.4963,0,0,0.42636,0,0
46,dart,104,0.08677,0,0,0.12749,0,0,0.05008,0,0,0.07851,0,0,0.09199,0,0
47,dart,345,0.33238,0,0,0.44386,0,0,0.36911,0,0,0.42767,0,0,0.43222,0,0
48,dart,2546,0.29688,0,0,0.49079,0,0,0.46123,0,0,0.53414,0,0,0.1573,0,0
49,dart,329,0.06274,0,0,0.35817,0,0,0.44824,0,0,0.18173,0,0,0.25,0,0
50,dart,80,0.3203,0,0,0.45639,1,0,0.28221,0,0,0.30905,0,0,0.31341,0,0
51,dart,439,0.38848,0,0,0.25829,0,0,0.42681,0,0,0.45688,0,0,0.5063,0,0
52,dart,1353,0.3626,0,0,0.34018,0,0,0.48204,0,0,0.39393,0,0,0.44736,0,0
53,dart,219,0.38073,0,0,0.12711,0,0,0.38922,0,0,0.13504,0,0,0.3401,0,0
54,dart,237,0.53155,0,0,0.3371,0,0,0.25591,0,0,0.1037,0,0,0.47638,0,0
55,dart,1486,0.39302,0,0,0.49679,0,0,0.29482,0,0,0.33812,0,0,0.38162,0,0
56,dart,1112,0.43449,0,0,0.42553,0,0,0.45332,0,0,0.53942,0,0,0.42751,0,0
57,dart,493,0.45532,0,0,0.36462,0,0,0.4504,0,0,0.40884,0,0,0.33817,0,0
58,dart,780,0.40974,0,0,0.42033,0,0,0.08126,0,0,0.37896,0,0,0.11191,0,0
59,dart,214,0.56103,0,0,0.34082,0,0,0.33444,0,0,0.3057,0,0,0.34747,0,0
60,dart,730,0.49071,0,0,0.50579,0,0,0.37175,0,0,0.34529,0,0,0.49107,0,0
61,dart,485,0.45817,0,0,0.39091,0,0,0.39372,0,0,0.37166,0,0,0.42263,0,0
62,dart,484,0.4142,0,0,0.625,0,0,0.48216,0,0,0.38514,0,0,0.42441,0,0
63,dart,43,0.30345,0,0,0.37232,0,0,0.30889,0,0,0.30069,0,0,0.34237,0,0
64,dart,43,0.33199,0,0,0.34984,0,0,0.50278,1,1,0.3586,0,0,0.32148,0,0
65,dart,419,0.55763,0,0,0.39856,0,0,0.43638,0,0,0.37422,0,0,0.38734,0,0
66,dart,691,0.34229,0,0,0.45993,0,0,0.21279,0,0,0.40278,0,0,0.5267,0,0
67,dart,1238,0.17482,0,0,0.42347,0,0,0.38894,0,0,0.3913,0,0,0.39329,0,0
68,dart,1173,0.55583,0,0,0.59647,0,0,0.31509,0,0,0.40445,0,0,0.54583,0,0
69,dart,1076,0.49822,0,0,0.56916,0,0,0.4022,0,0,0.3574,0,0,0.45494,0,0
70,dart,3076,0.36706,0,0,0.44167,0,0,0.45844,0,0,0.39641,0,0,0.23494,0,0
71,dart,435,0.36825,0,0,0.16251,0,0,0.1052,0,0,0.42183,0,0,0.37322,0,0
72,dart,874,0.41494,0,0,0.40328,0,0,0.44183,0,0,0.41871,0,0,0.38578,0,0
73,dart,2146,0.11431,0,0,0.33539,0,0,0.33118,0,0,0.41845,0,0,0.17901,0,0
74,dart,515,0.39793,0,0,0.08542,0,0,0.40792,0,0,0.30092,0,0,0.10998,0,0
75,dart,933,0.42438,0,0,0.45309,0,0,0.38333,0,0,0.52411,0,0,0.34174,0,0
76,dart,86,0.32573,0,0,0.34083,0,0,0.1037,0,0,0.33568,0,0,0.32566,0,0
77,dart,86,0.34754,0,0,0.32576,0,0,0.36295,0,0,0.43284,0,0,0.36475,0,0
78,dart,265,0.49858,0,0,0.39214,0,0,0.11862,0,0,0.42157,0,0,0.36972,0,0
79,dart,432,0.44208,0,0,0.38205,0,0,0.58306,0,0,0.47409,0,0,0.44573,0,0
80,dart,101,0.05133,0,0,0.08541,0,0,0.3485,0,0,0.43198,0,0,0.31903,0,0
81,dart,147,0.43604,0,0,0.36097,0,0,0.3757,0,0,0.33947,0,0,0.3878,0,0
82,dart,4338,0.50451,0,0,0.48397,0,0,0.42449,0,0,0.41121,0,0,0.49111,0,0
83,dart,5416,0.45186,0,0,0.50175,0,0,0.23115,0,0,0.54574,0,0,0.44015,0,0
84,dart,366,0.44978,0,0,0.20538,0,0,0.42811,0,0,0.36295,0,0,0.38664,0,0
85,dart,637,0.4154,0,0,0.36993,0,0,0.45024,0,0,0.48237,0,0,0.35606,0,0
86,dart,21,0.29697,0,0,0.04909,0,0,0.29683,0,0,0.30981,0,0,0.29189,0,0
87,dart,121,0.10481,0,0,0.07305,0,0,0.04545,0,0,0.06183,0,0,0.08134,0,0
88,dart,305,0.51681,0,0,0.31981,0,0,0.36519,0,0,0.31459,0,0,0.33029,0,0
89,dart,528,0.5,1,0,0.3723,0,0,0.34766,0,0,0.36682,0,0,0.38,0,0
90,dart,479,0.11729,0,0,0.35131,0,0,0.34056,0,0,0.39203,0,0,0.38469,0,0
91,dart,365,0.37885,0,0,0.31922,0,0,0.37606,0,0,0.44318,0,0,0.45584,0,0
92,dart,148,0.4443,0,0,0.34074,0,0,0.38258,0,0,0.421,0,0,0.30945,0,0
93,dart,182,0.50359,0,0,0.31025,0,0,0.45908,0,0,0.34538,0,0,0.44655,0,0
94,dart,685,0.23913,0,0,0.47604,0,0,0.36428,0,0,0.34426,0,0,0.39374,0,0
95,dart,1878,0.46145,0,0,0.43745,0,0,0.57843,0,0,0.34761,0,0,0.40644,0,0
96,dart,366,0.36305,0,0,0.40161,0,0,0.46426,0,0,0.18888,0,0,0.45276,0,0
97,dart,358,0.28687,0,0,0.21521,0,0,0.52452,0,0,0.13604,0,0,0.51164,0,0
98,dart,99,0.33632,0,0,0.65114,1,1,0.4353,0,0,0.37165,0,0,0.45942,0,0
99,dart,1024,0.44697,0,0,0.3279,0,0,0.43899,0,0,0.45313,0,0,0.51776,0,0
100,dart,632,0.57119,0,0,0.3293,0,0,0.53995,0,0,0.46313,0,0,0.4522,0,0
101,dart,131,0.33715,0,0,0.39683,0,0,0.39594,0,0,0.38941,0,0,0.31504,0,0
102,dart,216,0.60108,0,0,0.39337,0,0,0.47646,0,0,0.33206,0,0,0.4086,0,0
103,dart,59,0.29781,0,0,0.09604,0,0,0.2786,0,0,0.28532,0,0,0.09676,0,0
104,dart,159,0.33516,0,0,0.31312,0,0,0.4569,0,0,0.47845,0,0,0.48104,0,0
105,dart,196,0.45095,0,0,0.18056,0,0,0.44951,0,0,0.4681,0,0,0.36054,0,0
106,dart,703,0.37663,0,0,0.38412,0,0,0.37902,0,0,0.12939,0,0,0.17448,0,0
107,dart,354,0.40592,0,0,0.36697,0,0,0.48283,0,0,0.61805,0,0,0.52955,0,0
108,dart,224,0.3214,0,0,0.39096,0,0,0.4738,0,0,0.37906,0,0,0.41571,0,0
109,dart,727,0.39462,0,0,0.57576,0,0,0.50327,0,0,0.33426,0,0,0.36818,0,0
110,dart,663,0.36261,0,0,0.35253,0,0,0.42194,0,0,0.42891,0,0,0.18342,0,0
111,dart,1019,0.26026,0,0,0.21356,0,0,0.48158,0,0,0.48207,0,0,0.52495,0,0
112,dart,109,0.45933,0,0,0.33567,0,0,0.33347,0,0,0.35143,0,0,0.37395,0,0
113,dart,270,0.43183,0,0,0.34503,0,0,0.40558,0,0,0.37097,0,0,0.37699,0,0
114,dart,296,0.31971,0,0,0.44933,0,0,0.14696,0,0,0.35936,0,0,0.4458,0,0
115,dart,374,0.08883,0,0,0.41983,0,0,0.46046,0,0,0.10433,0,0,0.07065,0,0
116,dart,323,0.14357,0,0,0.44211,0,0,0.35518,0,0,0.37447,0,0,0.45342,0,0
117,dart,194,0.41336,0,0,0.32709,0,0,0.36412,0,0,0.39297,0,0,0.32631,0,0
118,dart,426,0.36691,0,0,0.46988,0,0,0.43682,0,0,0.39404,0,0,0.35928,0,0
119,dart,434,0.4971,0,0,0.46463,0,0,0.42611,0,0,0.38866,0,0,0.12171,0,0
120,dart,865,0.36502,0,0,0.4406,0,0,0.44862,0,0,0.65312,0,0,0.46107,0,0
121,dart,263,0.32778,0,0,0.36653,0,0,0.3594,0,0,0.61764,0,0,0.27556,0,0
122,dart,20,0.30915,0,0,0.03248,0,0,0.27259,0,0,0.27736,0,0,0.29858,0,0
123,dart,146,0.17904,0,0,0.39164,0,0,0.35333,0,0,0.36725,0,0,0.35217,0,0
124,dart,165,0.1805,0,0,0.35951,0,0,0.16952,0,0,0.38201,0,0,0.42874,0,0
125,dart,393,0.4409,0,0,0.40384,0,0,0.34144,0,0,0.16206,0,0,0.41153,0,0
