problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.4142,0,0,0.6062,0,0,0.39376,0,0,0.61906,0,0,0.38638,0,0,0.54205,0,0,0.39875,0,0,0.16117,0,0,0.6312,0,0,0.35637,0,0
1,dart,1184,0.34821,0,0,0.43813,0,0,0.49951,0,0,0.6387,0,0,0.65417,0,0,0.46036,0,0,0.34359,0,0,0.42625,0,0,0.43695,0,0,0.58944,0,0
2,dart,301,0.20419,0,0,0.37505,0,0,0.62876,0,0,0.34044,0,0,0.56574,0,0,0.56206,0,0,0.60962,0,0,0.6193,0,0,0.49904,0,0,0.36412,0,0
3,dart,471,0.41051,0,0,0.53275,0,0,0.60027,1,0,0.359,0,0,0.60368,0,0,0.52354,0,0,0.53414,0,0,0.37603,0,0,0.35669,0,0,0.375,0,0
4,dart,611,0.46123,0,0,0.59333,0,0,0.58124,0,0,0.53292,0,0,0.18075,0,0,0.36685,0,0,0.66578,0,0,0.53526,0,0,0.50041,0,0,0.55167,0,0
5,dart,564,0.44579,0,0,0.19347,0,0,0.58625,1,0,0.56904,0,0,0.54732,0,0,0.54167,0,0,0.45499,0,0,0.50453,0,0,0.38378,0,0,0.5053,0,0
6,dart,852,0.61705,0,0,0.49223,0,0,0.66532,0,0,0.55228,0,0,0.63544,0,0,0.65592,0,0,0.59431,0,0,0.68377,0,0,0.42183,0,0,0.46146,0,0
7,dart,547,0.65312,0,0,0.50784,0,0,0.58753,0,0,0.55426,0,0,0.44324,0,0,0.54107,0,0,0.34028,0,0,0.49576,0,0,0.56628,0,0,0.65127,0,0
8,dart,598,0.55461,0,0,0.70889,0,0,0.63746,0,0,0.4448,0,0,0.56593,0,0,0.44389,0,0,0.58883,0,0,0.64948,0,0,0.37156,0,0,0.24178,0,0
9,dart,807,0.52201,0,0,0.44447,0,0,0.49614,0,0,0.24186,0,0,0.38548,0,0,0.69735,0,0,0.54129,0,0,0.43654,0,0,0.18055,0,0,0.45097,0,0
10,dart,798,0.55219,0,0,0.35285,0,0,0.45166,0,0,0.39995,0,0,0.3751,0,0,0.47424,1,0,0.52155,0,0,0.12842,0,0,0.35278,0,0,0.34538,0,0
11,dart,629,0.57923,0,0,0.59847,0,0,0.2059,0,0,0.45959,0,0,0.43656,0,0,0.58005,0,0,0.59186,0,0,0.52234,0,0,0.44224,0,0,0.25725,0,0
12,dart,534,0.3118,0,0,0.49639,0,0,0.23102,0,0,0.49746,0,0,0.52948,0,0,0.46635,0,0,0.49283,0,0,0.49583,0,0,0.57456,0,0,0.48045,0,0
13,dart,491,0.51445,0,0,0.62388,0,0,0.50652,0,0,0.45797,0,0,0.37562,0,0,0.18036,0,0,0.57272,0,0,0.22131,0,0,0.32785,0,0,0.52015,0,0
14,dart,381,0.36777,0,0,0.53148,0,0,0.48637,0,0,0.5759,0,0,0.58708,0,0,0.36418,0,0,0.56615,0,0,0.40053,0,0,0.50689,0,0,0.51381,0,0
15,dart,542,0.48385,0,0,0.37327,0,0,0.46495,0,0,0.4992,0,0,0.45457,0,0,0.42129,0,0,0.39692,0,0,0.52497,1,0,0.40415,0,0,0.53823,0,0
16,dart,319,0.43039,0,0,0.12421,0,0,0.1565,0,0,0.43064,0,0,0.54386,0,0,0.46907,0,0,0.48225,0,0,0.50131,0,0,0.57834,0,0,0.5613,0,0
17,dart,636,0.50073,0,0,0.68962,0,0,0.16879,0,0,0.55559,0,0,0.67676,0,0,0.29491,0,0,0.50741,0,0,0.68111,0,0,0.45082,0,0,0.50482,0,0
18,dart,486,0.59807,0,0,0.45701,0,0,0.4647,0,0,0.62093,0,0,0.61465,0,0,0.7282,0,0,0.52038,0,0,0.45697,0,0,0.64534,0,0,0.42512,0,0
19,dart,702,0.66124,0,0,0.59315,0,0,0.52291,0,0,0.47506,0,0,0.70833,1,0,0.53806,0,0,0.44611,0,0,0.48548,0,0,0.55694,0,0,0.52173,0,0
20,dart,1013,0.37787,0,0,0.09721,0,0,0.60381,0,0,0.61132,0,0,0.29986,0,0,0.30883,0,0,0.65497,0,0,0.13271,0,0,0.48956,0,0,0.58044,0,0
21,dart,701,0.28132,0,0,0.2167,0,0,0.46528,0,0,0.56338,0,0,0.29957,0,0,0.23623,0,0,0.43827,0,0,0.39046,0,0,0.52951,0,0,0.33452,0,0
22,dart,917,0.54583,0,0,0.62397,0,0,0.5741,0,0,0.53318,0,0,0.60667,0,0,0.56679,0,0,0.56345,0,0,0.45366,0,0,0.5957,0,0,0.6416,0,0
24,dart,420,0.49733,0,0,0.39285,0,0,0.17538,0,0,0.33333,0,0,0.44069,0,0,0.62604,0,0,0.45259,0,0,0.41682,0,0,0.49137,0,0,0.42303,0,0
26,dart,565,0.59163,0,0,0.40468,0,0,0.50708,0,0,0.37273,0,0,0.52811,0,0,0.46576,0,0,0.5173,0,0,0.50756,0,0,0.5065,0,0,0.5253,0,0
27,dart,753,0.70313,0,0,0.40536,0,0,0.55725,0,0,0.47222,0,0,0.61699,0,0,0.61257,0,0,0.60252,0,0,0.20393,0,0,0.39234,0,0,0.38577,0,0
28,dart,373,0.4365,0,0,0.59246,0,0,0.49901,0,0,0.50648,0,0,0.60991,0,0,0.3312,0,0,0.59922,1,0,0.62928,0,0,0.45864,0,0,0.54275,0,0
29,dart,671,0.54914,0,0,0.41506,0,0,0.47609,0,0,0.55271,0,0,0.52606,0,0,0.48266,0,0,0.58461,0,0,0.57251,0,0,0.46718,0,0,0.59036,0,0
30,dart,329,0.49451,0,0,0.52488,0,0,0.50653,0,0,0.44085,0,0,0.66783,0,0,0.47143,0,0,0.5543,0,0,0.44152,0,0,0.52478,0,0,0.51649,0,0
31,dart,502,0.39779,0,0,0.52383,0,0,0.61023,0,0,0.42424,0,0,0.34507,0,0,0.4709,0,0,0.52877,0,0,0.57915,0,0,0.53955,0,0,0.37171,0,0
33,dart,616,0.64487,0,0,0.23149,0,0,0.10589,0,0,0.40903,0,0,0.41644,0,0,0.41832,0,0,0.56257,0,0,0.52492,0,0,0.44904,0,0,0.15654,0,0
34,dart,643,0.49697,0,0,0.62617,0,0,0.58501,0,0,0.50133,0,0,0.59583,0,0,0.55202,0,0,0.61709,0,0,0.47085,0,0,0.49669,0,0,0.75,0,0
35,dart,346,0.50033,0,0,0.22926,0,0,0.57025,0,0,0.58124,0,0,0.39866,0,0,0.47113,0,0,0.48177,0,0,0.50927,0,0,0.54402,0,0,0.45454,0,0
36,dart,448,0.40484,0,0,0.59431,0,0,0.52245,0,0,0.43379,0,0,0.42447,0,0,0.57525,0,0,0.48482,0,0,0.20191,0,0,0.49608,0,0,0.60787,0,0
37,dart,579,0.39963,0,0,0.4078,0,0,0.45025,0,0,0.65455,1,0,0.28908,0,0,0.39056,0,0,0.39584,0,0,0.505,0,0,0.51736,0,0,0.50183,0,0
39,dart,664,0.44645,0,0,0.63822,0,0,0.51473,0,0,0.55293,0,0,0.44909,0,0,0.49344,0,0,0.48339,0,0,0.5235,0,0,0.6875,0,0,0.14053,0,0
40,dart,607,0.69737,1,0,0.43009,0,0,0.29792,0,0,0.42126,0,0,0.51943,0,0,0.35577,0,0,0.62884,0,0,0.22824,0,0,0.5,1,0,0.40953,0,0
41,dart,422,0.39495,0,0,0.44139,0,0,0.52361,0,0,0.47504,0,0,0.51777,0,0,0.47496,0,0,0.69525,0,0,0.54207,0,0,0.57838,0,0,0.5028,0,0
42,dart,235,0.38785,0,0,0.47984,0,0,0.52463,0,0,0.39464,0,0,0.50004,0,0,0.48946,0,0,0.57047,0,0,0.37766,0,0,0.47452,0,0,0.10023,0,0
43,dart,528,0.4507,0,0,0.26367,0,0,0.60455,0,0,0.51993,0,0,0.62181,0,0,0.3752,0,0,0.48842,0,0,0.57755,0,0,0.58377,0,0,0.1782,0,0
44,dart,347,0.44167,0,0,0.50984,0,0,0.44334,0,0,0.12544,0,0,0.37057,0,0,0.40827,0,0,0.45351,0,0,0.30922,0,0,0.36557,0,0,0.49897,0,0
45,dart,292,0.50618,0,0,0.14078,0,0,0.61315,0,0,0.49375,0,0,0.58875,0,0,0.37044,0,0,0.68331,0,0,0.6503,0,0,0.52363,0,0,0.38961,0,0
46,dart,657,0.39961,0,0,0.42475,0,0,0.39583,0,0,0.5536,0,0,0.4191,0,0,0.47786,0,0,0.56458,0,0,0.39849,0,0,0.37848,0,0,0.52094,0,0
47,dart,429,0.47696,0,0,0.65928,0,0,0.57179,0,0,0.56731,0,0,0.60658,0,0,0.43775,0,0,0.36904,0,0,0.33333,0,0,0.51973,0,0,0.39448,0,0
48,dart,444,0.55625,0,0,0.53373,0,0,0.62405,0,0,0.39521,0,0,0.5514,0,0,0.63913,0,0,0.58485,0,0,0.59541,0,0,0.50544,0,0,0.52835,0,0
49,dart,381,0.54182,0,0,0.4213,0,0,0.47556,0,0,0.48699,0,0,0.38808,0,0,0.46465,0,0,0.48677,0,0,0.5125,0,0,0.47778,0,0,0.33478,0,0
51,dart,540,0.63334,0,0,0.53669,0,0,0.4834,0,0,0.3965,0,0,0.56387,0,0,0.56111,0,0,0.54167,0,0,0.41404,0,0,0.53599,0,0,0.59664,0,0
52,dart,479,0.43297,0,0,0.4273,0,0,0.47349,0,0,0.50554,0,0,0.39487,0,0,0.61429,0,0,0.29223,0,0,0.57881,0,0,0.50109,0,0,0.39567,0,0
53,dart,212,0.5048,0,0,0.33758,0,0,0.35104,0,0,0.21371,0,0,0.48286,0,0,0.25,0,0,0.53912,0,0,0.43616,0,0,0.17985,0,0,0.54856,0,0
54,dart,571,0.6273,0,0,0.39449,0,0,0.17334,0,0,0.51426,0,0,0.48161,0,0,0.49942,0,0,0.4338,0,0,0.50849,0,0,0.36379,0,0,0.37987,0,0
55,dart,474,0.4881,0,0,0.375,0,0,0.46955,0,0,0.51748,0,0,0.54911,0,0,0.47112,0,0,0.5746,0,0,0.41163,0,0,0.47737,0,0,0.4729,0,0
56,dart,578,0.42867,0,0,0.46138,0,0,0.54708,0,0,0.55425,0,0,0.48611,0,0,0.53491,0,0,0.49741,0,0,0.75,1,0,0.64976,0,0,0.36349,0,0
57,dart,620,0.46917,0,0,0.54583,0,0,0.40476,0,0,0.53494,0,0,0.62257,0,0,0.20721,0,0,0.55706,0,0,0.59358,0,0,0.42898,0,0,0.47114,0,0
58,dart,425,0.1712,0,0,0.43109,0,0,0.56057,0,0,0.53196,0,0,0.4006,0,0,0.29272,0,0,0.62001,0,0,0.41756,0,0,0.51356,0,0,0.49418,0,0
59,dart,515,0.47103,0,0,0.41805,0,0,0.58978,0,0,0.37072,0,0,0.15315,0,0,0.35506,0,0,0.47099,0,0,0.16436,0,0,0.14213,0,0,0.53583,0,0
60,dart,312,0.5313,0,0,0.5557,0,0,0.48222,0,0,0.49633,0,0,0.57766,0,0,0.35599,0,0,0.53428,0,0,0.51504,0,0,0.47481,0,0,0.51663,0,0
61,dart,578,0.35263,0,0,0.58965,0,0,0.58729,0,0,0.55091,0,0,0.64151,0,0,0.49373,0,0,0.29319,0,0,0.43167,0,0,0.52826,0,0,0.51141,0,0
62,dart,462,0.54922,0,0,0.63422,0,0,0.35474,0,0,0.51133,0,0,0.5755,0,0,0.38827,0,0,0.47601,0,0,0.23177,0,0,0.40565,0,0,0.5048,0,0
63,dart,563,0.11177,0,0,0.56909,0,0,0.43616,0,0,0.46975,0,0,0.4244,0,0,0.55804,0,0,0.33961,0,0,0.41596,0,0,0.38689,0,0,0.37528,0,0
64,dart,836,0.34777,0,0,0.46855,0,0,0.34559,0,0,0.53569,0,0,0.58217,0,0,0.08715,0,0,0.4138,0,0,0.62795,0,0,0.43068,0,0,0.63095,0,0
65,dart,614,0.52799,0,0,0.15479,0,0,0.31441,0,0,0.375,0,0,0.34954,0,0,0.55652,0,0,0.15735,0,0,0.34489,0,0,0.41755,0,0,0.51623,0,0
66,dart,583,0.54543,0,0,0.47122,0,0,0.41351,0,0,0.17998,0,0,0.64826,0,0,0.64869,0,0,0.52162,0,0,0.33951,0,0,0.52699,0,0,0.43542,0,0
67,dart,519,0.52502,0,0,0.46877,0,0,0.58579,0,0,0.43487,0,0,0.48539,0,0,0.42558,0,0,0.53111,0,0,0.25,0,0,0.42108,0,0,0.575,0,0
68,dart,717,0.425,0,0,0.53498,0,0,0.50045,0,0,0.22797,0,0,0.71546,0,0,0.45821,0,0,0.529,0,0,0.57812,0,0,0.59956,0,0,0.5747,0,0
69,dart,555,0.64504,0,0,0.56663,0,0,0.60825,0,0,0.51668,0,0,0.35908,0,0,0.2627,0,0,0.21505,0,0,0.63277,0,0,0.58306,0,0,0.46146,0,0
70,dart,861,0.45418,0,0,0.27929,0,0,0.44336,0,0,0.40525,0,0,0.56915,0,0,0.41861,0,0,0.54199,0,0,0.40386,0,0,0.48151,0,0,0.39452,0,0
71,dart,433,0.46805,0,0,0.72825,0,0,0.27423,0,0,0.61575,0,0,0.31022,0,0,0.56562,0,0,0.28001,0,0,0.675,0,0,0.28786,0,0,0.76057,0,0
72,dart,511,0.72067,1,0,0.64178,0,0,0.44142,0,0,0.41396,0,0,0.54033,0,0,0.63221,0,0,0.36403,0,0,0.53291,0,0,0.38579,0,0,0.44648,0,0
73,dart,424,0.58953,0,0,0.48949,0,0,0.3405,0,0,0.60579,0,0,0.49092,0,0,0.59387,0,0,0.51293,0,0,0.50367,0,0,0.60254,0,0,0.55981,0,0
74,dart,607,0.51252,0,0,0.58982,0,0,0.57725,0,0,0.56816,0,0,0.55981,0,0,0.31923,0,0,0.44281,0,0,0.49278,0,0,0.4953,0,0,0.52374,0,0
75,dart,777,0.55058,0,0,0.66551,0,0,0.48855,0,0,0.42279,0,0,0.48626,0,0,0.48991,0,0,0.42191,0,0,0.50282,0,0,0.52984,0,0,0.40682,0,0
76,dart,488,0.35469,0,0,0.4525,0,0,0.51263,0,0,0.43057,0,0,0.21141,0,0,0.53975,0,0,0.43704,0,0,0.54979,0,0,0.46227,0,0,0.56653,0,0
77,dart,418,0.60923,0,0,0.33832,0,0,0.43323,0,0,0.50299,0,0,0.75,1,0,0.57216,0,0,0.55196,0,0,0.45198,0,0,0.58245,0,0,0.593,0,0
78,dart,527,0.11282,0,0,0.37662,0,0,0.13735,0,0,0.63991,0,0,0.525,1,0,0.4031,0,0,0.47963,0,0,0.66503,0,0,0.36975,0,0,0.60021,0,0
79,dart,462,0.4027,0,0,0.46366,0,0,0.54092,0,0,0.48665,0,0,0.52222,0,0,0.37209,0,0,0.56157,0,0,0.38308,0,0,0.55332,0,0,0.375,0,0
80,dart,542,0.6,1,0,0.51117,0,0,0.56717,0,0,0.5314,0,0,0.51792,0,0,0.52116,0,0,0.52813,0,0,0.50259,0,0,0.53781,0,0,0.56383,0,0
81,dart,1323,0.625,0,0,0.48114,0,0,0.57229,0,0,0.49428,0,0,0.53586,0,0,0.51516,0,0,0.28145,0,0,0.52903,0,0,0.52829,0,0,0.3842,0,0
82,dart,663,0.48482,0,0,0.52975,0,0,0.34572,0,0,0.66883,1,0,0.3518,0,0,0.32273,0,0,0.48602,0,0,0.50433,0,0,0.52053,0,0,0.49362,0,0
