problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.49179,0,0,0.48327,0,0,0.36096,0,0,0.18486,0,0,0.48244,0,0
1,dart,327,0.47148,0,0,0.37692,0,0,0.5007,0,0,0.45057,0,0,0.5297,0,0
2,dart,90,0.3657,0,0,0.42962,0,0,0.50262,0,0,0.43613,0,0,0.42054,0,0
3,dart,262,0.40138,0,0,0.43876,0,0,0.40296,0,0,0.41568,0,0,0.44755,0,0
4,dart,147,0.45079,0,0,0.47881,0,0,0.41655,0,0,0.51745,0,0,0.60745,0,0
5,dart,117,0.36676,0,0,0.41838,0,0,0.48622,0,0,0.39079,0,0,0.27369,0,0
6,dart,69,0.35154,0,0,0.43852,0,0,0.58953,0,0,0.37035,0,0,0.41748,0,0
7,dart,152,0.35714,0,0,0.43595,0,0,0.51228,0,0,0.33459,0,0,0.34476,0,0
8,dart,197,0.40367,0,0,0.44609,0,0,0.41652,0,0,0.35353,0,0,0.53956,0,0
9,dart,963,0.41026,0,0,0.36786,0,0,0.40393,0,0,0.30331,0,0,0.63141,0,0
10,dart,91,0.55967,0,0,0.46952,0,0,0.40011,0,0,0.42151,1,0,0.3192,0,0
11,dart,271,0.53374,0,0,0.49702,0,0,0.54875,0,0,0.5434,0,0,0.42681,0,0
12,dart,275,0.36303,0,0,0.52422,0,0,0.4624,0,0,0.38928,0,0,0.43176,0,0
13,dart,229,0.48826,0,0,0.50279,0,0,0.35683,0,0,0.52663,0,0,0.43676,0,0
14,dart,250,0.32564,0,0,0.40034,0,0,0.46796,0,0,0.40511,0,0,0.46816,0,0
15,dart,252,0.61258,0,0,0.4369,0,0,0.57174,0,0,0.55865,1,1,0.45477,0,0
16,dart,1164,0.36821,0,0,0.19729,0,0,0.44087,0,0,0.1284,0,0,0.44497,0,0
17,dart,88,0.47701,0,0,0.34943,0,0,0.53506,0,0,0.66074,0,0,0.44292,0,0
18,dart,123,0.46585,0,0,0.36384,0,0,0.37933,0,0,0.32149,0,0,0.35426,0,0
19,dart,71,0.40057,0,0,0.59366,0,0,0.40659,0,0,0.42575,0,0,0.39819,0,0
20,dart,88,0.44776,0,0,0.46028,0,0,0.44642,0,0,0.42081,0,0,0.46012,0,0
21,dart,88,0.35127,0,0,0.47644,1,0,0.48095,0,0,0.36634,0,0,0.43071,0,0
22,dart,78,0.37168,0,0,0.36467,0,0,0.34262,0,0,0.36478,0,0,0.27024,0,0
23,dart,220,0.67399,0,0,0.47815,0,0,0.54339,0,0,0.47264,0,0,0.74195,0,0
24,dart,132,0.37558,0,0,0.44311,0,0,0.70101,0,0,0.36346,0,0,0.45518,0,0
25,dart,559,0.33982,0,0,0.58976,0,0,0.61565,0,0,0.73077,1,1,0.67046,0,0
26,dart,67,0.38867,0,0,0.33633,0,0,0.41629,0,0,0.34339,0,0,0.37887,0,0
27,dart,988,0.61726,0,0,0.60128,0,0,0.28098,0,0,0.62852,0,0,0.59079,0,0
28,dart,78,0.40736,0,0,0.52719,1,1,0.54094,0,0,0.43639,0,0,0.37598,0,0
29,dart,402,0.59006,0,0,0.52109,0,0,0.3112,0,0,0.55998,0,0,0.56692,0,0
30,dart,88,0.31665,0,0,0.44107,0,0,0.2077,0,0,0.14088,0,0,0.71153,0,0
31,dart,85,0.36984,0,0,0.335,0,0,0.06284,0,0,0.40581,0,0,0.42882,0,0
32,dart,255,0.48542,0,0,0.48027,0,0,0.63487,0,0,0.51429,0,0,0.64105,0,0
33,dart,246,0.52785,0,0,0.63162,1,1,0.42346,0,0,0.45983,0,0,0.68542,1,1
34,dart,381,0.5661,0,0,0.61172,1,1,0.49931,0,0,0.48866,0,0,0.39949,0,0
35,dart,166,0.3526,0,0,0.31312,0,0,0.37225,0,0,0.30983,0,0,0.32455,0,0
36,dart,324,0.39899,0,0,0.48432,0,0,0.54907,0,0,0.47731,0,0,0.36235,0,0
37,dart,82,0.56403,1,1,0.35349,0,0,0.31833,0,0,0.34114,0,0,0.29793,0,0
38,dart,76,0.73134,0,0,0.62751,0,0,0.60836,0,0,0.41342,0,0,0.54576,0,0
39,dart,76,0.53595,1,1,0.631,0,0,0.61873,0,0,0.49256,0,0,0.58036,0,0
40,dart,69,0.08178,0,0,0.43733,0,0,0.43667,0,0,0.32085,0,0,0.49159,0,0
41,dart,708,0.55261,0,0,0.60561,0,0,0.56054,0,0,0.54099,0,0,0.4512,0,0
42,dart,200,0.48137,1,1,0.40022,0,0,0.49234,0,0,0.50777,0,0,0.44222,0,0
43,dart,942,0.50197,0,0,0.68561,0,0,0.39695,0,0,0.46262,0,0,0.44616,1,0
44,dart,287,0.49527,0,0,0.45587,0,0,0.49481,0,0,0.40865,0,0,0.43318,0,0
45,dart,965,0.42143,0,0,0.59084,0,0,0.53369,0,0,0.49956,0,0,0.59032,0,0
46,dart,104,0.05618,0,0,0.06776,0,0,0.03821,0,0,0.1006,0,0,0.07533,0,0
47,dart,345,0.51319,0,0,0.55503,0,0,0.49486,0,0,0.43964,0,0,0.53311,0,0
48,dart,2546,0.5239,0,0,0.56631,0,0,0.49654,0,0,0.55603,0,0,0.51495,0,0
49,dart,329,0.49041,0,0,0.50797,0,0,0.29518,0,0,0.39888,0,0,0.47686,0,0
50,dart,80,0.28847,0,0,0.31142,0,0,0.32176,0,0,0.4002,0,0,0.39548,0,0
51,dart,439,0.16031,0,0,0.54066,0,0,0.45649,0,0,0.55847,0,0,0.55433,0,0
52,dart,1353,0.58183,0,0,0.61675,0,0,0.75,0,0,0.45274,0,0,0.625,0,0
53,dart,219,0.45774,0,0,0.7308,0,0,0.39111,0,0,0.56664,0,0,0.70736,0,0
54,dart,237,0.43764,0,0,0.51411,0,0,0.62126,0,0,0.4473,0,0,0.55841,0,0
55,dart,1486,0.64247,0,0,0.26817,0,0,0.47288,0,0,0.60083,1,1,0.60476,1,0
56,dart,1112,0.58399,0,0,0.43466,0,0,0.31676,0,0,0.5625,0,0,0.50815,0,0
57,dart,493,0.46611,0,0,0.47413,0,0,0.49091,0,0,0.5348,0,0,0.49511,0,0
58,dart,780,0.21996,0,0,0.45155,0,0,0.35498,0,0,0.30609,0,0,0.51408,0,0
59,dart,214,0.37757,0,0,0.34693,0,0,0.35527,0,0,0.25,0,0,0.48481,0,0
60,dart,730,0.525,0,0,0.71068,0,0,0.64606,0,0,0.12013,0,0,0.53185,0,0
61,dart,485,0.53238,0,0,0.49238,0,0,0.58023,1,1,0.34375,0,0,0.62452,0,0
62,dart,484,0.50329,0,0,0.49254,0,0,0.45364,0,0,0.47064,0,0,0.51815,0,0
63,dart,43,0.29941,0,0,0.51022,0,0,0.25992,0,0,0.30741,0,0,0.45898,0,0
64,dart,43,0.31476,0,0,0.27552,0,0,0.41977,0,0,0.35638,0,0,0.44229,0,0
65,dart,419,0.51639,1,1,0.45289,0,0,0.53915,0,0,0.47113,0,0,0.4494,0,0
66,dart,691,0.39737,0,0,0.39789,0,0,0.30651,0,0,0.43336,0,0,0.3936,0,0
67,dart,1238,0.41363,0,0,0.45979,0,0,0.605,0,0,0.2873,0,0,0.53777,0,0
68,dart,1173,0.55354,0,0,0.46856,0,0,0.58403,0,0,0.14679,0,0,0.42048,0,0
69,dart,1076,0.45833,0,0,0.26243,0,0,0.54351,0,0,0.2616,0,0,0.32368,0,0
70,dart,3076,0.47479,0,0,0.45706,0,0,0.52306,0,0,0.55391,0,0,0.42568,0,0
71,dart,435,0.4188,0,0,0.48302,0,0,0.39532,0,0,0.47046,0,0,0.2875,0,0
72,dart,874,0.54077,0,0,0.58691,1,1,0.17806,0,0,0.42146,0,0,0.25,0,0
73,dart,2146,0.56492,1,1,0.50551,0,0,0.58081,0,0,0.59445,0,0,0.25,0,0
74,dart,515,0.3512,0,0,0.318,0,0,0.42036,0,0,0.4376,0,0,0.32146,0,0
75,dart,933,0.54741,0,0,0.40936,0,0,0.37175,0,0,0.44796,0,0,0.55067,0,0
76,dart,86,0.37068,0,0,0.53035,0,0,0.31798,0,0,0.52554,0,0,0.62532,0,0
77,dart,86,0.35472,0,0,0.39372,0,0,0.3515,0,0,0.36991,0,0,0.41868,1,0
78,dart,265,0.56786,0,0,0.4711,0,0,0.47705,0,0,0.54115,0,0,0.72321,0,0
79,dart,432,0.52978,0,0,0.55412,0,0,0.51547,0,0,0.48594,0,0,0.4737,0,0
80,dart,101,0.46611,0,0,0.41082,0,0,0.40762,0,0,0.39855,0,0,0.33477,0,0
81,dart,147,0.4454,0,0,0.34974,0,0,0.4069,0,0,0.35942,0,0,0.1111,0,0
82,dart,4338,0.55666,0,0,0.42851,0,0,0.23603,0,0,0.61951,0,0,0.57197,0,0
83,dart,5416,0.31055,0,0,0.44118,0,0,0.5073,0,0,0.65909,0,0,0.41234,0,0
84,dart,366,0.52974,0,0,0.46454,0,0,0.36312,0,0,0.50171,0,0,0.48808,0,0
85,dart,637,0.5154,0,0,0.4668,0,0,0.46191,0,0,0.48511,0,0,0.44359,0,0
86,dart,21,0.27609,0,0,0.27818,0,0,0.31394,0,0,0.36298,0,0,0.32151,0,0
87,dart,121,0.07826,0,0,0.08027,0,0,0.1016,0,0,0.09422,0,0,0.11965,0,0
88,dart,305,0.43132,0,0,0.27256,0,0,0.50546,0,0,0.26757,0,0,0.31895,0,0
89,dart,528,0.33664,0,0,0.70833,1,1,0.55702,0,0,0.52686,0,0,0.44397,0,0
90,dart,479,0.51789,0,0,0.48023,0,0,0.5081,0,0,0.51152,0,0,0.56782,0,0
91,dart,365,0.40081,0,0,0.49966,0,0,0.33333,0,0,0.45899,0,0,0.27766,0,0
92,dart,148,0.60507,1,0,0.4541,0,0,0.36204,0,0,0.3574,0,0,0.31252,0,0
93,dart,182,0.33883,0,0,0.43746,0,0,0.34503,0,0,0.41907,0,0,0.40606,0,0
94,dart,685,0.27662,0,0,0.54034,0,0,0.36771,0,0,0.41516,0,0,0.52227,0,0
95,dart,1878,0.52389,0,0,0.5718,0,0,0.56458,0,0,0.51667,0,0,0.62297,0,0
96,dart,366,0.60979,0,0,0.65006,1,0,0.64203,0,0,0.41418,0,0,0.65259,0,0
97,dart,358,0.49891,0,0,0.68606,0,0,0.53246,0,0,0.28488,0,0,0.55924,0,0
98,dart,99,0.57583,0,0,0.10371,0,0,0.43888,0,0,0.31072,0,0,0.52869,1,0
99,dart,1024,0.57699,0,0,0.50022,0,0,0.5338,0,0,0.50748,0,0,0.27873,0,0
100,dart,632,0.47711,0,0,0.20063,0,0,0.3856,0,0,0.49815,0,0,0.44886,0,0
101,dart,131,0.48768,0,0,0.41741,0,0,0.44253,0,0,0.3477,0,0,0.3756,0,0
102,dart,216,0.29265,0,0,0.3786,0,0,0.48871,0,0,0.45298,0,0,0.58402,0,0
103,dart,59,0.18729,0,0,0.42368,0,0,0.58575,1,1,0.51375,0,0,0.50347,0,0
104,dart,159,0.54181,0,0,0.45178,0,0,0.4451,0,0,0.5164,1,1,0.44919,0,0
105,dart,196,0.47588,0,0,0.46111,0,0,0.52887,0,0,0.56745,0,0,0.55098,0,0
106,dart,703,0.65774,1,0,0.24494,0,0,0.64187,0,0,0.33224,0,0,0.56516,0,0
107,dart,354,0.46791,0,0,0.51117,0,0,0.4777,0,0,0.58676,0,0,0.39966,0,0
108,dart,224,0.20437,0,0,0.1882,0,0,0.59984,0,0,0.42465,0,0,0.49479,0,0
109,dart,727,0.51905,0,0,0.5403,0,0,0.32236,0,0,0.59277,0,0,0.56508,0,0
110,dart,663,0.53594,0,0,0.55952,1,1,0.50676,0,0,0.41477,0,0,0.4918,0,0
111,dart,1019,0.52122,0,0,0.58157,0,0,0.63131,0,0,0.51701,0,0,0.50869,0,0
112,dart,109,0.39513,0,0,0.38444,0,0,0.76515,0,0,0.4095,0,0,0.4596,0,0
113,dart,270,0.4331,0,0,0.53923,0,0,0.27857,0,0,0.37969,0,0,0.51582,0,0
114,dart,296,0.44242,0,0,0.44152,0,0,0.73406,0,0,0.48046,0,0,0.33565,0,0
115,dart,374,0.46972,0,0,0.70172,0,0,0.60156,0,0,0.49859,0,0,0.43378,0,0
116,dart,323,0.45868,0,0,0.59797,0,0,0.65401,0,0,0.23165,0,0,0.52015,0,0
