problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.66259,0,0,0.34217,0,0,0.61956,0,0,0.34982,0,0,0.47777,0,0,0.16859,0,0,0.63302,0,0,0.54798,0,0,0.6626,0,0,0.65243,0,0
1,dart,1184,0.59356,0,0,0.463,0,0,0.54757,0,0,0.68249,0,0,0.61541,0,0,0.53719,0,0,0.5379,0,0,0.21554,0,0,0.30486,0,0,0.59102,0,0
2,dart,301,0.54039,0,0,0.64739,0,0,0.51806,0,0,0.30371,0,0,0.46032,0,0,0.53327,0,0,0.56264,1,0,0.30789,0,0,0.32691,0,0,0.68968,1,0
3,dart,471,0.62304,0,0,0.69531,0,0,0.40116,0,0,0.52876,0,0,0.65549,0,0,0.55477,0,0,0.41946,0,0,0.71366,0,0,0.45443,0,0,0.68298,0,0
4,dart,611,0.58999,0,0,0.60472,0,0,0.54778,0,0,0.62327,0,0,0.5496,0,0,0.5511,0,0,0.39375,0,0,0.44672,0,0,0.47062,0,0,0.53441,0,0
5,dart,564,0.41091,0,0,0.37316,0,0,0.69351,0,0,0.58626,0,0,0.61722,0,0,0.45249,0,0,0.61467,0,0,0.65643,0,0,0.37516,0,0,0.75844,0,0
6,dart,852,0.5817,0,0,0.51896,0,0,0.36568,0,0,0.57835,0,0,0.55586,0,0,0.52984,0,0,0.48118,0,0,0.54681,0,0,0.41404,0,0,0.56096,0,0
7,dart,547,0.45833,0,0,0.67893,0,0,0.56587,0,0,0.3293,0,0,0.54886,0,0,0.59013,0,0,0.60323,0,0,0.38421,0,0,0.52586,0,0,0.71875,0,0
8,dart,598,0.45584,0,0,0.56451,0,0,0.61646,0,0,0.43246,0,0,0.58095,0,0,0.60707,0,0,0.61065,0,0,0.58447,0,0,0.53998,0,0,0.68522,0,0
9,dart,807,0.68225,0,0,0.59539,0,0,0.47168,0,0,0.49671,0,0,0.67477,0,0,0.63517,1,0,0.49497,0,0,0.63792,0,0,0.53918,0,0,0.55904,0,0
10,dart,798,0.51894,0,0,0.59541,1,0,0.46129,0,0,0.55633,0,0,0.2388,0,0,0.50557,0,0,0.2592,0,0,0.60755,0,0,0.60292,0,0,0.2393,0,0
11,dart,629,0.57787,0,0,0.58906,0,0,0.64524,0,0,0.61041,0,0,0.60601,0,0,0.53985,0,0,0.4916,0,0,0.23159,0,0,0.6102,0,0,0.60359,0,0
12,dart,534,0.65758,0,0,0.5712,0,0,0.52025,0,0,0.59951,0,0,0.3129,0,0,0.51223,0,0,0.53569,0,0,0.42522,0,0,0.425,0,0,0.54646,0,0
13,dart,491,0.45911,0,0,0.71426,0,0,0.52742,0,0,0.50854,0,0,0.43162,0,0,0.31855,0,0,0.70167,0,1,0.59665,0,0,0.6381,0,0,0.48316,0,0
14,dart,381,0.47081,0,0,0.50107,0,0,0.12929,0,0,0.72723,1,1,0.54735,0,0,0.57249,0,0,0.62238,0,0,0.53077,1,0,0.63469,0,0,0.68165,0,0
15,dart,542,0.42216,0,0,0.51029,0,0,0.15239,0,0,0.71391,0,0,0.53517,0,0,0.30259,0,0,0.52405,0,0,0.50804,0,0,0.70012,0,0,0.46042,0,0
16,dart,319,0.40272,0,0,0.43302,0,0,0.52969,1,0,0.51382,0,0,0.48767,0,0,0.71875,0,0,0.56502,0,0,0.53608,0,0,0.13452,0,0,0.52172,0,0
17,dart,636,0.45833,0,0,0.40747,0,0,0.55303,1,0,0.45837,0,0,0.75,0,0,0.50567,0,0,0.62281,0,0,0.44734,0,0,0.39375,0,0,0.46824,0,0
18,dart,486,0.34642,0,0,0.47782,0,0,0.15808,0,0,0.54892,0,0,0.62164,0,0,0.54097,0,0,0.60192,0,0,0.60493,0,0,0.27477,0,0,0.6019,0,0
19,dart,702,0.57928,0,0,0.39659,0,0,0.59002,0,0,0.4264,0,0,0.45138,0,0,0.63743,0,0,0.5768,0,0,0.60543,0,0,0.54704,0,0,0.61416,0,0
20,dart,1013,0.75,0,0,0.52931,0,0,0.46133,0,0,0.32329,0,0,0.45517,0,0,0.60429,0,0,0.43634,0,0,0.13417,0,0,0.44866,0,0,0.22887,0,0
21,dart,701,0.54243,0,0,0.67418,0,0,0.59821,0,0,0.25615,0,0,0.52016,0,0,0.39763,0,0,0.39375,0,0,0.52367,0,0,0.22831,0,0,0.61937,0,0
22,dart,917,0.17586,0,0,0.57048,0,0,0.53073,0,0,0.48721,0,0,0.58384,0,0,0.34022,0,0,0.59871,0,0,0.67055,0,0,0.39029,0,0,0.34855,0,0
24,dart,420,0.57928,0,0,0.53232,0,0,0.4449,0,0,0.43883,0,0,0.62397,1,0,0.56917,0,0,0.51121,0,0,0.53698,0,0,0.09137,0,0,0.41319,0,0
