problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.57373,0,0,0.70085,0,0,0.65067,0,0,0.61902,0,0,0.69226,0,0,0.63651,0,0,0.6598,0,0,0.64046,0,0,0.7393,0,0,0.35202,0,0
1,dart,1184,0.49594,0,0,0.43013,0,0,0.63442,0,0,0.49375,0,0,0.4357,0,0,0.54177,0,0,0.45199,0,0,0.47976,0,0,0.33448,0,0,0.33889,0,0
2,dart,301,0.63791,0,0,0.64866,0,0,0.54359,0,0,0.29492,0,0,0.36822,0,0,0.5793,0,0,0.64142,1,0,0.64212,0,0,0.59032,0,0,0.3617,0,0
3,dart,471,0.6518,0,0,0.74536,0,0,0.6782,0,0,0.52005,0,0,0.57777,0,0,0.69911,0,0,0.55578,0,0,0.74864,1,1,0.65834,0,0,0.67568,0,0
4,dart,611,0.34374,0,0,0.48465,0,0,0.52858,0,0,0.67319,0,0,0.52665,0,0,0.48565,0,0,0.54422,0,0,0.61005,0,0,0.57114,0,0,0.53443,0,0
5,dart,564,0.74603,0,0,0.55775,0,0,0.69724,1,0,0.77391,0,1,0.69355,0,0,0.3494,0,0,0.63699,0,0,0.40764,0,0,0.48829,0,0,0.65,0,0
6,dart,852,0.64872,1,0,0.33946,0,0,0.65115,0,0,0.57057,0,0,0.41521,0,0,0.57934,0,0,0.67113,0,0,0.32546,0,0,0.24474,0,0,0.47648,0,0
7,dart,547,0.1533,0,0,0.41147,0,0,0.502,0,0,0.47591,0,0,0.40932,0,0,0.51366,0,0,0.6881,1,0,0.12763,0,0,0.44397,0,0,0.55611,0,0
8,dart,598,0.48716,0,0,0.63173,0,0,0.63227,1,0,0.44946,0,0,0.32793,0,0,0.6337,0,0,0.50414,0,0,0.68547,0,0,0.55066,0,0,0.58856,0,0
9,dart,807,0.65125,0,0,0.67038,0,1,0.66653,0,0,0.65368,0,0,0.62314,0,0,0.66602,0,0,0.59273,0,0,0.64437,0,0,0.54693,0,0,0.64301,0,0
