problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.51842,0,0,0.7091,0,0,0.47578,0,0,0.3252,0,0,0.40817,0,0,0.52461,0,0,0.62821,0,0,0.70362,0,0,0.65035,0,0,0.4977,0,0
1,dart,1184,0.51251,0,0,0.62627,0,0,0.60952,0,0,0.49378,0,0,0.56108,0,0,0.51603,0,0,0.59695,0,0,0.54809,0,0,0.55479,0,0,0.66521,0,0
2,dart,301,0.66224,0,0,0.14208,0,0,0.58019,0,0,0.34735,0,0,0.64586,0,0,0.51944,0,0,0.41652,0,0,0.31547,0,0,0.38553,0,0,0.59255,0,0
3,dart,471,0.45686,0,0,0.37351,0,0,0.08121,0,0,0.42778,0,0,0.51322,0,0,0.34896,0,0,0.36458,0,0,0.56173,0,0,0.5356,0,0,0.35917,0,0
4,dart,611,0.52583,0,0,0.58814,0,0,0.56294,0,0,0.41878,0,0,0.27398,0,0,0.56674,0,0,0.48506,0,0,0.47406,0,0,0.60112,0,0,0.36807,0,0
5,dart,564,0.45607,0,0,0.27013,0,0,0.58468,0,0,0.45175,0,0,0.27355,0,0,0.32144,0,0,0.5366,0,0,0.44747,0,0,0.34327,0,0,0.63542,0,0
6,dart,852,0.5107,0,0,0.497,0,0,0.55577,0,0,0.53643,0,0,0.58879,0,0,0.54198,0,0,0.6467,0,0,0.26627,0,0,0.64859,0,0,0.39277,0,0
7,dart,547,0.27422,0,0,0.52146,0,0,0.64257,0,0,0.51699,0,0,0.41986,0,0,0.55217,0,0,0.25,0,0,0.37547,0,0,0.75907,0,0,0.25,0,0
8,dart,598,0.44645,0,0,0.37183,0,0,0.3621,0,0,0.4755,0,0,0.39942,0,0,0.39145,0,0,0.2891,0,0,0.48201,0,0,0.45746,0,0,0.61618,0,0
9,dart,807,0.57832,0,0,0.50844,0,0,0.63911,0,0,0.41539,0,0,0.40105,0,0,0.4837,0,0,0.5083,0,0,0.52536,0,0,0.7,0,0,0.6754,0,0
