problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.60321,1,1,0.73245,1,1,0.62747,0,0,0.50233,0,0,0.341,0,0
1,dart,327,0.51848,0,0,0.55215,0,0,0.71324,1,0,0.42753,0,0,0.51376,1,1
2,dart,90,0.34079,0,0,0.6263,1,1,0.60188,1,1,0.69221,0,0,0.52476,1,1
3,dart,262,0.45789,1,0,0.51168,1,1,0.34644,0,0,0.43677,1,0,0.34316,0,0
4,dart,147,0.37408,0,0,0.65046,1,1,0.65499,1,1,0.53164,0,0,0.60817,0,0
5,dart,117,0.70981,1,1,0.52408,0,0,0.54924,1,0,0.39912,0,0,0.75747,1,1
6,dart,69,0.28541,1,1,0.93195,1,1,0.7505,1,1,0.8654,1,1,0.84648,0,0
7,dart,152,0.45865,1,1,0.73617,1,1,0.69603,1,1,0.73617,1,1,0.47134,0,0
8,dart,197,0.32283,0,0,0.45167,1,1,0.34693,1,0,0.66289,1,1,0.55891,1,1
9,dart,963,0.57014,0,0,0.64225,0,0,0.66268,0,0,0.64531,1,1,0.70833,0,0
10,dart,91,0.59922,0,0,0.92293,0,0,0.84653,1,0,0.71018,1,0,0.79301,0,0
11,dart,271,0.47032,0,0,0.69259,0,0,0.39996,0,0,0.7205,0,0,0.77437,0,0
12,dart,275,0.57816,0,0,0.66495,0,0,0.36837,0,0,0.58295,0,0,0.73335,0,0
13,dart,229,0.65717,1,1,0.61118,1,1,0.67004,1,1,0.59377,1,1,0.44371,0,0
14,dart,250,0.72925,0,0,0.72656,1,1,0.63841,0,0,0.4558,0,0,0.36942,0,0
15,dart,252,0.52693,0,0,0.37128,0,0,0.58577,1,1,0.69545,1,1,0.73604,1,1
16,dart,1164,0.59751,1,1,0.53714,0,0,0.6875,1,1,0.68376,0,0,0.52273,0,0
17,dart,88,0.36324,0,0,0.61677,0,0,0.73405,1,1,0.44075,1,1,0.33393,0,0
18,dart,123,0.10309,0,0,0.32352,0,0,0.28255,0,0,0.29495,0,0,0.43867,1,1
19,dart,71,0.67976,0,0,0.33183,0,0,0.85906,0,0,0.71315,0,0,0.34207,0,0
20,dart,88,0.66553,1,1,0.60016,1,1,0.43299,1,1,0.55488,1,1,0.48257,0,0
21,dart,88,0.66675,1,1,0.40908,0,0,0.36828,1,0,0.51872,0,0,0.36193,0,0
22,dart,78,0.46571,0,0,0.60312,1,1,0.58335,1,1,0.34422,0,0,0.39495,0,0
23,dart,220,0.44357,1,1,0.70833,1,1,0.61372,0,0,0.16202,0,0,0.43133,0,0
24,dart,132,0.56086,0,0,0.73408,1,1,0.62851,1,1,0.60214,1,1,0.68415,1,1
25,dart,559,0.60966,1,1,0.54944,1,0,0.65988,0,0,0.75,1,1,0.47191,0,0
26,dart,67,0.62135,1,1,0.47922,1,1,0.53413,1,1,0.45403,0,0,0.57736,1,1
