problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass,cand_11_codebleu,cand_11_compile,cand_11_pass,cand_12_codebleu,cand_12_compile,cand_12_pass,cand_13_codebleu,cand_13_compile,cand_13_pass,cand_14_codebleu,cand_14_compile,cand_14_pass,cand_15_codebleu,cand_15_compile,cand_15_pass,cand_16_codebleu,cand_16_compile,cand_16_pass
0,dart,687,0.69044,1,0,0.53962,0,0,0.61135,0,0,0.69529,1,0,0.69552,1,0,0.68753,1,0,0.70567,1,0,0.71048,1,0,0.71365,1,0,0.68976,0,0,0.47472,0,0,0.63158,1,0,0.73463,1,1,0.51418,0,0,0.725,1,0,0.70822,1,0
1,dart,1184,0.71063,1,0,0.65703,0,0,0.67469,1,0,0.37903,0,0,0.66409,1,0,0.52262,0,0,0.69331,1,0,0.59452,0,0,0.6897,0,0,0.70077,0,0,0.72213,1,1,0.69969,0,0,0.65901,0,0,0.67904,1,0,0.63009,1,0,0.68788,0,0
2,dart,301,0.64131,0,0,0.69265,0,0,0.67184,0,0,0.67415,1,0,0.68655,0,0,0.72888,1,1,0.73123,0,0,0.64491,0,0,0.4235,1,0,0.69265,0,0,0.57749,0,0,0.63861,0,0,0.696,1,0,0.64187,1,0,0.62827,0,0,0.42223,1,0
3,dart,471,0.7288,1,0,0.69451,1,0,0.70151,1,0,0.6828,1,1,0.74073,1,0,0.74403,1,1,0.70228,1,1,0.6874,1,0,0.69964,1,0,0.71205,1,0,0.6404,1,0,0.64674,1,0,0.64395,1,1,0.71288,1,0,0.73443,1,0,0.69302,1,0
4,dart,611,0.53967,1,0,0.75,0,0,0.4939,1,1,0.61122,1,1,0.65404,1,0,0.55994,1,1,0.66063,0,0,0.63468,1,1,0.56724,1,0,0.69449,0,0,0.56808,0,0,0.62807,1,1,0.53079,1,1,0.58514,0,0,0.50613,1,1,0.53497,1,1
5,dart,564,0.81242,1,1,0.77432,1,1,0.7846,1,1,0.7846,1,1,0.7125,0,0,0.81242,1,1,0.7846,1,1,0.82519,1,1,0.67616,0,0,0.80867,1,1,0.76946,1,1,0.66858,1,0,0.74541,1,1,0.76223,1,1,0.77432,1,1,0.75501,0,0
6,dart,852,0.53247,0,0,0.41829,0,0,0.63475,1,0,0.58414,0,0,0.61704,1,0,0.60767,0,0,0.64958,0,0,0.64126,1,0,0.69251,1,0,0.69605,1,0,0.60559,1,0,0.63588,0,0,0.70203,1,0,0.62108,1,0,0.6963,0,0,0.70655,1,0
7,dart,547,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.58591,1,1,0.74185,1,1,0.74185,1,1,0.58591,1,1,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.61345,1,1,0.74185,1,1,0.61345,1,1,0.74185,1,1,0.58591,1,1
8,dart,598,0.60853,1,0,0.49649,1,0,0.60331,0,0,0.68639,1,0,0.64588,1,0,0.58011,1,0,0.63414,0,0,0.58898,1,0,0.62013,1,0,0.58247,0,0,0.6095,1,0,0.70717,1,0,0.60172,0,0,0.70103,1,0,0.53851,1,0,0.7127,1,0
9,dart,807,0.58067,1,0,0.62767,1,1,0.62767,1,1,0.6406,1,1,0.63396,1,1,0.63442,1,1,0.63143,1,1,0.71836,1,1,0.6286,1,0,0.62618,1,1,0.67206,1,1,0.62154,0,0,0.64316,1,1,0.65199,1,1,0.63798,1,0,0.63341,1,1
10,dart,798,0.6253,1,0,0.6249,0,0,0.61071,0,0,0.71094,1,0,0.61803,1,0,0.60066,1,0,0.57318,1,0,0.58133,1,0,0.28634,0,0,0.50028,0,0,0.60809,0,0,0.34162,1,0,0.61552,0,0,0.7393,1,0,0.68315,1,0,0.65246,0,0
11,dart,629,0.72601,1,1,0.6476,1,0,0.62294,0,0,0.70418,1,0,0.62062,0,0,0.64002,1,0,0.67438,1,1,0.62288,1,1,0.63579,1,0,0.67835,1,1,0.70292,1,1,0.5229,0,0,0.64434,1,1,0.67837,1,1,0.69703,1,1,0.67289,0,0
12,dart,534,0.32161,1,1,0.6147,1,0,0.47474,0,0,0.32094,1,1,0.60639,1,0,0.63667,1,1,0.59627,1,0,0.5621,1,0,0.60639,1,0,0.54127,0,0,0.63691,1,0,0.61323,1,0,0.62204,1,0,0.49951,1,0,0.62364,1,1,0.61634,1,0
13,dart,491,0.67478,1,1,0.72142,1,1,0.73556,1,1,0.74398,1,1,0.73556,1,1,0.74398,1,1,0.6722,1,1,0.72142,1,1,0.58936,1,0,0.55677,0,0,0.7821,1,1,0.73556,1,1,0.74398,1,1,0.51387,0,0,0.73556,1,1,0.74398,1,1
14,dart,381,0.78102,1,1,0.76218,1,1,0.75191,1,1,0.73799,1,1,0.75032,1,1,0.76737,1,1,0.72723,1,1,0.78301,1,1,0.79563,1,1,0.78344,1,1,0.79101,1,1,0.73752,1,1,0.71085,1,1,0.76737,1,1,0.72529,1,1,0.73875,1,1
15,dart,542,0.51861,0,0,0.51749,1,1,0.59494,1,1,0.57516,1,1,0.52135,1,1,0.57726,1,1,0.52314,1,0,0.55973,1,0,0.52191,0,0,0.57267,1,1,0.44398,0,0,0.58627,1,1,0.58826,1,1,0.55881,0,0,0.51101,1,1,0.70621,0,0
16,dart,319,0.59537,0,0,0.47375,1,0,0.60686,1,0,0.49918,0,0,0.49065,0,0,0.51261,0,0,0.56312,1,0,0.42731,0,0,0.76251,1,0,0.45175,1,0,0.51158,0,0,0.49571,0,0,0.59729,0,0,0.50451,1,0,0.45416,0,0,0.42672,0,0
17,dart,636,0.75,0,0,0.49183,0,0,0.75,0,0,0.48783,0,0,0.49302,1,0,0.4503,1,0,0.52685,1,0,0.521,0,0,0.46239,0,0,0.54764,0,0,0.46271,0,0,0.52086,1,0,0.50136,0,0,0.52859,1,0,0.41959,1,0,0.47022,0,0
18,dart,486,0.60004,1,1,0.69619,1,0,0.76815,1,1,0.66763,1,0,0.75977,1,1,0.60818,1,1,0.61449,1,1,0.74506,1,1,0.61561,1,0,0.63655,1,1,0.78239,1,1,0.77014,1,1,0.70826,0,1,0.76815,1,1,0.73568,1,1,0.74045,1,1
19,dart,702,0.73986,0,0,0.5511,1,0,0.72118,0,0,0.74351,0,0,0.65681,1,0,0.73243,0,0,0.53409,1,0,0.4243,1,0,0.47727,0,0,0.61382,0,0,0.54823,1,0,0.68714,0,0,0.52912,0,0,0.36293,0,0,0.69875,0,0,0.55074,0,0
20,dart,1013,0.67577,0,0,0.60445,1,0,0.46542,0,0,0.63461,1,0,0.54738,0,0,0.50393,0,0,0.53266,0,0,0.60926,0,0,0.50867,1,0,0.64939,1,0,0.68489,1,0,0.57712,0,0,0.65509,0,0,0.59846,0,0,0.49743,0,0,0.54595,0,0
21,dart,701,0.74214,1,1,0.70535,1,0,0.72479,1,0,0.70139,1,1,0.71384,1,1,0.71565,1,1,0.67035,0,0,0.7113,1,0,0.65866,1,1,0.70534,1,1,0.34993,1,1,0.68328,1,1,0.56007,1,1,0.66889,0,0,0.72012,1,1,0.66939,1,0
22,dart,917,0.75002,1,1,0.75002,1,1,0.58405,1,0,0.62953,0,0,0.75002,1,1,0.75002,1,1,0.64956,1,1,0.75002,1,1,0.75002,1,1,0.62953,0,0,0.69174,1,1,0.65007,0,0,0.75002,1,1,0.5055,1,0,0.58678,1,1,0.65677,0,0
24,dart,420,0.67368,1,0,0.62675,1,0,0.60336,0,0,0.60595,1,1,0.60124,1,0,0.6692,1,1,0.68018,1,1,0.72686,1,1,0.60547,1,0,0.69933,1,1,0.66313,0,0,0.6581,1,1,0.60195,0,0,0.58611,1,0,0.6149,1,1,0.64448,0,0
26,dart,565,0.74163,1,0,0.60098,1,0,0.70941,1,0,0.74163,1,0,0.60207,0,0,0.69657,1,0,0.62587,0,0,0.64592,1,0,0.63169,0,0,0.67582,1,0,0.62518,0,0,0.6773,0,0,0.66597,1,0,0.67582,1,0,0.66108,0,0,0.68129,0,0
27,dart,753,0.65619,0,0,0.73959,1,1,0.67216,0,0,0.61203,1,0,0.67281,1,1,0.67892,0,0,0.73252,1,1,0.73959,1,1,0.74119,1,1,0.59467,0,0,0.6898,1,0,0.58722,0,0,0.70029,0,0,0.73959,1,1,0.57542,1,0,0.54901,0,0
28,dart,373,0.48594,1,0,0.75068,1,1,0.40356,0,0,0.75068,1,1,0.66163,1,1,0.64063,1,1,0.75068,1,1,0.48609,1,0,0.75029,1,1,0.39705,0,0,0.4623,1,0,0.35315,0,0,0.4252,1,1,0.75068,1,1,0.75068,1,1,0.60106,0,0
29,dart,671,0.73936,1,1,0.73408,1,1,0.73408,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.57476,1,1,0.73936,1,1,0.73408,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73846,0,0,0.73936,1,1
30,dart,329,0.75442,1,1,0.77148,1,1,0.77148,1,1,0.6032,1,1,0.75442,1,1,0.5867,1,1,0.75442,1,1,0.7495,1,1,0.56068,0,0,0.6032,0,0,0.58836,1,1,0.58449,1,1,0.56068,1,1,0.56068,1,1,0.58704,0,0,0.75442,1,1
31,dart,502,0.70405,0,0,0.72259,1,1,0.73235,1,1,0.68912,1,1,0.72259,1,1,0.72604,0,0,0.73235,1,1,0.66625,0,0,0.67268,1,1,0.73235,1,1,0.7066,0,0,0.66167,0,0,0.63137,0,0,0.71848,0,0,0.62013,1,0,0.73226,1,1
33,dart,616,0.67135,0,0,0.63979,0,0,0.63846,1,0,0.64049,0,0,0.21104,0,0,0.63881,1,0,0.67928,0,0,0.58459,1,0,0.75002,1,0,0.71607,1,0,0.66208,0,0,0.52123,0,0,0.55924,0,0,0.62518,1,0,0.7517,1,0,0.71398,1,0
34,dart,643,0.51844,0,0,0.53889,0,0,0.51008,0,0,0.57716,0,0,0.65371,1,0,0.52008,0,0,0.50179,1,0,0.55214,1,0,0.54163,1,0,0.73841,1,0,0.54306,0,0,0.56365,1,0,0.60282,1,0,0.73841,1,0,0.5483,0,0,0.57022,1,0
35,dart,346,0.62758,1,1,0.23618,0,0,0.63932,0,0,0.20826,0,0,0.73355,1,0,0.56388,0,0,0.12772,1,0,0.62758,1,1,0.62574,1,0,0.71966,0,0,0.54285,1,0,0.58916,0,0,0.67617,1,1,0.71267,1,0,0.57619,1,1,0.62011,1,1
36,dart,448,0.68167,1,0,0.60787,1,0,0.59668,1,0,0.63572,1,0,0.69479,1,0,0.62779,0,0,0.64169,1,0,0.70566,0,0,0.61785,1,0,0.56136,0,0,0.58739,1,0,0.57194,1,0,0.65285,1,0,0.63572,1,0,0.46989,1,0,0.62645,1,0
