problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.45445,0,0,0.59043,0,0,0.58791,0,0,0.71282,0,0,0.60809,0,0,0.6167,0,0,0.47262,0,0,0.68481,1,0,0.53676,0,0,0.50354,0,0
1,dart,1184,0.55602,0,0,0.72222,0,0,0.65078,1,0,0.45779,0,0,0.52216,0,0,0.48999,0,0,0.40223,0,0,0.6282,0,0,0.60612,0,0,0.63799,0,0
2,dart,301,0.35294,0,0,0.56397,0,0,0.13372,0,0,0.11153,0,0,0.56984,0,0,0.45822,0,0,0.55979,0,0,0.49051,0,0,0.48892,0,0,0.40254,0,0
3,dart,471,0.51688,0,0,0.62815,0,0,0.14,0,0,0.43214,0,0,0.72678,0,0,0.38602,0,0,0.59295,0,0,0.32013,0,0,0.72327,0,0,0.36144,0,0
4,dart,611,0.52831,0,0,0.53891,0,0,0.47268,0,0,0.42688,0,0,0.62644,0,0,0.64903,0,0,0.11148,0,0,0.24509,0,0,0.39884,0,0,0.37435,0,0
5,dart,564,0.31613,0,0,0.40126,0,0,0.6981,0,0,0.66707,0,0,0.32188,0,0,0.59658,0,0,0.57451,0,0,0.62533,0,0,0.7356,0,0,0.61809,0,0
6,dart,852,0.56324,0,0,0.6432,0,0,0.56365,0,0,0.41975,0,0,0.63149,0,0,0.62387,0,0,0.26373,0,0,0.66282,0,0,0.49765,0,0,0.70028,0,0
7,dart,547,0.18205,0,0,0.61618,0,0,0.59379,0,0,0.50028,0,0,0.11001,0,0,0.56879,0,0,0.54177,0,0,0.35322,0,0,0.63011,0,1,0.49875,0,0
8,dart,598,0.49537,0,0,0.5095,0,0,0.6477,0,0,0.38156,0,0,0.12264,0,0,0.34514,0,0,0.4396,0,0,0.425,0,0,0.70834,1,0,0.22748,0,0
9,dart,807,0.41304,0,0,0.5053,0,0,0.51363,0,0,0.75004,1,0,0.53661,0,0,0.35268,0,0,0.44221,0,0,0.15548,0,0,0.39338,0,0,0.37397,0,0
10,dart,798,0.55359,0,0,0.53596,0,0,0.16363,0,0,0.1343,0,0,0.11361,0,0,0.12327,0,0,0.5625,0,0,0.56029,0,0,0.30296,0,0,0.59926,0,0
11,dart,629,0.56918,0,0,0.64091,0,0,0.59259,0,0,0.59904,0,0,0.66652,0,0,0.65042,0,0,0.59788,0,0,0.62304,0,0,0.61111,0,0,0.2902,0,0
12,dart,534,0.5127,0,0,0.38298,0,0,0.26367,0,0,0.65772,0,0,0.44657,0,0,0.60389,0,0,0.57201,0,0,0.64072,0,0,0.49125,0,0,0.425,0,0
13,dart,491,0.29536,0,0,0.76989,0,0,0.67348,0,1,0.69754,0,0,0.29536,0,0,0.54761,0,0,0.11764,0,0,0.23521,0,0,0.5711,0,0,0.08882,0,0
14,dart,381,0.59495,0,0,0.42125,0,0,0.5166,0,0,0.60289,0,0,0.68182,0,0,0.58936,0,0,0.39683,0,0,0.65264,0,0,0.62234,0,0,0.43585,0,0
15,dart,542,0.40315,0,0,0.57477,0,0,0.56145,0,0,0.18921,0,0,0.15074,0,0,0.59609,0,0,0.44378,0,0,0.5036,0,0,0.46351,0,0,0.30258,0,0
16,dart,319,0.58171,1,0,0.35942,0,0,0.17999,0,0,0.54022,0,0,0.18341,0,0,0.4171,0,0,0.50288,0,0,0.33032,0,0,0.14554,0,0,0.575,0,0
17,dart,636,0.42404,0,0,0.46351,0,0,0.66179,0,0,0.46448,0,0,0.52822,0,0,0.50151,0,0,0.54961,0,0,0.16101,0,0,0.42959,0,0,0.55146,0,0
18,dart,486,0.53288,0,0,0.52569,0,0,0.5281,0,0,0.53556,0,0,0.51185,0,0,0.35953,0,0,0.49801,0,0,0.49445,0,0,0.31865,0,0,0.59947,0,0
19,dart,702,0.45362,0,0,0.67359,0,0,0.33868,0,0,0.51389,0,0,0.5552,0,0,0.55822,0,0,0.22131,0,0,0.375,0,0,0.50781,0,0,0.34711,0,0
20,dart,1013,0.55875,0,0,0.50454,0,0,0.6989,0,0,0.64607,0,0,0.40476,0,0,0.62773,0,0,0.50091,0,0,0.44048,0,0,0.25613,0,0,0.47922,0,0
21,dart,701,0.53106,0,0,0.45833,0,0,0.52576,0,0,0.14915,0,0,0.44251,0,0,0.49554,0,0,0.5311,0,0,0.45371,0,0,0.48988,0,0,0.48049,0,0
22,dart,917,0.60428,0,0,0.58671,0,0,0.48624,0,0,0.54466,0,0,0.48037,0,0,0.56593,0,0,0.58475,0,0,0.5003,0,0,0.47477,0,0,0.5889,0,0
24,dart,420,0.54925,0,0,0.1281,0,0,0.25,0,0,0.06988,0,0,0.08993,0,0,0.31717,0,0,0.45297,0,0,0.46917,0,0,0.47085,0,0,0.26659,0,0
26,dart,565,0.54668,0,0,0.49118,0,0,0.12512,0,0,0.60397,1,0,0.52893,0,0,0.6425,0,0,0.51333,0,0,0.54764,0,0,0.62023,0,0,0.34938,0,0
27,dart,753,0.45011,0,0,0.51994,0,0,0.66073,0,0,0.29514,0,0,0.58679,0,0,0.56454,0,0,0.36329,0,0,0.49414,0,0,0.51922,0,0,0.63983,0,0
28,dart,373,0.54793,0,0,0.5397,0,0,0.58101,0,0,0.75,0,0,0.12936,0,0,0.48911,0,0,0.53865,0,0,0.30162,0,0,0.55633,0,0,0.59136,0,1
29,dart,671,0.59099,0,0,0.375,0,0,0.24856,0,0,0.11479,0,0,0.6777,0,1,0.37034,0,0,0.43525,0,0,0.57088,0,0,0.66211,0,0,0.55003,0,0
30,dart,329,0.35834,0,0,0.41293,0,0,0.55906,0,0,0.32522,0,0,0.50277,0,0,0.71436,1,0,0.54867,0,1,0.40239,0,0,0.62415,0,0,0.56557,0,0
31,dart,502,0.45266,0,0,0.58012,0,0,0.40661,0,0,0.34722,0,0,0.61665,0,0,0.50962,0,0,0.75008,0,0,0.13419,0,0,0.67877,0,0,0.54343,0,0
33,dart,616,0.3449,0,0,0.40497,0,0,0.36818,0,0,0.61388,0,0,0.55832,0,0,0.64727,0,0,0.12053,0,0,0.35093,0,0,0.60328,0,0,0.44294,0,0
34,dart,643,0.51107,0,0,0.63114,1,0,0.56383,0,0,0.33571,0,0,0.52618,0,0,0.5197,0,0,0.63524,0,0,0.49955,0,0,0.60722,0,0,0.5232,0,0
35,dart,346,0.75,1,0,0.3767,0,0,0.55413,0,0,0.46472,0,0,0.47168,0,0,0.34976,0,0,0.4296,0,0,0.29527,0,0,0.17441,0,0,0.54634,0,0
36,dart,448,0.50654,0,0,0.53092,0,0,0.60123,0,0,0.44262,0,0,0.62413,0,0,0.6262,0,0,0.29552,0,0,0.15893,0,0,0.57335,0,0,0.75,0,0
37,dart,579,0.54646,0,0,0.50719,0,0,0.54048,0,0,0.33388,0,0,0.39807,0,0,0.42227,0,0,0.60447,0,0,0.6589,0,0,0.45476,0,0,0.35385,0,0
39,dart,664,0.36962,0,0,0.64318,0,0,0.11382,0,0,0.65698,0,0,0.3219,0,0,0.55725,0,0,0.5899,0,0,0.59681,0,0,0.58173,0,0,0.58401,0,0
