problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.35784,0,0,0.37963,0,0,0.44446,0,0,0.40521,0,0,0.09549,0,0
1,dart,327,0.68334,0,0,0.44368,0,0,0.3696,0,0,0.47327,0,0,0.55543,0,0
2,dart,90,0.42866,0,0,0.31153,0,0,0.30531,0,0,0.69686,1,1,0.32826,0,0
3,dart,262,0.39056,0,0,0.39375,0,0,0.33333,1,0,0.55402,0,0,0.45635,0,0
4,dart,147,0.48387,0,0,0.3125,0,0,0.41493,1,1,0.45488,0,0,0.44635,0,0
5,dart,117,0.43621,0,0,0.41242,0,0,0.41349,0,0,0.35757,0,0,0.42303,0,0
6,dart,69,0.28991,0,0,0.30303,0,0,0.2894,0,0,0.34661,0,0,0.29542,0,0
7,dart,152,0.07924,0,0,0.48797,1,1,0.31103,0,0,0.38954,0,0,0.29969,0,0
8,dart,197,0.31723,0,0,0.48614,0,0,0.33716,0,0,0.52976,0,0,0.41353,0,0
9,dart,963,0.4375,0,0,0.62147,0,0,0.6911,0,0,0.47761,0,0,0.64815,0,0
10,dart,91,0.12222,0,0,0.33941,0,0,0.3616,0,0,0.3696,0,0,0.3423,0,0
11,dart,271,0.39237,0,0,0.37878,0,0,0.36659,0,0,0.66924,1,1,0.49274,1,1
12,dart,275,0.38187,0,0,0.58808,0,0,0.52503,0,0,0.55447,0,0,0.38537,0,0
13,dart,229,0.36007,0,0,0.52321,0,0,0.40582,0,0,0.37933,0,0,0.52356,0,0
14,dart,250,0.68471,0,0,0.70634,0,0,0.5,0,0,0.54746,0,0,0.41716,0,0
15,dart,252,0.4796,0,0,0.44144,0,0,0.4413,0,0,0.34833,0,0,0.42273,0,0
16,dart,1164,0.46152,0,0,0.5391,0,0,0.44983,1,0,0.58623,0,0,0.46885,0,0
17,dart,88,0.38911,0,0,0.40836,0,0,0.04108,0,0,0.31614,0,0,0.28423,0,0
18,dart,123,0.34628,0,0,0.36108,0,0,0.30442,0,0,0.42423,0,0,0.3478,0,0
