problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.68062,0,0,0.63256,0,0,0.59064,0,0,0.56225,0,0,0.60829,0,0,0.61942,0,0,0.63951,0,0,0.60142,0,0,0.6316,0,0,0.61818,0,0
1,dart,1184,0.66723,0,0,0.32884,0,0,0.44861,0,0,0.61705,0,0,0.33618,0,0,0.54567,0,0,0.63576,0,0,0.54038,0,0,0.34036,0,0,0.5625,0,0
2,dart,301,0.47936,0,0,0.66291,1,0,0.50778,0,0,0.69648,1,0,0.5372,0,0,0.57756,0,0,0.65763,0,0,0.45027,0,0,0.55583,0,0,0.6567,1,0
3,dart,471,0.56713,0,0,0.34773,0,0,0.66992,0,0,0.52224,0,0,0.56423,0,0,0.67419,0,0,0.66735,0,0,0.65613,0,0,0.40751,0,0,0.61501,0,0
4,dart,611,0.62321,0,0,0.65005,0,0,0.50471,0,0,0.46175,0,0,0.50734,0,0,0.3239,0,0,0.69964,0,0,0.15566,0,0,0.58657,0,0,0.53959,0,0
5,dart,564,0.72231,1,1,0.75035,1,0,0.63358,0,0,0.39375,0,0,0.61566,0,0,0.64845,0,0,0.54772,0,0,0.67253,0,0,0.75663,0,0,0.71875,0,0
6,dart,852,0.66985,0,0,0.49472,0,0,0.61868,0,0,0.62995,0,0,0.59141,0,0,0.65778,0,0,0.56253,0,0,0.31128,0,0,0.36012,0,0,0.6394,0,0
7,dart,547,0.39375,0,0,0.55515,0,0,0.74185,1,1,0.68462,0,0,0.4869,0,0,0.74185,1,1,0.60468,1,1,0.7368,1,1,0.74185,1,1,0.68496,0,0
8,dart,598,0.55316,0,0,0.623,0,0,0.1669,0,0,0.62053,1,0,0.61429,0,0,0.38385,0,0,0.56475,0,0,0.5872,1,0,0.50932,0,0,0.54514,0,0
9,dart,807,0.64783,0,0,0.60107,0,0,0.61991,1,1,0.6358,0,1,0.60991,0,0,0.61055,0,0,0.3788,0,0,0.68333,0,0,0.59783,0,0,0.31146,0,0
10,dart,798,0.71731,1,0,0.55728,0,0,0.19446,0,0,0.39375,0,0,0.55528,0,0,0.31009,0,0,0.54655,0,0,0.60329,0,0,0.51085,0,0,0.56749,0,0
11,dart,629,0.69111,0,0,0.50484,0,0,0.63494,0,0,0.45537,0,0,0.22946,0,0,0.66319,0,0,0.40744,0,0,0.52634,0,0,0.579,0,0,0.55266,0,0
12,dart,534,0.29375,0,0,0.32781,0,0,0.39375,0,0,0.34585,0,0,0.59127,0,0,0.64667,0,0,0.70639,1,1,0.57919,0,0,0.61069,0,0,0.58819,0,0
13,dart,491,0.68452,0,0,0.38144,0,0,0.38899,0,0,0.50331,0,0,0.68452,0,0,0.28132,0,0,0.73253,0,0,0.60296,0,0,0.625,0,0,0.6349,0,0
14,dart,381,0.65698,0,0,0.75423,1,1,0.63905,0,0,0.58813,1,1,0.54987,0,0,0.52858,0,0,0.71043,1,0,0.6447,0,0,0.62614,0,0,0.63509,1,1
15,dart,542,0.55386,0,0,0.51294,0,0,0.60539,1,0,0.50847,0,0,0.46175,0,0,0.39663,0,0,0.69313,0,1,0.52447,0,0,0.53749,0,0,0.292,0,0
16,dart,319,0.34223,0,0,0.52676,0,0,0.58783,0,1,0.32696,0,0,0.53368,0,0,0.57027,0,0,0.58607,0,0,0.57231,0,0,0.02975,0,0,0.43908,0,0
17,dart,636,0.50766,0,0,0.45293,0,0,0.484,0,0,0.40001,0,0,0.59162,0,0,0.55809,0,0,0.52871,0,0,0.46994,0,0,0.51056,0,0,0.57848,0,0
