problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.6637,0,0,0.67946,0,0,0.53514,0,0,0.62321,0,0,0.54364,0,0,0.50024,0,0,0.39696,0,0,0.53373,0,0,0.46106,0,0,0.38624,0,0
1,dart,1184,0.34108,0,0,0.45833,0,0,0.59658,0,0,0.63276,0,0,0.6256,0,0,0.27594,0,0,0.63403,0,0,0.67659,0,0,0.52469,0,0,0.43895,0,0
2,dart,301,0.61236,0,0,0.59991,0,0,0.65251,0,0,0.63245,0,0,0.64106,0,0,0.73727,0,0,0.47984,0,0,0.43429,0,0,0.59257,0,0,0.49248,0,0
3,dart,471,0.39092,0,0,0.47337,0,0,0.59131,0,0,0.12289,0,0,0.42073,0,0,0.55083,0,0,0.61314,0,0,0.4314,0,0,0.60783,0,0,0.58369,0,0
4,dart,611,0.41426,0,0,0.51393,0,0,0.5176,0,0,0.49853,0,0,0.57614,0,0,0.44199,0,0,0.4,0,0,0.42475,0,0,0.50045,0,0,0.52985,0,0
5,dart,564,0.77934,0,0,0.80785,0,1,0.756,0,1,0.59567,0,0,0.49655,0,0,0.37969,0,0,0.69266,0,0,0.5397,0,0,0.76964,0,0,0.48625,0,0
6,dart,852,0.2884,0,0,0.57955,0,0,0.71015,0,0,0.49465,0,0,0.25393,0,0,0.54289,0,0,0.64008,0,0,0.62645,0,0,0.54723,0,0,0.63691,0,0
7,dart,547,0.57661,0,0,0.49602,0,0,0.29776,0,0,0.13686,0,0,0.49228,0,0,0.59913,0,1,0.37608,0,0,0.3856,0,0,0.6249,0,0,0.37178,0,0
8,dart,598,0.60642,0,0,0.61686,0,0,0.25,0,0,0.25,0,0,0.63999,0,0,0.5432,0,0,0.55694,0,0,0.54667,0,0,0.27778,0,0,0.51072,0,0
9,dart,807,0.64613,0,0,0.55684,0,0,0.61378,0,0,0.59098,0,0,0.33117,0,0,0.71196,0,0,0.61163,0,0,0.56612,0,0,0.47729,0,0,0.53551,0,0
10,dart,798,0.58418,0,0,0.46051,0,0,0.5791,0,0,0.29054,0,0,0.6036,0,0,0.32764,0,0,0.57564,0,0,0.29382,0,0,0.55756,0,0,0.45897,0,0
