problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass
0,dart,243,0.4148,0,0,0.52272,1,1,0.46042,0,0,0.53203,0,0,0.41453,0,0
1,dart,327,0.51373,0,0,0.57984,1,1,0.59122,0,0,0.57275,1,1,0.662,1,1
2,dart,90,0.52264,1,1,0.49928,1,1,0.375,1,0,0.52712,0,0,0.71264,1,1
3,dart,262,0.38284,0,0,0.55375,0,0,0.58631,0,0,0.50575,0,0,0.42715,0,0
4,dart,147,0.6954,1,1,0.62893,1,1,0.55742,1,1,0.70145,1,1,0.46844,0,0
5,dart,117,0.34109,0,0,0.63049,1,1,0.46313,0,0,0.43939,1,1,0.64298,1,1
6,dart,69,0.33702,0,0,0.46467,0,0,0.50167,0,0,0.40172,0,0,0.05218,0,0
7,dart,152,0.58996,1,1,0.46793,0,0,0.62851,1,1,0.31947,0,0,0.56074,1,1
8,dart,197,0.38142,0,0,0.41537,1,1,0.32402,0,0,0.38472,0,0,0.30386,0,0
9,dart,963,0.69963,1,1,0.62647,1,1,0.45038,0,0,0.60518,0,0,0.58017,1,1
10,dart,91,0.70927,1,1,0.45274,1,1,0.37706,0,0,0.56271,1,1,0.04418,0,0
11,dart,271,0.37349,0,0,0.50742,0,0,0.62114,1,1,0.58595,0,0,0.38961,0,0
12,dart,275,0.43506,0,0,0.55194,0,0,0.44457,0,0,0.44913,0,0,0.29729,0,0
13,dart,229,0.53556,1,1,0.40941,1,1,0.50001,0,0,0.57987,1,1,0.61749,1,1
14,dart,250,0.39883,0,0,0.41338,0,0,0.68514,1,1,0.65212,1,1,0.71846,1,1
15,dart,252,0.53378,1,1,0.50149,1,1,0.59734,0,0,0.61843,1,1,0.40395,0,0
16,dart,1164,0.60027,1,1,0.39773,0,0,0.47097,0,0,0.40697,0,0,0.574,1,1
