problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.56908,0,0,0.47758,0,0,0.59005,0,0,0.65035,0,0,0.66586,0,0,0.46387,0,0,0.5162,0,0,0.71154,0,0,0.58951,0,0,0.49832,0,0
1,dart,1184,0.5688,0,0,0.65622,0,0,0.5955,0,0,0.58712,0,0,0.64584,0,0,0.49803,0,0,0.597,0,0,0.55626,0,0,0.57979,0,0,0.5662,0,0
2,dart,301,0.63314,0,0,0.6381,0,0,0.56297,0,0,0.62748,0,0,0.42947,0,0,0.44313,0,0,0.52814,0,0,0.60383,0,0,0.49741,0,0,0.50296,0,0
3,dart,471,0.59923,0,0,0.63332,0,0,0.33771,0,0,0.62049,0,0,0.57335,0,0,0.67139,0,0,0.68766,1,0,0.59317,0,0,0.05675,0,0,0.57307,0,0
4,dart,611,0.47415,0,0,0.57835,0,0,0.61576,0,0,0.61249,0,0,0.48701,0,0,0.61023,0,0,0.32913,0,0,0.61939,0,0,0.50607,0,0,0.30216,0,0
5,dart,564,0.56719,0,0,0.67066,0,0,0.74322,0,0,0.74227,0,0,0.59673,0,0,0.55402,0,0,0.52772,0,0,0.75798,0,1,0.67047,0,0,0.65547,0,0
6,dart,852,0.63547,0,0,0.5142,0,0,0.61832,0,0,0.35213,0,0,0.58274,0,0,0.38779,0,0,0.55133,0,0,0.54702,0,0,0.56949,0,0,0.5671,0,0
7,dart,547,0.54431,0,0,0.40151,0,0,0.46294,0,0,0.56288,0,0,0.69565,1,1,0.57825,0,0,0.55534,0,0,0.53469,0,0,0.41936,0,0,0.5323,0,0
8,dart,598,0.63575,0,0,0.73402,0,0,0.63644,0,0,0.58527,0,0,0.58838,0,0,0.58815,0,0,0.56546,0,0,0.49194,0,0,0.56834,0,0,0.68559,0,0
9,dart,807,0.65995,0,0,0.69408,0,0,0.57949,0,0,0.59789,0,0,0.59639,0,0,0.67813,0,0,0.70373,0,0,0.5518,0,0,0.61695,0,0,0.52413,0,0
10,dart,798,0.50227,0,0,0.60543,0,0,0.56308,0,0,0.50883,0,0,0.41234,0,0,0.56335,0,0,0.24018,0,0,0.47458,0,0,0.57367,0,0,0.31033,0,0
11,dart,629,0.67923,0,0,0.55859,0,0,0.63402,0,0,0.63091,0,0,0.56967,0,0,0.60031,0,0,0.64362,0,1,0.46895,0,0,0.65353,0,0,0.67052,0,0
