problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.47586,0,0,0.42074,0,0,0.10038,0,0,0.42609,0,0,0.55576,0,0,0.70065,0,0,0.52379,0,0,0.52498,0,0,0.25,0,0,0.36138,0,0
1,dart,1184,0.52295,0,0,0.48928,0,0,0.31415,0,0,0.4375,0,0,0.61252,0,0,0.62542,0,0,0.58333,0,0,0.46518,0,0,0.29513,0,0,0.57054,0,0
2,dart,301,0.59953,0,0,0.68284,0,0,0.52689,0,0,0.58019,0,0,0.61862,0,0,0.64372,0,0,0.52955,0,0,0.65093,0,0,0.6795,0,0,0.61081,0,0
3,dart,471,0.55189,0,0,0.61133,0,0,0.58983,0,0,0.5293,0,0,0.39653,0,0,0.59968,0,0,0.45814,0,0,0.64108,0,0,0.49603,0,0,0.42713,0,0
4,dart,611,0.55247,0,0,0.55378,0,0,0.50482,0,0,0.49933,0,0,0.56929,0,0,0.47852,0,0,0.51136,0,0,0.47319,0,0,0.53197,0,0,0.44652,0,0
5,dart,564,0.61199,0,0,0.52212,0,0,0.54314,0,0,0.45472,0,0,0.64775,0,0,0.51446,0,0,0.54167,0,0,0.46821,0,0,0.66403,0,0,0.71053,0,0
6,dart,852,0.2635,0,0,0.59815,0,0,0.56052,0,0,0.55577,0,0,0.29538,0,0,0.27438,0,0,0.43977,0,0,0.46421,0,0,0.61586,0,0,0.62278,0,0
7,dart,547,0.53615,0,0,0.36251,0,0,0.53637,0,0,0.55624,0,0,0.49867,0,0,0.53713,0,0,0.27749,0,0,0.49898,0,0,0.56208,0,0,0.6811,0,1
8,dart,598,0.61419,0,0,0.56073,0,0,0.17178,0,0,0.55385,0,0,0.59366,0,0,0.5678,0,0,0.42,0,0,0.41346,0,0,0.47116,0,0,0.49776,0,0
9,dart,807,0.66019,0,0,0.50821,0,0,0.29776,0,0,0.76786,0,0,0.62085,0,0,0.57209,0,0,0.53477,0,0,0.46368,0,0,0.56802,0,0,0.54008,0,0
10,dart,798,0.54583,0,0,0.56875,0,0,0.53475,0,0,0.56765,0,0,0.50219,0,0,0.35028,0,0,0.44954,0,0,0.48518,0,0,0.56418,0,0,0.46703,0,0
11,dart,629,0.4014,0,0,0.39216,0,0,0.30608,0,0,0.49104,0,0,0.63878,0,0,0.44971,0,0,0.68532,0,0,0.30212,0,0,0.56072,0,0,0.5014,0,0
12,dart,534,0.54758,0,0,0.46968,0,0,0.60555,0,0,0.25,0,0,0.16247,0,0,0.30539,0,0,0.4865,0,0,0.71477,0,1,0.5,0,0,0.59986,0,0
13,dart,491,0.50447,0,0,0.33011,0,0,0.30451,0,0,0.40934,0,0,0.43255,0,0,0.44668,0,0,0.27705,0,0,0.67429,0,0,0.62231,0,0,0.1947,0,0
14,dart,381,0.40787,0,0,0.40124,0,0,0.61379,0,0,0.49346,0,0,0.28102,0,0,0.4196,0,0,0.53536,0,0,0.51261,0,0,0.5023,0,0,0.53101,0,0
15,dart,542,0.58824,0,1,0.1163,0,0,0.51226,0,0,0.6431,0,0,0.32676,0,0,0.56096,0,0,0.40127,0,0,0.4712,0,0,0.28043,0,0,0.57405,0,0
16,dart,319,0.61787,0,0,0.74227,0,0,0.35508,0,0,0.39806,0,0,0.42685,0,0,0.70868,0,0,0.65727,0,0,0.58888,0,0,0.35444,0,0,0.47509,0,0
17,dart,636,0.54216,0,0,0.60968,0,0,0.64457,0,0,0.43874,0,0,0.10172,0,0,0.48864,0,0,0.58001,0,0,0.36177,0,0,0.35263,0,0,0.51321,0,0
18,dart,486,0.39835,0,0,0.60436,0,0,0.56229,0,0,0.49475,0,0,0.41667,0,0,0.51619,0,0,0.45524,0,0,0.43569,0,0,0.36306,0,0,0.2941,0,0
19,dart,702,0.5118,0,0,0.4743,0,0,0.25107,0,0,0.65783,0,0,0.51313,0,0,0.67608,0,0,0.25,0,0,0.34054,0,0,0.53799,0,0,0.74796,0,0
20,dart,1013,0.55308,0,0,0.42903,0,0,0.50242,0,0,0.31208,0,0,0.46732,0,0,0.44349,0,0,0.38716,0,0,0.63133,0,0,0.59092,0,0,0.32621,0,0
21,dart,701,0.37674,0,0,0.39282,0,0,0.62548,0,0,0.37262,0,0,0.54596,0,0,0.5522,0,0,0.50421,0,0,0.45131,0,0,0.36705,0,0,0.56038,0,0
22,dart,917,0.5971,0,0,0.57849,0,0,0.5971,0,0,0.49614,0,0,0.32166,0,0,0.72283,0,0,0.58558,0,0,0.5818,0,0,0.58653,0,0,0.51359,0,0
24,dart,420,0.43075,0,0,0.50591,0,0,0.54452,0,0,0.32038,0,0,0.36277,0,0,0.41507,0,0,0.38953,0,0,0.5263,0,0,0.43016,0,0,0.40831,0,0
26,dart,565,0.61783,0,0,0.33945,0,0,0.57841,0,0,0.40319,0,0,0.56637,0,0,0.48521,0,0,0.31724,0,0,0.40006,0,0,0.3659,0,0,0.30278,0,0
27,dart,753,0.69323,0,1,0.52062,0,0,0.49798,0,0,0.58209,0,0,0.63789,0,0,0.42267,0,0,0.49617,0,0,0.5454,0,0,0.5615,0,0,0.29688,0,0
28,dart,373,0.66592,0,0,0.49744,0,0,0.40476,0,0,0.47207,0,0,0.75029,0,1,0.63302,0,1,0.40476,0,0,0.40476,0,0,0.62586,0,0,0.45383,0,0
29,dart,671,0.59701,0,0,0.54886,0,0,0.62831,0,0,0.55161,0,1,0.4917,0,0,0.43373,0,0,0.72821,0,1,0.67689,0,0,0.375,0,0,0.59117,0,0
30,dart,329,0.442,0,0,0.59773,0,0,0.52604,0,0,0.57511,0,0,0.47635,0,0,0.43868,0,0,0.36098,0,0,0.31648,0,0,0.58363,0,0,0.10475,0,0
31,dart,502,0.36423,0,0,0.5391,0,0,0.44933,0,0,0.58462,0,0,0.55146,0,0,0.36307,0,0,0.52446,0,0,0.52141,0,0,0.4127,0,0,0.52746,0,0
33,dart,616,0.55146,0,0,0.48793,0,0,0.56393,0,0,0.50256,0,0,0.6593,0,0,0.44595,0,0,0.31356,0,0,0.14943,0,0,0.51304,0,0,0.63543,0,0
34,dart,643,0.65016,0,0,0.60035,0,0,0.54056,0,0,0.58922,0,0,0.55706,0,0,0.16912,0,0,0.56682,0,0,0.55869,0,0,0.75,0,0,0.54964,0,0
35,dart,346,0.51831,0,0,0.62569,0,0,0.51944,0,0,0.51134,0,0,0.60019,0,0,0.41668,0,0,0.38839,0,0,0.53736,0,0,0.59991,0,0,0.59484,0,0
36,dart,448,0.63029,0,0,0.51847,0,0,0.5349,0,0,0.53491,0,0,0.62935,0,0,0.25981,0,0,0.48567,0,0,0.60693,0,0,0.46217,0,0,0.59497,0,0
37,dart,579,0.48443,0,0,0.5066,0,0,0.26487,0,0,0.5611,0,0,0.37202,0,0,0.45564,0,0,0.64437,0,0,0.68542,0,0,0.14393,0,0,0.29912,0,0
39,dart,664,0.66098,0,0,0.31698,0,0,0.55987,0,0,0.30981,0,0,0.57069,0,0,0.65186,0,0,0.21966,0,0,0.48401,0,0,0.6795,0,0,0.49148,0,0
40,dart,607,0.57608,0,0,0.49222,0,0,0.34308,0,0,0.56794,0,0,0.53714,0,0,0.57785,0,0,0.59948,0,0,0.6238,0,0,0.3747,0,0,0.15791,0,0
41,dart,422,0.50259,0,0,0.45674,0,0,0.45201,0,0,0.54488,0,0,0.50884,0,0,0.2808,0,0,0.41565,0,0,0.39233,0,0,0.50887,0,0,0.46012,0,0
42,dart,235,0.3102,0,0,0.54165,0,0,0.15395,0,0,0.45923,0,0,0.3738,0,0,0.59542,0,0,0.46727,0,0,0.46218,0,0,0.19064,0,0,0.48044,0,0
