problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.54041,0,0,0.40001,0,0,0.67455,0,0,0.63192,0,0,0.62448,0,0,0.41234,0,0,0.59749,0,0,0.75,0,0,0.69044,1,0,0.745,1,0
1,dart,1184,0.33819,0,0,0.62286,0,0,0.60932,0,0,0.52662,0,0,0.57774,0,0,0.56505,0,0,0.63518,0,0,0.57118,0,0,0.53636,0,0,0.59523,0,0
2,dart,301,0.43951,0,0,0.39375,0,0,0.40477,0,0,0.39216,0,0,0.30121,0,0,0.42098,0,0,0.33008,0,0,0.29223,0,0,0.40231,0,0,0.41344,0,0
3,dart,471,0.51389,0,0,0.55349,0,0,0.59839,1,0,0.73022,1,0,0.55061,0,0,0.61893,0,0,0.68854,0,0,0.71136,1,0,0.46795,0,0,0.52098,1,0
4,dart,611,0.40924,0,0,0.51112,0,0,0.45588,0,0,0.54611,0,0,0.49998,0,0,0.48151,0,0,0.49854,0,0,0.31855,0,0,0.57024,0,0,0.54969,0,0
5,dart,564,0.54533,0,0,0.57788,0,0,0.6443,0,0,0.53704,0,0,0.09672,0,0,0.61659,0,0,0.5571,0,0,0.54699,0,0,0.64059,0,1,0.62318,0,0
6,dart,852,0.71429,0,0,0.51387,0,0,0.51391,0,0,0.57183,0,0,0.60234,0,0,0.54564,0,0,0.57009,0,0,0.56728,0,0,0.56115,0,0,0.54633,0,0
7,dart,547,0.73046,1,1,0.53511,0,0,0.71328,0,1,0.45816,0,0,0.55136,0,0,0.73046,1,1,0.41105,0,0,0.70295,1,0,0.45409,0,0,0.54706,0,0
8,dart,598,0.45608,0,0,0.53732,0,0,0.65518,0,0,0.57527,0,0,0.6226,0,0,0.53866,0,0,0.40771,0,0,0.67734,0,0,0.13039,0,0,0.54553,0,0
9,dart,807,0.63582,0,0,0.65026,0,0,0.49898,0,0,0.53929,0,0,0.58781,0,0,0.58291,0,0,0.55201,0,0,0.57061,0,0,0.49133,0,0,0.57416,0,0
10,dart,798,0.5347,0,0,0.56174,0,0,0.61012,0,0,0.23537,0,0,0.51943,0,0,0.58685,0,0,0.54026,0,0,0.4792,0,0,0.51715,0,0,0.43077,0,0
11,dart,629,0.47164,0,0,0.57284,0,0,0.63426,0,0,0.60178,0,0,0.52612,0,0,0.48764,0,0,0.64334,0,0,0.70006,0,0,0.59999,0,0,0.32284,0,0
12,dart,534,0.69584,0,0,0.34885,0,0,0.52115,0,0,0.52809,0,0,0.67646,0,0,0.68607,1,0,0.56461,0,0,0.57523,0,0,0.56092,0,0,0.52289,0,0
13,dart,491,0.64044,0,0,0.25467,0,0,0.66307,0,0,0.65601,0,0,0.69888,0,0,0.68705,0,1,0.69754,0,0,0.75001,0,0,0.69754,0,0,0.69754,0,0
14,dart,381,0.6467,0,0,0.55116,0,0,0.57084,0,0,0.56316,0,0,0.20844,0,0,0.61653,0,0,0.72096,0,0,0.62604,0,0,0.44405,0,0,0.44068,0,0
15,dart,542,0.40705,0,0,0.06189,0,0,0.4215,0,0,0.53897,0,0,0.48416,0,0,0.51935,0,0,0.57961,0,0,0.5518,0,0,0.30652,0,0,0.54515,0,0
16,dart,319,0.53315,0,0,0.58185,0,0,0.35598,0,0,0.32925,0,0,0.45903,0,0,0.4014,0,0,0.49812,0,0,0.54613,0,0,0.35693,0,0,0.63069,0,0
17,dart,636,0.56607,0,0,0.4891,0,0,0.5193,0,0,0.48913,0,0,0.45565,0,0,0.55062,0,0,0.20494,0,0,0.58751,0,0,0.57948,0,0,0.44528,0,0
18,dart,486,0.5901,0,0,0.5997,0,0,0.60265,0,0,0.43495,0,0,0.51224,0,0,0.64278,0,0,0.55713,0,0,0.314,0,0,0.64119,0,0,0.71015,1,1
19,dart,702,0.54406,0,0,0.53889,0,0,0.55547,0,0,0.55192,0,0,0.39776,0,0,0.46227,0,0,0.3636,0,0,0.51781,0,0,0.49762,0,0,0.56153,0,0
20,dart,1013,0.59455,0,0,0.61469,0,0,0.44434,0,0,0.64393,0,0,0.59373,0,0,0.6022,0,0,0.5517,0,0,0.64955,0,0,0.67745,0,0,0.56385,0,0
21,dart,701,0.45295,0,0,0.51667,0,0,0.54065,0,0,0.06951,0,0,0.68775,1,1,0.19351,0,0,0.36162,0,0,0.525,0,0,0.5527,0,0,0.44083,0,0
22,dart,917,0.54174,0,0,0.54241,0,0,0.75002,1,1,0.44978,0,0,0.55733,0,1,0.55012,0,1,0.53381,0,0,0.51837,0,0,0.48643,0,0,0.51625,0,1
24,dart,420,0.38046,0,0,0.65932,0,0,0.55961,0,0,0.43156,0,0,0.46381,0,0,0.55218,0,0,0.4653,0,0,0.59033,0,0,0.37647,0,0,0.59432,0,0
26,dart,565,0.58517,0,0,0.6785,1,0,0.63659,0,0,0.53644,0,0,0.54984,0,0,0.22698,0,0,0.63348,0,0,0.22747,0,0,0.62514,0,0,0.3551,0,0
27,dart,753,0.30273,0,0,0.55975,0,0,0.51717,0,0,0.62622,0,0,0.55219,0,0,0.41261,0,0,0.51821,0,0,0.74104,1,1,0.61864,0,0,0.41827,0,0
28,dart,373,0.50511,0,0,0.52663,0,0,0.56959,0,0,0.56097,0,0,0.43081,0,0,0.52991,0,0,0.33888,0,0,0.30146,0,0,0.56012,0,0,0.37004,0,0
29,dart,671,0.56826,0,1,0.36585,0,0,0.61078,0,0,0.72251,0,0,0.51616,0,0,0.48789,0,0,0.72918,0,0,0.55639,0,0,0.53593,0,0,0.55702,0,1
30,dart,329,0.57003,0,0,0.72022,1,0,0.69627,0,0,0.75014,1,1,0.51796,0,0,0.59863,0,0,0.67275,0,0,0.569,1,0,0.515,0,0,0.55589,0,0
31,dart,502,0.51062,0,0,0.31644,0,0,0.34156,0,0,0.52227,0,0,0.41475,0,0,0.68147,0,0,0.45166,0,0,0.52305,0,0,0.67701,0,0,0.54247,0,0
33,dart,616,0.20843,0,0,0.67867,0,0,0.67274,0,0,0.45896,0,0,0.32013,0,0,0.63269,0,0,0.5639,0,0,0.22036,0,0,0.53932,0,0,0.47545,0,0
34,dart,643,0.59088,0,0,0.4896,0,0,0.59761,0,0,0.53524,0,0,0.43776,0,0,0.5228,1,0,0.53043,0,0,0.59458,0,0,0.375,0,0,0.75,0,0
35,dart,346,0.59449,0,1,0.5041,0,0,0.61784,0,0,0.25356,0,0,0.66683,0,0,0.6078,0,0,0.31338,0,0,0.45275,0,0,0.60011,0,0,0.65665,0,0
36,dart,448,0.3238,0,0,0.0433,0,0,0.38268,0,0,0.52922,1,0,0.17748,0,0,0.45358,0,0,0.58988,0,0,0.60156,0,0,0.05459,0,0,0.65608,0,0
37,dart,579,0.60326,0,0,0.36268,0,0,0.48342,0,0,0.48634,0,0,0.59755,0,0,0.55837,0,0,0.51208,0,0,0.48953,0,0,0.51667,0,0,0.70848,0,0
39,dart,664,0.63974,0,0,0.61053,0,0,0.07283,0,0,0.23055,0,0,0.55999,0,0,0.53606,0,0,0.5074,0,0,0.4345,0,0,0.25983,0,0,0.61454,0,0
40,dart,607,0.50197,0,0,0.40599,0,0,0.09186,0,0,0.64335,0,0,0.55401,0,0,0.62342,0,0,0.29752,0,0,0.48708,0,0,0.60513,0,0,0.48671,0,0
41,dart,422,0.53925,0,0,0.32201,0,0,0.51913,0,0,0.72509,1,1,0.608,0,0,0.50663,0,0,0.40946,0,0,0.37238,0,0,0.58832,0,0,0.44547,0,0
42,dart,235,0.19654,0,0,0.71159,0,0,0.54915,0,0,0.50388,0,0,0.5485,0,0,0.55984,0,0,0.51667,0,0,0.57438,1,1,0.61549,0,0,0.60579,0,0
43,dart,528,0.66935,0,0,0.6168,0,0,0.70746,1,0,0.6062,0,1,0.68317,0,0,0.59704,0,1,0.45043,0,0,0.33884,0,0,0.16654,0,0,0.61511,0,0
44,dart,347,0.47864,0,0,0.53658,0,0,0.50836,0,0,0.54176,0,0,0.52153,0,0,0.61897,0,0,0.44842,0,0,0.5704,0,0,0.53124,0,0,0.62842,0,0
45,dart,292,0.64991,0,1,0.63727,0,1,0.71612,0,0,0.57904,0,0,0.62554,0,1,0.71978,1,1,0.71228,1,1,0.71379,0,0,0.62554,0,1,0.74772,1,1
46,dart,657,0.38866,0,0,0.61907,0,0,0.48387,0,0,0.32143,0,0,0.22593,0,0,0.53852,0,0,0.56711,0,0,0.59646,0,0,0.63455,0,0,0.54956,0,0
47,dart,429,0.53051,0,0,0.59619,0,0,0.66713,0,0,0.54077,0,0,0.55732,0,0,0.22179,0,0,0.65109,0,0,0.70366,0,0,0.62571,0,0,0.37533,0,0
48,dart,444,0.64995,0,1,0.61313,0,1,0.67868,1,1,0.38835,0,0,0.64659,0,1,0.66417,0,1,0.56549,0,0,0.35476,0,0,0.2815,0,0,0.70242,0,0
49,dart,381,0.45292,0,0,0.44485,0,0,0.61261,0,0,0.12361,0,0,0.5484,1,0,0.5507,1,0,0.52621,0,0,0.70377,1,0,0.68172,1,0,0.33424,0,0
51,dart,540,0.4913,0,0,0.67452,0,0,0.62458,0,0,0.08733,0,0,0.59236,0,0,0.5891,0,0,0.71795,0,0,0.53249,0,0,0.44821,0,0,0.66338,0,1
52,dart,479,0.53407,0,0,0.60759,1,0,0.67878,0,1,0.75163,1,1,0.45908,0,0,0.66516,0,0,0.56848,0,1,0.59681,0,0,0.49177,0,0,0.58639,0,0
53,dart,212,0.62677,0,1,0.6215,0,0,0.44296,0,0,0.32561,0,0,0.62515,0,1,0.72075,1,0,0.62515,0,1,0.61836,0,1,0.61836,0,1,0.61836,0,1
54,dart,571,0.40727,0,0,0.5339,0,0,0.48776,0,0,0.29907,0,0,0.48174,0,0,0.57642,0,0,0.49111,0,0,0.50743,0,0,0.29469,0,0,0.48082,0,0
55,dart,474,0.53084,1,1,0.48737,0,0,0.51521,0,0,0.57525,0,0,0.45367,0,0,0.49898,0,0,0.21745,0,0,0.48896,0,1,0.43385,0,0,0.49506,0,1
56,dart,578,0.61847,0,0,0.63526,0,0,0.27156,0,0,0.57706,0,0,0.60848,0,0,0.44553,0,0,0.50817,0,0,0.66375,0,0,0.54547,0,0,0.09575,0,0
57,dart,620,0.62173,0,0,0.44135,0,0,0.65328,0,0,0.6534,1,0,0.27595,0,0,0.59785,0,0,0.61217,0,0,0.46719,0,0,0.57097,0,0,0.506,0,0
58,dart,425,0.28765,0,0,0.64716,0,0,0.42798,0,0,0.64313,0,0,0.44266,0,0,0.65499,0,0,0.44947,0,0,0.63203,0,0,0.44094,0,0,0.6585,1,0
59,dart,515,0.63026,0,0,0.50233,0,0,0.43898,0,0,0.65579,0,0,0.34517,0,0,0.57471,0,0,0.46428,0,0,0.62805,0,0,0.53334,0,0,0.56959,1,0
60,dart,312,0.4231,0,0,0.5438,0,1,0.61219,0,0,0.52751,0,0,0.58862,1,1,0.43107,0,0,0.51359,0,0,0.60098,0,1,0.55026,0,0,0.45833,0,0
61,dart,578,0.64475,0,0,0.5915,0,0,0.69378,0,0,0.48355,0,0,0.34507,0,0,0.75246,0,0,0.60912,0,0,0.43283,0,0,0.61137,0,0,0.66601,0,0
62,dart,462,0.55357,0,0,0.3702,0,0,0.62212,0,0,0.54207,0,0,0.58596,0,0,0.37473,0,0,0.33857,0,0,0.5509,0,0,0.57844,0,0,0.46788,0,0
63,dart,563,0.40258,0,0,0.35074,0,0,0.48685,0,0,0.50097,0,0,0.38563,0,0,0.53561,1,0,0.46154,0,0,0.4616,0,0,0.37282,0,0,0.43135,0,0
64,dart,836,0.57648,0,0,0.69516,0,0,0.57193,0,0,0.6287,0,0,0.56522,0,0,0.25655,0,0,0.54249,0,0,0.57006,0,0,0.63368,0,0,0.5691,0,0
65,dart,614,0.72984,0,0,0.61266,0,0,0.53089,0,0,0.57012,0,0,0.5118,0,0,0.43472,0,0,0.55712,0,0,0.5197,0,0,0.50658,0,0,0.50232,0,0
66,dart,583,0.75,0,0,0.39005,0,0,0.54016,0,0,0.3559,0,0,0.52424,0,0,0.52843,0,0,0.65234,0,0,0.47314,0,0,0.61852,0,0,0.49797,0,0
67,dart,519,0.47699,0,0,0.75343,0,0,0.22089,0,0,0.44406,0,0,0.46009,0,0,0.43696,0,0,0.23776,0,0,0.60731,0,0,0.52499,0,0,0.44392,0,0
68,dart,717,0.51867,0,0,0.63489,0,0,0.57495,0,0,0.52803,0,0,0.67667,0,0,0.40476,0,0,0.28515,0,0,0.60334,0,0,0.60646,1,0,0.55245,0,0
69,dart,555,0.56029,0,0,0.68673,0,0,0.59727,0,0,0.11495,0,0,0.29944,0,0,0.67815,0,0,0.54341,0,0,0.6026,0,0,0.60511,1,0,0.43555,0,0
70,dart,861,0.50054,0,0,0.4007,0,0,0.58715,0,0,0.57981,0,0,0.5649,0,0,0.23213,0,0,0.49309,0,0,0.55282,0,0,0.43858,0,0,0.24531,0,0
71,dart,433,0.53058,0,0,0.49187,0,0,0.725,0,0,0.75,0,0,0.50536,0,0,0.73305,0,0,0.61119,0,0,0.68561,0,0,0.61262,0,0,0.81428,0,0
72,dart,511,0.54408,0,0,0.61138,0,0,0.50701,0,0,0.52902,0,0,0.61361,0,0,0.59381,0,0,0.5263,0,0,0.63465,0,0,0.62745,0,0,0.65494,0,0
73,dart,424,0.46182,0,0,0.38066,0,0,0.51065,0,0,0.57161,0,0,0.21841,0,0,0.31371,0,0,0.41385,0,0,0.49027,0,0,0.53588,0,0,0.5071,0,0
74,dart,607,0.44926,0,0,0.61581,0,0,0.55984,0,0,0.58764,0,0,0.48859,0,0,0.59972,0,0,0.58986,0,0,0.32501,0,0,0.57923,0,0,0.52974,0,0
75,dart,777,0.42695,0,0,0.59688,0,0,0.59888,0,0,0.69221,0,0,0.60852,0,0,0.57974,0,0,0.25,0,0,0.65264,0,0,0.56445,0,0,0.06657,0,0
76,dart,488,0.5957,0,0,0.56494,0,0,0.54788,0,0,0.56191,0,0,0.48647,0,0,0.59353,0,0,0.4758,0,0,0.58025,0,0,0.60436,0,0,0.4167,0,0
77,dart,418,0.45775,0,0,0.55911,0,0,0.64107,0,0,0.48427,0,0,0.51651,0,0,0.51866,0,0,0.5789,0,0,0.5758,0,0,0.64004,0,0,0.32032,0,0
78,dart,527,0.64042,0,0,0.47828,0,0,0.67477,0,0,0.55022,0,0,0.55704,0,0,0.55159,0,0,0.39689,0,0,0.21598,0,0,0.61674,0,0,0.46661,0,0
79,dart,462,0.54962,0,0,0.04222,0,0,0.42775,0,0,0.4043,0,0,0.43751,0,0,0.41845,0,0,0.55891,0,0,0.01209,0,0,0.50708,0,0,0.46465,0,0
80,dart,542,0.51667,0,0,0.5711,0,0,0.4295,0,0,0.54419,0,0,0.53567,0,0,0.48551,0,0,0.5646,0,0,0.59507,0,0,0.59081,0,0,0.5856,0,0
