problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.59961,0,0,0.36176,0,0,0.66928,0,0,0.67191,0,0,0.64375,0,0,0.65992,0,0,0.56613,0,0,0.62109,0,0,0.43049,0,0,0.57856,0,0
1,dart,1184,0.6051,0,0,0.3447,0,0,0.37143,0,0,0.5184,0,0,0.5875,0,0,0.47033,0,0,0.59282,0,0,0.32057,0,0,0.59201,0,0,0.34314,0,0
2,dart,301,0.53621,0,0,0.60731,0,0,0.51018,0,0,0.59473,0,0,0.61147,0,0,0.58189,0,0,0.37232,0,0,0.3229,0,0,0.5242,0,0,0.51355,0,0
3,dart,471,0.66919,0,0,0.66103,0,0,0.52924,0,0,0.61288,0,0,0.5744,0,0,0.211,0,0,0.57379,0,0,0.58144,0,0,0.61553,0,0,0.67064,0,0
4,dart,611,0.52676,0,0,0.62555,0,0,0.57954,0,0,0.7094,0,0,0.26939,0,0,0.57915,0,0,0.60555,0,0,0.62279,0,0,0.54688,0,0,0.54342,0,0
5,dart,564,0.57714,0,0,0.60429,0,0,0.7641,0,0,0.48495,0,0,0.63511,0,0,0.55808,0,0,0.34572,0,0,0.56904,0,0,0.65882,0,0,0.66539,0,0
6,dart,852,0.71698,0,0,0.6218,0,0,0.62891,0,0,0.72836,0,0,0.56078,0,0,0.61725,0,0,0.58436,0,0,0.58792,0,0,0.58596,0,0,0.59538,0,0
7,dart,547,0.58591,0,1,0.56068,0,0,0.47238,0,0,0.74185,0,1,0.66578,0,0,0.63229,0,0,0.6811,0,1,0.60678,0,0,0.56025,0,0,0.7102,0,0
8,dart,598,0.30799,0,0,0.67484,0,0,0.58351,0,0,0.64231,0,0,0.26069,0,0,0.59219,0,0,0.64254,0,0,0.35232,0,0,0.48082,0,0,0.48533,0,0
9,dart,807,0.6644,0,0,0.66262,0,0,0.61444,0,0,0.6022,0,1,0.59677,0,0,0.49333,0,0,0.64552,0,1,0.725,0,0,0.61582,0,0,0.54615,0,0
10,dart,798,0.55086,0,0,0.33173,0,0,0.38879,0,0,0.23027,0,0,0.58362,0,0,0.44111,0,0,0.14958,0,0,0.56586,0,0,0.5466,0,0,0.61176,0,0
11,dart,629,0.41234,0,0,0.6257,0,0,0.53404,0,0,0.48673,0,0,0.68284,0,0,0.63551,0,0,0.52582,0,0,0.72002,0,0,0.58772,0,0,0.60932,0,0
12,dart,534,0.43444,0,0,0.18915,0,0,0.61468,0,0,0.54261,0,0,0.49899,0,0,0.6355,0,0,0.6447,0,0,0.70502,0,0,0.54686,0,0,0.65392,0,1
13,dart,491,0.36173,0,0,0.68306,0,0,0.725,0,0,0.67727,0,0,0.73556,0,1,0.68023,0,1,0.50444,0,0,0.60868,0,0,0.62209,0,0,0.46605,0,0
14,dart,381,0.54581,0,0,0.78425,0,0,0.55106,0,0,0.54764,0,0,0.57641,0,0,0.46589,0,0,0.19752,0,0,0.67605,0,0,0.61806,0,0,0.54966,0,0
15,dart,542,0.46303,0,0,0.57898,0,1,0.4556,0,0,0.58923,0,1,0.46341,0,0,0.37911,0,0,0.5267,0,0,0.48459,0,0,0.62343,0,1,0.69797,0,0
16,dart,319,0.65727,0,0,0.52193,0,0,0.40647,0,0,0.45124,0,0,0.51152,0,0,0.67373,0,0,0.52745,0,0,0.55212,0,0,0.53785,0,0,0.42704,0,0
17,dart,636,0.49647,0,0,0.47228,0,0,0.40476,0,0,0.59186,0,0,0.43443,0,0,0.50948,0,0,0.50865,0,0,0.3242,0,0,0.51625,0,0,0.59664,0,0
18,dart,486,0.56126,0,0,0.53683,0,0,0.70027,0,0,0.50045,0,0,0.70211,0,0,0.59915,0,0,0.65316,0,0,0.6634,0,0,0.65088,0,0,0.37281,0,0
19,dart,702,0.53894,0,0,0.55841,0,0,0.63926,0,0,0.52132,0,0,0.51059,0,0,0.23948,0,0,0.5397,0,0,0.61644,0,0,0.60995,0,0,0.58297,0,0
20,dart,1013,0.50146,0,0,0.6504,0,0,0.58788,0,0,0.66043,0,0,0.51454,0,0,0.48205,0,0,0.51823,0,0,0.65836,0,0,0.62068,0,0,0.64034,0,0
21,dart,701,0.71176,0,1,0.48972,0,0,0.57891,0,0,0.5538,0,0,0.69453,0,0,0.26872,0,0,0.42452,0,0,0.47603,0,0,0.53735,0,0,0.58772,0,0
22,dart,917,0.54327,0,0,0.56472,0,0,0.27171,0,0,0.47867,0,0,0.5792,0,0,0.57157,0,0,0.5462,0,0,0.52852,0,0,0.57139,0,0,0.54638,0,0
24,dart,420,0.54362,0,0,0.50408,0,0,0.54031,0,0,0.59934,0,0,0.09346,0,0,0.3808,0,0,0.59713,0,0,0.54642,0,0,0.55562,0,0,0.54816,0,0
26,dart,565,0.4805,0,0,0.7469,0,0,0.48767,0,0,0.41971,0,0,0.57392,0,0,0.60514,0,0,0.63508,0,0,0.60672,0,0,0.63508,0,0,0.50655,0,0
27,dart,753,0.48532,0,0,0.74104,0,1,0.73281,0,0,0.6042,0,0,0.16275,0,0,0.67885,0,0,0.64089,0,0,0.49896,0,0,0.53892,0,0,0.40476,0,0
28,dart,373,0.40036,0,0,0.53421,0,0,0.53928,0,0,0.39788,0,0,0.51855,0,0,0.18167,0,0,0.5145,0,0,0.71178,0,0,0.49638,0,0,0.49505,0,0
29,dart,671,0.65154,0,0,0.7119,0,0,0.6309,0,0,0.49869,0,0,0.67681,0,1,0.7119,0,0,0.53775,0,0,0.16413,0,0,0.56819,0,0,0.71943,0,0
30,dart,329,0.58047,0,0,0.55847,0,0,0.52974,0,0,0.50043,0,0,0.54452,0,0,0.58013,0,0,0.53931,0,0,0.68407,0,0,0.56622,0,0,0.58335,0,1
31,dart,502,0.25,0,0,0.53113,0,0,0.41786,0,0,0.65059,0,0,0.44862,0,0,0.6313,0,0,0.58199,0,0,0.68812,0,1,0.381,0,0,0.69616,0,0
33,dart,616,0.57328,0,0,0.6762,0,0,0.57434,0,0,0.50896,0,0,0.59592,0,0,0.64529,0,0,0.54684,0,0,0.53268,0,0,0.47958,0,0,0.20474,0,0
34,dart,643,0.59633,0,1,0.58783,0,0,0.62987,0,0,0.55357,0,0,0.53642,0,0,0.58224,0,0,0.70769,0,0,0.555,0,0,0.68557,0,0,0.57694,0,0
35,dart,346,0.5051,0,0,0.62217,0,0,0.65289,0,0,0.41111,0,0,0.30393,0,0,0.56656,0,0,0.35532,0,0,0.65169,0,1,0.44238,0,0,0.54521,0,0
36,dart,448,0.41795,0,0,0.52219,0,0,0.55867,0,0,0.53521,0,0,0.46652,0,0,0.5053,0,0,0.57211,0,0,0.63532,0,0,0.61798,0,0,0.61694,0,0
37,dart,579,0.53257,0,0,0.5109,0,0,0.56797,0,0,0.2079,0,0,0.61716,0,0,0.69185,0,0,0.62298,0,0,0.63622,0,0,0.58297,0,0,0.51592,0,0
39,dart,664,0.33607,0,0,0.61928,0,0,0.25,0,0,0.46766,0,0,0.62251,0,0,0.48948,0,0,0.49768,0,0,0.72276,0,0,0.61391,0,0,0.54429,0,0
40,dart,607,0.40956,0,0,0.63975,0,0,0.56829,0,0,0.31732,0,0,0.61441,0,0,0.39014,0,0,0.64481,0,0,0.46321,0,0,0.75,0,0,0.58603,0,0
41,dart,422,0.49634,0,0,0.55812,0,0,0.57566,0,0,0.4107,0,0,0.56624,0,0,0.45023,0,0,0.45362,0,0,0.52412,0,0,0.5126,0,0,0.37653,0,0
42,dart,235,0.50019,0,0,0.38024,0,0,0.54452,0,0,0.36562,0,0,0.51469,0,0,0.43209,0,0,0.50659,0,0,0.43171,0,0,0.3226,0,0,0.64158,0,1
43,dart,528,0.48882,0,0,0.60109,0,0,0.59109,0,0,0.25876,0,0,0.41667,0,0,0.53022,0,0,0.58144,0,0,0.39583,0,0,0.42331,0,0,0.71707,0,0
44,dart,347,0.52427,0,0,0.52061,0,1,0.61554,0,1,0.52192,0,0,0.52925,0,0,0.51695,0,0,0.42833,0,0,0.25812,0,0,0.52471,0,0,0.49006,0,0
45,dart,292,0.71978,0,1,0.56499,0,0,0.54056,0,1,0.71978,0,1,0.25,0,0,0.66872,0,0,0.73879,0,1,0.67694,0,0,0.71978,0,1,0.63584,0,0
46,dart,657,0.61757,0,0,0.52459,0,0,0.62276,0,0,0.54126,0,0,0.54254,0,0,0.60388,0,0,0.46982,0,0,0.5493,0,0,0.5138,0,0,0.58851,0,0
47,dart,429,0.75099,0,0,0.65724,0,0,0.53992,0,0,0.64164,0,0,0.3125,0,0,0.59734,0,0,0.5526,0,0,0.52859,0,0,0.64467,0,0,0.32964,0,0
