problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
sigless_68aee8d6861f,dart,411,0.47265,0,0,0.49436,0,0,0.53727,0,0,0.55469,0,0,0.47259,0,0,0.53453,0,0,0.55576,0,0,0.47791,0,0,0.58136,0,0,0.54416,0,0
sigless_f95cd0a8cf9d,dart,660,0.62405,0,0,0.5979,0,0,0.5608,0,0,0.61136,0,0,0.64299,0,0,0.55762,0,0,0.37545,0,0,0.59559,0,0,0.59972,0,0,0.514,0,0
sigless_be2f136aadd1,dart,301,0.51032,0,0,0.46252,0,0,0.62955,0,0,0.3554,0,0,0.53905,0,0,0.53372,0,0,0.58478,0,0,0.49371,0,0,0.4566,0,0,0.4477,0,0
sigless_f982e171b73f,dart,93,0.40285,1,0,0.29906,0,0,0.40733,0,0,0.67806,1,0,0.54615,0,0,0.26733,0,0,0.31855,0,0,0.40682,0,0,0.42242,0,0,0.70727,0,0
sigless_f5955453d5f0,dart,840,0.60891,0,0,0.58876,0,0,0.4745,0,0,0.44183,0,0,0.52098,0,0,0.58322,0,0,0.43983,0,0,0.55614,0,0,0.27531,0,0,0.46627,0,0
sigless_a0456c199f99,dart,220,0.46846,0,0,0.52599,0,0,0.40502,0,0,0.47527,0,0,0.47391,0,0,0.51734,0,0,0.47083,0,0,0.52758,0,0,0.2706,0,0,0.63476,0,0
sigless_0bf1aa74e955,dart,331,0.0714,0,0,0.46857,0,0,0.49525,0,0,0.63809,0,0,0.46171,0,0,0.55813,0,0,0.54015,0,0,0.51932,0,0,0.41397,0,0,0.61079,0,0
sigless_0043c09839e1,dart,362,0.49251,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.56508,0,0,0.444,0,0,0.56173,0,0,0.50122,0,0,0.25,0,0,0.25,0,0
sigless_527cd4427c93,dart,184,0.44298,0,0,0.53205,0,0,0.58539,0,0,0.32598,0,0,0.56362,0,0,0.46479,0,0,0.50698,0,0,0.48376,0,0,0.34145,0,0,0.57991,0,0
sigless_24b5415f13c3,dart,185,0.42019,0,0,0.51449,0,0,0.50412,0,0,0.36846,0,0,0.35665,0,0,0.37329,0,0,0.30968,0,0,0.4745,0,0,0.44909,0,0,0.44725,0,0
