problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
sigtyped_776ab3d00b38,dart,411,0.60238,1,0,0.65838,1,0,0.60287,1,0,0.62242,1,0,0.61149,1,0,0.62721,1,0,0.44482,0,0,0.61489,1,0,0.54061,1,0,0.6383,1,0
sigtyped_c5e6d66911ba,dart,660,0.55472,1,0,0.60879,0,0,0.61076,1,0,0.6348,1,0,0.58184,1,0,0.5732,1,0,0.60041,1,0,0.63683,1,0,0.6072,1,0,0.61805,1,0
sigtyped_07f0c03964f6,dart,301,0.63378,1,0,0.64426,1,0,0.70358,1,0,0.67702,0,0,0.70886,1,0,0.66724,1,0,0.70993,1,0,0.70029,1,0,0.68009,0,0,0.70987,1,0
sigtyped_e3ced960f4a7,dart,93,0.73055,1,0,0.43446,1,0,0.53611,1,0,0.79724,1,0,0.71104,1,0,0.76037,1,0,0.42253,0,0,0.76037,1,0,0.39379,1,0,0.76286,1,0
sigtyped_804340fe87a7,dart,840,0.71787,1,0,0.74603,1,0,0.75421,1,0,0.75,1,0,0.74577,1,0,0.72989,1,0,0.76338,1,0,0.74577,1,0,0.76888,1,0,0.72346,1,0
sigtyped_d8e6c75a9ff8,dart,220,0.46584,1,0,0.44835,1,0,0.64875,1,0,0.40496,1,0,0.70594,1,0,0.48456,1,0,0.68491,1,0,0.12632,1,0,0.75329,1,0,0.58767,1,0
sigtyped_20c92437be9b,dart,331,0.21448,1,0,0.56394,0,0,0.66944,1,0,0.65424,1,0,0.66429,1,0,0.699,1,0,0.66467,1,0,0.66025,1,0,0.64135,1,0,0.64948,1,0
sigtyped_82fd0c175d9f,dart,362,0.49682,1,0,0.48773,1,0,0.52962,1,0,0.52317,1,0,0.56403,1,0,0.49131,1,0,0.50167,0,0,0.72064,1,0,0.66296,1,0,0.25,0,0
sigtyped_1a71229d3631,dart,184,0.61651,1,0,0.65312,1,0,0.53742,1,0,0.53124,1,0,0.58329,1,0,0.52744,1,0,0.44941,1,0,0.54744,1,0,0.52061,0,0,0.54744,1,0
sigtyped_1c13ff8ab51a,dart,185,0.53752,1,0,0.68893,1,0,0.56094,1,0,0.22035,0,0,0.41074,1,0,0.65189,1,0,0.68246,1,0,0.60209,1,0,0.65219,1,0,0.70084,1,0
sigtyped_b5864281a7e4,dart,141,0.67209,1,0,0.50122,0,0,0.67466,1,0,0.71554,1,0,0.62155,0,0,0.53581,1,0,0.5801,1,0,0.46978,1,0,0.71825,1,0,0.5061,1,0
sigtyped_d5fac9010ce6,dart,201,0.41376,1,0,0.53573,1,0,0.54325,1,0,0.47044,1,0,0.48368,1,0,0.48242,1,0,0.47028,1,0,0.45743,0,0,0.34661,0,0,0.70998,1,0
sigtyped_e89d90446d36,dart,199,0.41002,1,0,0.53567,1,0,0.39375,1,0,0.38242,1,0,0.26088,1,0,0.43768,1,0,0.24795,1,0,0.66369,1,0,0.38468,1,0,0.54355,1,0
sigtyped_174911759441,dart,67,0.47168,1,0,0.57268,1,0,0.35056,0,0,0.62172,1,0,0.73465,1,1,0.62172,1,0,0.40392,1,0,0.62172,1,0,0.53647,1,0,0.58955,1,0
sigtyped_5456a98a26da,dart,108,0.40421,1,1,0.3642,1,0,0.46342,1,0,0.4337,1,0,0.42057,1,0,0.30176,0,0,0.31292,1,0,0.55821,1,1,0.47675,1,0,0.403,1,0
sigtyped_3ee9e6908aba,dart,290,0.546,1,0,0.60215,1,0,0.33795,0,0,0.57087,1,0,0.52358,1,0,0.38632,1,0,0.51388,1,0,0.60861,1,0,0.537,1,0,0.52623,0,0
sigtyped_b04d43d82505,dart,183,0.53382,1,0,0.67449,1,0,0.51149,1,0,0.62682,1,0,0.60879,1,0,0.60772,1,0,0.43565,1,0,0.52455,1,0,0.41942,1,0,0.4163,0,0
sigtyped_b80056690e83,dart,347,0.54266,1,0,0.5307,1,0,0.54612,1,0,0.49688,1,0,0.39154,1,0,0.50902,1,0,0.49207,1,0,0.24763,1,0,0.43635,1,0,0.51745,1,0
sigtyped_08d9acf64fef,dart,317,0.63773,1,0,0.37274,1,0,0.45133,0,0,0.52613,1,0,0.59669,1,0,0.58102,1,0,0.63083,1,0,0.60756,1,0,0.48918,0,0,0.51719,1,0
sigtyped_a90065d6f3b4,dart,312,0.62082,1,0,0.55749,1,0,0.45023,1,0,0.57775,0,0,0.64492,1,0,0.6636,1,0,0.55481,1,0,0.5495,1,0,0.5514,1,0,0.26298,1,0
sigtyped_9177d18b5627,dart,899,0.6627,1,0,0.68784,1,0,0.6627,1,0,0.72059,1,0,0.64367,0,0,0.6627,1,0,0.6627,1,0,0.6627,1,0,0.67162,0,0,0.68279,1,0
sigtyped_8044d04ea18e,dart,468,0.72853,1,0,0.75129,1,0,0.66425,1,0,0.74934,1,0,0.74886,1,0,0.74228,1,0,0.6943,1,0,0.67487,0,0,0.71974,1,0,0.70704,1,0
sigtyped_20021b9c02c6,dart,288,0.51419,1,0,0.31017,0,0,0.64406,1,0,0.6665,1,1,0.48851,1,0,0.52503,0,0,0.43219,1,0,0.55067,1,0,0.51779,1,0,0.55933,1,0
sigtyped_45ad2a30cfc9,dart,179,0.68796,1,0,0.39381,1,0,0.32014,1,0,0.68796,1,0,0.68796,1,0,0.56789,1,0,0.68796,1,0,0.37817,0,0,0.42005,1,0,0.37693,1,0
sigtyped_72c18fd8f598,dart,226,0.48801,1,0,0.54832,1,0,0.53095,0,0,0.43489,1,0,0.47593,1,0,0.75164,1,0,0.37241,0,0,0.55456,1,0,0.74137,1,0,0.56581,1,0
sigtyped_7ec930105d11,dart,697,0.73001,1,0,0.58544,1,0,0.63372,1,0,0.59851,0,0,0.55716,1,0,0.54096,0,0,0.59973,0,0,0.60317,1,0,0.63208,1,0,0.63548,1,0
sigtyped_de7afe6d9683,dart,164,0.53006,1,0,0.54228,1,0,0.75895,1,0,0.73412,1,0,0.34311,1,0,0.6433,1,0,0.5932,1,0,0.52762,1,0,0.41694,0,0,0.46473,0,0
sigtyped_6ff88e022083,dart,436,0.36447,1,0,0.58744,1,0,0.64643,1,0,0.52542,0,0,0.52227,1,0,0.6533,1,0,0.54996,1,0,0.56803,1,0,0.52596,1,0,0.60568,1,0
sigtyped_a6a85b241315,dart,360,0.65951,1,0,0.58022,1,0,0.7,1,0,0.68442,1,0,0.6878,0,0,0.57519,1,0,0.64238,1,0,0.64889,1,0,0.65282,0,0,0.49616,1,0
sigtyped_b057b5be9810,dart,311,0.70722,0,0,0.64739,1,0,0.67955,0,0,0.79839,1,0,0.4991,1,0,0.73659,1,0,0.64549,1,0,0.65155,1,0,0.68048,0,0,0.67273,1,0
sigtyped_b95df5aa7416,dart,193,0.53313,1,0,0.51298,1,0,0.51748,0,0,0.54145,1,0,0.5146,1,0,0.60429,1,0,0.56236,1,0,0.5842,1,0,0.50571,1,0,0.49444,1,0
sigtyped_7ba2403e6424,dart,184,0.65384,1,0,0.50152,1,0,0.52218,1,0,0.52913,1,0,0.47679,0,0,0.64191,1,0,0.64191,1,0,0.65384,1,0,0.56854,0,0,0.50631,1,0
sigtyped_d424f9a96d52,dart,443,0.72922,1,0,0.62804,1,0,0.70894,1,0,0.70243,1,0,0.54271,0,0,0.59264,1,0,0.64985,1,0,0.13832,0,0,0.64433,1,0,0.34359,1,0
sigtyped_dcc16313ccf4,dart,450,0.31371,1,0,0.63077,1,0,0.71332,1,0,0.62156,1,0,0.71709,1,0,0.67266,1,0,0.63706,1,0,0.62589,1,0,0.68161,1,0,0.69432,1,0
sigtyped_e85baaaf53a8,dart,78,0.59256,1,0,0.32424,1,0,0.40373,0,0,0.45894,1,0,0.57029,1,0,0.33737,0,0,0.34976,1,0,0.42116,0,0,0.50144,1,0,0.51091,1,0
sigtyped_8e4d011f51d3,dart,288,0.5589,1,0,0.67206,0,0,0.34157,0,0,0.49294,1,0,0.301,1,0,0.63326,1,0,0.25255,1,0,0.70314,1,0,0.7305,1,0,0.63204,1,0
sigtyped_9c004be5d7d9,dart,539,0.6961,0,0,0.69816,0,0,0.36745,0,0,0.59699,0,0,0.7342,0,0,0.6627,0,0,0.63528,0,0,0.69278,0,0,0.7342,0,0,0.55809,0,0
sigtyped_0350c7e013d0,dart,146,0.41418,0,0,0.53164,1,0,0.58596,1,0,0.43147,1,0,0.50442,1,0,0.56776,1,0,0.44882,1,0,0.52679,1,0,0.61223,1,0,0.53625,1,0
sigtyped_e56488f99759,dart,166,0.4395,1,0,0.45752,1,0,0.14064,1,0,0.43476,1,0,0.40889,1,0,0.39141,1,0,0.42527,1,0,0.4612,1,0,0.47463,1,0,0.43191,1,0
sigtyped_3a918506aa33,dart,186,0.40503,1,0,0.6194,1,0,0.55795,1,0,0.51198,0,0,0.65645,1,0,0.4637,0,0,0.39505,1,0,0.30264,0,0,0.59879,1,0,0.67692,1,0
sigtyped_4f3b644dfba7,dart,223,0.58986,1,0,0.64498,1,0,0.53441,0,0,0.39043,1,0,0.20621,1,0,0.5997,1,0,0.40236,1,0,0.57364,1,0,0.52943,1,0,0.58968,1,0
sigtyped_ba016445b663,dart,91,0.40133,1,0,0.36277,1,0,0.40575,1,0,0.44314,1,0,0.42385,1,0,0.38303,1,0,0.35801,1,0,0.46693,1,0,0.37955,1,0,0.44133,1,0
sigtyped_3ec10fffbf41,dart,263,0.73489,1,0,0.68775,1,0,0.70394,1,0,0.61411,1,0,0.71392,1,0,0.70723,1,0,0.67675,1,0,0.60792,1,0,0.72994,1,0,0.66428,1,0
sigtyped_a094ec7dc386,dart,473,0.43864,1,0,0.67808,1,0,0.65192,1,0,0.63869,1,0,0.71843,1,0,0.59527,1,0,0.67154,1,0,0.65756,1,0,0.59218,1,0,0.62773,1,0
sigtyped_8f62d3970cc1,dart,296,0.70558,1,0,0.57012,0,0,0.53394,1,0,0.55445,1,0,0.49605,1,0,0.68362,1,0,0.71083,1,0,0.53991,1,0,0.6444,1,0,0.72525,1,0
sigtyped_960ea4f62c77,dart,231,0.1958,0,0,0.45183,1,0,0.45474,1,0,0.50837,1,0,0.49738,1,0,0.538,1,0,0.34456,1,0,0.48744,1,0,0.42356,0,0,0.42703,1,0
sigtyped_44fa0a4d4320,dart,337,0.67607,1,0,0.61747,1,0,0.67955,1,0,0.59685,1,0,0.79029,1,0,0.67214,0,0,0.47645,1,0,0.61176,1,0,0.6045,1,0,0.64771,1,0
sigtyped_66ba75aa397b,dart,170,0.51164,1,0,0.63328,1,0,0.62856,1,0,0.63328,1,0,0.62095,1,0,0.71735,1,0,0.63328,1,0,0.6242,1,0,0.63328,1,0,0.65494,1,0
sigtyped_2d2642bd7dfa,dart,699,0.62659,1,0,0.69799,1,0,0.57924,1,0,0.62873,1,0,0.57759,1,0,0.58369,0,0,0.61057,1,0,0.69489,1,0,0.60562,1,0,0.68891,1,0
sigtyped_2cfa5da47107,dart,100,0.50616,1,0,0.43118,1,0,0.42219,1,0,0.50616,1,0,0.44434,1,0,0.37514,0,0,0.43882,1,0,0.42449,1,0,0.3211,1,0,0.40919,1,0
sigtyped_22afbe4941a8,dart,204,0.46033,1,0,0.45124,1,0,0.7279,1,0,0.38694,0,0,0.507,1,0,0.41478,1,0,0.49876,1,0,0.48809,1,0,0.33155,1,0,0.42504,0,0
sigtyped_d6ab1273a472,dart,185,0.67697,0,0,0.73544,1,0,0.54641,1,0,0.53706,0,0,0.65798,0,0,0.72193,1,0,0.35924,0,0,0.43031,1,0,0.75709,1,0,0.35172,1,0
sigtyped_88003d3a926b,dart,861,0.6836,1,0,0.56299,1,0,0.6887,1,0,0.69381,1,0,0.70245,1,0,0.72794,1,0,0.64689,1,0,0.69225,1,0,0.61128,1,0,0.68973,1,0
sigtyped_e7d00689d583,dart,386,0.55427,1,0,0.53062,1,0,0.5434,1,0,0.49703,1,0,0.54085,1,0,0.57244,1,0,0.55359,1,0,0.54297,0,0,0.55338,1,0,0.45722,0,0
