problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.66168,0,0,0.68486,0,0,0.66168,0,0,0.65671,0,0,0.65008,0,0,0.69811,0,0,0.68486,0,0,0.69977,0,0,0.66606,1,0,0.66168,0,0
1,dart,1184,0.09608,0,0,0.66443,1,0,0.35832,0,0,0.31305,0,0,0.63771,1,1,0.61916,1,0,0.59091,1,1,0.35795,0,0,0.63254,1,0,0.63315,1,0
2,dart,301,0.59472,1,0,0.60754,0,0,0.59472,1,0,0.59472,1,0,0.58019,1,0,0.59472,1,0,0.56056,1,0,0.59472,1,0,0.58019,1,0,0.56056,1,0
3,dart,471,0.67538,1,0,0.66833,1,0,0.71043,1,1,0.71043,1,1,0.68784,1,1,0.71043,1,1,0.71043,1,1,0.71043,1,1,0.71043,1,1,0.67465,1,0
4,dart,611,0.5441,0,0,0.20426,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0
5,dart,564,0.72198,1,1,0.75904,1,1,0.74373,1,1,0.78291,1,1,0.75253,1,1,0.75378,1,1,0.77749,1,1,0.7797,1,1,0.71769,1,1,0.75378,1,1
6,dart,852,0.63135,0,0,0.64893,1,0,0.65871,1,0,0.63727,0,0,0.66874,1,0,0.63324,1,0,0.66548,1,0,0.66862,1,0,0.66874,1,0,0.64863,1,0
7,dart,547,0.57801,1,0,0.57801,1,1,0.57801,1,1,0.57801,1,1,0.57801,1,0,0.58151,1,0,0.57801,1,1,0.57801,1,0,0.55484,1,0,0.57801,1,0
8,dart,598,0.71314,1,0,0.73396,1,0,0.65919,1,0,0.68242,1,0,0.66252,1,0,0.67327,1,0,0.66263,1,0,0.66252,1,0,0.68099,0,0,0.67452,1,0
9,dart,807,0.65053,0,0,0.67255,1,1,0.67255,1,1,0.67255,1,1,0.63698,0,0,0.67255,1,1,0.65288,1,1,0.6799,1,0,0.64725,0,0,0.67255,1,1
10,dart,798,0.54414,1,0,0.53671,0,0,0.60972,1,0,0.59438,1,0,0.56079,1,0,0.58313,1,0,0.53332,1,0,0.59498,1,0,0.59498,1,0,0.53529,1,0
11,dart,629,0.28151,0,0,0.60255,0,0,0.62753,1,0,0.58644,1,0,0.64045,0,0,0.42787,0,0,0.58679,1,0,0.61741,1,0,0.60355,1,0,0.60612,1,0
12,dart,534,0.63858,1,1,0.6111,1,1,0.55034,0,0,0.47046,0,0,0.62692,1,1,0.6111,1,1,0.61881,1,1,0.64398,1,1,0.62748,1,1,0.60263,1,1
13,dart,491,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.10047,0,0,0.69041,1,1,0.51337,0,0,0.69041,1,1,0.69112,1,1
14,dart,381,0.25073,0,0,0.67054,1,1,0.73261,1,1,0.71452,1,1,0.75023,1,1,0.71452,1,1,0.53709,1,1,0.70992,1,1,0.72462,1,1,0.74795,1,0
15,dart,542,0.35344,0,0,0.53715,1,0,0.50411,1,0,0.4194,1,0,0.52999,1,0,0.49976,1,0,0.32003,1,0,0.47197,1,0,0.26437,0,0,0.5027,1,0
16,dart,319,0.57233,1,0,0.4968,1,0,0.53222,1,0,0.52804,1,0,0.49842,1,0,0.50369,1,0,0.53218,1,0,0.51193,1,0,0.52522,1,0,0.58483,1,0
17,dart,636,0.44093,0,0,0.39173,0,0,0.40862,0,0,0.45889,1,0,0.3848,0,0,0.49678,1,0,0.40817,0,0,0.48775,1,0,0.48557,0,0,0.39624,1,0
18,dart,486,0.41887,0,0,0.67632,1,1,0.45948,0,0,0.69106,1,1,0.47133,0,0,0.69106,1,1,0.69106,1,1,0.69106,1,1,0.59691,1,1,0.69106,1,1
19,dart,702,0.73544,1,0,0.4701,1,0,0.62179,0,0,0.56346,1,0,0.73071,1,0,0.14169,0,0,0.50359,0,0,0.55605,1,0,0.69947,1,0,0.63561,1,0
20,dart,1013,0.65851,0,0,0.61928,1,0,0.61766,0,0,0.66086,0,0,0.37537,0,0,0.61833,1,0,0.67109,0,0,0.60901,0,0,0.60263,0,0,0.64253,0,0
21,dart,701,0.6052,0,0,0.6413,0,0,0.65275,0,0,0.65275,0,0,0.6521,0,0,0.6521,0,0,0.65275,0,0,0.65718,0,0,0.65583,0,0,0.65275,0,0
22,dart,917,0.55831,1,1,0.54798,1,1,0.5908,1,1,0.54454,1,1,0.5908,1,1,0.52804,1,0,0.56227,1,1,0.66483,1,1,0.56227,1,1,0.52449,1,1
24,dart,420,0.6172,1,0,0.65005,1,0,0.56668,1,0,0.60432,1,0,0.66957,1,0,0.66278,1,0,0.62934,1,0,0.59315,1,0,0.63952,1,0,0.57859,1,0
26,dart,565,0.50245,0,0,0.52938,1,0,0.60298,1,0,0.60298,1,0,0.57807,1,0,0.60298,1,0,0.57807,1,0,0.60298,1,0,0.59456,1,0,0.60298,1,0
27,dart,753,0.73264,1,1,0.67518,0,0,0.6171,1,0,0.64321,1,1,0.68682,1,1,0.60722,1,0,0.67905,0,0,0.68876,1,1,0.67893,0,0,0.68682,1,1
28,dart,373,0.53505,1,1,0.55301,1,1,0.53439,1,1,0.5388,1,1,0.5265,1,1,0.55301,1,1,0.5265,1,1,0.53505,1,1,0.52055,1,1,0.5265,1,1
29,dart,671,0.54212,1,0,0.5655,1,1,0.5655,1,0,0.5655,1,0,0.57074,1,1,0.54712,1,1,0.5655,1,0,0.5655,1,1,0.5655,1,1,0.56329,1,1
30,dart,329,0.54265,1,1,0.56068,1,1,0.55939,1,1,0.53736,1,1,0.54265,1,1,0.55495,1,1,0.53736,1,1,0.54265,1,1,0.54265,1,1,0.53455,1,1
31,dart,502,0.70922,1,1,0.64339,1,1,0.71568,1,1,0.62087,1,1,0.60733,1,1,0.71568,1,1,0.62087,1,1,0.6498,1,1,0.61004,1,1,0.62087,1,1
33,dart,616,0.65186,1,0,0.65425,1,0,0.62311,1,0,0.62294,1,0,0.60488,1,0,0.62232,1,0,0.71006,1,0,0.45388,0,0,0.62952,1,0,0.68161,1,0
34,dart,643,0.51712,1,0,0.55554,1,0,0.55003,1,0,0.5609,1,0,0.5322,1,0,0.55554,1,0,0.51392,1,0,0.55554,1,0,0.55554,1,0,0.51025,1,0
35,dart,346,0.58503,1,1,0.58503,1,1,0.58942,1,1,0.58503,1,1,0.58503,1,1,0.58942,1,1,0.58942,1,1,0.58942,1,1,0.58503,1,1,0.58942,1,1
36,dart,448,0.68196,1,0,0.68281,1,0,0.6952,1,0,0.68281,1,0,0.26915,0,0,0.6952,1,0,0.68281,1,0,0.68281,1,0,0.68281,1,0,0.68281,1,0
37,dart,579,0.68717,1,0,0.32521,1,0,0.72472,1,0,0.63636,1,0,0.61051,1,0,0.64726,1,0,0.67687,1,0,0.73554,1,0,0.70204,1,0,0.71461,1,0
39,dart,664,0.65789,1,0,0.63223,1,0,0.61904,1,0,0.59913,1,0,0.2939,0,0,0.66284,1,0,0.65894,1,0,0.64125,0,0,0.68165,1,1,0.66363,1,0
40,dart,607,0.66118,1,0,0.67812,1,0,0.68614,1,0,0.70599,1,1,0.68614,1,0,0.70599,1,1,0.67093,1,0,0.66866,1,0,0.68614,1,0,0.73699,1,1
41,dart,422,0.50102,1,0,0.49987,1,0,0.45028,1,0,0.47321,1,0,0.46258,1,0,0.06464,0,0,0.48182,1,0,0.42661,1,0,0.49331,1,0,0.46143,1,0
42,dart,235,0.50736,1,1,0.4583,0,0,0.6248,1,1,0.55076,1,1,0.53165,1,0,0.45652,0,0,0.48196,1,0,0.52695,1,0,0.52351,1,0,0.55826,1,1
43,dart,528,0.65672,1,1,0.6344,1,1,0.61007,1,1,0.66173,1,1,0.60444,1,1,0.61601,1,1,0.66819,1,1,0.6648,1,0,0.60444,1,1,0.60429,1,1
44,dart,347,0.61062,1,1,0.60295,1,0,0.59572,0,0,0.38869,0,0,0.55877,1,0,0.65993,1,0,0.32101,0,0,0.67341,1,0,0.54911,0,0,0.58264,1,1
45,dart,292,0.6387,1,1,0.6387,1,1,0.32486,0,0,0.66667,0,0,0.6387,1,1,0.59047,1,0,0.6387,1,1,0.6387,1,1,0.6387,1,1,0.6387,1,1
46,dart,657,0.61654,1,0,0.60485,1,0,0.5975,1,0,0.56869,0,0,0.60506,1,0,0.60429,1,0,0.5958,1,0,0.62027,1,0,0.61518,1,0,0.60231,1,0
47,dart,429,0.67269,0,0,0.6739,0,0,0.69099,0,0,0.69099,0,0,0.69066,0,0,0.62601,0,0,0.68789,0,0,0.54072,0,0,0.69491,0,0,0.67349,0,0
48,dart,444,0.64526,1,1,0.65701,1,1,0.65701,1,1,0.64709,1,1,0.65701,1,1,0.65701,1,1,0.65701,1,1,0.65701,1,1,0.65701,1,1,0.65701,1,1
49,dart,381,0.62363,1,0,0.62326,1,0,0.58453,1,0,0.54945,0,0,0.56192,1,0,0.59505,1,0,0.50864,1,0,0.55286,1,0,0.51117,0,0,0.59979,1,0
51,dart,540,0.71167,1,1,0.67393,1,1,0.74381,1,1,0.68657,1,1,0.65348,1,1,0.71867,1,1,0.71746,1,1,0.68657,1,1,0.71167,1,1,0.68657,1,1
52,dart,479,0.54285,1,0,0.54494,1,1,0.55937,1,1,0.55937,1,1,0.55937,1,1,0.54756,1,1,0.53868,1,0,0.61919,1,1,0.55937,1,1,0.61919,1,1
53,dart,212,0.62515,1,1,0.75458,1,1,0.52757,0,0,0.56952,1,1,0.62515,1,1,0.56952,1,1,0.75458,1,1,0.62515,1,1,0.29641,0,0,0.5245,0,0
54,dart,571,0.50032,0,0,0.57116,0,0,0.5185,1,0,0.41285,1,0,0.52834,1,0,0.52391,1,0,0.52391,1,0,0.52834,1,0,0.52834,1,0,0.52834,1,0
55,dart,474,0.48896,1,1,0.48896,1,1,0.49728,1,1,0.48896,1,1,0.50626,1,1,0.48896,1,1,0.37093,0,0,0.48896,1,1,0.48896,1,1,0.48896,1,1
56,dart,578,0.69468,1,0,0.65607,1,0,0.69595,1,0,0.71515,1,0,0.69468,1,0,0.69595,1,0,0.69595,1,0,0.69468,1,0,0.38695,0,0,0.68108,1,0
57,dart,620,0.60538,1,0,0.30776,0,0,0.58053,1,1,0.61254,1,0,0.6197,1,0,0.60905,1,0,0.6197,1,0,0.60108,1,0,0.68879,1,1,0.60039,1,0
58,dart,425,0.63412,1,0,0.59836,1,0,0.6026,1,0,0.64574,0,0,0.60451,1,0,0.65809,1,0,0.67993,1,0,0.63277,1,0,0.56515,1,0,0.6186,1,0
59,dart,515,0.63856,1,1,0.6438,1,1,0.62907,1,1,0.59257,1,1,0.3046,0,0,0.62737,1,1,0.64824,1,1,0.64404,1,1,0.51437,0,0,0.63716,1,1
