problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.66168,0,0,0.70015,0,0,0.69811,0,0,0.68376,0,0,0.65087,0,0,0.69679,0,0,0.69873,0,0,0.69977,0,0,0.68176,0,0,0.69811,0,0
1,dart,1184,0.34428,0,0,0.65869,1,0,0.3166,0,0,0.32016,0,0,0.29852,0,0,0.66766,1,0,0.31981,0,0,0.67695,1,0,0.66526,0,0,0.28976,0,0
2,dart,301,0.41918,0,0,0.71786,0,0,0.38702,0,0,0.34283,0,0,0.33502,0,0,0.45693,0,0,0.27531,0,0,0.33585,0,0,0.60754,0,0,0.35607,0,0
3,dart,471,0.6535,1,0,0.71043,1,1,0.65141,1,1,0.68917,1,0,0.71043,1,1,0.71043,1,1,0.67538,1,0,0.61323,1,0,0.71043,1,1,0.33168,0,0
4,dart,611,0.5386,0,0,0.5441,0,0,0.5506,0,0,0.53393,0,0,0.50944,0,0,0.5386,0,0,0.51969,0,0,0.51894,0,0,0.21123,0,0,0.5441,0,0
5,dart,564,0.36284,0,0,0.70061,0,0,0.75378,1,1,0.73565,1,1,0.74432,1,1,0.73899,1,1,0.78296,1,1,0.77426,1,1,0.78291,1,1,0.78801,1,1
6,dart,852,0.29848,0,0,0.31245,0,0,0.2917,0,0,0.57369,0,0,0.2988,0,0,0.52754,0,0,0.30028,0,0,0.32162,0,0,0.48653,0,0,0.68225,0,0
7,dart,547,0.45713,0,0,0.55506,0,0,0.45902,0,0,0.48348,0,0,0.48702,0,0,0.50342,0,0,0.41898,0,0,0.45012,0,0,0.583,1,1,0.48671,0,0
8,dart,598,0.2725,0,0,0.41153,0,0,0.73396,1,0,0.65038,1,0,0.58276,0,0,0.66528,1,0,0.48221,0,0,0.27125,0,0,0.42715,0,0,0.50231,0,0
9,dart,807,0.65288,1,1,0.65466,1,0,0.67756,1,1,0.67255,1,1,0.6685,0,0,0.67255,1,1,0.67514,1,1,0.67255,1,1,0.65414,1,1,0.6799,1,0
10,dart,798,0.29123,0,0,0.5981,0,0,0.47672,0,0,0.51525,1,0,0.28042,0,0,0.60255,0,0,0.58454,1,0,0.29298,0,0,0.58412,1,0,0.52723,0,0
11,dart,629,0.62836,1,0,0.35586,0,0,0.46485,0,0,0.27827,0,0,0.29856,0,0,0.60115,0,0,0.66885,0,0,0.43483,0,0,0.65989,1,0,0.37472,0,0
12,dart,534,0.71891,1,1,0.28302,0,0,0.35651,0,0,0.71433,1,1,0.42733,0,0,0.42323,0,0,0.65625,1,1,0.67305,1,1,0.61881,1,1,0.36981,0,0
13,dart,491,0.69041,1,1,0.69041,1,1,0.37649,0,0,0.37777,0,0,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.27745,0,0,0.33513,0,0,0.69041,1,1
14,dart,381,0.30689,0,0,0.56289,0,0,0.73099,1,1,0.14708,0,0,0.27364,0,0,0.06097,0,0,0.78935,1,1,0.70067,1,1,0.66639,0,0,0.363,0,0
15,dart,542,0.50471,1,0,0.45394,1,0,0.50279,0,0,0.47904,1,0,0.50309,1,0,0.28541,0,0,0.49673,1,0,0.49497,1,0,0.3514,0,0,0.5062,1,0
16,dart,319,0.33474,0,0,0.37283,0,0,0.53824,1,0,0.33048,0,0,0.48207,1,0,0.51014,1,0,0.33625,0,0,0.30974,0,0,0.33311,0,0,0.10503,0,0
17,dart,636,0.29677,0,0,0.46571,0,0,0.37521,0,0,0.65008,1,0,0.30937,1,0,0.27295,0,0,0.45192,0,0,0.31741,1,0,0.44056,0,0,0.45912,1,0
18,dart,486,0.27638,0,0,0.67632,1,1,0.45809,0,0,0.67632,1,1,0.20474,0,0,0.67632,1,1,0.34072,0,0,0.67632,1,1,0.69106,1,1,0.51786,0,0
19,dart,702,0.21601,0,0,0.52875,0,0,0.48158,0,0,0.46387,0,0,0.63771,1,0,0.57532,0,0,0.53379,0,0,0.47557,0,0,0.27786,0,0,0.59195,0,0
20,dart,1013,0.29549,0,0,0.28656,0,0,0.64421,1,0,0.62077,1,0,0.62582,1,0,0.64253,0,0,0.65361,0,0,0.63937,0,0,0.66498,1,0,0.68661,0,0
21,dart,701,0.20228,0,0,0.14731,0,0,0.64491,0,0,0.65275,0,0,0.44144,0,0,0.60628,0,0,0.54847,1,0,0.72729,0,0,0.64345,0,0,0.65511,0,0
22,dart,917,0.46635,0,0,0.43725,0,0,0.45906,0,0,0.42564,0,0,0.35802,0,0,0.34093,0,0,0.28695,0,0,0.42446,0,0,0.40655,0,0,0.56449,1,1
24,dart,420,0.30389,0,0,0.65186,1,0,0.6499,1,0,0.55958,1,0,0.52785,1,0,0.5694,0,0,0.67366,1,0,0.30308,0,0,0.64137,1,0,0.64279,1,0
26,dart,565,0.60298,1,0,0.59594,1,0,0.38947,0,0,0.60298,1,0,0.62605,1,0,0.43186,0,0,0.63684,1,0,0.52258,0,0,0.58493,1,0,0.61396,1,0
27,dart,753,0.47163,0,0,0.39469,0,0,0.66944,0,0,0.46189,0,0,0.55748,0,0,0.60199,1,1,0.13998,0,0,0.72962,1,1,0.40125,0,0,0.18317,0,0
28,dart,373,0.54445,0,0,0.49276,1,1,0.40953,0,0,0.41807,0,0,0.38272,0,0,0.38646,0,0,0.32377,0,0,0.40847,0,0,0.44297,0,0,0.51628,0,0
