problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.65937,0,0,0.70068,0,0,0.6586,0,0,0.70068,0,0,0.67763,1,0,0.64044,0,0,0.65889,0,0,0.68621,0,0,0.69551,0,0,0.70797,0,0
1,dart,1184,0.63342,0,0,0.63412,1,0,0.6879,1,0,0.67553,1,1,0.66915,1,1,0.67894,1,1,0.65125,1,0,0.59538,0,0,0.61587,1,0,0.58521,0,0
2,dart,301,0.64661,1,0,0.25,0,0,0.58019,1,0,0.25,0,0,0.53679,1,0,0.25,0,0,0.25,0,0,0.25,0,0,0.59597,1,0,0.25,0,0
3,dart,471,0.25,0,0,0.67425,1,1,0.69079,1,1,0.25,0,0,0.66603,1,1,0.25,0,0,0.25,0,0,0.69556,1,1,0.64638,1,1,0.25,0,0
4,dart,611,0.68451,0,0,0.67666,0,0,0.6211,0,0,0.6211,0,0,0.5441,0,0,0.6211,0,0,0.6876,0,0,0.68053,0,0,0.6876,0,0,0.5441,0,0
5,dart,564,0.76163,1,1,0.79299,1,1,0.78387,1,1,0.75911,1,1,0.25,0,0,0.76659,1,1,0.7617,1,0,0.78134,1,1,0.25,0,0,0.25,0,0
6,dart,852,0.63389,1,0,0.25,0,0,0.69213,1,0,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.69251,1,0,0.25,0,0,0.25,0,0
7,dart,547,0.25,0,0,0.25,0,0,0.61345,1,1,0.25,0,0,0.61345,1,1,0.25,0,0,0.25,0,0,0.57801,1,0,0.25,0,0,0.25,0,0
8,dart,598,0.64471,1,0,0.67092,1,0,0.67092,1,0,0.25,0,0,0.64621,1,0,0.63262,1,0,0.25,0,0,0.64229,1,0,0.71314,1,0,0.61776,1,0
9,dart,807,0.65379,0,0,0.63708,1,1,0.66338,1,1,0.6455,1,1,0.66338,1,1,0.71103,0,0,0.64756,0,0,0.64497,0,0,0.65012,0,0,0.65379,0,0
10,dart,798,0.53236,1,0,0.57041,1,0,0.5558,1,0,0.25,0,0,0.57527,1,0,0.45051,1,0,0.58188,1,0,0.60794,1,0,0.59135,1,0,0.28517,1,0
11,dart,629,0.67463,1,0,0.67459,1,1,0.62317,1,1,0.67515,1,1,0.61399,1,1,0.64394,1,0,0.64313,1,0,0.63351,1,0,0.61465,1,0,0.65684,1,0
12,dart,534,0.25,0,0,0.25,0,0,0.56926,1,0,0.51889,0,0,0.25,0,0,0.61881,1,1,0.71433,1,1,0.25,0,0,0.25,0,0,0.25,0,0
13,dart,491,0.69112,1,1,0.74398,1,1,0.69112,1,1,0.69112,1,1,0.69041,1,1,0.60016,1,1,0.74398,1,1,0.69041,1,1,0.74398,1,1,0.74398,1,1
14,dart,381,0.76941,1,1,0.25,0,0,0.75423,1,1,0.25,0,0,0.25,0,0,0.76789,1,1,0.78301,1,1,0.7254,1,1,0.25,0,0,0.70596,1,1
15,dart,542,0.62834,1,0,0.51977,0,0,0.48064,1,0,0.25,0,0,0.54974,1,0,0.479,1,0,0.55302,1,0,0.55994,1,0,0.25,0,0,0.57428,1,0
16,dart,319,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.50369,1,0,0.25,0,0,0.25,0,0,0.52522,1,0,0.25,0,0,0.50968,1,0
17,dart,636,0.25,0,0,0.25,0,0,0.49848,0,0,0.43802,0,0,0.25,0,0,0.40662,0,0,0.25,0,0,0.54046,1,0,0.25,0,0,0.25,0,0
18,dart,486,0.25,0,0,0.59213,1,1,0.5513,1,1,0.65479,1,1,0.56089,1,1,0.69106,1,1,0.59691,1,1,0.65661,1,1,0.58416,1,1,0.56228,1,1
19,dart,702,0.25,0,0,0.52507,1,0,0.25,0,0,0.53273,1,0,0.5359,1,0,0.25,0,0,0.25,0,0,0.51428,1,0,0.25,0,0,0.52155,1,0
20,dart,1013,0.63926,0,0,0.6376,0,0,0.65212,0,0,0.55854,0,0,0.63727,0,0,0.66898,1,0,0.66257,0,0,0.59115,0,0,0.62705,0,0,0.64097,1,0
21,dart,701,0.25,0,0,0.64198,0,0,0.65314,0,0,0.25,0,0,0.65048,1,1,0.6538,0,0,0.25,0,0,0.65048,0,0,0.25,0,0,0.25,0,0
22,dart,917,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.55001,1,1,0.25,0,0,0.25,0,0,0.55083,1,1,0.25,0,0,0.59743,1,1
24,dart,420,0.66455,1,0,0.65462,0,0,0.6556,1,0,0.65143,1,1,0.71475,0,0,0.6084,1,1,0.6722,1,0,0.66923,1,0,0.64092,1,0,0.68076,1,0
26,dart,565,0.25,0,0,0.63675,1,0,0.25,0,0,0.60341,1,0,0.25,0,0,0.63882,1,0,0.59456,1,0,0.48748,1,1,0.60298,1,0,0.25,0,0
27,dart,753,0.73861,0,0,0.25,0,0,0.25,0,0,0.72915,0,0,0.25,0,0,0.25,0,0,0.73861,0,0,0.57565,0,0,0.73861,0,0,0.25,0,0
28,dart,373,0.48016,1,1,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.50578,1,1,0.25,0,0,0.25,0,0,0.50764,1,1,0.25,0,0
29,dart,671,0.25,0,0,0.60152,1,1,0.5655,1,0,0.57074,1,1,0.60152,1,1,0.25,0,0,0.25,0,0,0.60152,1,1,0.25,0,0,0.60152,1,1
30,dart,329,0.25,0,0,0.58836,1,1,0.25,0,0,0.53455,1,1,0.25,0,0,0.25,0,0,0.25,0,0,0.53736,1,1,0.25,0,0,0.25,0,0
31,dart,502,0.64339,1,1,0.64339,1,1,0.64339,1,1,0.64339,1,1,0.70934,1,1,0.70934,1,1,0.68332,1,1,0.67545,1,1,0.70922,1,1,0.69505,1,1
33,dart,616,0.576,1,0,0.25,0,0,0.6626,1,0,0.67092,1,0,0.25,0,0,0.70276,1,0,0.51572,1,0,0.57038,1,0,0.63121,1,0,0.56261,1,0
34,dart,643,0.4797,1,0,0.55726,1,0,0.49783,1,0,0.25,0,0,0.25,0,0,0.25,0,0,0.50026,1,0,0.25,0,0,0.55631,1,0,0.25,0,0
35,dart,346,0.61424,0,0,0.67348,0,0,0.58503,1,1,0.58503,1,1,0.58503,1,1,0.64696,0,0,0.58916,0,0,0.61067,1,1,0.58062,0,0,0.58503,1,1
36,dart,448,0.71353,1,0,0.6741,1,0,0.7231,1,0,0.6741,1,0,0.66893,1,0,0.63445,1,0,0.68907,1,0,0.73181,1,0,0.64466,1,0,0.68213,1,0
37,dart,579,0.68103,1,0,0.6516,1,0,0.64087,1,0,0.64977,1,0,0.68163,1,0,0.67695,1,0,0.72798,1,0,0.70277,1,0,0.59684,1,0,0.66615,1,0
39,dart,664,0.65599,1,0,0.59626,1,0,0.58613,1,0,0.67989,1,0,0.66009,1,0,0.59557,1,0,0.70093,0,0,0.63932,1,0,0.6857,1,1,0.61791,1,0
40,dart,607,0.68495,1,1,0.70985,1,1,0.69676,1,1,0.66907,1,1,0.67419,1,0,0.71046,1,1,0.66678,1,0,0.68845,1,1,0.66193,1,0,0.70985,1,1
