problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.69187,0,0,0.65889,0,0,0.65315,0,0,0.66365,0,0,0.6562,0,0,0.69628,0,0,0.60174,0,0,0.68621,0,0,0.6562,0,0,0.67213,0,0
1,dart,1184,0.6749,1,0,0.64587,1,0,0.66766,1,0,0.65259,1,1,0.69457,1,1,0.63925,1,0,0.67894,1,1,0.65721,1,0,0.69045,1,0,0.68457,1,0
2,dart,301,0.58019,1,0,0.60754,1,0,0.58019,1,0,0.58019,1,0,0.58019,1,0,0.71786,1,0,0.58019,1,0,0.25,0,0,0.58019,1,0,0.60296,1,0
3,dart,471,0.68211,1,1,0.71043,1,1,0.71043,1,1,0.66603,1,1,0.69556,1,1,0.71043,1,1,0.71043,1,1,0.71043,1,1,0.71043,1,1,0.71043,1,1
4,dart,611,0.61063,0,0,0.5441,0,0,0.49986,0,0,0.6876,0,0,0.66602,0,0,0.71747,0,0,0.72031,1,1,0.59263,0,0,0.61063,0,0,0.5441,0,0
5,dart,564,0.80213,1,1,0.80213,1,1,0.83087,1,1,0.82064,1,1,0.81242,1,1,0.83087,1,1,0.77934,0,0,0.80213,1,1,0.83087,1,1,0.81242,1,1
6,dart,852,0.64292,1,0,0.65684,1,0,0.6779,1,0,0.68966,1,0,0.63868,1,0,0.64849,1,0,0.67103,1,0,0.63217,1,0,0.6346,1,0,0.65252,1,0
7,dart,547,0.74185,1,1,0.67779,1,1,0.57779,1,1,0.5611,1,1,0.5611,1,1,0.57801,1,1,0.49231,1,1,0.6811,1,1,0.58006,1,1,0.57801,1,0
8,dart,598,0.64663,1,0,0.58742,1,0,0.6493,1,0,0.63707,1,0,0.67053,1,0,0.6528,1,0,0.64803,1,0,0.6579,1,0,0.67206,1,0,0.66366,1,0
9,dart,807,0.65379,0,0,0.66705,1,1,0.69672,0,0,0.65379,0,0,0.65054,1,0,0.71103,0,0,0.65379,0,0,0.65379,0,0,0.65379,0,0,0.65379,0,0
10,dart,798,0.62336,1,0,0.58944,1,0,0.56666,0,0,0.62336,1,0,0.59775,1,0,0.27002,0,0,0.62336,1,0,0.53072,1,0,0.57428,1,0,0.59775,1,0
11,dart,629,0.67966,1,0,0.58085,0,0,0.65887,0,0,0.5976,1,0,0.62073,1,0,0.65224,1,0,0.65011,1,0,0.63827,0,0,0.65289,0,0,0.63688,1,1
12,dart,534,0.64766,1,1,0.689,1,0,0.6268,1,0,0.72609,1,1,0.72609,1,1,0.69686,1,1,0.70739,1,1,0.62434,1,0,0.62764,1,1,0.61638,1,1
13,dart,491,0.74398,1,1,0.74398,1,1,0.67681,1,1,0.74398,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.74398,1,1,0.74398,1,1,0.73005,1,1
14,dart,381,0.69735,1,0,0.69241,1,1,0.71623,1,1,0.66222,1,1,0.72384,1,1,0.69468,1,1,0.70027,1,0,0.69775,1,1,0.56386,1,1,0.69036,1,1
15,dart,542,0.442,1,0,0.53642,1,0,0.51441,1,0,0.49552,1,0,0.4793,1,0,0.24701,0,0,0.46823,0,0,0.47628,1,0,0.47816,1,0,0.47319,1,0
16,dart,319,0.46843,1,0,0.48256,1,0,0.58979,1,0,0.49024,1,0,0.55883,1,0,0.45187,0,0,0.4968,1,0,0.57702,1,0,0.51014,1,0,0.49842,1,0
17,dart,636,0.43787,1,0,0.44565,1,0,0.43762,1,0,0.54376,1,0,0.46093,0,0,0.38468,1,0,0.38897,0,0,0.46849,0,0,0.4899,1,0,0.44826,0,0
18,dart,486,0.69106,1,1,0.69106,1,1,0.57662,1,1,0.59492,1,1,0.69417,1,1,0.67632,1,1,0.59691,1,1,0.69106,1,1,0.59691,1,1,0.71042,1,1
19,dart,702,0.73544,1,0,0.51916,1,0,0.67195,1,0,0.55731,1,0,0.46137,1,0,0.4663,1,0,0.62029,1,0,0.50578,0,0,0.598,1,0,0.48216,1,0
20,dart,1013,0.6495,1,0,0.40426,1,0,0.64481,1,0,0.67282,1,0,0.67459,1,0,0.6129,0,0,0.34416,0,0,0.68821,1,0,0.63292,1,0,0.649,1,0
