problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.69338,0,0,0.69338,0,0,0.69338,0,0,0.67834,0,0,0.69338,0,0,0.65967,1,0,0.69338,0,0,0.63401,1,0,0.6544,0,0,0.65496,1,1
1,dart,1184,0.66016,1,0,0.63373,1,0,0.65026,1,0,0.66575,1,0,0.66267,1,1,0.61086,1,0,0.61598,0,0,0.63382,1,0,0.67422,1,0,0.65026,1,0
2,dart,301,0.50367,1,0,0.52163,0,0,0.55562,0,0,0.55936,1,0,0.6163,1,0,0.56578,1,0,0.55608,1,0,0.59534,0,0,0.64106,0,0,0.65341,0,0
3,dart,471,0.58096,0,0,0.59026,1,1,0.4672,0,0,0.47748,0,0,0.57093,1,0,0.44799,1,0,0.53806,0,0,0.50309,1,0,0.58601,1,1,0.58083,1,1
4,dart,611,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0
5,dart,564,0.65755,1,1,0.73573,1,1,0.73573,1,1,0.71755,1,1,0.71204,1,1,0.75795,1,1,0.73573,1,1,0.70585,1,1,0.73573,1,1,0.76265,1,1
6,dart,852,0.65121,1,0,0.60923,1,0,0.65615,1,0,0.6562,1,0,0.65243,1,0,0.6347,0,0,0.62694,1,0,0.58492,1,0,0.65344,1,0,0.60056,1,0
7,dart,547,0.583,1,1,0.55338,1,1,0.59092,1,1,0.56165,1,1,0.57533,1,1,0.57173,1,1,0.52034,1,1,0.52603,1,1,0.58891,1,1,0.5611,1,1
8,dart,598,0.62622,1,0,0.54642,1,0,0.40243,0,0,0.61554,1,0,0.64654,1,0,0.619,1,0,0.65567,1,0,0.61006,1,0,0.58765,1,0,0.60131,1,0
9,dart,807,0.63177,1,0,0.62789,1,0,0.64172,1,0,0.64751,0,0,0.65606,0,0,0.62184,0,0,0.67756,1,1,0.65541,0,0,0.64815,1,0,0.64235,1,1
10,dart,798,0.55032,1,0,0.242,1,0,0.58156,1,0,0.27799,1,0,0.52457,1,0,0.45533,1,0,0.57452,1,0,0.53926,1,0,0.31449,0,0,0.50897,1,0
11,dart,629,0.66197,0,0,0.62904,0,0,0.62628,1,0,0.64283,1,0,0.62734,1,0,0.66388,1,0,0.60086,1,0,0.62364,1,0,0.6564,0,0,0.61513,1,0
12,dart,534,0.61714,1,1,0.60272,1,0,0.6188,1,1,0.61881,1,1,0.6192,1,1,0.61714,1,1,0.57137,1,1,0.59493,1,1,0.62507,1,1,0.62504,1,1
13,dart,491,0.53903,1,1,0.56623,0,0,0.54701,1,1,0.62764,0,0,0.53482,0,0,0.40647,1,0,0.69041,1,1,0.59638,0,0,0.64431,1,1,0.38039,0,0
14,dart,381,0.71156,1,1,0.70622,1,1,0.70047,1,1,0.71156,1,1,0.71566,1,1,0.74916,1,1,0.75354,1,1,0.72824,1,1,0.72755,1,1,0.71156,1,1
15,dart,542,0.51245,0,0,0.55942,1,0,0.4859,1,0,0.48402,1,0,0.45336,0,0,0.52261,1,0,0.44277,1,0,0.43763,1,0,0.42672,1,0,0.54476,1,0
16,dart,319,0.44541,1,0,0.54784,1,0,0.49842,1,0,0.4651,1,0,0.51407,1,0,0.57166,1,0,0.49143,1,0,0.49562,1,0,0.51312,1,0,0.48795,1,0
