problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.70227,0,0,0.69679,0,0,0.6759,0,0,0.70797,0,0,0.65213,0,0,0.69628,0,0,0.65889,0,0,0.68621,0,0,0.69551,0,0,0.70797,0,0
1,dart,1184,0.61595,1,0,0.67826,1,0,0.66659,1,0,0.65994,1,1,0.65994,1,1,0.65088,1,0,0.66943,1,0,0.67422,1,0,0.6366,0,0,0.67391,1,0
2,dart,301,0.60754,1,0,0.57844,1,0,0.60754,1,0,0.59472,1,0,0.58019,1,0,0.60754,1,0,0.6163,1,0,0.54972,0,0,0.53057,0,0,0.60754,1,0
3,dart,471,0.66994,1,1,0.64886,1,0,0.71043,1,1,0.67178,1,0,0.71043,1,1,0.71043,1,1,0.67323,1,1,0.68523,1,1,0.66113,1,0,0.71043,1,1
4,dart,611,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0
5,dart,564,0.78546,1,1,0.769,0,0,0.74472,1,1,0.77523,1,1,0.80186,1,1,0.769,0,0,0.77758,1,1,0.78546,1,1,0.79771,1,0,0.78546,1,1
6,dart,852,0.6777,1,0,0.64917,1,0,0.62886,1,0,0.65074,1,0,0.62655,0,0,0.65735,1,0,0.66818,1,0,0.6501,1,0,0.6578,1,0,0.64481,1,0
7,dart,547,0.57801,1,0,0.57801,1,0,0.57801,1,1,0.57801,1,0,0.57801,1,1,0.57801,1,0,0.57801,1,0,0.583,1,1,0.57801,1,0,0.57801,1,0
8,dart,598,0.67092,1,0,0.65106,1,0,0.63194,1,0,0.6469,1,0,0.67658,1,0,0.60614,1,0,0.67031,1,0,0.63478,1,0,0.59223,0,0,0.66366,1,0
9,dart,807,0.64488,1,1,0.65466,1,0,0.63383,1,1,0.65158,1,1,0.6678,1,1,0.63708,1,1,0.66538,0,0,0.67255,1,1,0.62677,1,0,0.63368,1,0
10,dart,798,0.51175,1,0,0.30381,1,0,0.59169,1,0,0.5814,1,0,0.57966,1,0,0.46559,1,0,0.53505,1,0,0.61517,1,0,0.57614,1,0,0.58248,1,0
11,dart,629,0.65775,0,0,0.57346,1,0,0.64784,1,0,0.64876,1,1,0.63345,1,0,0.69786,1,0,0.67214,0,0,0.64341,1,1,0.68436,1,1,0.6325,1,0
12,dart,534,0.63754,1,1,0.71433,1,1,0.70739,1,1,0.71433,1,1,0.71433,1,1,0.70739,1,1,0.72609,1,1,0.59565,1,1,0.71433,1,1,0.72609,1,1
13,dart,491,0.69112,1,1,0.60016,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.69112,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1
14,dart,381,0.76789,1,1,0.74647,1,1,0.72582,1,0,0.74647,1,1,0.78935,1,1,0.7254,1,1,0.74825,1,1,0.78935,1,1,0.74647,1,1,0.71295,1,1
15,dart,542,0.41999,1,0,0.51345,0,0,0.4895,1,0,0.49566,1,0,0.4778,1,0,0.50507,1,0,0.46004,1,0,0.53942,1,0,0.46478,1,0,0.41386,1,0
16,dart,319,0.57233,1,0,0.51704,1,0,0.48256,1,0,0.45367,1,0,0.47427,1,0,0.51704,1,0,0.50369,1,0,0.50527,1,0,0.48501,1,0,0.49562,1,0
17,dart,636,0.5323,0,0,0.49318,1,0,0.50348,1,0,0.37329,0,0,0.40808,0,0,0.52087,1,0,0.48451,0,0,0.36536,0,0,0.44931,0,0,0.54782,1,0
18,dart,486,0.48604,0,0,0.67632,1,1,0.69106,1,1,0.67632,1,1,0.59747,1,1,0.59747,1,1,0.69106,1,1,0.69106,1,1,0.69106,1,1,0.67632,1,1
19,dart,702,0.55438,1,0,0.43315,1,0,0.58199,1,0,0.52856,1,0,0.5082,1,0,0.70301,1,0,0.47314,1,0,0.56876,1,0,0.62606,1,0,0.52936,1,0
20,dart,1013,0.68645,0,0,0.66254,0,0,0.67354,0,0,0.65782,0,0,0.65321,1,0,0.6554,1,0,0.66563,1,0,0.66239,0,0,0.29816,1,0,0.66458,0,0
21,dart,701,0.65087,0,0,0.65275,0,0,0.58141,0,0,0.63734,1,1,0.6538,0,0,0.64617,0,0,0.65275,0,0,0.65583,0,0,0.6521,0,0,0.6538,0,0
22,dart,917,0.56227,1,1,0.55831,1,1,0.56227,1,1,0.55831,1,1,0.56227,1,1,0.55831,1,1,0.56227,1,1,0.52739,1,0,0.55221,1,1,0.55831,1,1
24,dart,420,0.62687,1,0,0.58965,1,0,0.67124,1,0,0.65755,1,0,0.70776,0,0,0.61965,1,0,0.66455,1,0,0.66721,1,0,0.64807,1,0,0.65043,1,0
26,dart,565,0.60298,1,0,0.59456,1,0,0.61369,1,0,0.52822,1,0,0.61514,1,0,0.61273,1,0,0.61517,1,0,0.59726,1,0,0.59456,1,0,0.59378,1,0
27,dart,753,0.64871,0,0,0.67236,0,0,0.60359,1,1,0.60188,1,0,0.69668,1,1,0.61455,1,1,0.57975,0,0,0.60878,1,1,0.72915,0,0,0.67893,0,0
28,dart,373,0.5265,1,1,0.49039,1,1,0.33095,0,0,0.46254,1,0,0.4735,1,0,0.5265,1,1,0.52852,1,1,0.5265,1,1,0.51585,1,1,0.46333,1,1
29,dart,671,0.54712,1,1,0.5655,1,0,0.57074,1,1,0.5655,1,0,0.5655,1,1,0.5655,1,1,0.5655,1,1,0.5655,1,0,0.5655,1,1,0.57476,1,1
30,dart,329,0.54902,1,1,0.57487,1,1,0.48914,1,0,0.53736,1,1,0.53455,1,1,0.50398,1,1,0.54902,1,1,0.51313,1,0,0.53736,1,1,0.53991,1,1
31,dart,502,0.70922,1,1,0.70922,1,1,0.70922,1,1,0.64339,1,1,0.70558,1,1,0.70922,1,1,0.70558,1,1,0.70922,1,1,0.61004,1,1,0.70934,1,1
33,dart,616,0.60704,1,0,0.66828,1,0,0.59793,1,0,0.32087,1,0,0.64579,1,0,0.64209,1,0,0.67674,1,0,0.6561,1,0,0.66137,1,0,0.66382,1,0
34,dart,643,0.47851,1,0,0.53743,1,1,0.50341,1,0,0.50445,1,0,0.52273,1,0,0.60565,1,0,0.49783,1,0,0.5426,1,0,0.51338,1,0,0.50556,1,0
35,dart,346,0.59456,1,1,0.59118,1,1,0.57876,1,1,0.59255,1,1,0.58294,1,1,0.58503,1,1,0.59477,1,1,0.58503,1,1,0.58503,1,1,0.59275,1,1
36,dart,448,0.72614,1,0,0.73024,1,0,0.67298,1,0,0.67764,1,0,0.63726,1,0,0.67077,1,0,0.64441,1,0,0.62558,1,0,0.71566,1,0,0.71566,1,0
37,dart,579,0.68161,1,0,0.72798,1,0,0.70745,1,0,0.73484,1,0,0.71978,0,0,0.72798,1,0,0.69887,1,0,0.72798,1,0,0.73989,1,0,0.67687,1,0
39,dart,664,0.58663,1,0,0.56948,1,0,0.70154,1,0,0.66023,1,0,0.64471,0,0,0.61188,1,0,0.64784,1,0,0.62644,0,0,0.62432,0,0,0.65007,1,0
40,dart,607,0.41809,1,0,0.6468,1,0,0.75677,1,1,0.69956,1,1,0.6797,1,1,0.68614,1,0,0.73699,1,1,0.69245,1,1,0.66193,1,0,0.68663,1,0
41,dart,422,0.44256,1,0,0.50243,1,0,0.46089,1,0,0.47368,1,0,0.48274,1,0,0.50367,1,0,0.44841,1,0,0.46385,1,0,0.48356,1,0,0.46908,1,0
42,dart,235,0.5038,1,1,0.52305,1,1,0.53107,1,1,0.47812,1,1,0.53168,1,0,0.46687,1,1,0.51892,1,0,0.49343,1,0,0.52795,1,1,0.58501,1,1
43,dart,528,0.70888,1,1,0.68574,1,0,0.68425,1,1,0.58262,1,1,0.59385,1,1,0.63755,1,1,0.58576,1,1,0.65348,1,1,0.76035,1,1,0.74357,1,1
44,dart,347,0.50879,0,0,0.60178,1,0,0.53868,0,0,0.46414,1,0,0.41826,1,1,0.47734,1,1,0.56025,0,0,0.55751,1,1,0.58856,1,0,0.48918,1,1
45,dart,292,0.6387,1,1,0.6387,1,1,0.6387,1,1,0.6387,1,1,0.6387,1,1,0.6387,1,1,0.6387,1,1,0.6387,1,1,0.6387,1,1,0.6387,1,1
46,dart,657,0.5958,1,0,0.60525,1,0,0.60007,1,0,0.59273,1,0,0.61758,1,0,0.64695,1,0,0.60381,1,0,0.60259,1,0,0.60007,1,0,0.60259,1,0
