problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.66826,0,0,0.68578,0,0,0.66946,0,0,0.66826,0,0,0.6562,0,0,0.65778,0,0,0.67111,0,0,0.6562,0,0,0.66401,0,0,0.67111,0,0
1,dart,1184,0.67055,1,0,0.67771,1,0,0.61183,0,0,0.68449,1,1,0.66675,1,0,0.6538,1,0,0.70979,1,0,0.70642,1,0,0.62537,0,0,0.62461,0,0
2,dart,301,0.61065,1,0,0.58019,1,0,0.5737,1,0,0.64106,0,0,0.61065,1,0,0.58019,1,0,0.58019,1,0,0.58019,1,0,0.61065,1,0,0.58019,1,0
3,dart,471,0.71043,1,1,0.69556,1,1,0.71043,1,1,0.66603,1,1,0.6971,1,1,0.69556,1,1,0.71043,1,1,0.71043,1,1,0.69556,1,1,0.71043,1,1
4,dart,611,0.5441,0,0,0.66454,0,0,0.5441,0,0,0.5441,0,0,0.66651,0,0,0.66454,0,0,0.5441,0,0,0.5441,0,0,0.66454,0,0,0.5441,0,0
5,dart,564,0.79299,1,1,0.76139,1,1,0.72856,1,1,0.75911,1,1,0.82044,1,1,0.75911,1,1,0.82102,1,1,0.78244,1,1,0.79299,1,1,0.72856,1,1
6,dart,852,0.62495,1,0,0.65944,1,0,0.61784,1,0,0.64586,1,0,0.65257,1,0,0.64142,1,0,0.662,1,0,0.64898,1,0,0.62285,0,0,0.65861,1,0
7,dart,547,0.61345,1,1,0.57801,1,0,0.566,1,1,0.562,1,1,0.5147,1,1,0.55368,1,1,0.6811,1,1,0.58151,1,0,0.57801,1,0,0.57801,1,1
8,dart,598,0.73396,1,0,0.67092,1,0,0.67092,1,0,0.63553,1,0,0.66225,1,0,0.73396,1,0,0.68336,1,0,0.67092,1,0,0.6345,1,0,0.67092,1,0
9,dart,807,0.67255,1,1,0.67255,1,1,0.67255,1,1,0.67255,1,1,0.67255,1,1,0.66082,1,0,0.66082,1,0,0.67885,1,1,0.67255,1,1,0.67255,1,1
10,dart,798,0.60622,1,0,0.60289,1,0,0.6116,1,0,0.52249,1,0,0.59184,1,0,0.53821,1,0,0.56782,1,0,0.54878,1,0,0.62283,1,0,0.60035,1,0
11,dart,629,0.60435,1,0,0.64044,0,0,0.58691,0,0,0.66563,1,0,0.56969,1,0,0.62142,1,0,0.67269,1,0,0.59837,0,0,0.63509,1,0,0.63541,1,0
12,dart,534,0.62273,0,0,0.61881,1,1,0.59927,1,1,0.6154,1,1,0.50657,1,0,0.51411,1,0,0.62883,1,0,0.64348,1,1,0.62212,1,0,0.59307,1,1
13,dart,491,0.69112,1,1,0.69041,1,1,0.69112,1,1,0.69041,1,1,0.69112,1,1,0.69112,1,1,0.69041,1,1,0.69112,1,1,0.69112,1,1,0.69112,1,1
