problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.68578,0,0,0.65889,0,0,0.67496,0,0,0.6834,0,0,0.65213,0,0,0.69628,0,0,0.67662,0,0,0.68621,0,0,0.69551,0,0,0.70797,0,0
1,dart,1184,0.66721,1,0,0.63026,1,0,0.67483,1,0,0.67261,1,1,0.65736,1,1,0.70599,1,0,0.68916,1,0,0.67858,1,0,0.67968,1,0,0.66452,1,0
2,dart,301,0.58019,1,0,0.58019,1,0,0.58019,1,0,0.25,0,0,0.61065,1,0,0.58634,1,0,0.56111,1,0,0.51467,0,0,0.58019,1,0,0.25,0,0
3,dart,471,0.67444,1,0,0.71043,1,1,0.66369,1,0,0.71043,1,1,0.69556,1,1,0.68065,1,0,0.65391,1,1,0.67143,1,0,0.67855,1,0,0.65815,1,0
4,dart,611,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0
5,dart,564,0.77934,0,0,0.73696,0,0,0.7624,1,1,0.73696,0,0,0.7945,1,1,0.769,0,0,0.82044,1,1,0.77305,1,1,0.75911,1,1,0.75911,1,1
6,dart,852,0.64484,1,0,0.6514,1,0,0.63994,1,0,0.64112,1,0,0.62459,1,0,0.62874,1,0,0.65469,1,0,0.63459,1,0,0.63389,1,0,0.53632,1,0
7,dart,547,0.57801,1,1,0.57801,1,1,0.61345,1,1,0.57801,1,0,0.59092,1,1,0.57801,1,1,0.61345,1,1,0.55484,1,0,0.57801,1,0,0.57801,1,0
8,dart,598,0.71314,1,0,0.73396,1,0,0.65433,1,0,0.60074,1,0,0.67092,1,0,0.67577,1,0,0.67539,1,0,0.64471,1,0,0.67092,1,0,0.67577,1,0
9,dart,807,0.66684,1,1,0.66026,1,1,0.66026,1,1,0.67255,1,1,0.69493,0,0,0.65203,1,1,0.67255,1,1,0.67776,0,0,0.67255,1,1,0.67255,1,1
10,dart,798,0.30038,1,0,0.6116,1,0,0.58894,1,0,0.56841,1,0,0.60806,1,0,0.59527,0,0,0.50256,0,0,0.57184,1,0,0.52567,1,0,0.34963,1,0
11,dart,629,0.64623,0,0,0.64403,1,0,0.62691,1,0,0.61822,1,0,0.68942,1,0,0.61762,0,0,0.68952,1,1,0.59692,1,0,0.64988,1,0,0.68169,0,0
12,dart,534,0.6111,1,1,0.60218,1,0,0.57573,1,1,0.61814,1,1,0.67911,1,1,0.71433,1,1,0.63972,1,1,0.60634,1,1,0.61396,1,1,0.59371,1,1
13,dart,491,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.69112,1,1,0.69754,0,0,0.69041,1,1,0.61209,0,0,0.69041,1,1,0.6836,0,0
14,dart,381,0.73231,1,0,0.69245,1,1,0.67452,1,1,0.7345,1,1,0.75323,1,1,0.74647,1,1,0.75725,1,1,0.69709,1,1,0.73922,1,1,0.74647,1,1
15,dart,542,0.52385,1,0,0.4503,0,0,0.50232,1,0,0.51927,0,0,0.51056,1,0,0.50219,0,0,0.26621,1,0,0.48714,1,0,0.50853,1,0,0.54812,1,0
16,dart,319,0.49794,1,0,0.25,0,0,0.51866,1,0,0.51164,1,0,0.48207,1,0,0.51178,1,0,0.47455,1,0,0.47427,1,0,0.50995,1,0,0.50417,1,0
17,dart,636,0.38686,0,0,0.35311,0,0,0.44797,0,0,0.45893,0,0,0.4662,0,0,0.44158,0,0,0.50281,1,0,0.42401,0,0,0.36201,1,0,0.45775,0,0
18,dart,486,0.67632,1,1,0.59547,1,1,0.69106,1,1,0.689,1,1,0.58207,1,1,0.58031,1,1,0.56351,1,1,0.69106,1,1,0.67632,1,1,0.59691,1,1
19,dart,702,0.54183,1,0,0.70225,1,0,0.70363,1,0,0.54141,1,0,0.70225,1,0,0.70225,1,0,0.55221,0,0,0.45668,1,0,0.69836,1,0,0.70225,1,0
20,dart,1013,0.64039,1,0,0.60778,0,0,0.65467,0,0,0.64265,0,0,0.68553,0,0,0.65574,0,0,0.63592,1,0,0.64664,1,0,0.67125,0,0,0.59782,0,0
