problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.69584,0,0,0.69758,0,0,0.68875,0,0,0.69146,0,0,0.68981,0,0,0.67641,0,0,0.6911,0,0,0.58112,0,0,0.5288,0,0,0.63516,0,0
1,dart,1184,0.65442,1,0,0.71456,1,0,0.67403,1,1,0.66152,1,0,0.63393,1,0,0.6853,1,0,0.67093,1,0,0.67809,1,0,0.63252,1,0,0.68965,1,1
2,dart,301,0.58785,0,0,0.60366,1,0,0.49228,0,0,0.59062,0,0,0.59436,1,0,0.53679,1,0,0.48667,0,0,0.49518,0,0,0.42705,0,0,0.63994,1,0
3,dart,471,0.5061,1,0,0.47537,1,0,0.5516,1,0,0.51438,1,0,0.50139,0,0,0.58907,1,0,0.47444,0,0,0.50289,1,0,0.66804,1,0,0.50689,1,0
4,dart,611,0.66651,0,0,0.75,1,0,0.5441,0,0,0.5441,0,0,0.68206,1,1,0.5441,0,0,0.58023,1,1,0.5441,0,0,0.5441,0,0,0.5441,0,0
5,dart,564,0.73348,1,1,0.5978,0,0,0.61138,0,0,0.7354,1,1,0.75623,0,0,0.7555,0,0,0.64401,0,0,0.70117,1,0,0.65824,1,0,0.63763,0,0
6,dart,852,0.63389,1,0,0.65615,1,0,0.6777,1,0,0.64218,1,0,0.65376,1,0,0.66638,1,0,0.59871,1,0,0.58893,1,0,0.60791,1,0,0.6559,1,0
7,dart,547,0.583,1,1,0.583,1,1,0.56446,1,1,0.583,1,1,0.57173,1,1,0.583,1,1,0.56983,0,0,0.57173,1,1,0.55903,1,1,0.583,1,1
8,dart,598,0.65973,1,0,0.60258,1,0,0.64942,1,0,0.64121,1,0,0.55426,1,0,0.57,0,0,0.67325,1,0,0.63246,1,0,0.54848,0,0,0.59509,1,0
9,dart,807,0.6387,1,1,0.7191,0,0,0.55313,0,0,0.64164,1,0,0.62557,1,1,0.6648,1,1,0.6685,0,0,0.65151,1,1,0.66517,1,1,0.65287,0,0
