problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.70227,0,0,0.65889,0,0,0.6759,0,0,0.70068,0,0,0.67604,1,1,0.69628,0,0,0.71401,0,0,0.69186,0,0,0.69551,0,0,0.70797,0,0
1,dart,1184,0.68359,1,0,0.65834,1,0,0.69177,1,0,0.71058,1,0,0.68991,1,0,0.70301,1,0,0.69803,1,0,0.69177,1,0,0.69791,1,0,0.69501,1,0
2,dart,301,0.64661,1,0,0.66844,1,0,0.56468,1,0,0.64284,0,0,0.5781,1,0,0.63846,0,0,0.70623,0,0,0.57844,1,0,0.58262,1,0,0.71786,0,0
3,dart,471,0.70674,1,1,0.70674,1,1,0.76843,1,1,0.7085,1,1,0.66603,1,1,0.69556,1,1,0.66603,1,1,0.76843,1,1,0.70626,1,1,0.71043,1,1
4,dart,611,0.5441,0,0,0.5441,0,0,0.70128,1,1,0.56016,0,0,0.54058,0,0,0.5386,0,0,0.6876,0,0,0.55344,0,0,0.5441,0,0,0.5441,0,0
5,dart,564,0.81742,1,1,0.81242,1,1,0.77934,0,0,0.77934,0,0,0.769,0,0,0.7846,1,1,0.781,1,1,0.80509,1,1,0.77686,1,1,0.77934,0,0
6,dart,852,0.67705,1,0,0.60295,1,0,0.66789,1,0,0.68116,1,0,0.66905,1,0,0.65283,1,0,0.69467,1,0,0.71545,1,0,0.69933,1,0,0.59912,1,0
7,dart,547,0.58325,1,1,0.58591,1,1,0.74185,1,1,0.58591,1,1,0.7368,1,1,0.74185,1,1,0.61345,1,1,0.74185,1,1,0.74185,1,1,0.61345,1,1
8,dart,598,0.68854,1,0,0.64533,1,0,0.72975,1,0,0.72975,1,0,0.70183,1,0,0.58986,0,0,0.62903,1,0,0.64872,1,0,0.66368,1,0,0.63186,1,0
9,dart,807,0.65379,0,0,0.65379,0,0,0.65379,0,0,0.63368,1,0,0.636,1,1,0.62879,0,0,0.65379,0,0,0.65379,0,0,0.66088,0,0,0.66157,0,0
