problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.69187,0,0,0.70068,0,0,0.65905,0,0,0.70068,0,0,0.67604,1,1,0.69628,0,0,0.65889,0,0,0.68621,0,0,0.69551,0,0,0.70797,0,0
1,dart,1184,0.68359,1,0,0.68406,1,1,0.70358,1,1,0.66878,1,0,0.63911,1,1,0.69342,1,0,0.69791,1,0,0.70358,1,1,0.64871,1,1,0.59665,0,0
2,dart,301,0.62312,1,0,0.56056,1,0,0.58156,1,0,0.58019,1,0,0.58019,1,0,0.58019,1,0,0.58019,1,0,0.574,0,0,0.52988,0,0,0.46458,1,0
3,dart,471,0.71299,1,1,0.76843,1,1,0.71043,1,1,0.71043,1,1,0.58095,1,0,0.71043,1,1,0.71043,1,1,0.71043,1,1,0.7394,1,1,0.63351,1,1
4,dart,611,0.67666,0,0,0.67155,0,0,0.69027,0,0,0.71672,0,0,0.6876,0,0,0.72012,0,0,0.62846,0,0,0.70818,0,0,0.5441,0,0,0.71672,0,0
5,dart,564,0.76985,1,0,0.7959,1,1,0.81829,1,1,0.80785,1,1,0.79279,1,1,0.83087,1,1,0.73287,1,1,0.79583,0,0,0.7959,1,1,0.82064,1,1
6,dart,852,0.62678,1,0,0.65812,1,0,0.65367,1,0,0.60035,1,0,0.5961,1,0,0.65282,1,0,0.663,1,0,0.66736,1,0,0.60228,1,0,0.67381,1,0
7,dart,547,0.74185,1,1,0.6811,1,1,0.55885,1,1,0.57801,1,0,0.54145,1,1,0.74185,1,1,0.53483,1,1,0.74185,1,1,0.57801,1,1,0.57801,1,0
8,dart,598,0.64286,1,0,0.63327,1,0,0.65296,1,0,0.61785,1,0,0.62301,1,0,0.59739,1,0,0.62239,1,0,0.65296,1,0,0.65552,1,0,0.65296,1,0
9,dart,807,0.63708,1,1,0.61761,1,1,0.65379,0,0,0.66705,1,1,0.65379,0,0,0.65379,0,0,0.62132,1,0,0.6406,1,1,0.65379,0,0,0.69672,0,0
10,dart,798,0.60794,1,0,0.62353,1,0,0.61232,1,0,0.59829,0,0,0.58994,1,0,0.36395,1,0,0.58042,1,0,0.62336,1,0,0.62336,1,0,0.56935,0,0
11,dart,629,0.66064,0,0,0.63795,1,0,0.63938,1,0,0.4788,1,0,0.63934,0,0,0.65938,0,0,0.64887,0,0,0.60854,1,1,0.63649,0,0,0.63939,1,1
12,dart,534,0.63557,1,1,0.71433,1,1,0.71433,1,1,0.69686,1,1,0.70378,1,1,0.70378,1,1,0.69596,0,0,0.6415,1,1,0.70378,1,1,0.69686,1,1
13,dart,491,0.60016,1,1,0.60016,1,1,0.67681,1,1,0.6722,1,1,0.67314,1,1,0.74398,1,1,0.69041,1,1,0.60016,1,1,0.69041,1,1,0.69041,1,1
14,dart,381,0.65631,1,0,0.7254,1,1,0.75566,1,1,0.71368,1,1,0.73387,1,1,0.70037,1,1,0.78822,1,1,0.81716,1,1,0.68265,1,1,0.71326,1,1
15,dart,542,0.60186,1,0,0.47709,0,0,0.57119,1,0,0.43675,1,0,0.52699,1,0,0.47905,1,0,0.46318,1,0,0.44561,1,0,0.19671,1,0,0.5024,0,0
16,dart,319,0.49562,1,0,0.48713,0,0,0.50232,1,0,0.45037,0,0,0.50579,1,0,0.4838,1,0,0.4438,1,0,0.4968,1,0,0.50773,1,0,0.4627,1,0
17,dart,636,0.50224,1,0,0.51233,0,0,0.41136,1,0,0.4985,0,0,0.46063,1,0,0.44223,1,0,0.36974,0,0,0.35813,1,0,0.45062,1,0,0.43808,1,0
18,dart,486,0.60764,1,1,0.71042,1,1,0.60764,1,1,0.71042,1,1,0.71042,1,1,0.58802,1,0,0.59492,1,1,0.65712,1,1,0.69417,1,1,0.64286,1,0
19,dart,702,0.51713,1,0,0.64418,1,0,0.73104,1,0,0.55287,1,0,0.5263,1,0,0.65228,1,0,0.54845,1,0,0.70225,1,0,0.60058,1,0,0.55116,1,0
20,dart,1013,0.65268,0,0,0.66354,0,0,0.64977,1,0,0.66196,0,0,0.66088,1,0,0.59572,0,0,0.65201,0,0,0.65928,0,0,0.38068,1,0,0.65555,1,0
21,dart,701,0.62213,0,0,0.64418,0,0,0.63971,0,0,0.65583,0,0,0.6446,1,1,0.6538,0,0,0.63878,0,0,0.65446,0,0,0.6446,0,0,0.65275,0,0
22,dart,917,0.54431,1,0,0.56227,1,1,0.52804,1,0,0.55076,1,0,0.66483,1,1,0.54798,1,1,0.55017,1,1,0.55831,1,1,0.54798,1,1,0.56227,1,1
24,dart,420,0.68854,1,1,0.66721,1,0,0.68854,1,1,0.59716,1,1,0.66923,1,0,0.66166,1,0,0.66923,1,0,0.66923,1,0,0.65951,1,0,0.65622,0,0
26,dart,565,0.62568,1,0,0.59315,1,0,0.61273,1,0,0.61273,1,0,0.61273,1,0,0.60326,1,0,0.62568,1,0,0.61268,1,0,0.61273,1,0,0.62383,1,0
27,dart,753,0.55349,0,0,0.74104,1,1,0.58515,0,0,0.58515,0,0,0.58716,0,0,0.61793,1,1,0.73801,1,0,0.59426,0,0,0.67673,0,0,0.59708,0,0
28,dart,373,0.48756,1,0,0.5217,1,0,0.50375,1,0,0.49011,1,1,0.50764,1,1,0.48503,1,0,0.49004,1,0,0.50375,1,0,0.50764,1,1,0.53505,1,1
29,dart,671,0.66771,0,0,0.54712,1,1,0.60152,1,1,0.5655,1,0,0.56922,1,0,0.5655,1,1,0.5655,1,1,0.5655,1,0,0.54828,1,1,0.73936,1,1
30,dart,329,0.57487,1,1,0.57487,1,1,0.58836,1,1,0.58836,1,1,0.58836,1,1,0.58836,1,1,0.77148,1,1,0.56843,1,0,0.6032,1,1,0.77148,1,1
31,dart,502,0.6498,1,1,0.71568,1,1,0.70059,1,1,0.68337,1,1,0.63614,1,1,0.70934,1,1,0.6484,1,1,0.69505,1,1,0.61004,1,1,0.64339,1,1
33,dart,616,0.54858,1,0,0.34126,0,0,0.66304,1,0,0.57921,1,0,0.64377,1,0,0.70039,1,0,0.62706,1,0,0.70028,1,0,0.59907,1,0,0.59872,1,0
34,dart,643,0.55471,1,0,0.53758,1,0,0.49783,1,0,0.25,0,0,0.50034,1,0,0.56216,1,0,0.53102,1,0,0.25,0,0,0.55003,1,0,0.54054,1,0
35,dart,346,0.58832,0,0,0.60388,1,1,0.59721,1,1,0.61264,1,1,0.60388,1,1,0.58944,1,1,0.60388,1,1,0.60388,1,1,0.56772,0,0,0.59871,0,0
36,dart,448,0.66993,1,0,0.70073,1,0,0.63146,1,0,0.69569,1,0,0.65558,1,0,0.63306,1,0,0.64212,1,0,0.63726,1,0,0.68222,1,0,0.65393,1,0
37,dart,579,0.72388,1,0,0.72642,1,0,0.67687,1,0,0.66363,1,0,0.66046,1,0,0.66949,1,0,0.72604,1,0,0.72798,1,0,0.72642,1,0,0.67695,1,0
39,dart,664,0.62873,1,0,0.66353,1,0,0.64872,1,0,0.66722,1,0,0.62038,1,0,0.62592,1,0,0.66946,1,0,0.65371,1,0,0.65226,1,0,0.63806,1,0
40,dart,607,0.7108,1,1,0.65761,1,0,0.70084,1,1,0.62791,1,1,0.70985,1,1,0.65573,1,1,0.65468,1,0,0.40791,1,0,0.41432,1,0,0.68685,1,1
41,dart,422,0.52218,1,0,0.23982,1,0,0.42195,0,0,0.4314,1,0,0.43689,1,0,0.47443,1,0,0.48577,1,0,0.47342,1,0,0.46899,1,0,0.53097,1,0
