problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.68578,0,0,0.70068,0,0,0.66417,0,0,0.70068,0,0,0.67604,1,1,0.69628,0,0,0.62944,0,0,0.68621,0,0,0.65932,0,0,0.70797,0,0
1,dart,1184,0.64314,1,0,0.67141,1,1,0.69046,1,0,0.60399,0,0,0.67968,1,0,0.69177,1,0,0.67187,1,0,0.66966,1,0,0.63976,1,1,0.69039,1,0
2,dart,301,0.61065,1,0,0.60754,1,0,0.58019,1,0,0.60754,0,0,0.58019,1,0,0.61065,1,0,0.58019,1,0,0.53679,0,0,0.60754,1,0,0.61065,1,0
3,dart,471,0.67863,1,0,0.71043,1,1,0.71043,1,1,0.70674,1,1,0.66603,1,1,0.71043,1,1,0.71043,1,1,0.67863,1,0,0.65487,1,1,0.76843,1,1
4,dart,611,0.6068,0,0,0.69027,0,0,0.5441,0,0,0.66454,0,0,0.5323,0,0,0.55344,0,0,0.5441,0,0,0.53393,0,0,0.59979,0,0,0.59944,0,0
5,dart,564,0.788,1,1,0.7959,1,1,0.7846,1,1,0.80213,1,1,0.80213,1,1,0.7846,1,1,0.79299,1,1,0.7846,1,1,0.80213,1,1,0.81242,1,1
6,dart,852,0.6556,1,0,0.58893,1,0,0.65089,1,0,0.64151,1,0,0.66954,1,0,0.64424,1,0,0.60132,1,0,0.5539,0,0,0.67339,1,0,0.64901,1,0
7,dart,547,0.25,0,0,0.5699,1,1,0.5601,1,1,0.5611,1,1,0.5611,1,1,0.25,0,0,0.57801,1,0,0.566,1,1,0.5611,1,1,0.25,0,0
8,dart,598,0.69321,1,0,0.72975,1,0,0.65317,1,0,0.61673,1,0,0.70232,1,0,0.64145,1,0,0.66488,1,0,0.65679,1,0,0.65317,1,0,0.72975,1,0
9,dart,807,0.65379,0,0,0.6468,0,0,0.65379,0,0,0.66088,0,0,0.66088,0,0,0.65379,0,0,0.65379,0,0,0.65752,1,0,0.65379,0,0,0.65379,0,0
10,dart,798,0.60184,1,0,0.60055,1,0,0.60891,0,0,0.54951,1,0,0.62283,1,0,0.62336,1,0,0.604,1,0,0.62273,1,0,0.62283,1,0,0.60062,1,0
11,dart,629,0.64478,0,0,0.65983,1,0,0.62803,1,1,0.64931,1,0,0.60906,1,0,0.64722,1,0,0.64676,0,0,0.67816,1,0,0.66179,0,0,0.65382,0,0
12,dart,534,0.69058,1,1,0.63907,1,1,0.71433,1,1,0.65072,1,1,0.65007,1,1,0.71551,1,1,0.6258,1,1,0.70331,0,0,0.63443,1,1,0.61691,1,0
13,dart,491,0.61188,1,1,0.60016,1,1,0.6836,0,0,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.60016,1,1,0.69041,1,1,0.69754,0,0
14,dart,381,0.56053,1,0,0.74032,1,0,0.705,1,1,0.78935,1,1,0.74937,1,1,0.7441,1,1,0.74647,1,1,0.74937,1,1,0.68445,1,1,0.7254,1,1
15,dart,542,0.45081,1,0,0.44882,1,0,0.50011,0,0,0.41431,1,0,0.48927,1,0,0.55201,1,0,0.42925,1,0,0.47215,0,0,0.38181,1,0,0.46913,1,0
16,dart,319,0.4968,1,0,0.49891,1,0,0.53218,1,0,0.4968,1,0,0.48256,1,0,0.25,0,0,0.50633,1,0,0.54639,1,0,0.47628,1,0,0.51866,1,0
17,dart,636,0.53093,0,0,0.40565,1,0,0.39707,0,0,0.48542,0,0,0.42368,0,0,0.55956,1,0,0.42427,1,0,0.4715,1,0,0.45725,0,0,0.45787,0,0
18,dart,486,0.67093,1,1,0.71042,1,1,0.59691,1,1,0.59492,1,1,0.69106,1,1,0.67093,1,1,0.56089,1,1,0.59691,1,1,0.59492,1,1,0.62716,1,0
19,dart,702,0.67952,1,0,0.64077,1,0,0.65185,1,0,0.64651,1,0,0.70225,1,0,0.52154,1,0,0.63513,1,0,0.52767,1,0,0.70225,1,0,0.49143,0,0
20,dart,1013,0.66426,1,0,0.64637,0,0,0.66908,1,0,0.67615,0,0,0.58657,1,0,0.65991,1,0,0.66546,1,0,0.60912,0,0,0.63175,1,0,0.64126,1,0
21,dart,701,0.65275,0,0,0.6538,1,1,0.65583,0,0,0.65275,0,0,0.65048,0,0,0.64537,0,0,0.65275,1,1,0.63474,1,1,0.6538,0,0,0.65583,0,0
22,dart,917,0.5631,1,1,0.55088,1,1,0.56227,1,1,0.56227,1,1,0.5631,1,1,0.53332,1,1,0.60807,1,1,0.52804,1,1,0.54674,1,1,0.61358,1,0
24,dart,420,0.64848,1,1,0.59658,0,0,0.5844,1,0,0.68357,1,0,0.63773,1,0,0.66166,1,0,0.60119,1,1,0.62432,1,1,0.67446,1,1,0.68357,1,0
26,dart,565,0.59456,1,0,0.59456,1,0,0.6051,1,0,0.59899,1,0,0.63787,1,0,0.63787,1,0,0.64519,1,0,0.60389,1,0,0.59726,1,0,0.53098,1,0
27,dart,753,0.67518,0,0,0.58568,0,0,0.67893,0,0,0.63074,1,1,0.5857,1,1,0.25,0,0,0.25,0,0,0.55687,0,0,0.68947,1,0,0.67893,0,0
28,dart,373,0.5265,1,1,0.25,0,0,0.50914,1,1,0.51541,1,0,0.50321,1,1,0.49979,1,1,0.50764,1,1,0.47158,1,1,0.55301,1,1,0.5388,1,1
29,dart,671,0.56834,1,0,0.5655,1,1,0.5655,1,1,0.57476,1,1,0.54712,1,1,0.52325,1,1,0.25,0,0,0.52521,1,1,0.5655,1,0,0.5655,1,0
30,dart,329,0.57064,0,0,0.54265,1,1,0.55939,1,1,0.56545,1,0,0.55939,1,1,0.57064,1,1,0.55939,1,1,0.55939,1,1,0.54902,1,1,0.54265,1,1
31,dart,502,0.70934,1,1,0.70922,1,1,0.70934,1,1,0.70934,1,1,0.70922,1,1,0.70922,1,1,0.70558,1,1,0.65584,1,1,0.70922,1,1,0.70922,1,1
33,dart,616,0.68746,1,0,0.65577,1,0,0.70986,1,0,0.73442,1,0,0.67061,1,0,0.66045,1,0,0.66508,1,0,0.64684,1,0,0.59118,1,0,0.69529,1,0
34,dart,643,0.54547,1,0,0.49783,1,0,0.52338,1,0,0.50365,1,0,0.51114,1,1,0.59518,1,0,0.53079,1,0,0.54483,1,0,0.50534,1,0,0.5289,1,0
35,dart,346,0.56997,0,0,0.57548,1,1,0.63554,0,0,0.60638,1,1,0.56798,0,0,0.57872,0,0,0.58464,0,0,0.60972,1,1,0.58944,1,1,0.58503,1,1
36,dart,448,0.72078,1,0,0.74666,1,0,0.74275,1,0,0.70889,1,0,0.64979,1,0,0.7221,1,0,0.65858,1,0,0.70889,1,0,0.74666,1,0,0.66197,1,0
37,dart,579,0.72222,1,0,0.61263,1,0,0.72798,1,0,0.69896,1,0,0.73853,1,0,0.73853,1,0,0.72083,1,0,0.73126,1,0,0.72798,1,0,0.69073,1,0
39,dart,664,0.70879,1,0,0.68205,1,1,0.68738,1,0,0.70476,1,0,0.65264,1,0,0.6934,1,0,0.66015,1,0,0.67693,1,0,0.67101,1,0,0.67928,1,0
40,dart,607,0.70084,1,1,0.67899,1,1,0.70142,1,0,0.69868,1,1,0.68614,1,0,0.68025,1,0,0.7065,1,1,0.69426,0,0,0.68991,1,1,0.39275,1,0
41,dart,422,0.4715,0,0,0.50294,0,0,0.43191,1,0,0.48983,1,0,0.45933,0,0,0.40633,0,0,0.46903,1,0,0.49836,0,0,0.47998,1,0,0.18394,1,0
42,dart,235,0.53481,1,0,0.57302,1,1,0.51536,1,1,0.53035,1,0,0.52687,0,0,0.52795,1,1,0.58001,1,1,0.56152,1,0,0.58501,1,1,0.6005,1,1
43,dart,528,0.63459,1,1,0.58814,1,1,0.61601,1,1,0.66275,1,1,0.69697,1,1,0.65672,1,1,0.67395,1,1,0.62141,1,1,0.61367,1,1,0.60444,1,1
44,dart,347,0.61939,1,0,0.43209,1,1,0.64633,0,0,0.587,1,1,0.52197,1,1,0.51818,0,0,0.44377,1,1,0.58293,1,1,0.62372,0,0,0.64606,1,1
45,dart,292,0.25,0,0,0.6387,1,1,0.6387,1,1,0.6387,1,1,0.6387,1,1,0.6387,1,1,0.6387,1,1,0.6387,1,1,0.6387,1,1,0.6387,1,1
46,dart,657,0.62531,1,0,0.65414,1,0,0.62531,1,0,0.63515,1,0,0.64695,1,0,0.58721,1,0,0.57924,1,0,0.64695,1,0,0.6074,1,0,0.58718,1,0
47,dart,429,0.68723,0,0,0.66927,0,0,0.68921,1,0,0.68399,0,0,0.63201,1,0,0.67701,1,0,0.65415,0,0,0.68774,0,0,0.67972,1,0,0.65677,1,0
