problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.66253,0,0,0.68578,0,0,0.65008,0,0,0.66252,0,0,0.65525,0,0,0.67886,1,0,0.67906,0,0,0.69873,0,0,0.69551,0,0,0.67741,1,0
1,dart,1184,0.59488,0,0,0.64512,1,1,0.67267,1,0,0.59643,1,1,0.7032,1,1,0.72292,1,1,0.67483,1,0,0.64564,1,0,0.68423,1,0,0.6839,1,1
2,dart,301,0.58019,1,0,0.60296,1,0,0.25,0,0,0.25,0,0,0.58019,1,0,0.61065,1,0,0.25,0,0,0.58019,1,0,0.58019,1,0,0.574,0,0
3,dart,471,0.64868,1,0,0.72525,1,1,0.71043,1,1,0.76843,1,1,0.69556,1,1,0.70674,1,1,0.64226,1,0,0.71043,1,1,0.70808,1,1,0.66603,1,1
4,dart,611,0.5441,0,0,0.73151,0,0,0.68842,0,0,0.25,0,0,0.67666,0,0,0.66973,0,0,0.69027,0,0,0.73151,0,0,0.71672,0,0,0.5386,0,0
5,dart,564,0.77432,1,1,0.77432,1,1,0.82044,1,1,0.80614,1,1,0.80213,1,1,0.25,0,0,0.77523,1,1,0.78801,1,1,0.82044,1,1,0.80152,1,1
6,dart,852,0.63231,1,0,0.25,0,0,0.61039,1,0,0.66905,1,0,0.25,0,0,0.25,0,0,0.6248,1,0,0.25,0,0,0.65129,1,0,0.25,0,0
7,dart,547,0.25,0,0,0.25,0,0,0.25,0,0,0.57801,1,1,0.61345,1,1,0.25,0,0,0.25,0,0,0.57801,1,0,0.55903,1,1,0.25,0,0
8,dart,598,0.68332,1,0,0.70183,1,0,0.69408,1,0,0.25,0,0,0.66843,1,0,0.72975,1,0,0.62057,1,0,0.72975,1,0,0.63337,1,0,0.62627,1,0
9,dart,807,0.6689,1,0,0.67255,1,1,0.68549,1,1,0.65379,0,0,0.65379,0,0,0.67776,0,0,0.67255,1,1,0.67255,1,1,0.64756,0,0,0.6455,1,1
10,dart,798,0.60794,1,0,0.60794,1,0,0.51101,1,0,0.57411,1,0,0.53223,1,0,0.57455,1,0,0.56834,0,0,0.62283,1,0,0.60972,1,0,0.55636,1,0
11,dart,629,0.57363,1,0,0.62639,1,1,0.64339,1,0,0.62175,1,1,0.63753,0,0,0.63934,0,0,0.6183,1,0,0.67506,1,0,0.65751,0,0,0.65936,0,0
12,dart,534,0.66446,1,1,0.65694,1,1,0.60745,1,1,0.70378,1,1,0.67466,1,1,0.65072,1,1,0.62745,1,1,0.64886,1,1,0.64793,1,0,0.68225,0,0
13,dart,491,0.74398,1,1,0.69041,1,1,0.67681,1,1,0.74398,1,1,0.69041,1,1,0.61188,1,1,0.69041,1,1,0.73005,1,1,0.69041,1,1,0.73005,1,1
14,dart,381,0.71983,1,1,0.80315,1,1,0.70115,1,1,0.69036,1,1,0.70566,1,0,0.72283,1,1,0.78344,1,1,0.77136,1,1,0.74916,1,1,0.80705,1,1
15,dart,542,0.49173,1,0,0.47222,1,0,0.51168,0,0,0.42945,1,0,0.43397,1,0,0.41494,1,0,0.51326,1,0,0.46271,1,0,0.4993,1,0,0.51959,1,0
16,dart,319,0.25,0,0,0.25,0,0,0.5289,1,0,0.50436,1,0,0.50369,1,0,0.25,0,0,0.49024,1,0,0.58878,1,0,0.52522,1,0,0.52376,1,0
17,dart,636,0.53106,0,0,0.47428,0,0,0.40411,1,0,0.49844,1,0,0.55368,1,0,0.44448,1,0,0.25,0,0,0.41965,0,0,0.45368,0,0,0.40916,0,0
18,dart,486,0.65789,1,0,0.59747,1,1,0.59492,1,1,0.67632,1,1,0.6341,1,0,0.59073,1,1,0.58817,0,0,0.67632,1,1,0.71042,1,1,0.67632,1,1
19,dart,702,0.70225,1,0,0.55874,1,0,0.58634,1,0,0.57609,1,0,0.64022,1,0,0.18453,1,0,0.45705,1,0,0.49317,0,0,0.60667,1,0,0.49081,0,0
20,dart,1013,0.6364,0,0,0.61567,0,0,0.63231,0,0,0.68816,0,0,0.6749,0,0,0.66468,0,0,0.66677,1,0,0.62834,0,0,0.66349,1,0,0.63688,0,0
21,dart,701,0.64391,1,1,0.65048,0,0,0.65645,0,0,0.72832,1,1,0.64527,0,0,0.64531,1,0,0.65691,0,0,0.65275,0,0,0.64867,1,1,0.6408,0,0
22,dart,917,0.25,0,0,0.25,0,0,0.56227,1,1,0.53212,1,1,0.25,0,0,0.25,0,0,0.25,0,0,0.66483,1,1,0.25,0,0,0.25,0,0
24,dart,420,0.70899,1,0,0.61162,0,0,0.58454,1,1,0.59559,0,0,0.66682,1,0,0.64712,1,1,0.623,1,0,0.56985,1,0,0.65862,1,1,0.70899,1,0
26,dart,565,0.61273,1,0,0.25,0,0,0.5261,1,0,0.57807,1,0,0.25,0,0,0.60298,1,0,0.25,0,0,0.57807,1,0,0.59899,1,0,0.25,0,0
27,dart,753,0.73801,1,0,0.73801,1,0,0.73801,1,0,0.25,0,0,0.73801,1,0,0.73801,1,0,0.73801,1,0,0.25,0,0,0.73801,1,0,0.25,0,0
28,dart,373,0.75068,1,1,0.75068,1,1,0.25,0,0,0.25,0,0,0.75068,1,1,0.25,0,0,0.25,0,0,0.50578,1,1,0.52055,1,1,0.25,0,0
29,dart,671,0.25,0,0,0.25,0,0,0.25,0,0,0.5655,1,0,0.73408,1,1,0.25,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0.60152,1,1
30,dart,329,0.25,0,0,0.69174,1,1,0.25,0,0,0.53736,1,1,0.55939,1,1,0.50398,1,1,0.53083,1,1,0.53736,1,1,0.68883,1,1,0.55398,1,1
31,dart,502,0.59382,1,1,0.61004,1,1,0.59382,1,1,0.70934,1,1,0.64339,1,1,0.59382,1,1,0.59382,1,1,0.64339,1,1,0.70934,1,1,0.61004,1,1
33,dart,616,0.66371,1,0,0.61079,1,0,0.60813,1,0,0.64743,0,0,0.59385,1,0,0.73728,1,0,0.27759,1,0,0.69857,1,0,0.6668,1,0,0.62876,1,0
34,dart,643,0.25,0,0,0.5322,1,0,0.52733,1,0,0.55003,1,0,0.25,0,0,0.49783,1,0,0.25,0,0,0.25,0,0,0.58214,1,0,0.25,0,0
35,dart,346,0.58503,1,1,0.58503,1,1,0.60388,1,1,0.60567,1,1,0.58503,1,1,0.58942,1,1,0.61067,1,1,0.58726,1,1,0.58942,1,1,0.60388,1,1
36,dart,448,0.71353,1,0,0.65858,1,0,0.68647,1,0,0.6741,1,0,0.65735,1,0,0.68797,1,0,0.65558,1,0,0.64879,1,0,0.68281,1,0,0.70136,1,0
37,dart,579,0.69138,1,0,0.70344,1,0,0.73042,1,0,0.68031,1,0,0.68183,1,0,0.66783,1,0,0.65305,1,0,0.65371,1,0,0.65721,1,0,0.60765,1,0
39,dart,664,0.63521,1,0,0.70286,1,0,0.65921,1,1,0.65098,1,0,0.62903,1,0,0.6424,0,0,0.65113,1,0,0.62809,1,1,0.6642,0,0,0.6292,0,0
40,dart,607,0.4104,1,0,0.6575,1,0,0.6891,1,1,0.68614,1,0,0.67003,1,1,0.65583,1,1,0.67508,1,1,0.73055,1,1,0.7046,1,1,0.71093,1,0
41,dart,422,0.44798,1,0,0.49604,1,0,0.38422,0,0,0.42851,1,0,0.48128,1,0,0.51449,1,0,0.46717,1,0,0.49134,1,0,0.49351,1,0,0.4359,1,0
42,dart,235,0.58001,1,1,0.58876,1,1,0.52617,1,1,0.52424,1,1,0.54972,1,0,0.59552,1,1,0.59509,1,1,0.66443,1,1,0.25,0,0,0.58501,1,1
43,dart,528,0.65672,1,1,0.69643,1,1,0.5949,1,1,0.63691,1,1,0.66047,1,1,0.61601,1,1,0.63047,1,1,0.62026,1,1,0.62251,1,1,0.63042,1,1
44,dart,347,0.56632,1,1,0.40788,1,1,0.6449,1,0,0.57425,1,1,0.64606,1,1,0.48434,0,0,0.56941,1,1,0.49556,0,0,0.61866,1,1,0.55823,1,1
45,dart,292,0.73902,1,1,0.6387,1,1,0.6387,1,1,0.6387,1,1,0.6387,1,1,0.6387,1,1,0.25,0,0,0.73902,1,1,0.64907,1,1,0.73902,1,1
