problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.68578,0,0,0.67421,0,0,0.6759,0,0,0.66884,0,0,0.6663,0,0,0.69628,0,0,0.68376,0,0,0.6796,0,0,0.65917,0,0,0.67213,0,0
1,dart,1184,0.67653,1,1,0.67229,1,1,0.64619,0,0,0.67974,1,1,0.69177,1,0,0.65355,1,1,0.64399,1,1,0.62756,1,0,0.70986,1,0,0.65531,1,0
2,dart,301,0.71786,1,0,0.64661,1,0,0.71786,1,0,0.71786,1,0,0.59689,1,0,0.58019,1,0,0.66844,1,0,0.71786,1,0,0.6567,1,0,0.65659,1,0
3,dart,471,0.636,1,1,0.71043,1,1,0.71043,1,1,0.69556,1,1,0.63254,1,0,0.71043,1,1,0.71043,1,1,0.61536,1,1,0.64373,1,0,0.69348,1,0
4,dart,611,0.6211,0,0,0.54705,0,0,0.5441,0,0,0.53934,0,0,0.61892,0,0,0.50822,0,0,0.53934,0,0,0.59472,0,0,0.52359,0,0,0.5441,0,0
5,dart,564,0.79377,1,1,0.81242,1,1,0.80213,1,1,0.83087,1,1,0.80785,1,1,0.83087,1,1,0.80367,1,0,0.7959,1,1,0.81187,1,0,0.769,0,0
6,dart,852,0.64217,1,0,0.65243,1,0,0.6634,1,0,0.69248,1,0,0.70909,1,0,0.65947,1,0,0.67705,1,0,0.64672,1,0,0.62195,1,0,0.63985,1,0
7,dart,547,0.6811,1,1,0.74185,1,1,0.6811,1,1,0.74185,1,1,0.25,0,0,0.56784,1,1,0.55338,1,1,0.55484,1,1,0.61345,1,1,0.74185,1,1
8,dart,598,0.62226,1,0,0.65228,1,0,0.72613,1,0,0.70183,1,0,0.60985,1,0,0.61349,1,0,0.63454,1,0,0.64492,1,0,0.61982,1,0,0.70183,1,0
9,dart,807,0.65379,0,0,0.65379,0,0,0.65379,0,0,0.65379,0,0,0.65054,1,0,0.65379,0,0,0.65379,0,0,0.64787,0,0,0.64571,0,0,0.66088,0,0
10,dart,798,0.59779,1,0,0.62336,1,0,0.58111,1,0,0.48015,1,0,0.56539,1,0,0.60794,1,0,0.58111,1,0,0.2812,1,0,0.57428,1,0,0.59092,1,0
11,dart,629,0.72884,0,0,0.63407,1,0,0.76427,0,0,0.6406,1,0,0.64441,0,0,0.65045,0,0,0.66153,1,1,0.65483,1,0,0.68929,1,0,0.65667,0,0
12,dart,534,0.69863,1,1,0.62131,1,0,0.70739,1,1,0.67305,1,1,0.69863,1,1,0.72609,1,1,0.69686,1,1,0.71433,1,1,0.69686,1,1,0.64501,1,1
13,dart,491,0.74398,1,1,0.74398,1,1,0.69041,1,1,0.69112,1,1,0.67681,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.74398,1,1
14,dart,381,0.82875,1,1,0.78301,1,1,0.73243,1,1,0.71623,1,1,0.75269,1,1,0.77526,1,1,0.81314,1,1,0.73243,1,1,0.75013,1,1,0.72788,1,1
15,dart,542,0.43836,1,0,0.43169,1,0,0.44467,1,0,0.50888,1,0,0.36138,1,0,0.45051,1,0,0.45979,0,0,0.56355,1,0,0.52544,0,0,0.52773,1,0
16,dart,319,0.49999,1,0,0.4968,1,0,0.51164,1,0,0.56634,1,0,0.6113,1,0,0.45007,1,0,0.42558,0,0,0.46335,1,0,0.56241,1,0,0.5158,1,0
17,dart,636,0.44123,0,0,0.36374,0,0,0.50402,1,0,0.52067,0,0,0.40497,0,0,0.3662,0,0,0.49857,1,0,0.45417,0,0,0.48793,0,0,0.43797,1,0
18,dart,486,0.57859,1,1,0.58207,1,1,0.71042,1,1,0.71042,1,1,0.69106,1,1,0.71042,1,1,0.71042,1,1,0.69106,1,1,0.60229,1,0,0.67093,1,1
19,dart,702,0.70301,1,0,0.46963,1,0,0.67242,1,0,0.70301,1,0,0.73787,1,0,0.61993,1,0,0.72105,1,0,0.73787,1,0,0.63686,1,0,0.73544,1,0
20,dart,1013,0.40235,0,0,0.59047,0,0,0.66203,0,0,0.60893,0,0,0.64466,0,0,0.66527,1,0,0.6654,1,0,0.64255,0,0,0.63484,1,0,0.65145,0,0
21,dart,701,0.62756,0,0,0.6538,0,0,0.64563,0,0,0.6446,0,0,0.60201,0,0,0.61476,0,0,0.64199,0,0,0.65275,1,1,0.58132,0,0,0.64198,0,0
22,dart,917,0.5908,1,1,0.66483,1,1,0.75002,1,1,0.66483,1,1,0.59743,1,1,0.52804,1,1,0.59743,1,1,0.53332,1,1,0.53332,1,1,0.58257,0,0
24,dart,420,0.64707,1,0,0.71171,0,0,0.57059,1,1,0.65247,1,0,0.60336,1,1,0.60319,1,0,0.61056,1,0,0.66926,1,1,0.61992,1,0,0.63078,1,1
26,dart,565,0.5335,1,0,0.59245,1,0,0.60444,1,0,0.63856,1,0,0.61273,1,0,0.63856,1,0,0.58718,1,0,0.61273,1,0,0.549,1,0,0.64894,1,0
27,dart,753,0.73801,1,0,0.60971,1,1,0.73861,0,0,0.74104,1,1,0.73861,0,0,0.76288,1,1,0.68588,1,0,0.62493,0,0,0.73801,1,0,0.73801,1,0
28,dart,373,0.75068,1,1,0.53197,1,1,0.75068,1,1,0.75068,1,0,0.75068,1,1,0.75068,1,1,0.75068,1,1,0.50266,1,0,0.49247,1,0,0.511,1,0
29,dart,671,0.54712,1,1,0.5655,1,0,0.54712,1,1,0.57183,1,1,0.5655,1,1,0.5655,1,0,0.73936,1,1,0.5655,1,0,0.73936,1,1,0.57719,1,1
30,dart,329,0.67903,1,1,0.53817,1,1,0.57064,1,1,0.58836,1,1,0.57064,0,0,0.48327,1,0,0.52812,1,1,0.54265,1,1,0.53083,1,1,0.65952,1,0
31,dart,502,0.68533,1,0,0.70922,1,1,0.70922,1,1,0.64339,1,1,0.6498,1,1,0.6498,1,1,0.70922,1,1,0.6498,1,1,0.6498,1,1,0.64339,1,1
33,dart,616,0.64173,1,0,0.70187,1,0,0.62561,1,0,0.73921,1,0,0.69129,1,0,0.59696,1,0,0.69444,1,0,0.77656,1,0,0.29649,1,0,0.66944,1,0
34,dart,643,0.55471,1,0,0.58313,1,0,0.54189,1,0,0.49077,1,0,0.56286,0,0,0.53774,1,0,0.49842,1,0,0.54699,1,0,0.55479,1,0,0.52268,1,0
35,dart,346,0.58942,1,1,0.60388,1,1,0.60541,1,1,0.61264,1,1,0.58294,1,1,0.60388,1,1,0.58503,1,1,0.61168,1,1,0.59871,0,0,0.59721,1,1
36,dart,448,0.68797,1,0,0.70257,1,0,0.70257,1,0,0.70889,1,0,0.66197,1,0,0.6715,1,0,0.64968,1,0,0.65558,1,0,0.69321,1,0,0.63388,1,0
37,dart,579,0.72798,1,0,0.69902,1,0,0.74225,1,0,0.72388,1,0,0.69286,1,0,0.70348,1,0,0.64968,1,0,0.72642,1,0,0.33248,1,0,0.72642,1,0
39,dart,664,0.71663,1,0,0.69355,1,0,0.66159,1,0,0.58496,1,0,0.6328,1,0,0.64665,1,0,0.61903,1,0,0.66729,1,0,0.67665,0,0,0.68217,1,1
40,dart,607,0.67626,1,0,0.69801,1,1,0.70008,1,0,0.69801,1,1,0.69801,1,1,0.68614,1,0,0.69483,1,0,0.66294,1,0,0.64657,1,1,0.70985,1,1
41,dart,422,0.42691,1,0,0.49102,1,0,0.44337,0,0,0.50034,1,0,0.46573,1,0,0.40335,1,0,0.47335,1,0,0.45308,1,0,0.45535,0,0,0.48134,1,0
42,dart,235,0.67066,1,1,0.58501,1,1,0.45228,1,0,0.66179,1,1,0.58001,1,1,0.4603,1,0,0.59552,1,1,0.67893,1,1,0.67893,1,1,0.67893,1,1
43,dart,528,0.60964,1,1,0.61601,1,1,0.62622,1,1,0.60704,1,1,0.64219,1,1,0.60444,1,1,0.65672,1,1,0.61396,1,1,0.63755,1,1,0.60738,1,1
44,dart,347,0.53142,1,1,0.58776,1,1,0.57943,1,0,0.67453,1,0,0.58141,1,1,0.52478,1,1,0.60211,1,1,0.48257,1,1,0.57875,1,1,0.58776,1,1
45,dart,292,0.74432,1,1,0.73902,1,1,0.73902,1,1,0.6387,1,1,0.6387,1,1,0.73902,1,1,0.6387,1,1,0.6387,1,1,0.74432,1,1,0.6387,1,1
46,dart,657,0.62027,1,0,0.58181,1,0,0.61011,1,0,0.60485,1,0,0.52984,1,0,0.61227,1,0,0.63131,1,0,0.63325,1,0,0.67485,1,0,0.58263,1,0
47,dart,429,0.6694,0,0,0.69972,0,0,0.71293,0,0,0.70302,0,0,0.64148,0,0,0.69504,1,0,0.65894,1,0,0.67293,0,0,0.69543,0,0,0.71248,0,0
48,dart,444,0.62308,1,1,0.61066,1,1,0.36148,1,1,0.63213,1,1,0.61827,1,1,0.38923,1,1,0.65701,1,1,0.67868,1,1,0.38923,1,1,0.54799,1,1
49,dart,381,0.70377,1,0,0.58058,1,0,0.57776,1,0,0.70377,1,0,0.44061,0,0,0.60198,1,0,0.57546,1,0,0.59315,1,0,0.59771,1,0,0.59587,0,0
51,dart,540,0.68657,1,1,0.74381,1,1,0.71795,1,1,0.74381,1,1,0.71167,1,1,0.74381,1,1,0.71681,1,1,0.74381,1,1,0.68657,1,1,0.74381,1,1
52,dart,479,0.58616,1,1,0.55558,1,1,0.56544,1,1,0.54807,1,0,0.56769,1,1,0.58616,1,1,0.62332,1,1,0.52922,1,0,0.63964,1,1,0.55467,1,1
53,dart,212,0.75458,1,1,0.75458,1,1,0.75458,1,1,0.75458,1,1,0.75458,1,1,0.75458,1,1,0.75458,1,1,0.75458,1,1,0.75458,1,1,0.75458,1,1
54,dart,571,0.5457,1,0,0.5457,1,0,0.49609,0,0,0.51423,1,0,0.5457,1,0,0.49918,1,0,0.5457,1,0,0.4125,1,0,0.5457,1,0,0.5457,1,0
55,dart,474,0.51166,1,1,0.5388,1,0,0.52132,1,0,0.50159,1,1,0.50159,1,1,0.52264,1,1,0.51029,1,0,0.52498,1,1,0.50019,1,0,0.50159,1,1
56,dart,578,0.59225,1,0,0.55969,1,0,0.72524,1,0,0.69595,1,0,0.59567,1,0,0.69511,1,0,0.66832,1,0,0.56462,1,0,0.68128,1,0,0.69468,1,0
57,dart,620,0.61228,1,0,0.57915,1,0,0.60834,1,1,0.63769,1,1,0.65957,1,1,0.66149,1,1,0.58826,1,0,0.55711,1,0,0.63349,1,0,0.62477,1,0
58,dart,425,0.68559,1,0,0.63186,1,0,0.67817,1,0,0.76093,1,0,0.63354,1,0,0.71875,1,0,0.68098,1,0,0.76093,1,0,0.70421,1,0,0.70664,1,0
59,dart,515,0.6919,1,1,0.61806,1,1,0.65229,1,1,0.68529,1,1,0.65281,1,1,0.70482,1,1,0.58898,0,0,0.64865,1,1,0.62722,1,1,0.66872,1,1
60,dart,312,0.69194,1,1,0.769,1,1,0.57892,1,1,0.57892,1,1,0.7317,1,1,0.57892,1,1,0.57892,1,1,0.769,1,1,0.769,1,1,0.57892,1,1
61,dart,578,0.55925,1,0,0.6809,1,1,0.55376,1,1,0.64533,1,1,0.65837,1,1,0.69595,1,1,0.69595,1,1,0.68789,1,1,0.60994,1,1,0.67237,1,1
62,dart,462,0.64115,1,0,0.6162,1,0,0.58221,1,0,0.63231,1,0,0.67884,1,0,0.63866,1,0,0.55754,1,0,0.62162,1,0,0.64481,0,0,0.5408,1,0
63,dart,563,0.52161,0,0,0.52531,1,0,0.50695,1,0,0.52839,1,0,0.50766,1,0,0.51477,1,0,0.52696,0,0,0.50837,1,0,0.50837,1,0,0.49024,1,0
64,dart,836,0.65272,1,0,0.68187,1,0,0.68544,1,0,0.65112,1,0,0.68337,1,0,0.68544,1,0,0.64457,1,0,0.68544,1,0,0.69166,1,0,0.68544,1,0
65,dart,614,0.57319,0,0,0.64745,1,0,0.63269,1,0,0.56472,0,0,0.58503,1,0,0.56015,1,0,0.54172,1,0,0.62435,1,0,0.51082,0,0,0.53062,1,0
66,dart,583,0.63336,0,0,0.70176,0,0,0.70176,0,0,0.66672,0,0,0.70176,0,0,0.66066,1,0,0.70176,0,0,0.70176,0,0,0.65458,1,0,0.70176,0,0
67,dart,519,0.48835,0,0,0.43949,0,0,0.49524,0,0,0.48756,1,0,0.49009,0,0,0.55238,0,0,0.48117,0,0,0.5255,1,0,0.52196,1,0,0.54121,1,0
68,dart,717,0.59933,1,0,0.64448,0,0,0.6226,1,0,0.75,1,0,0.59077,1,0,0.60166,1,0,0.69976,1,0,0.75,1,0,0.75,1,0,0.54376,1,0
69,dart,555,0.64036,1,0,0.63853,1,0,0.65249,1,0,0.58566,1,0,0.65138,1,0,0.59117,1,0,0.38721,0,0,0.646,1,0,0.61094,0,0,0.60976,1,0
