problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.64825,0,0,0.68578,0,0,0.66769,0,0,0.69811,0,0,0.68578,0,0,0.69628,0,0,0.67847,0,0,0.69873,0,0,0.67847,0,0,0.67213,0,0
1,dart,1184,0.70195,0,0,0.69177,1,0,0.70748,1,0,0.68749,1,0,0.67654,1,0,0.70254,1,0,0.60584,0,0,0.65836,1,0,0.68633,1,0,0.70844,1,0
2,dart,301,0.56111,1,0,0.71786,0,0,0.56056,1,0,0.56056,1,0,0.54391,1,0,0.65947,1,0,0.71786,1,0,0.71786,1,0,0.61065,1,0,0.71786,1,0
3,dart,471,0.71043,1,1,0.66266,1,0,0.76843,1,1,0.60295,1,0,0.71043,1,1,0.71043,1,1,0.66603,1,1,0.66603,1,1,0.71043,1,1,0.71043,1,1
4,dart,611,0.5441,0,0,0.69233,0,0,0.72329,0,0,0.53934,0,0,0.5441,0,0,0.72887,0,0,0.66604,0,0,0.67666,0,0,0.51157,0,0,0.5441,0,0
5,dart,564,0.78546,1,1,0.80213,1,1,0.78546,1,1,0.79149,1,1,0.78546,1,1,0.77062,1,1,0.79299,1,1,0.769,0,0,0.77523,1,1,0.77934,0,0
6,dart,852,0.62636,1,0,0.65934,0,0,0.53566,1,0,0.65731,1,0,0.6067,1,0,0.66903,1,0,0.64924,1,0,0.48354,1,0,0.63979,0,0,0.65944,1,0
7,dart,547,0.61345,1,1,0.74185,1,1,0.5611,1,1,0.61345,1,1,0.74185,1,1,0.61345,1,1,0.57801,1,0,0.54513,1,1,0.57801,1,0,0.58151,1,0
8,dart,598,0.66252,1,0,0.63655,1,0,0.68304,1,0,0.68336,1,0,0.66368,1,0,0.63631,1,0,0.68334,0,0,0.63128,1,0,0.70183,1,0,0.65753,1,0
9,dart,807,0.63331,0,0,0.67255,1,1,0.65379,0,0,0.66026,1,1,0.67255,1,1,0.71103,0,0,0.6406,0,0,0.65379,0,0,0.65379,0,0,0.65379,0,0
10,dart,798,0.55934,1,0,0.26137,1,0,0.59608,1,0,0.60076,1,0,0.55923,1,0,0.59466,1,0,0.61879,1,0,0.62283,1,0,0.58777,1,0,0.62043,1,0
11,dart,629,0.64078,0,0,0.63827,0,0,0.66895,0,0,0.69277,0,0,0.60355,1,0,0.64197,0,0,0.58944,0,0,0.64314,1,0,0.72198,0,0,0.65344,1,1
12,dart,534,0.5754,1,0,0.64991,1,1,0.70378,1,1,0.66374,1,1,0.69686,1,1,0.64886,1,1,0.65406,1,1,0.62227,1,1,0.71551,1,1,0.6604,1,1
13,dart,491,0.63049,1,1,0.67681,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.74398,1,1,0.69041,1,1,0.69041,1,1,0.6836,0,0
14,dart,381,0.68847,1,1,0.76481,1,1,0.80705,1,1,0.71326,1,1,0.73312,1,1,0.68809,1,0,0.80705,1,1,0.72582,1,1,0.70736,1,1,0.72582,1,1
15,dart,542,0.51552,0,0,0.38273,1,0,0.43875,0,0,0.52564,1,0,0.38132,0,0,0.47247,1,0,0.44833,1,0,0.48278,1,0,0.4969,1,0,0.45016,0,0
16,dart,319,0.56728,1,0,0.49102,1,0,0.52804,1,0,0.50633,1,0,0.51105,1,0,0.5026,1,0,0.52346,1,0,0.43,1,0,0.58979,1,0,0.4968,1,0
17,dart,636,0.37118,0,0,0.43769,1,0,0.39929,0,0,0.36314,0,0,0.39401,1,0,0.54004,0,0,0.40599,0,0,0.44649,0,0,0.48766,1,0,0.54435,1,0
18,dart,486,0.69106,1,1,0.67093,1,1,0.71042,1,1,0.50906,1,0,0.65789,1,0,0.69106,1,1,0.58112,1,1,0.69106,1,1,0.67338,1,1,0.56947,1,1
19,dart,702,0.54196,1,0,0.58844,1,0,0.54913,1,0,0.5546,1,0,0.5447,0,0,0.73104,1,0,0.73031,1,0,0.4896,1,0,0.73104,1,0,0.64686,0,0
20,dart,1013,0.5639,0,0,0.67438,1,0,0.66702,1,0,0.69886,0,0,0.64708,0,0,0.59005,1,0,0.64075,1,0,0.60527,1,0,0.63946,1,0,0.66244,0,0
21,dart,701,0.64701,0,0,0.65583,0,0,0.73408,1,1,0.6413,0,0,0.63287,1,1,0.6446,1,1,0.65519,0,0,0.629,1,1,0.63971,0,0,0.65645,0,0
22,dart,917,0.54798,1,1,0.53547,1,1,0.55221,1,1,0.54798,1,1,0.5908,1,1,0.56796,1,0,0.52662,1,0,0.54798,1,1,0.55001,1,1,0.53332,1,1
24,dart,420,0.68268,1,1,0.5984,1,0,0.62585,1,0,0.59511,1,0,0.70239,1,1,0.65462,0,0,0.56915,1,1,0.66455,1,0,0.63667,0,0,0.56052,1,0
26,dart,565,0.60389,1,0,0.58898,1,0,0.61484,1,0,0.67505,1,0,0.60341,1,0,0.60298,1,0,0.66597,1,0,0.60298,1,0,0.53884,1,0,0.60389,1,0
27,dart,753,0.73801,1,0,0.72715,1,1,0.73801,1,0,0.59194,1,1,0.62743,1,1,0.74104,1,1,0.73801,1,0,0.73264,1,1,0.73801,1,0,0.73801,1,0
28,dart,373,0.53505,1,1,0.53505,1,1,0.53417,1,1,0.52055,1,1,0.75068,1,1,0.47663,1,1,0.75068,1,1,0.46235,1,1,0.75068,1,1,0.54693,1,1
29,dart,671,0.57183,1,1,0.60152,1,1,0.57476,1,1,0.54557,1,1,0.60152,1,1,0.60152,1,1,0.60152,1,1,0.73936,1,1,0.58756,1,1,0.60152,1,1
