problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.68578,0,0,0.65889,0,0,0.64928,0,0,0.64739,1,0,0.6663,0,0,0.69628,0,0,0.65889,0,0,0.68621,0,0,0.69551,0,0,0.66107,0,0
1,dart,1184,0.71941,1,1,0.70991,1,0,0.69382,1,1,0.67813,1,0,0.65947,1,0,0.6149,1,0,0.68849,1,0,0.64262,0,0,0.60197,0,0,0.70358,1,1
2,dart,301,0.64255,0,0,0.58019,1,0,0.61559,0,0,0.58019,1,0,0.64255,0,0,0.64106,0,0,0.60296,1,0,0.64106,0,0,0.64106,0,0,0.58019,1,0
3,dart,471,0.70626,1,1,0.71043,1,1,0.71043,1,1,0.71043,1,1,0.70971,1,0,0.71043,1,1,0.67125,1,1,0.68784,1,1,0.66603,1,1,0.71043,1,1
4,dart,611,0.52134,0,0,0.5386,0,0,0.5365,0,0,0.6876,0,0,0.69027,0,0,0.73151,0,0,0.61892,0,0,0.66602,0,0,0.5441,0,0,0.55387,0,0
5,dart,564,0.769,0,0,0.80213,1,1,0.77432,1,1,0.74237,1,1,0.80186,1,1,0.78801,1,1,0.70635,1,0,0.77432,1,1,0.769,0,0,0.78547,1,1
6,dart,852,0.6813,1,0,0.64172,1,0,0.64386,1,0,0.66939,1,0,0.6637,1,0,0.64682,1,0,0.66,1,0,0.67908,1,0,0.65707,1,0,0.65957,1,0
7,dart,547,0.74185,1,1,0.74185,1,1,0.61345,1,1,0.7368,1,1,0.74185,1,1,0.58591,1,1,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.74185,1,1
8,dart,598,0.63707,1,0,0.65296,1,0,0.62646,1,0,0.64333,1,0,0.73517,1,0,0.6365,1,0,0.65124,1,0,0.68158,1,0,0.62776,1,0,0.71314,1,0
9,dart,807,0.65379,0,0,0.6406,0,0,0.66525,0,0,0.65379,0,0,0.64447,0,0,0.65379,0,0,0.69493,0,0,0.64854,1,1,0.65379,0,0,0.65379,0,0
10,dart,798,0.60062,1,0,0.61879,1,0,0.61879,1,0,0.60382,1,0,0.62336,1,0,0.62336,1,0,0.58089,1,0,0.53459,1,0,0.53408,1,0,0.32006,1,0
11,dart,629,0.62264,0,0,0.60496,1,1,0.65421,0,0,0.63711,0,0,0.67581,1,1,0.63843,0,0,0.65575,1,0,0.68151,1,0,0.64686,1,1,0.67365,1,0
12,dart,534,0.72609,1,1,0.61881,1,1,0.71433,1,1,0.62848,1,1,0.72609,1,1,0.66311,1,1,0.71433,1,1,0.70739,1,1,0.67738,1,1,0.70378,1,1
13,dart,491,0.69041,1,1,0.69041,1,1,0.73005,1,1,0.69112,1,1,0.69041,1,1,0.60016,1,1,0.74398,1,1,0.74398,1,1,0.60016,1,1,0.69041,1,1
14,dart,381,0.7254,1,1,0.73243,1,1,0.74647,1,1,0.81314,1,1,0.80315,1,1,0.75013,1,1,0.74743,1,1,0.69775,1,0,0.69735,1,0,0.73243,1,1
15,dart,542,0.44031,1,0,0.44146,1,0,0.40427,0,0,0.51227,1,0,0.49454,1,0,0.49779,1,0,0.48091,0,0,0.50564,1,0,0.4591,1,0,0.48296,1,0
16,dart,319,0.49084,1,0,0.57474,1,0,0.4968,1,0,0.51704,1,0,0.49891,1,0,0.4968,1,0,0.4968,1,0,0.56728,1,0,0.54796,1,0,0.51028,1,0
17,dart,636,0.47462,0,0,0.48641,1,0,0.45655,1,0,0.37498,1,0,0.37308,0,0,0.44142,1,0,0.36657,0,0,0.46493,1,0,0.40872,1,0,0.49688,1,0
18,dart,486,0.60764,1,1,0.59131,1,1,0.59747,1,1,0.55673,1,0,0.67093,1,1,0.65677,1,0,0.58172,1,1,0.71042,1,1,0.63029,1,0,0.59492,1,1
19,dart,702,0.55804,1,0,0.47184,1,0,0.73787,1,0,0.72783,1,0,0.54339,1,0,0.50803,1,0,0.51992,1,0,0.45236,1,0,0.56316,1,0,0.70225,1,0
20,dart,1013,0.61646,1,0,0.3453,1,0,0.60225,0,0,0.60874,0,0,0.57828,0,0,0.69096,0,0,0.62717,0,0,0.62519,1,0,0.31543,0,0,0.65792,1,0
21,dart,701,0.65511,0,0,0.65583,1,1,0.65048,0,0,0.64312,0,0,0.63479,0,0,0.65718,0,0,0.65048,0,0,0.63936,0,0,0.65048,0,0,0.60151,0,0
22,dart,917,0.75002,1,1,0.75002,1,1,0.65197,1,1,0.6782,0,0,0.56449,1,1,0.75002,1,1,0.75002,1,1,0.75002,1,1,0.66672,1,1,0.66672,1,1
24,dart,420,0.62786,1,0,0.60814,1,1,0.6325,1,0,0.58148,1,0,0.67014,0,0,0.64163,1,0,0.65193,1,0,0.59587,1,0,0.54896,1,1,0.61328,1,0
26,dart,565,0.59726,1,0,0.64421,1,0,0.51683,0,0,0.63787,1,0,0.52067,1,0,0.66597,1,0,0.51448,1,0,0.67505,1,0,0.63856,1,0,0.61032,1,0
27,dart,753,0.66395,0,0,0.67595,0,0,0.68396,0,0,0.73801,1,0,0.68057,0,0,0.63074,1,1,0.72915,0,0,0.73801,1,0,0.68013,0,0,0.67576,0,0
28,dart,373,0.75068,1,1,0.4698,1,0,0.75068,1,1,0.75068,1,1,0.75068,1,1,0.75068,1,1,0.75068,1,1,0.75068,1,1,0.75068,1,1,0.75029,1,1
