problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.60559,1,0,0.7084,1,0,0.68298,1,0,0.69187,0,0,0.69187,0,0,0.67847,0,0,0.67847,0,0,0.68582,1,0,0.67478,1,0,0.64315,1,1
1,dart,1184,0.67554,1,0,0.70367,1,0,0.67867,1,0,0.69177,1,0,0.70314,1,1,0.69342,1,0,0.68457,1,0,0.66655,0,0,0.68406,1,1,0.68793,1,0
2,dart,301,0.71786,1,0,0.64761,0,0,0.71786,1,0,0.56428,1,0,0.71786,1,0,0.63846,0,0,0.71786,0,0,0.71786,0,0,0.58019,1,0,0.71786,1,0
3,dart,471,0.71043,1,1,0.67863,1,0,0.71043,1,1,0.7394,1,1,0.71043,1,1,0.76843,1,1,0.76843,1,1,0.76843,1,1,0.7394,1,1,0.71043,1,1
4,dart,611,0.55344,0,0,0.51719,0,0,0.69507,0,0,0.63401,0,0,0.69166,0,0,0.6272,0,0,0.72578,0,0,0.5441,0,0,0.69327,1,1,0.66454,0,0
5,dart,564,0.77934,0,0,0.77686,1,1,0.80213,1,1,0.79149,1,1,0.80213,1,1,0.77934,0,0,0.81187,1,0,0.80213,1,1,0.78546,1,1,0.78546,1,1
6,dart,852,0.662,1,0,0.65944,1,0,0.66136,1,0,0.65059,1,0,0.66362,1,0,0.64963,1,0,0.59371,1,0,0.66048,1,0,0.65633,1,0,0.63324,1,0
7,dart,547,0.74185,1,1,0.57801,1,1,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.5611,1,1,0.74185,1,1,0.74185,1,1
8,dart,598,0.72613,1,0,0.64391,1,0,0.62707,1,0,0.70026,1,0,0.64862,1,0,0.63323,1,0,0.6496,1,0,0.67672,1,0,0.51818,1,0,0.66368,1,0
9,dart,807,0.64473,0,0,0.67255,1,1,0.65379,0,0,0.65379,0,0,0.61786,0,0,0.6406,0,0,0.65379,0,0,0.65379,0,0,0.65379,0,0,0.65379,0,0
10,dart,798,0.57274,1,0,0.56411,1,0,0.60696,1,0,0.60064,1,0,0.57982,1,0,0.60696,1,0,0.57572,1,0,0.54589,1,0,0.58894,1,0,0.58894,1,0
11,dart,629,0.5784,1,0,0.61094,0,0,0.68073,1,0,0.63374,1,0,0.63934,0,0,0.63827,0,0,0.6423,1,0,0.64039,1,0,0.66954,1,1,0.6366,1,0
12,dart,534,0.69686,1,1,0.69388,1,1,0.69686,1,1,0.70739,1,1,0.70378,1,1,0.70378,1,1,0.69686,1,1,0.66446,1,1,0.61482,1,1,0.71433,1,1
13,dart,491,0.74398,1,1,0.74398,1,1,0.74398,1,1,0.74398,1,1,0.74398,1,1,0.69041,1,1,0.74398,1,1,0.73005,1,1,0.74398,1,1,0.74398,1,1
14,dart,381,0.76112,1,1,0.79101,1,1,0.72582,1,1,0.75013,1,1,0.70736,1,0,0.72582,1,1,0.73143,1,1,0.69818,1,1,0.72582,1,1,0.71952,1,1
15,dart,542,0.48591,0,0,0.49615,1,0,0.52449,0,0,0.4631,1,0,0.43368,1,0,0.52184,0,0,0.48086,1,0,0.54329,1,0,0.49592,1,0,0.49516,1,0
16,dart,319,0.52346,1,0,0.54741,1,0,0.52522,1,0,0.4968,1,0,0.48671,1,0,0.58185,1,0,0.57533,1,0,0.58979,1,0,0.49999,1,0,0.5837,1,0
17,dart,636,0.52717,1,0,0.4656,0,0,0.46625,1,0,0.40912,0,0,0.49559,0,0,0.41734,1,0,0.37221,1,0,0.4499,1,0,0.39412,0,0,0.43562,0,0
18,dart,486,0.60764,1,1,0.69417,1,1,0.71042,1,1,0.69417,1,1,0.71042,1,1,0.689,1,1,0.71042,1,1,0.69417,1,1,0.65789,1,0,0.60764,1,1
19,dart,702,0.73849,1,0,0.73849,1,0,0.73104,1,0,0.4871,1,0,0.64186,0,0,0.70225,1,0,0.73849,1,0,0.73787,1,0,0.51844,1,0,0.63549,1,0
20,dart,1013,0.6622,0,0,0.57825,0,0,0.63762,0,0,0.6498,0,0,0.4035,1,0,0.58541,0,0,0.38207,1,0,0.63305,1,0,0.65082,0,0,0.36042,1,0
21,dart,701,0.63971,0,0,0.65583,0,0,0.64418,0,0,0.64384,0,0,0.65583,0,0,0.73657,1,1,0.65048,0,0,0.65275,0,0,0.6584,0,0,0.6538,1,1
22,dart,917,0.75002,1,1,0.6468,0,0,0.5908,1,1,0.75002,1,1,0.66483,1,1,0.66483,1,1,0.66483,1,1,0.5908,1,1,0.54431,1,0,0.5908,1,1
24,dart,420,0.68357,1,0,0.70754,0,0,0.65649,1,1,0.57044,1,0,0.62828,0,0,0.59858,0,0,0.68783,0,0,0.60552,1,0,0.60635,1,0,0.59678,0,0
26,dart,565,0.66597,1,0,0.59456,1,0,0.53962,1,0,0.60238,1,0,0.57324,1,0,0.59456,1,0,0.53884,1,0,0.61517,1,0,0.60298,1,0,0.60298,1,0
27,dart,753,0.73041,1,1,0.25,0,0,0.74104,1,1,0.73861,0,0,0.73264,1,1,0.71953,0,0,0.72915,0,0,0.73801,1,0,0.25,0,0,0.62044,0,0
28,dart,373,0.75068,1,1,0.75068,1,1,0.75068,1,1,0.75068,1,1,0.75068,1,1,0.75068,1,1,0.75068,1,1,0.25,0,0,0.75068,1,1,0.75068,1,1
29,dart,671,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1,0.73936,1,1
30,dart,329,0.52812,1,1,0.58836,1,1,0.53083,1,1,0.58836,1,1,0.58836,1,1,0.69174,1,1,0.6032,0,0,0.63913,1,1,0.69174,1,1,0.57064,0,0
31,dart,502,0.70922,1,1,0.70922,1,1,0.6498,1,1,0.6498,1,1,0.6498,1,1,0.59382,1,1,0.66315,1,1,0.62481,1,1,0.70922,1,1,0.61004,1,1
33,dart,616,0.68984,1,0,0.71193,1,0,0.61233,1,0,0.59869,1,0,0.53361,1,0,0.25256,1,0,0.64064,1,0,0.67407,1,0,0.70376,1,0,0.69483,1,0
34,dart,643,0.55631,1,0,0.55631,1,0,0.55631,1,0,0.54072,1,0,0.55631,1,0,0.54443,1,0,0.55631,1,0,0.55554,1,0,0.55631,1,0,0.55554,1,0
35,dart,346,0.60388,1,1,0.58942,1,1,0.58503,1,1,0.60388,1,1,0.60388,1,1,0.60908,1,1,0.59456,1,1,0.60388,1,1,0.60388,1,1,0.58503,1,1
36,dart,448,0.68907,1,0,0.65489,1,0,0.68907,1,0,0.64309,1,0,0.68907,1,0,0.7231,1,0,0.70238,1,0,0.68907,1,0,0.68907,1,0,0.67873,1,0
37,dart,579,0.72604,1,0,0.71662,1,0,0.72986,1,0,0.72604,1,0,0.72798,1,0,0.72798,1,0,0.72798,1,0,0.72798,1,0,0.72388,1,0,0.72798,1,0
39,dart,664,0.7072,1,0,0.62728,1,0,0.60179,1,0,0.69888,1,0,0.72055,1,0,0.70356,1,0,0.668,1,1,0.63078,1,0,0.65652,1,0,0.63418,1,0
40,dart,607,0.41315,1,0,0.70065,1,1,0.42409,1,0,0.70814,1,1,0.66999,1,0,0.42078,1,0,0.43566,1,0,0.69314,1,0,0.70142,1,0,0.70323,1,0
41,dart,422,0.48657,1,0,0.44326,1,0,0.47312,1,0,0.38201,1,0,0.47493,1,0,0.48949,1,0,0.49663,1,0,0.39487,1,0,0.51142,0,0,0.46398,1,0
42,dart,235,0.67893,1,1,0.66443,1,1,0.59552,1,1,0.67893,1,1,0.67066,1,1,0.55256,1,1,0.6005,1,1,0.48772,1,1,0.59552,1,1,0.67066,1,1
43,dart,528,0.60285,1,1,0.69643,1,1,0.6768,1,1,0.65291,1,1,0.62991,1,1,0.69643,1,1,0.60444,1,1,0.61316,1,1,0.61463,1,1,0.66333,1,1
44,dart,347,0.59576,1,0,0.61062,1,1,0.63412,1,0,0.60345,1,1,0.57274,1,1,0.65993,1,0,0.59137,1,1,0.59377,1,0,0.61044,0,0,0.69945,1,1
45,dart,292,0.73902,1,1,0.73902,1,1,0.73902,1,1,0.73902,1,1,0.73902,1,1,0.73902,1,1,0.73902,1,1,0.73902,1,1,0.73902,1,1,0.73902,1,1
46,dart,657,0.64695,1,0,0.64288,1,0,0.65362,1,0,0.66979,1,0,0.60485,1,0,0.62336,1,0,0.64695,1,0,0.63392,1,0,0.64733,1,0,0.60485,1,0
47,dart,429,0.65362,0,0,0.65591,0,0,0.69254,0,0,0.68488,0,0,0.70771,0,0,0.6815,0,0,0.64276,0,0,0.6528,0,0,0.68191,0,0,0.65604,1,0
48,dart,444,0.69134,1,1,0.68639,1,1,0.68639,1,1,0.68639,1,1,0.64831,1,1,0.69134,1,1,0.67085,1,1,0.67344,1,1,0.67085,1,1,0.68639,1,1
49,dart,381,0.61059,1,0,0.70377,1,0,0.60278,1,0,0.6373,1,0,0.58556,1,0,0.6199,1,1,0.60615,1,0,0.71259,1,1,0.70377,1,0,0.55508,0,0
51,dart,540,0.71867,1,1,0.70368,1,1,0.71867,1,1,0.71795,1,1,0.74381,1,1,0.74834,1,1,0.74834,1,1,0.70058,1,1,0.71867,1,1,0.71867,1,1
52,dart,479,0.75043,1,1,0.74682,1,1,0.74682,1,1,0.6134,1,1,0.74682,1,1,0.75043,1,1,0.62081,1,1,0.74682,1,1,0.56769,1,1,0.74682,1,1
53,dart,212,0.75458,1,1,0.75458,1,1,0.75458,1,1,0.75458,1,1,0.75458,1,1,0.75458,1,1,0.75458,1,1,0.75458,1,1,0.75458,1,1,0.75458,1,1
54,dart,571,0.5457,1,0,0.5457,1,0,0.5457,1,0,0.5457,1,0,0.52254,1,0,0.5457,1,0,0.50806,1,0,0.4999,1,0,0.5457,1,0,0.5457,1,0
55,dart,474,0.51456,1,1,0.51166,1,1,0.52572,1,1,0.51166,1,1,0.52264,1,1,0.51166,1,1,0.51166,1,1,0.50159,1,1,0.52264,1,1,0.52264,1,1
56,dart,578,0.59736,1,0,0.69595,1,0,0.53382,1,0,0.55551,0,0,0.6802,1,0,0.69128,1,0,0.55119,1,0,0.6802,1,0,0.6461,1,0,0.57115,1,0
57,dart,620,0.65878,1,1,0.65155,1,1,0.63468,1,1,0.67258,1,1,0.70581,1,1,0.59961,1,0,0.65777,1,1,0.63468,1,1,0.67984,1,1,0.59794,1,0
58,dart,425,0.66842,1,0,0.66296,1,0,0.70421,1,0,0.68613,1,0,0.66842,1,0,0.66296,1,0,0.66296,1,0,0.70421,1,0,0.62508,1,0,0.66842,1,0
59,dart,515,0.66436,1,1,0.60212,0,0,0.69317,1,0,0.68963,1,0,0.67751,1,1,0.63379,1,1,0.63152,1,1,0.62177,1,1,0.61999,1,1,0.63374,1,1
60,dart,312,0.769,1,1,0.769,1,1,0.57892,1,1,0.769,1,1,0.769,1,1,0.769,1,1,0.769,1,1,0.69026,1,1,0.6576,1,1,0.7317,1,1
