problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
sigless_99b1adcc808d,dart,435,0.52241,0,0,0.40306,0,0,0.33928,0,0,0.4172,0,0,0.29316,0,0,0.34206,0,0,0.31433,0,0,0.15251,0,0,0.34797,0,0,0.09488,0,0
sigless_c2bb0282c985,dart,536,0.33955,0,0,0.37987,0,0,0.34653,0,0,0.53393,0,0,0.43015,0,0,0.37708,0,0,0.39057,0,0,0.39279,0,0,0.52249,0,0,0.32461,0,0
sigless_ade17ff2cafd,dart,84,0.47958,0,0,0.30749,0,0,0.34214,0,0,0.27523,0,0,0.33589,0,0,0.35912,0,0,0.33137,0,0,0.32573,0,0,0.33229,0,0,0.30546,0,0
sigless_d935eb0ddd2a,dart,205,0.29459,0,0,0.31297,0,0,0.355,0,0,0.3491,0,0,0.4173,0,0,0.37587,0,0,0.33766,0,0,0.29648,0,0,0.3613,0,0,0.31884,0,0
sigless_84fc38694820,dart,222,0.42201,0,0,0.31086,0,0,0.40002,0,0,0.41073,0,0,0.38952,0,0,0.39776,0,0,0.37714,0,0,0.38589,0,0,0.43397,0,0,0.40345,0,0
sigless_1e191fbd251d,dart,324,0.40621,0,0,0.4687,0,0,0.37262,0,0,0.31645,0,0,0.33632,0,0,0.06267,0,0,0.40317,0,0,0.45009,0,0,0.33527,0,0,0.36641,0,0
sigless_d2d3194f2216,dart,509,0.59164,0,0,0.45671,0,0,0.51084,0,0,0.55676,0,0,0.47508,0,0,0.52929,0,0,0.52322,0,0,0.47973,0,0,0.47496,0,0,0.44568,0,0
sigless_052de8079312,dart,155,0.42418,0,0,0.41433,0,0,0.36794,0,0,0.29387,0,0,0.27977,0,0,0.46449,0,0,0.39012,0,0,0.49576,0,0,0.37974,0,0,0.39809,0,0
sigless_e5b60eb1b6d2,dart,237,0.33946,0,0,0.3213,0,0,0.35154,0,0,0.33729,0,0,0.49297,0,0,0.06962,0,0,0.23045,0,0,0.3684,0,0,0.2881,0,0,0.35703,0,0
sigless_3d82613e593e,dart,323,0.36857,0,0,0.29426,0,0,0.30949,0,0,0.51736,0,0,0.40596,0,0,0.33815,0,0,0.41208,0,0,0.43553,0,0,0.51736,0,0,0.3454,0,0
sigless_759d958f1144,dart,428,0.53455,0,0,0.40648,0,0,0.16198,0,0,0.42951,0,0,0.52112,0,0,0.36307,0,0,0.38955,0,0,0.22607,0,0,0.46813,0,0,0.54123,0,0
sigless_b963848b90a7,dart,309,0.44805,0,0,0.45139,0,0,0.51511,0,0,0.32887,0,0,0.52708,0,0,0.39105,0,0,0.38563,0,0,0.51226,0,0,0.37754,0,0,0.45181,0,0
sigless_a0cdc1d2dc45,dart,294,0.37313,0,0,0.4443,0,0,0.42785,0,0,0.18033,0,0,0.43224,0,0,0.46947,0,0,0.33624,0,0,0.36667,0,0,0.35668,0,0,0.45664,0,0
sigless_ecbd7019a1ee,dart,139,0.32361,0,0,0.06806,0,0,0.31882,0,0,0.32449,0,0,0.30304,0,0,0.3021,0,0,0.29678,0,0,0.33839,0,0,0.33245,0,0,0.28255,0,0
sigless_06c66a2ff79e,dart,207,0.40445,0,0,0.39935,0,0,0.2964,0,0,0.55392,0,0,0.44961,0,0,0.32207,0,0,0.49066,0,0,0.34412,0,0,0.40636,0,0,0.55148,0,0
sigless_8d64d56c2ed3,dart,137,0.4122,0,0,0.39755,0,0,0.34224,0,0,0.07839,0,0,0.39232,0,0,0.28382,0,0,0.03787,0,0,0.0477,0,0,0.46827,0,0,0.07056,0,0
sigless_7ea5e2ee1777,dart,114,0.5161,0,0,0.3693,0,0,0.4025,0,0,0.37142,0,0,0.42522,0,0,0.45182,0,0,0.35902,0,0,0.44776,0,0,0.33014,0,0,0.45604,0,0
sigless_82eef9fa949c,dart,253,0.47528,0,0,0.42885,0,0,0.56964,0,0,0.39451,0,0,0.42349,0,0,0.55928,0,0,0.34749,0,0,0.05199,0,0,0.4346,0,0,0.48279,0,0
sigless_96702ba732cd,dart,269,0.39597,0,0,0.31097,0,0,0.3469,0,0,0.34707,0,0,0.2968,0,0,0.36764,0,0,0.33418,0,0,0.35727,0,0,0.32519,0,0,0.33497,0,0
sigless_05661500534b,dart,430,0.49605,0,0,0.53776,0,0,0.50769,0,0,0.4832,0,0,0.45538,0,0,0.48281,0,0,0.44411,0,0,0.49124,0,0,0.43729,0,0,0.45013,0,0
sigless_0873e92d39a6,dart,705,0.44571,0,0,0.48205,0,0,0.37678,0,0,0.45907,0,0,0.37159,0,0,0.56499,0,0,0.36135,0,0,0.45272,0,0,0.37291,0,0,0.5063,0,0
sigless_c1e998d10479,dart,279,0.05628,0,0,0.42573,0,0,0.34349,0,0,0.42625,0,0,0.3626,0,0,0.4623,0,0,0.41845,0,0,0.40993,0,0,0.36433,0,0,0.34466,0,0
sigless_5a2219a58ce9,dart,114,0.38058,0,0,0.30456,0,0,0.48501,0,0,0.39544,0,0,0.37016,0,0,0.30523,0,0,0.33967,0,0,0.46889,0,0,0.35288,0,0,0.37223,0,0
sigless_3e3212defd08,dart,147,0.28561,0,0,0.39625,0,0,0.31836,0,0,0.32108,0,0,0.29692,0,0,0.30816,0,0,0.34496,0,0,0.30782,0,0,0.38862,0,0,0.31301,0,0
sigless_c711e3f260c8,dart,229,0.31039,0,0,0.56723,0,0,0.30737,0,0,0.40841,0,0,0.32189,0,0,0.44252,0,0,0.42073,0,0,0.48223,0,0,0.31331,0,0,0.40726,0,0
sigless_7e42db7cd6d1,dart,368,0.47307,0,0,0.49522,0,0,0.42508,0,0,0.53745,0,0,0.44491,0,0,0.49156,0,0,0.46903,0,0,0.4451,0,0,0.42881,0,0,0.15827,0,0
sigless_197013ec1e42,dart,95,0.39421,0,0,0.32947,0,0,0.32163,0,0,0.35258,0,0,0.54566,0,0,0.30005,0,0,0.33269,0,0,0.38789,0,0,0.30753,0,0,0.30512,0,0
sigless_9e715370c079,dart,151,0.05585,0,0,0.38401,0,0,0.45829,0,0,0.12101,0,0,0.49389,0,0,0.3234,0,0,0.30218,0,0,0.30706,0,0,0.32726,0,0,0.34956,0,0
sigless_b20bedffd7c3,dart,103,0.31864,0,0,0.3259,0,0,0.36348,0,0,0.36826,0,0,0.3575,0,0,0.32961,0,0,0.32404,0,0,0.40199,0,0,0.29392,0,0,0.30388,0,0
sigless_3b83cdfff0a1,dart,191,0.336,0,0,0.3165,0,0,0.02928,0,0,0.31854,0,0,0.32185,0,0,0.31391,0,0,0.32381,0,0,0.31504,0,0,0.37653,0,0,0.04165,0,0
