problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.66479,0,0,0.69374,0,0,0.66417,0,0,0.66263,0,0,0.67213,0,0,0.69628,0,0,0.6037,0,0,0.70797,0,0,0.67213,0,0,0.67213,0,0
1,dart,1184,0.71039,1,0,0.67256,1,0,0.67486,1,0,0.70318,1,0,0.65984,1,0,0.69177,1,0,0.67496,1,0,0.63758,0,0,0.64156,1,0,0.68581,1,1
2,dart,301,0.64661,1,0,0.71786,1,0,0.71786,0,0,0.71786,1,0,0.70623,0,0,0.71786,0,0,0.58019,1,0,0.58019,1,0,0.71786,0,0,0.58019,1,0
3,dart,471,0.71043,1,1,0.64638,1,1,0.66603,1,1,0.71043,1,1,0.71043,1,1,0.53825,0,0,0.71043,1,1,0.68784,1,1,0.76843,1,1,0.71043,1,1
4,dart,611,0.67666,0,0,0.73151,0,0,0.70501,0,0,0.53934,0,0,0.66454,0,0,0.6551,0,0,0.66704,1,1,0.6551,0,0,0.55344,0,0,0.69027,0,0
5,dart,564,0.83087,1,1,0.81242,1,1,0.7846,1,1,0.80213,1,1,0.781,1,1,0.80509,1,1,0.79279,1,1,0.80186,1,1,0.79852,1,1,0.80986,1,1
6,dart,852,0.69328,1,0,0.66997,1,0,0.66225,1,0,0.6442,1,0,0.61134,0,0,0.65748,1,0,0.69213,1,0,0.64762,1,0,0.63993,1,0,0.66606,1,0
7,dart,547,0.74185,1,1,0.61345,1,1,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.55806,1,0,0.59344,1,1,0.74185,1,1,0.74185,1,1
8,dart,598,0.65276,1,0,0.60174,1,0,0.64384,1,0,0.64556,1,0,0.70183,1,0,0.60312,1,0,0.59862,1,0,0.60748,1,0,0.61985,1,0,0.60155,1,0
9,dart,807,0.66705,1,1,0.65379,0,0,0.65379,0,0,0.65379,0,0,0.65379,0,0,0.6582,0,0,0.67255,1,1,0.6366,0,0,0.65379,0,0,0.65379,0,0
10,dart,798,0.59396,1,0,0.58894,1,0,0.61713,1,0,0.50024,1,0,0.54528,1,0,0.64058,1,0,0.57869,1,0,0.5016,1,0,0.60084,1,0,0.61359,1,0
11,dart,629,0.61094,1,0,0.69622,1,0,0.62904,1,0,0.60021,1,0,0.63351,1,0,0.67984,0,0,0.65029,1,0,0.61869,1,0,0.62446,1,1,0.68083,1,1
12,dart,534,0.69686,1,1,0.66168,1,0,0.69686,1,1,0.64135,1,1,0.70739,1,1,0.69686,1,1,0.70739,1,1,0.71433,1,1,0.72609,1,1,0.69686,1,1
13,dart,491,0.74398,1,1,0.69041,1,1,0.74398,1,1,0.69041,1,1,0.74398,1,1,0.74398,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1
14,dart,381,0.76737,1,1,0.71969,1,0,0.73243,1,1,0.80315,1,1,0.71326,1,1,0.77136,1,1,0.75013,1,1,0.73387,1,1,0.78132,1,0,0.75134,1,1
15,dart,542,0.57577,1,0,0.506,1,0,0.52126,1,0,0.44474,1,0,0.52127,1,0,0.49684,1,0,0.48912,1,0,0.44404,1,0,0.42602,1,0,0.50683,1,0
16,dart,319,0.59537,1,0,0.50773,1,0,0.59837,1,0,0.5158,1,0,0.59537,1,0,0.5158,1,0,0.59537,1,0,0.5158,1,0,0.6113,1,0,0.5158,1,0
17,dart,636,0.51465,1,0,0.34946,1,0,0.36335,0,0,0.46319,0,0,0.48366,0,0,0.49718,1,0,0.39809,0,0,0.40697,0,0,0.3949,1,0,0.39158,0,0
18,dart,486,0.71042,1,1,0.71042,1,1,0.6053,1,1,0.71685,1,1,0.6053,1,1,0.71042,1,1,0.59073,1,1,0.60033,1,1,0.65677,1,0,0.65789,1,0
19,dart,702,0.73544,1,0,0.62291,1,0,0.73787,1,0,0.73849,1,0,0.73615,1,0,0.73787,1,0,0.73544,1,0,0.73787,1,0,0.73787,1,0,0.44881,1,0
20,dart,1013,0.67638,1,0,0.56506,1,0,0.62091,1,0,0.67217,0,0,0.6876,1,0,0.65207,0,0,0.66306,1,0,0.66571,0,0,0.68247,1,0,0.63628,1,0
21,dart,701,0.6539,0,0,0.6538,0,0,0.65584,0,0,0.73796,1,1,0.65048,0,0,0.73139,1,1,0.65048,0,0,0.73587,1,1,0.73408,1,1,0.65048,0,0
22,dart,917,0.5908,1,1,0.62487,0,0,0.6468,0,0,0.75002,1,1,0.75002,1,1,0.75002,1,1,0.75002,1,1,0.5908,1,1,0.5908,1,1,0.5908,1,1
24,dart,420,0.61639,1,0,0.58012,0,0,0.5966,0,0,0.60203,0,0,0.70776,0,0,0.60171,0,0,0.64681,1,1,0.68268,1,1,0.67828,0,0,0.67749,0,0
26,dart,565,0.53884,1,0,0.53884,1,0,0.59315,1,0,0.61273,1,0,0.54002,1,0,0.60298,1,0,0.53884,1,0,0.61273,1,0,0.61268,1,0,0.54883,1,0
27,dart,753,0.73801,1,0,0.72915,0,0,0.73801,1,0,0.77458,1,1,0.74104,1,1,0.72915,0,0,0.72915,0,0,0.74119,1,1,0.72714,0,0,0.73801,1,0
28,dart,373,0.75068,1,1,0.75068,1,1,0.75029,1,1,0.75068,1,1,0.75068,1,1,0.49397,1,0,0.54693,1,1,0.75068,1,1,0.75068,1,1,0.75068,1,1
29,dart,671,0.57476,1,1,0.60152,1,1,0.73936,1,1,0.73936,1,1,0.60152,1,1,0.60152,1,1,0.73936,1,1,0.60152,1,1,0.60152,1,1,0.73936,1,1
30,dart,329,0.75442,1,1,0.58836,1,1,0.7495,1,1,0.75442,1,1,0.75442,1,1,0.58836,1,1,0.58836,1,1,0.75442,1,1,0.58836,1,1,0.58836,1,1
31,dart,502,0.59382,1,1,0.6498,1,1,0.6498,1,1,0.6498,1,1,0.64205,1,1,0.70934,1,1,0.64339,1,1,0.6498,1,1,0.64339,1,1,0.70922,1,1
33,dart,616,0.4356,1,0,0.71169,1,0,0.39571,1,0,0.66457,1,0,0.44548,1,0,0.66587,1,0,0.67918,1,0,0.71781,1,0,0.6667,0,0,0.73224,1,0
34,dart,643,0.5309,1,0,0.51653,1,0,0.55631,1,0,0.54072,1,0,0.54443,1,0,0.56563,1,0,0.55631,1,0,0.55479,1,0,0.56766,1,0,0.55631,1,0
