problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.69187,0,0,0.70068,0,0,0.64928,0,0,0.70068,0,0,0.6663,0,0,0.69628,0,0,0.65889,0,0,0.68621,0,0,0.69551,0,0,0.70797,0,0
1,dart,1184,0.70807,1,0,0.71737,1,0,0.69376,1,0,0.62998,1,1,0.68928,1,0,0.64775,0,0,0.67061,1,0,0.69,1,0,0.65879,1,0,0.70358,1,1
2,dart,301,0.58019,1,0,0.58019,1,0,0.58019,1,0,0.58019,1,0,0.58019,1,0,0.58019,1,0,0.58019,1,0,0.25,0,0,0.56111,1,0,0.58019,1,0
3,dart,471,0.71043,1,1,0.67863,1,0,0.66467,1,1,0.71043,1,1,0.69556,1,1,0.66028,1,0,0.66223,1,1,0.65555,1,0,0.66994,1,1,0.68065,1,0
4,dart,611,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.60079,0,0,0.5441,0,0,0.48857,0,0,0.5441,0,0,0.5441,0,0,0.66454,0,0,0.69027,0,0
5,dart,564,0.7959,1,1,0.769,0,0,0.82044,1,1,0.80785,1,1,0.76633,1,1,0.83087,1,1,0.77432,1,1,0.74268,1,1,0.7959,1,1,0.80186,1,1
6,dart,852,0.61339,1,0,0.63184,1,0,0.61547,1,0,0.645,1,0,0.64112,1,0,0.53408,1,0,0.662,1,0,0.66172,1,0,0.64586,1,0,0.66192,1,0
7,dart,547,0.56907,1,0,0.57801,1,0,0.25,0,0,0.566,1,1,0.74185,1,1,0.74185,1,1,0.61345,1,1,0.74185,1,1,0.25,0,0,0.57352,1,1
8,dart,598,0.70183,1,0,0.6962,1,0,0.63116,1,0,0.70232,1,0,0.6469,1,0,0.67092,1,0,0.62785,1,0,0.70183,1,0,0.58145,1,0,0.73396,1,0
9,dart,807,0.65379,0,0,0.70398,0,0,0.65379,0,0,0.66088,0,0,0.69654,0,0,0.65379,0,0,0.6406,0,0,0.65379,0,0,0.65379,0,0,0.65379,0,0
10,dart,798,0.62336,1,0,0.27411,1,0,0.60794,1,0,0.61879,1,0,0.61985,1,0,0.6285,1,0,0.53223,0,0,0.63274,1,0,0.59888,1,0,0.57715,1,0
11,dart,629,0.671,0,0,0.67463,1,0,0.76823,0,0,0.40781,1,1,0.64132,1,0,0.66502,1,0,0.66136,1,1,0.59024,1,1,0.63934,0,0,0.67384,1,1
12,dart,534,0.71433,1,1,0.69863,1,1,0.69058,1,1,0.71433,1,1,0.70378,1,1,0.72609,1,1,0.67062,1,1,0.71433,1,1,0.71433,1,1,0.66562,1,1
13,dart,491,0.74398,1,1,0.69041,1,1,0.69041,1,1,0.74398,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.67681,1,1,0.69041,1,1,0.74398,1,1
14,dart,381,0.79101,1,1,0.71326,1,1,0.69397,1,0,0.71288,1,0,0.71326,1,1,0.71326,1,1,0.79101,1,1,0.73243,1,1,0.71331,1,1,0.76651,1,1
15,dart,542,0.5167,1,0,0.49544,1,0,0.43847,1,0,0.53643,1,0,0.52235,1,0,0.50709,1,0,0.49095,1,0,0.548,1,0,0.49387,1,0,0.16293,0,0
16,dart,319,0.44761,1,0,0.43959,1,0,0.55883,1,0,0.50352,1,0,0.49102,1,0,0.46675,1,0,0.43108,0,0,0.46067,1,0,0.48751,1,0,0.58185,1,0
17,dart,636,0.44433,0,0,0.50544,1,0,0.4611,1,0,0.25,0,0,0.51935,0,0,0.39179,0,0,0.50589,0,0,0.38131,0,0,0.25,0,0,0.47052,1,0
18,dart,486,0.59747,1,1,0.65661,1,1,0.60764,1,1,0.69417,1,1,0.6341,1,0,0.6579,1,1,0.59747,1,1,0.69106,1,1,0.67632,1,1,0.60764,1,1
19,dart,702,0.53626,1,0,0.50363,1,0,0.55127,1,0,0.63522,1,0,0.67626,1,0,0.60578,1,0,0.70386,1,0,0.70225,1,0,0.51863,1,0,0.65726,1,0
20,dart,1013,0.65328,0,0,0.65093,1,0,0.68806,0,0,0.69616,0,0,0.55782,0,0,0.55924,0,0,0.65334,1,0,0.39369,1,0,0.58649,0,0,0.5739,1,0
