problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.69187,0,0,0.6806,0,0,0.66417,0,0,0.65868,0,0,0.67282,0,0,0.64733,1,0,0.68175,0,0,0.61059,1,0,0.67847,0,0,0.67213,0,0
1,dart,1184,0.67317,1,0,0.67986,1,0,0.67403,1,0,0.65055,1,0,0.62304,1,0,0.6847,1,0,0.66518,1,0,0.67115,1,0,0.67496,1,0,0.64325,1,0
2,dart,301,0.58019,1,0,0.56056,1,0,0.61065,1,0,0.70214,0,0,0.58019,1,0,0.71786,0,0,0.60296,1,0,0.59472,1,0,0.71786,0,0,0.71786,1,0
3,dart,471,0.66994,1,1,0.71043,1,1,0.71043,1,1,0.67425,1,1,0.67323,1,1,0.76843,1,1,0.71043,1,1,0.71043,1,1,0.71043,1,1,0.66603,1,1
4,dart,611,0.67666,0,0,0.55344,0,0,0.6876,0,0,0.5441,0,0,0.5441,0,0,0.72031,1,1,0.5441,0,0,0.53393,0,0,0.5441,0,0,0.5441,0,0
5,dart,564,0.80213,1,1,0.78237,1,1,0.79869,1,1,0.7959,1,1,0.80785,1,1,0.80213,1,1,0.7959,1,1,0.80186,1,1,0.79852,1,1,0.78237,1,1
6,dart,852,0.65705,1,0,0.63339,1,0,0.65098,1,0,0.63223,0,0,0.662,1,0,0.62678,1,0,0.65116,1,0,0.65633,1,0,0.63876,1,0,0.67314,1,0
7,dart,547,0.61345,1,1,0.61345,1,1,0.57801,1,0,0.61345,1,1,0.57801,1,0,0.74185,1,1,0.74185,1,1,0.61345,1,1,0.74185,1,1,0.74185,1,1
8,dart,598,0.62966,1,0,0.70183,1,0,0.70183,1,0,0.70183,1,0,0.66368,1,0,0.65753,1,0,0.64872,1,0,0.72613,1,0,0.61025,1,0,0.66194,1,0
9,dart,807,0.63708,1,1,0.65379,0,0,0.65917,0,0,0.66705,1,1,0.6659,0,0,0.65379,0,0,0.65379,0,0,0.65379,0,0,0.65379,0,0,0.66088,0,0
10,dart,798,0.50533,1,0,0.62336,1,0,0.60528,1,0,0.62196,1,0,0.6203,1,0,0.54184,1,0,0.51914,1,0,0.57614,1,0,0.55159,1,0,0.61961,1,0
11,dart,629,0.63934,0,0,0.66467,1,0,0.61901,1,0,0.61004,0,0,0.64539,0,0,0.66571,0,0,0.62441,1,0,0.65783,0,0,0.64035,1,1,0.62959,1,0
12,dart,534,0.71433,1,1,0.71433,1,1,0.71433,1,1,0.71433,1,1,0.64618,1,1,0.65072,1,1,0.65072,1,1,0.71433,1,1,0.65072,1,1,0.69863,1,1
13,dart,491,0.69041,1,1,0.74398,1,1,0.74398,1,1,0.69041,1,1,0.74398,1,1,0.69041,1,1,0.74398,1,1,0.69041,1,1,0.74398,1,1,0.73005,1,1
14,dart,381,0.73512,1,1,0.74743,1,1,0.82875,1,1,0.69036,1,1,0.71687,1,1,0.71623,1,1,0.80118,1,1,0.73143,1,1,0.78344,1,1,0.70736,1,1
15,dart,542,0.53168,1,0,0.53145,1,0,0.50053,0,0,0.42895,1,0,0.41146,1,0,0.49464,1,0,0.53759,1,0,0.42723,1,0,0.4876,1,0,0.43198,1,0
16,dart,319,0.51014,1,0,0.61076,1,0,0.4968,1,0,0.47427,1,0,0.53766,1,0,0.50417,1,0,0.32312,0,0,0.4968,1,0,0.51866,1,0,0.49188,1,0
17,dart,636,0.43343,0,0,0.41694,1,0,0.46613,1,0,0.42734,0,0,0.40284,1,0,0.4165,0,0,0.52843,0,0,0.49329,0,0,0.41768,0,0,0.46809,0,0
18,dart,486,0.57563,1,1,0.71042,1,1,0.62873,1,0,0.689,1,1,0.64153,1,0,0.56573,1,1,0.56228,1,1,0.6053,1,1,0.67093,1,1,0.71042,1,1
19,dart,702,0.61453,1,0,0.44891,1,0,0.49703,1,0,0.44804,1,0,0.70225,1,0,0.52468,1,0,0.63358,1,0,0.51466,1,0,0.64418,1,0,0.61241,1,0
20,dart,1013,0.69871,1,0,0.66234,1,0,0.70828,0,0,0.57495,1,0,0.67625,1,0,0.65874,1,0,0.6472,1,0,0.67882,1,0,0.65377,0,0,0.67061,1,0
21,dart,701,0.73657,1,1,0.6719,0,0,0.65492,0,0,0.64294,0,0,0.64351,0,0,0.6538,0,0,0.59202,0,0,0.63971,0,0,0.606,0,0,0.63682,1,1
