problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.64706,1,0,0.69612,1,0,0.70718,1,0,0.70257,1,0,0.6705,1,0,0.6705,1,0,0.66432,1,1,0.6705,1,0,0.67161,1,0,0.70718,1,0
1,dart,1184,0.38572,0,0,0.39224,0,0,0.34481,0,0,0.67492,1,1,0.67529,1,0,0.69153,1,0,0.66597,1,0,0.33709,0,0,0.14962,0,0,0.3317,0,0
2,dart,301,0.59472,1,0,0.60754,1,0,0.56056,1,0,0.60754,1,0,0.60754,1,0,0.59472,1,0,0.60754,0,0,0.60754,1,0,0.59472,1,0,0.60754,0,0
3,dart,471,0.69556,1,1,0.69556,1,1,0.63282,1,1,0.69556,1,1,0.71043,1,1,0.71043,1,1,0.71043,1,1,0.71043,1,1,0.69556,1,1,0.69556,1,1
4,dart,611,0.50487,0,0,0.5441,0,0,0.16475,0,0,0.5441,0,0,0.5441,0,0,0.39627,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0
5,dart,564,0.78237,1,1,0.74472,1,1,0.78237,1,1,0.78237,1,1,0.74472,1,1,0.78237,1,1,0.7846,1,1,0.77432,1,1,0.76139,1,1,0.78546,1,1
6,dart,852,0.6989,1,0,0.04944,0,0,0.55005,0,0,0.66818,1,0,0.30672,0,0,0.62891,1,0,0.65412,0,0,0.68037,1,0,0.56701,0,0,0.33037,0,0
7,dart,547,0.57801,1,0,0.59092,1,1,0.4158,0,0,0.58151,1,1,0.43206,0,0,0.54343,0,0,0.57801,1,1,0.57801,0,0,0.46935,0,0,0.41723,0,0
8,dart,598,0.66235,1,0,0.69266,1,0,0.68804,1,0,0.68804,1,0,0.68363,0,0,0.63347,0,0,0.67539,1,0,0.66651,1,0,0.65844,1,0,0.68578,1,0
9,dart,807,0.67885,1,1,0.67885,1,1,0.65379,0,0,0.67885,1,1,0.67885,1,1,0.67885,1,1,0.67885,1,1,0.67885,1,1,0.67885,1,1,0.67885,1,1
10,dart,798,0.54814,1,0,0.54443,1,0,0.54334,1,0,0.44712,0,0,0.36948,0,0,0.38974,0,0,0.55727,1,0,0.64155,0,0,0.28617,0,0,0.16041,0,0
11,dart,629,0.59357,0,0,0.30882,0,0,0.36732,0,0,0.61851,1,0,0.5909,1,0,0.62591,1,0,0.28781,0,0,0.17727,0,0,0.60086,1,0,0.63956,1,0
12,dart,534,0.70739,1,1,0.66417,1,1,0.63389,1,1,0.67305,1,1,0.6477,1,1,0.63389,1,1,0.70739,1,1,0.67305,1,1,0.64135,1,1,0.70739,1,1
13,dart,491,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1
14,dart,381,0.74647,1,1,0.76941,1,1,0.4173,0,0,0.76763,1,1,0.76941,1,1,0.39811,0,0,0.74795,1,0,0.74795,1,0,0.19934,0,0,0.74795,1,0
15,dart,542,0.33982,0,0,0.27206,0,0,0.46884,0,0,0.5452,1,0,0.36986,0,0,0.46014,1,0,0.49506,0,0,0.44004,0,0,0.48656,0,0,0.3487,0,0
16,dart,319,0.53218,1,0,0.48279,1,0,0.50436,1,0,0.51866,1,0,0.60519,1,0,0.49842,1,0,0.49842,1,0,0.46945,1,0,0.49842,1,0,0.34939,0,0
17,dart,636,0.35481,0,0,0.48121,1,0,0.46319,1,0,0.49681,0,0,0.474,0,0,0.42243,0,0,0.36111,0,0,0.30417,0,0,0.34417,0,0,0.60202,1,0
18,dart,486,0.05377,0,0,0.59691,1,1,0.67632,1,1,0.59691,1,1,0.55969,0,0,0.28615,0,0,0.58112,1,1,0.36105,0,0,0.59691,1,1,0.31922,0,0
19,dart,702,0.55022,0,0,0.45574,0,0,0.53524,0,0,0.46725,0,0,0.48786,0,0,0.63132,1,0,0.29745,0,0,0.55284,0,0,0.5033,0,0,0.67441,1,0
20,dart,1013,0.65277,0,0,0.67584,1,0,0.52114,0,0,0.64677,1,0,0.40586,0,0,0.64178,0,0,0.63729,1,0,0.60243,0,0,0.62942,0,0,0.65548,1,0
21,dart,701,0.18733,0,0,0.39908,0,0,0.60174,0,0,0.39214,0,0,0.6498,0,0,0.53648,1,1,0.48891,0,0,0.70904,1,1,0.42725,0,0,0.73376,1,1
22,dart,917,0.5908,1,1,0.61186,1,1,0.41463,0,0,0.5908,1,1,0.5908,1,1,0.61186,1,1,0.5908,1,1,0.57275,1,1,0.42925,0,0,0.55672,1,1
24,dart,420,0.17472,0,0,0.65405,1,0,0.69315,1,0,0.04055,0,0,0.65951,1,0,0.68357,1,0,0.69315,1,0,0.68665,1,0,0.69315,1,0,0.69315,1,0
26,dart,565,0.59456,1,0,0.63783,1,0,0.61517,1,0,0.53741,1,0,0.60298,1,0,0.61273,1,0,0.6206,1,0,0.6206,1,0,0.60298,1,0,0.59456,1,0
27,dart,753,0.58515,0,0,0.58515,0,0,0.58515,0,0,0.58515,0,0,0.58515,0,0,0.58515,0,0,0.58515,0,0,0.69693,1,1,0.62725,1,1,0.60028,1,1
28,dart,373,0.50764,1,1,0.50764,1,1,0.50764,1,1,0.50764,1,1,0.50273,1,1,0.53222,1,1,0.43982,0,0,0.50764,1,1,0.55695,1,1,0.45481,1,1
29,dart,671,0.41504,0,0,0.36793,0,0,0.34482,0,0,0.57719,1,1,0.5655,1,0,0.3967,0,0,0.41551,0,0,0.45628,0,0,0.4619,0,0,0.55494,0,0
30,dart,329,0.56068,1,1,0.54265,1,1,0.54265,1,1,0.54265,1,1,0.54265,1,1,0.55757,1,1,0.54265,1,1,0.54265,1,1,0.54265,1,1,0.56068,1,1
31,dart,502,0.64339,1,1,0.61004,1,1,0.64339,1,1,0.6498,1,1,0.64339,1,1,0.61004,1,1,0.6498,1,1,0.64339,1,1,0.61004,1,1,0.64339,1,1
33,dart,616,0.70473,1,1,0.39073,0,0,0.66291,1,0,0.63322,1,0,0.56427,1,0,0.65046,1,0,0.66652,1,0,0.6625,1,0,0.61559,1,0,0.60911,1,0
34,dart,643,0.55554,1,0,0.57479,1,0,0.55885,1,0,0.56552,1,0,0.5627,1,0,0.38064,0,0,0.50962,1,0,0.54189,1,0,0.54189,1,0,0.56552,1,0
35,dart,346,0.58503,1,1,0.58503,1,1,0.58432,1,1,0.58503,1,1,0.58503,1,1,0.58503,1,1,0.58503,1,1,0.58503,1,1,0.58432,1,1,0.58503,1,1
36,dart,448,0.63765,1,0,0.6243,1,0,0.6952,1,0,0.68299,1,0,0.63555,1,0,0.63765,1,0,0.6243,1,0,0.63765,1,0,0.69386,1,0,0.63765,1,0
37,dart,579,0.63733,1,0,0.73921,1,0,0.73921,1,0,0.67167,1,0,0.67314,1,0,0.69027,1,0,0.66658,1,0,0.74402,1,0,0.74402,1,0,0.75083,1,0
