problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.66727,0,0,0.67834,0,0,0.67834,0,0,0.67834,0,0,0.67834,0,0,0.66727,0,0,0.69338,0,0,0.65371,1,0,0.66428,1,0,0.6611,0,0
1,dart,1184,0.64001,1,0,0.65703,1,0,0.57752,1,0,0.62308,1,0,0.67422,1,0,0.67616,1,0,0.70513,1,0,0.64697,1,0,0.65008,1,0,0.69888,1,0
2,dart,301,0.55407,1,0,0.58188,0,0,0.56578,1,0,0.65341,0,0,0.51345,0,0,0.60754,1,0,0.54673,1,0,0.57016,0,0,0.61587,0,0,0.5637,1,0
3,dart,471,0.52846,0,0,0.41981,0,0,0.38192,0,0,0.49845,0,0,0.44267,0,0,0.44371,0,0,0.47442,0,0,0.50889,0,0,0.3423,0,0,0.34332,0,0
4,dart,611,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0
5,dart,564,0.73573,1,1,0.73565,1,1,0.71518,1,1,0.75253,1,1,0.63892,1,0,0.71769,1,1,0.72668,1,1,0.73573,1,1,0.75911,1,1,0.73573,1,1
6,dart,852,0.64002,1,0,0.65037,1,0,0.66377,1,0,0.6485,1,0,0.61734,1,0,0.61088,0,0,0.59,1,0,0.66418,1,0,0.65497,1,0,0.65615,1,0
7,dart,547,0.5611,1,1,0.5074,1,1,0.41629,1,1,0.55461,1,1,0.53603,0,0,0.55383,0,0,0.53714,1,1,0.5173,0,0,0.5611,1,1,0.55423,1,1
8,dart,598,0.64878,1,0,0.64878,1,0,0.42671,0,0,0.53973,0,0,0.53504,0,0,0.64625,1,0,0.64989,0,0,0.65873,1,0,0.57873,1,0,0.66606,1,0
9,dart,807,0.67756,1,1,0.63011,0,0,0.59683,1,1,0.67056,0,0,0.62371,0,0,0.67587,0,0,0.6218,0,0,0.61001,0,0,0.6275,0,0,0.65978,1,1
10,dart,798,0.27147,1,0,0.5959,1,0,0.27062,1,0,0.59188,1,0,0.60157,1,0,0.55689,1,0,0.31788,0,0,0.51518,1,0,0.53505,1,0,0.59265,1,0
11,dart,629,0.59993,1,0,0.5421,0,0,0.64854,0,0,0.57955,1,0,0.63119,0,0,0.65742,0,0,0.60879,1,0,0.61513,1,0,0.60086,1,0,0.68538,1,0
