problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.67834,0,0,0.67834,0,0,0.67834,0,0,0.67834,0,0,0.67834,0,0,0.67834,0,0,0.67834,0,0,0.67834,0,0,0.67834,0,0,0.67834,0,0
1,dart,1184,0.63214,1,0,0.66597,1,0,0.67422,1,0,0.67481,1,0,0.63579,1,0,0.63628,1,0,0.64883,1,0,0.66597,1,0,0.64531,1,0,0.61508,1,0
2,dart,301,0.60754,1,0,0.54925,0,0,0.56936,0,0,0.60754,1,0,0.60754,1,0,0.55232,0,0,0.50041,0,0,0.60754,1,0,0.60699,0,0,0.60754,1,0
3,dart,471,0.57826,0,0,0.5939,0,0,0.58201,0,0,0.54078,0,0,0.45125,0,0,0.53725,0,0,0.47339,0,0,0.53162,0,0,0.55097,0,0,0.56983,0,0
4,dart,611,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0
5,dart,564,0.75253,1,1,0.70529,1,1,0.62967,1,1,0.71769,1,1,0.73573,1,1,0.71518,1,1,0.62821,1,1,0.70529,1,1,0.76682,1,1,0.73573,1,1
6,dart,852,0.63799,1,0,0.64807,1,0,0.66681,1,0,0.66744,1,0,0.65613,1,0,0.65603,1,0,0.67723,1,0,0.65603,1,0,0.66535,1,0,0.60057,1,0
7,dart,547,0.5646,0,0,0.55461,1,1,0.57173,1,1,0.51689,1,1,0.59854,1,0,0.55358,1,1,0.59092,1,1,0.59913,1,1,0.59854,1,0,0.59854,1,0
8,dart,598,0.61311,0,0,0.66335,1,0,0.60786,1,0,0.67462,1,0,0.66358,1,0,0.63687,1,0,0.66253,1,0,0.65371,1,0,0.60786,1,0,0.67162,1,0
9,dart,807,0.60824,1,1,0.60824,1,1,0.59828,1,1,0.6275,0,0,0.64428,1,1,0.59828,1,1,0.63424,0,0,0.6275,0,0,0.60328,1,1,0.6275,0,0
10,dart,798,0.53043,0,0,0.37845,0,0,0.25335,1,0,0.43858,0,0,0.52243,1,0,0.50457,1,0,0.32142,1,0,0.27734,0,0,0.52721,1,0,0.35378,1,0
