problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.68578,0,0,0.67847,0,0,0.65773,0,0,0.6796,0,0,0.6281,0,0,0.68756,0,0,0.66769,0,0,0.67213,0,0,0.674,0,0,0.64053,1,0
1,dart,1184,0.64632,1,0,0.6876,1,0,0.70254,1,0,0.70269,1,0,0.721,1,0,0.7006,1,0,0.70305,1,0,0.68365,1,1,0.70048,1,0,0.66474,1,0
2,dart,301,0.64661,1,0,0.71786,0,0,0.58019,1,0,0.71786,1,0,0.64661,1,0,0.54391,1,0,0.71786,1,0,0.58019,1,0,0.71786,1,0,0.65659,1,0
3,dart,471,0.71043,1,1,0.71043,1,1,0.71043,1,1,0.76843,1,1,0.71043,1,1,0.66928,1,1,0.65815,1,0,0.67863,1,0,0.64282,1,0,0.71043,1,1
4,dart,611,0.71672,0,0,0.51157,0,0,0.5441,0,0,0.66454,0,0,0.53714,0,0,0.66392,0,0,0.5441,0,0,0.5441,0,0,0.56016,0,0,0.52702,0,0
5,dart,564,0.79149,1,1,0.79149,1,1,0.79149,1,1,0.769,0,0,0.80152,1,1,0.77432,1,1,0.80213,1,1,0.78275,1,1,0.769,0,0,0.81187,1,0
6,dart,852,0.61093,1,0,0.65339,1,0,0.61492,1,0,0.62961,1,0,0.62403,1,0,0.65591,1,0,0.68653,1,0,0.60876,1,0,0.64682,1,0,0.63875,1,0
7,dart,547,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.74185,1,1,0.57801,1,0,0.74185,1,1,0.74185,1,1
8,dart,598,0.66368,1,0,0.70183,1,0,0.70183,1,0,0.64492,1,0,0.66368,1,0,0.72975,1,0,0.70183,1,0,0.66368,1,0,0.66368,1,0,0.70183,1,0
9,dart,807,0.65054,1,0,0.67255,1,1,0.66088,0,0,0.66705,1,1,0.62767,1,1,0.70548,0,0,0.66088,0,0,0.65379,0,0,0.69654,0,0,0.63441,1,1
10,dart,798,0.59004,1,0,0.58111,1,0,0.62129,1,0,0.59775,1,0,0.58894,1,0,0.62283,1,0,0.58672,1,0,0.5823,1,0,0.47665,1,0,0.58894,1,0
11,dart,629,0.64389,1,0,0.63036,0,0,0.69367,0,0,0.5797,0,0,0.63827,0,0,0.68681,0,0,0.6823,0,0,0.63953,0,0,0.64754,1,0,0.6486,1,1
12,dart,534,0.71433,1,1,0.61955,1,0,0.67305,1,1,0.71433,1,1,0.70739,1,1,0.70739,1,1,0.70739,1,1,0.69686,1,1,0.71433,1,1,0.67738,1,1
13,dart,491,0.69041,1,1,0.69041,1,1,0.69112,1,1,0.60016,1,1,0.69041,1,1,0.69112,1,1,0.74398,1,1,0.69041,1,1,0.69041,1,1,0.69041,1,1
14,dart,381,0.74743,1,1,0.75013,1,1,0.80705,1,1,0.72582,1,1,0.81314,1,1,0.76316,1,1,0.74116,1,0,0.74074,1,1,0.72582,1,1,0.68265,1,1
15,dart,542,0.44019,1,0,0.4316,1,0,0.45017,1,0,0.55399,1,0,0.53582,1,0,0.4886,1,0,0.44064,1,0,0.50695,1,0,0.51918,1,0,0.43317,1,0
16,dart,319,0.5158,1,0,0.49609,1,0,0.5158,1,0,0.49091,1,0,0.5158,1,0,0.59537,1,0,0.48716,1,0,0.56608,1,0,0.59537,1,0,0.52346,1,0
17,dart,636,0.55451,1,0,0.39429,1,0,0.33162,0,0,0.51544,1,0,0.46479,1,0,0.38767,1,0,0.4642,1,0,0.45126,0,0,0.42434,1,0,0.40125,0,0
18,dart,486,0.60818,1,1,0.71042,1,1,0.60764,1,1,0.65789,1,0,0.66895,1,0,0.71042,1,1,0.58207,1,1,0.67338,1,1,0.65789,1,0,0.60818,1,1
19,dart,702,0.73849,1,0,0.73849,1,0,0.63407,1,0,0.56977,1,0,0.73615,1,0,0.56238,1,0,0.50428,1,0,0.72723,1,0,0.50018,1,0,0.50195,0,0
20,dart,1013,0.7121,0,0,0.50547,0,0,0.68384,0,0,0.65726,1,0,0.63384,0,0,0.69582,0,0,0.62304,0,0,0.63717,0,0,0.64246,0,0,0.65889,0,0
21,dart,701,0.67646,0,0,0.65048,0,0,0.73408,1,1,0.72598,1,1,0.73587,1,1,0.73408,1,1,0.6719,0,0,0.65583,0,0,0.65583,0,0,0.7305,1,1
22,dart,917,0.53212,1,1,0.54791,1,1,0.55672,1,1,0.59743,1,1,0.6468,0,0,0.55672,1,1,0.54674,1,1,0.5908,1,1,0.55672,1,1,0.5908,1,1
24,dart,420,0.58603,0,0,0.5782,1,1,0.68332,1,1,0.74134,1,1,0.62773,1,1,0.70776,0,0,0.66156,1,1,0.59652,0,0,0.62759,0,0,0.61595,0,0
26,dart,565,0.61273,1,0,0.67505,1,0,0.61273,1,0,0.61273,1,0,0.61273,1,0,0.60326,1,0,0.61169,1,0,0.67505,1,0,0.5335,1,0,0.53493,1,0
27,dart,753,0.626,0,0,0.73801,1,0,0.73861,0,0,0.58066,1,1,0.72714,0,0,0.74104,1,1,0.58384,1,1,0.68947,1,0,0.68947,1,0,0.73801,1,0
28,dart,373,0.50764,1,1,0.75068,1,1,0.49212,1,0,0.75068,1,1,0.50764,1,1,0.5422,1,1,0.50578,1,1,0.49397,1,0,0.53505,1,1,0.75068,1,1
29,dart,671,0.60152,1,1,0.60152,1,1,0.73936,1,1,0.60152,1,1,0.57719,1,1,0.57183,1,1,0.60152,1,1,0.57476,1,1,0.73936,1,1,0.60152,1,1
30,dart,329,0.58836,1,1,0.53921,1,1,0.58836,1,1,0.58836,1,1,0.58836,1,1,0.58836,1,1,0.77148,1,1,0.56068,1,1,0.58836,1,1,0.58836,1,1
31,dart,502,0.70934,1,1,0.6498,1,1,0.66315,1,1,0.70934,1,1,0.70922,1,1,0.70558,1,1,0.6498,1,1,0.70922,1,1,0.70922,1,1,0.70934,1,1
33,dart,616,0.70709,1,0,0.37818,1,0,0.71483,1,0,0.5399,0,0,0.32816,1,0,0.72771,1,0,0.70569,1,0,0.70631,1,0,0.68012,1,0,0.54683,1,0
34,dart,643,0.51176,1,0,0.55963,1,0,0.50936,1,0,0.55631,1,0,0.59503,1,0,0.50479,1,0,0.51252,1,0,0.59503,1,0,0.59503,1,0,0.53273,1,0
35,dart,346,0.58294,1,1,0.60388,1,1,0.65488,1,1,0.59651,1,1,0.58294,1,1,0.60908,1,1,0.59721,1,1,0.591,0,0,0.60388,1,1,0.56997,0,0
