problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass
0,dart,687,0.70068,0,0,0.68697,0,0,0.70561,1,0,0.69187,0,0,0.70015,0,0,0.68486,0,0,0.69576,1,1,0.6796,0,0,0.68993,0,0,0.66804,0,0
1,dart,1184,0.65088,1,0,0.63792,1,0,0.25,0,0,0.68267,1,0,0.25,0,0,0.63258,1,0,0.25,0,0,0.6821,1,0,0.25,0,0,0.69177,1,0
2,dart,301,0.49666,0,0,0.58019,1,0,0.71786,0,0,0.696,1,0,0.58019,1,0,0.58019,1,0,0.65947,1,0,0.58019,1,0,0.58019,1,0,0.58019,1,0
3,dart,471,0.7394,1,1,0.7245,1,0,0.71043,1,1,0.71043,1,1,0.67863,1,0,0.66994,1,1,0.66603,1,1,0.69556,1,1,0.25,0,0,0.64166,1,0
4,dart,611,0.5386,0,0,0.63691,0,0,0.5441,0,0,0.55344,0,0,0.5033,0,0,0.5441,0,0,0.53716,0,0,0.5441,0,0,0.5441,0,0,0.5441,0,0
5,dart,564,0.77011,1,1,0.75911,1,1,0.739,1,1,0.70061,0,0,0.73614,1,0,0.76122,1,1,0.77011,1,1,0.69532,1,0,0.75911,1,1,0.77062,1,1
6,dart,852,0.56286,1,0,0.63324,1,0,0.58853,0,0,0.65864,1,0,0.69324,1,0,0.63224,0,0,0.64142,1,0,0.64361,1,0,0.63736,0,0,0.64154,0,0
7,dart,547,0.57801,1,1,0.59092,1,1,0.59092,1,1,0.61345,1,1,0.57801,1,0,0.59092,1,1,0.57801,1,0,0.61345,1,1,0.57801,1,1,0.57173,1,1
8,dart,598,0.67539,1,0,0.71314,1,0,0.25,0,0,0.73439,1,0,0.67539,1,0,0.61009,1,0,0.68864,1,0,0.69849,1,0,0.63137,1,0,0.66733,1,0
9,dart,807,0.6376,1,1,0.64056,1,0,0.67255,1,1,0.65254,1,1,0.67255,1,1,0.25,0,0,0.66026,1,1,0.66338,1,1,0.67776,0,0,0.64281,1,0
10,dart,798,0.58386,1,0,0.59559,1,0,0.28086,1,0,0.64111,1,0,0.60972,1,0,0.62283,1,0,0.61033,1,0,0.61107,1,0,0.61249,1,0,0.58894,1,0
11,dart,629,0.6844,1,0,0.63188,0,0,0.62253,0,0,0.68808,1,0,0.63541,1,0,0.63541,1,0,0.53397,0,0,0.58327,1,0,0.6106,1,0,0.25,0,0
12,dart,534,0.70739,1,1,0.62825,1,1,0.59215,1,0,0.59942,1,1,0.6594,1,1,0.61915,1,1,0.65072,1,1,0.6422,1,1,0.71433,1,1,0.58385,1,1
13,dart,491,0.69112,1,1,0.69112,1,1,0.6836,0,0,0.60016,1,1,0.69112,1,1,0.60016,1,1,0.69041,1,1,0.69041,1,1,0.69112,1,1,0.69041,1,1
14,dart,381,0.72824,1,1,0.82875,1,1,0.25,0,0,0.73243,1,1,0.80705,1,1,0.76789,1,1,0.70992,1,1,0.25,0,0,0.74837,1,1,0.7358,1,1
15,dart,542,0.25,0,0,0.56542,1,0,0.46961,1,0,0.4851,1,0,0.4941,1,0,0.47761,1,0,0.572,0,0,0.47574,1,0,0.44806,1,0,0.25,0,0
16,dart,319,0.25,0,0,0.51407,0,0,0.51816,1,0,0.49562,1,0,0.50924,0,0,0.56728,1,0,0.5158,1,0,0.54639,1,0,0.49842,1,0,0.47153,0,0
17,dart,636,0.25,0,0,0.4492,1,0,0.54366,0,0,0.47093,0,0,0.4546,1,0,0.51159,1,0,0.25,0,0,0.34715,0,0,0.44231,1,0,0.44661,0,0
18,dart,486,0.67632,1,1,0.6053,1,1,0.67632,1,1,0.71042,1,1,0.69106,1,1,0.67632,1,1,0.6328,1,0,0.59236,1,0,0.71042,1,1,0.67338,1,1
19,dart,702,0.48144,0,0,0.5386,1,0,0.44804,1,0,0.25,0,0,0.50441,1,0,0.53607,1,0,0.44682,0,0,0.48047,1,0,0.52103,1,0,0.53992,1,0
20,dart,1013,0.64849,0,0,0.59029,0,0,0.61284,0,0,0.36505,0,0,0.60572,0,0,0.65467,1,0,0.62024,0,0,0.52185,1,0,0.65198,0,0,0.63065,1,0
21,dart,701,0.65048,0,0,0.64455,0,0,0.6538,0,0,0.25,0,0,0.25,0,0,0.66152,0,0,0.65048,0,0,0.65691,0,0,0.65446,0,0,0.65583,0,0
22,dart,917,0.5908,1,1,0.55221,1,1,0.56227,1,1,0.25,0,0,0.55831,1,1,0.5908,1,1,0.52804,1,0,0.55221,1,1,0.5908,1,1,0.55083,1,0
24,dart,420,0.68357,1,0,0.63148,1,0,0.65867,1,0,0.6722,1,0,0.62205,0,0,0.61262,0,0,0.66682,1,0,0.60119,1,1,0.65011,1,0,0.6165,1,0
26,dart,565,0.59315,1,0,0.59385,1,0,0.57807,1,0,0.59726,1,0,0.61395,1,0,0.59899,1,0,0.59456,1,0,0.59899,1,0,0.60793,1,0,0.59378,1,0
27,dart,753,0.73861,0,0,0.74104,1,1,0.73426,0,0,0.55163,0,0,0.65258,1,1,0.73861,0,0,0.73801,1,0,0.73801,1,0,0.72314,0,0,0.73041,1,1
28,dart,373,0.25,0,0,0.50764,1,1,0.25,0,0,0.47015,1,1,0.25,0,0,0.48503,1,0,0.25,0,0,0.25,0,0,0.25,0,0,0.5213,1,1
29,dart,671,0.5655,1,0,0.5655,1,0,0.57719,1,1,0.5655,1,0,0.53708,1,1,0.54212,1,0,0.60152,1,1,0.5655,1,1,0.55781,1,1,0.57719,1,1
30,dart,329,0.25,0,0,0.51287,1,1,0.52609,1,1,0.52701,1,1,0.54265,1,1,0.58836,1,1,0.54902,1,1,0.54265,1,1,0.53736,1,1,0.47609,1,1
31,dart,502,0.6498,1,1,0.70934,1,1,0.70922,1,1,0.61004,1,1,0.59382,1,1,0.64339,1,1,0.70922,1,1,0.71251,1,1,0.70934,1,1,0.70934,1,1
33,dart,616,0.54946,1,0,0.49091,1,0,0.60602,1,0,0.5814,1,0,0.49212,1,0,0.56127,1,0,0.61224,1,0,0.63396,1,0,0.62709,1,0,0.6684,1,0
34,dart,643,0.50365,1,0,0.25,0,0,0.50365,1,0,0.54312,1,0,0.54443,1,0,0.54443,1,0,0.50774,1,0,0.25,0,0,0.49076,1,0,0.25,0,0
35,dart,346,0.58503,1,1,0.58464,0,0,0.59523,0,0,0.56772,0,0,0.58503,1,1,0.60151,1,1,0.6243,0,0,0.65814,0,0,0.58503,1,1,0.6243,0,0
36,dart,448,0.6741,1,0,0.68281,1,0,0.72686,1,0,0.64219,1,0,0.68281,1,0,0.67342,1,0,0.70257,1,0,0.70257,1,0,0.67342,1,0,0.66956,1,0
37,dart,579,0.67955,1,0,0.67181,1,0,0.7126,1,0,0.67176,1,0,0.6974,1,0,0.70501,1,0,0.62636,1,0,0.63613,1,0,0.57211,1,0,0.67687,1,0
39,dart,664,0.63059,1,0,0.64521,1,0,0.64426,1,0,0.69328,1,0,0.61725,0,0,0.67021,1,0,0.25,0,0,0.62735,1,0,0.68316,1,0,0.68763,1,0
40,dart,607,0.64518,1,1,0.68512,1,1,0.67296,1,0,0.41069,1,0,0.66101,1,0,0.64471,1,0,0.66264,1,0,0.68614,1,0,0.66118,1,0,0.39529,1,0
41,dart,422,0.49763,1,0,0.48841,1,0,0.4669,1,0,0.47927,1,0,0.45166,1,0,0.49708,1,0,0.44154,1,0,0.48564,1,0,0.50962,1,0,0.4663,1,0
42,dart,235,0.50398,1,1,0.49886,1,1,0.51417,1,1,0.5382,1,1,0.56297,1,0,0.51231,1,1,0.55694,1,1,0.4624,1,0,0.5547,1,0,0.55031,1,1
43,dart,528,0.6683,1,1,0.73142,1,1,0.6344,1,1,0.71366,1,1,0.71367,1,0,0.62744,1,1,0.68636,1,0,0.58576,1,1,0.61601,1,1,0.60444,1,1
44,dart,347,0.25,0,0,0.53368,1,1,0.46655,0,0,0.60209,0,0,0.25,0,0,0.56986,0,0,0.58866,0,0,0.57699,1,1,0.46976,0,0,0.54084,0,0
45,dart,292,0.25,0,0,0.73902,1,1,0.6387,1,1,0.74432,1,1,0.73902,1,1,0.73902,1,1,0.73902,1,1,0.73902,1,1,0.6387,1,1,0.73902,1,1
46,dart,657,0.60365,1,0,0.56282,1,0,0.60861,1,0,0.60485,1,0,0.59386,1,0,0.60381,1,0,0.57138,1,0,0.56544,0,0,0.59485,1,0,0.62165,1,0
47,dart,429,0.66463,0,0,0.62157,0,0,0.65654,0,0,0.61689,0,0,0.69138,1,0,0.62895,0,0,0.67074,0,0,0.67349,0,0,0.63721,0,0,0.65627,0,0
48,dart,444,0.65701,1,1,0.68923,1,1,0.65701,1,1,0.64831,1,1,0.25,0,0,0.65701,1,1,0.25,0,0,0.65701,1,1,0.65701,1,1,0.64831,1,1
49,dart,381,0.61284,1,0,0.542,1,0,0.609,1,0,0.52295,1,0,0.52327,1,0,0.56972,1,0,0.54117,1,0,0.56416,1,0,0.58109,1,0,0.56873,1,0
51,dart,540,0.74381,1,1,0.74381,1,1,0.74381,1,1,0.74381,1,1,0.74381,1,1,0.74381,1,1,0.25,0,0,0.74381,1,1,0.25,0,0,0.74381,1,1
52,dart,479,0.52895,1,0,0.52922,1,1,0.55113,1,0,0.60909,1,1,0.53837,1,1,0.52749,1,0,0.61325,1,1,0.61839,1,1,0.52798,0,0,0.60909,1,1
53,dart,212,0.75458,1,1,0.75458,1,1,0.75458,1,1,0.75458,1,1,0.25,0,0,0.54283,0,0,0.75458,1,1,0.47763,0,0,0.75458,1,1,0.75458,1,1
54,dart,571,0.42378,1,0,0.5457,1,0,0.5153,1,0,0.53666,1,0,0.52834,1,0,0.5153,1,0,0.5457,1,0,0.5457,1,0,0.25,0,0,0.52834,1,0
55,dart,474,0.48896,1,1,0.49758,1,1,0.50517,1,1,0.45968,1,1,0.45481,1,1,0.48761,1,0,0.48896,1,1,0.49728,1,1,0.49265,1,1,0.49758,1,1
56,dart,578,0.6939,1,0,0.25,0,0,0.68595,1,0,0.6939,1,0,0.69595,1,0,0.59906,1,0,0.67558,1,0,0.25,0,0,0.59305,1,0,0.69366,1,0
